Party and Electorate Candidate Votes Recorded at each polling place
"New Lynn 30","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",0,0,0,0,0,1,7,0,0,0,2,2,0,12,0
"Avondale","Avondale Baptist Church, 1288 New North Road",0,0,0,8,0,22,75,0,2,2,75,3,2,189,0
,"Avondale College Drama Room, 47 Victor Street (Gate 1 entrance)",0,0,0,4,0,7,29,0,0,0,28,2,0,70,0
,"Avondale Community Centre, 99 Rosebank Road",3,1,2,5,0,19,245,0,1,2,105,22,0,405,8
,"Avondale Primary School, Crayford Street West",4,2,1,16,1,79,429,1,2,1,173,62,0,771,12
,"Liberty Christian Church, 96 Lansford Crescent",0,0,0,5,0,12,97,0,1,2,52,12,1,182,5
,"Rosebank School Hall, 217 Rosebank Road",1,0,0,1,0,1,25,0,1,0,12,1,1,43,2
"Blockhouse Bay","Bay Roskill Sports Club, 231 Whitney Street",3,0,2,10,0,22,132,0,1,1,172,31,1,375,9
,"Blockhouse Bay Community Church, 76 Dundale Avenue",2,0,3,16,0,12,135,0,0,1,103,11,0,283,4
,"Blockhouse Bay Intermediate School, 95 Bolton Street",7,0,3,20,0,52,259,0,1,4,294,52,4,696,6
,"Blockhouse Bay Primary School, 584 Blockhouse Bay Road",13,0,2,30,0,89,264,0,6,2,473,63,4,946,5
,"Chaucer School, Chaucer Place",9,0,2,15,0,35,307,0,2,2,240,46,0,658,4
,"Church of the Saviour, 2 Heaphy Street",6,0,1,21,1,38,139,0,0,5,261,44,3,519,1
,"Glenavon School, 340 Blockhouse Bay Road",4,0,4,12,0,39,302,0,0,0,208,20,3,592,12
,"Iona Presbyterian Church, 38 Donovan Street",5,1,0,16,0,16,111,1,1,3,170,31,5,360,5
,"Motu Moana Scout Hall, 90 Connaught Street",4,0,0,8,0,18,42,0,0,2,97,15,4,190,0
"Glen Eden","Catholic Church Hall, 7 Glendale Road",1,0,0,4,0,19,53,0,0,1,52,11,1,142,0
,"Glen Eden Baptist Church Hall, 97 Glendale Road",3,0,2,19,0,44,83,1,3,3,144,30,3,335,4
,"Glen Eden Primary School, 3 Glenview Road",2,0,0,1,0,12,38,1,0,1,44,14,0,113,1
,"Konini School, 44 Withers Road",0,0,3,18,0,105,146,0,4,2,294,38,4,614,4
,"Prospect School Hall, 76 Rosier Road",0,0,1,4,0,18,66,0,1,0,65,10,2,167,3
"Green Bay","Green Bay Community Church Hall, 14 Vardon Road",11,0,3,36,0,96,306,1,7,4,494,98,3,1059,5
,"Green Bay School, 131 Godley Road",16,0,10,51,1,220,380,1,10,5,718,118,2,1532,8
"Henderson","The Trusts Stadium (Ukulele Festival), Central Park Drive",1,0,0,0,0,11,14,0,0,0,16,4,0,46,0
"Huia","Huia Hall, 1253 Huia Road",1,0,1,5,0,56,60,1,2,0,110,22,2,260,0
"Kelston","Kelston Boys High School, corner Archibald & St Leonards Roads (Gate 3)",2,1,3,16,0,69,492,0,4,3,278,50,2,920,9
,"Kelston Girls College, 1 Archibald Road",6,0,2,14,0,40,303,0,4,0,132,17,2,520,5
,"St Leonards Road School, 15 St Leonards Road",2,0,3,12,0,35,387,0,3,1,118,31,1,593,10
"Laingholm","Laingholm Primary School, Victory Road",6,1,10,18,0,237,178,1,5,8,359,49,1,873,4
"Lynfield","Lynfield College School, 191 White Swan Road (main entrance)",1,0,1,6,0,0,48,0,0,0,57,3,1,117,0
,"Lynfield Tennis Club, 18 The Avenue",0,0,0,2,0,2,11,0,0,0,8,2,0,25,0
"Mt Roskill","Christ The King Parish School Hall, 288 Richardson Road",2,0,0,2,0,2,9,0,0,0,6,2,0,23,0
,"Marshall Laing Primary School, 39 Marshall Laing Avenue",1,0,0,3,0,1,19,0,0,1,21,1,0,47,1
,"May Road School, 504 Richardson Road",0,0,0,4,0,0,11,0,0,0,11,2,0,28,0
,"St Giles Presbyterian Church, 1207 Dominion Road",0,0,0,0,0,2,4,0,0,0,5,2,0,13,0
"New Lynn","Arahoe School, 11 Arahoe Road",17,1,4,43,0,151,456,0,3,9,618,95,2,1399,11
,"Dayspring Trust Hall, 2 Seabrook Avenue",17,1,5,34,1,97,415,0,2,2,328,65,5,972,5
,"Fruitvale School, 9 Croydon Road",11,2,6,31,0,150,599,0,2,2,478,105,3,1389,17
,"New Lynn Friendship Club Hall, 3063 Great North Road",10,0,0,12,0,26,174,2,3,1,121,30,5,384,7
,"New Lynn Salvation Army Hall, 32 Delta Avenue",20,0,6,33,1,94,786,0,8,4,464,105,7,1528,28
,"New Lynn Sea Scout Hall, 37 Margan Avenue",19,0,2,20,2,76,364,0,4,2,317,45,0,851,8
,"Pule La'a Methodist Church Hall, 39-43 Margan Avenue",2,0,4,27,0,46,300,0,1,4,192,40,1,617,8
"New Windsor","New Windsor School, 185 New Windsor Road (64 Peter Buck Road entrance)",1,0,2,2,0,11,24,1,0,0,31,2,0,74,0
"Oratia","Oratia District School, 1 Shaw Road",0,0,0,4,0,20,17,1,0,0,44,3,2,91,0
"Titirangi","Glen Eden Intermediate School, 23 Kaurilands Road",5,0,1,7,0,79,135,0,2,2,242,24,3,500,2
,"Kaurilands School, 109 Atkinson Road",11,1,6,17,0,219,319,2,6,9,772,65,3,1430,5
,"St Francis Anglican Parish, corner Park & Titirangi Beach Roads",4,0,4,11,0,188,109,2,5,1,282,26,4,636,0
,"Titirangi War Memorial Hall, 500 South Titirangi Road",18,0,8,31,0,356,306,3,4,7,599,68,5,1405,4
,"Woodlands Park School, 202 Woodlands Park Road",6,0,4,29,2,223,229,0,1,4,478,50,6,1032,4
"Waterview","Waterview Methodist Church Hall, corner of Great North Road & Fir Street",1,1,0,1,0,7,20,0,0,1,25,3,0,59,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Mt Albert",1,0,0,1,0,17,30,0,1,1,35,2,0,88,0
,"Ordinary Votes BEFORE polling day - Taken in Mt Roskill",2,0,3,4,0,29,49,0,1,0,100,5,0,193,3
,"Ordinary Votes BEFORE polling day - Taken in New Lynn",30,1,5,94,1,276,1160,1,8,9,1243,239,18,3085,38
,"Ordinary Votes BEFORE polling day - Taken in Te Atatū",0,0,0,2,0,15,37,0,1,1,45,3,1,105,0
,"Ordinary Votes BEFORE polling day - Taken in Waitakere",2,0,0,1,0,29,41,0,2,1,53,8,0,137,0
,"Special Votes BEFORE polling day",4,0,6,15,0,54,227,1,3,5,221,43,1,580,3
,"Special Votes On polling day",31,2,20,46,0,389,1102,8,16,6,920,111,8,2659,15
,"Overseas Special Votes including Defence Force",2,0,0,0,0,56,70,0,0,3,90,2,2,225,1
,"Votes Allowed for Party Only",4,1,4,4,0,55,287,0,17,18,116,21,1,528,8
,"New Lynn Total",334,16,149,871,10,4094,12462,29,151,148,13211,2081,129,33685,295
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",33980
"Electorate Party Valid Votes for New Lynn",,"National Party - .3921923705"
"ACT New Zealand",334,.0099153926
"Alliance",16,.0004749889
"Aotearoa Legalise Cannabis Party",149,.0044233338
"Conservative Party",871,.0258572065
"Democrats for Social Credit",10,.000296868
"Green Party",4094,.1215377765
"Labour Party",12462,.3699569541
"Libertarianz",29,.0008609173
"Mana",151,.0044827074
"Māori Party",148,.004393647
"National Party",13211,.3921923705
"New Zealand First Party",2081,.0617782396
"United Future",129,.0038295977
