Party and Electorate Candidate Votes Recorded at each polling place
"Waimakariri 55","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"West Eyreton","West Eyreton School, North Eyre Road",0,8,0,1,0,0,0,0,13,4,99,1,1,216,0,19,0,0,8,370,1
"Woodend","Woodend School, Main Road ",0,11,1,3,1,3,2,1,72,30,628,0,1,631,0,113,0,1,35,1533,13
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,0,0,0,0,0,0,0,3,5,126,0,0,95,1,15,0,0,3,248,3
,"Ordinary Votes BEFORE polling day",0,18,2,8,4,2,9,0,78,28,834,1,3,1093,0,158,2,0,105,2345,8
,"Special Votes BEFORE polling day",0,7,0,4,4,0,1,0,8,1,132,0,1,132,0,21,0,0,12,323,2
,"Special Votes On polling day",0,27,1,11,3,2,4,0,123,27,992,0,6,961,1,109,0,1,60,2328,2
,"Overseas Special Votes including defence force",0,3,0,1,0,0,1,0,36,4,101,0,0,114,0,18,0,0,6,284,1
,"Special Votes Allowed for Party Only",0,4,0,2,0,1,2,0,20,1,156,0,5,110,0,17,0,0,7,325,0
,"Waimakariri Total",7,362,21,125,49,32,115,5,1527,609,16484,12,62,16565,8,2453,8,5,1295,39744,116
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",39860
"Electorate Party Valid Votes for Waimakariri",,"National Party - .4167924718"
"99 MP Party",7,.0001761272
"ACT New Zealand",362,.0091082931
"Alliance",21,.0005283816
"Aotearoa Legalise Cannabis Party",125,.0031451288
"Christian Heritage NZ",49,.0012328905
"Democrats for Social Credit",32,.000805153
"Destiny New Zealand",115,.0028935185
"Direct Democracy Party",5,.0001258052
"Green Party",1527,.0384208937
"Jim Anderton's Progressive",609,.0153230676
"Labour Party",16484,.4147544283
"Libertarianz",12,.0003019324
"Mâori Party",62,.0015599839
"National Party",16565,.4167924718
"New Zealand Family Rights Protection Party",8,.0002012882
"New Zealand First Party",2453,.0617200081
"OneNZ Party",8,.0002012882
"The Republic of New Zealand Party",5,.0001258052
"United Future New Zealand",1295,.0325835346
