Party and Electorate Candidate Votes Recorded at each polling place
"New Plymouth 32","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,"Ordinary Votes BEFORE polling day",0,33,1,7,3,0,16,2,93,7,555,1,6,1043,0,93,1,0,56,1917,7
,"Special Votes BEFORE polling day",0,0,0,0,0,0,3,1,25,3,168,0,4,156,0,24,0,0,4,388,0
,"Special Votes On polling day",2,19,0,7,3,1,12,0,158,7,632,0,18,628,1,68,0,1,40,1597,5
,"Overseas Special Votes including defence force",0,7,0,0,0,0,1,0,32,2,108,0,3,147,0,2,0,0,4,306,0
,"Special Votes Allowed for Party Only",0,1,0,4,0,0,1,0,20,0,99,0,11,41,0,9,0,0,2,188,0
,"New Plymouth Total",12,394,18,86,36,15,244,52,1816,249,12542,14,148,14836,11,2036,12,7,791,33319,126
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",33445
"Electorate Party Valid Votes for New Plymouth",,"National Party - .4452714667"
"99 MP Party",12,.0003601549
"ACT New Zealand",394,.0118250848
"Alliance",18,.0005402323
"Aotearoa Legalise Cannabis Party",86,.0025811099
"Christian Heritage NZ",36,.0010804646
"Democrats for Social Credit",15,.0004501936
"Destiny New Zealand",244,.007323149
"Direct Democracy Party",52,.0015606711
"Green Party",1816,.0545034365
"Jim Anderton's Progressive",249,.0074732135
"Labour Party",12542,.3764218614
"Libertarianz",14,.0004201807
"Mâori Party",148,.00444191
"National Party",14836,.4452714667
"New Zealand Family Rights Protection Party",11,.000330142
"New Zealand First Party",2036,.0611062757
"OneNZ Party",12,.0003601549
"The Republic of New Zealand Party",7,.0002100903
"United Future New Zealand",791,.0237402083
