Party and Electorate Candidate Votes Recorded at each polling place
"Ilam 18","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"St Albans","The Royal New Zealand Foundation of the Blind, Social Centre, 96 Bristol Street",0,0,0,0,0,3,0,0,5,0,0,13,0,0,0,1,0,4,0,26,0
"Upper Riccarton","Riccarton High School, corner Curletts Road & Vicki Street",1,0,0,0,0,3,1,0,5,0,1,5,0,0,0,1,0,0,0,17,1
,"Riccarton Primary School, corner Main South Road & English Street",3,0,0,0,0,2,0,0,12,0,1,12,0,0,0,0,0,1,0,31,0
,"Villa Maria College Hall, Brodie Street entrance",15,4,2,0,0,31,3,1,135,0,2,202,22,0,0,1,0,13,0,431,2
"Yaldhurst","Yaldhurst Memorial Hall, corner Yaldhurst & Pound Roads",2,0,0,0,0,2,1,0,5,0,0,11,3,0,0,0,0,0,0,24,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",12,2,0,1,5,25,24,1,242,0,1,275,31,1,0,1,0,4,3,628,15
,"Ordinary Votes BEFORE polling day",119,1,5,1,2,249,55,15,730,2,15,1817,67,2,0,14,0,39,1,3134,15
,"Special Votes BEFORE polling day",16,1,4,0,0,47,6,3,113,0,0,260,9,2,0,0,2,6,1,470,2
,"Special Votes On polling day",91,1,23,0,5,249,28,16,708,2,13,1214,37,4,1,22,0,25,1,2440,3
,"Overseas Special Votes including defence force",23,0,1,0,4,122,3,0,186,0,0,393,4,0,0,0,0,6,0,742,0
,"Votes Allowed for Party Only",14,0,4,0,0,45,7,3,146,1,7,159,6,0,1,11,0,3,1,408,4
,"Ilam Total",1422,35,118,6,61,3034,550,199,10168,21,195,19541,893,20,2,199,3,516,12,36995,136
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",37131
"Electorate Party Valid Votes for Ilam",,"National Party - .5282065144"
"ACT New Zealand",1422,.0384376267
"Alliance",35,.0009460738
"Aotearoa Legalise Cannabis Party",118,.0031896202
"Democrats for Social Credit",6,.0001621841
"Family Party",61,.0016488715
"Green Party",3034,.0820110826
"Jim Anderton's Progressive",550,.0148668739
"Kiwi Party",199,.0053791053
"Labour Party",10168,.2748479524
"Libertarianz",21,.0005676443
"Maori Party",195,.0052709826
"National Party",19541,.5282065144
"New Zealand First Party",893,.0241383971
"New Zealand Pacific Party",20,.0005406136
"RAM - Residents Action Movement",2,.0000540614
"The Bill and Ben Party",199,.0053791053
"The Republic of New Zealand Party",3,.000081092
"United Future",516,.0139478308
"Workers Party",12,.0003243682
