Party and Electorate Candidate Votes Recorded at each polling place
"Rangitata 41","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
,"Washdyke Community and Sports Centre, Sir Basil Arthur Park, 92 Pleasant Point Highway",2,0,3,10,1,14,100,0,0,2,193,28,2,355,4
,"West End Hall, entrance off 35B Maltby Avenue",1,0,4,11,0,35,153,0,0,2,225,25,4,460,6
"Wakanui","Wakanui School, 20 Wakanui School Road",5,0,1,9,0,13,27,0,0,2,140,16,1,214,3
"Willowby ","Willowby Hall, 471 Longbeach Road",4,0,0,1,0,14,22,0,0,0,189,4,0,234,2
"Winchester","Winchester Rural School, State Highway 1",3,0,0,5,0,28,59,0,2,1,129,17,2,246,4
"Winchmore","Winchmore Hall, 935 State Highway 77",1,0,2,1,0,1,2,0,0,0,106,5,0,118,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Rangitata",65,6,14,80,4,348,1161,2,4,12,2837,191,30,4754,61
,"Special Votes BEFORE polling day",6,0,5,5,1,26,97,0,0,2,195,21,2,360,2
,"Special Votes On polling day",13,1,22,29,0,159,389,1,3,7,879,68,8,1579,7
,"Overseas Special Votes including Defence Force",3,1,0,0,0,22,20,0,0,0,71,3,1,121,0
,"Votes Allowed for Party Only",2,0,3,2,0,26,75,0,0,5,76,6,2,197,5
,"Rangitata Total",367,24,229,863,19,2894,9687,20,32,123,19282,2084,307,35931,351
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",36282
"Electorate Party Valid Votes for Rangitata",,"National Party - .5366396705"
"ACT New Zealand",367,.0102140213
"Alliance",24,.0006679469
"Aotearoa Legalise Cannabis Party",229,.0063733267
"Conservative Party",863,.0240182572
"Democrats for Social Credit",19,.0005287913
"Green Party",2894,.0805432635
"Labour Party",9687,.2696000668
"Libertarianz",20,.0005566224
"Mana",32,.0008905959
"Māori Party",123,.0034232279
"National Party",19282,.5366396705
"New Zealand First Party",2084,.0580000557
"United Future",307,.0085441541
