Party and Electorate Candidate Votes Recorded at each polling place
"Mana 22","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,"St James' Church, Spinnaker Drive",1,13,1,2,0,0,1,1,34,14,259,1,1,435,0,27,0,0,37,827,2
,"The Anchor, 1 Joseph Banks Drive",0,18,0,3,3,0,0,0,22,4,262,0,2,745,0,27,0,0,65,1151,0
,"The Bradey Room, Civic Centre, Discovery Drive",0,16,1,0,0,0,2,0,40,13,304,0,0,501,0,33,0,0,58,968,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,0,0,1,1,0,1,1,2,4,88,0,1,41,0,7,0,0,5,152,5
,"Ordinary Votes BEFORE polling day",0,22,2,1,2,1,13,0,117,11,816,1,12,600,0,88,1,0,88,1775,5
,"Special Votes BEFORE polling day",0,4,0,0,0,0,2,0,27,3,211,0,3,117,0,13,0,0,18,398,1
,"Special Votes On polling day",1,15,4,8,0,0,19,0,127,12,1105,1,17,565,0,61,0,1,64,2000,5
,"Overseas Special Votes including defence force",0,6,0,0,2,0,2,0,46,4,246,0,3,165,0,11,0,0,9,494,1
,"Special Votes Allowed for Party Only",0,0,0,2,0,0,2,0,18,1,211,0,18,50,0,13,0,0,5,320,2
,"Mana Total",8,322,49,83,22,7,224,7,1995,345,16016,9,248,10108,5,1244,5,3,1346,32046,117
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",32163
"Electorate Party Valid Votes for Mana",,"Labour Party - .499781564"
"99 MP Party",8,.0002496411
"ACT New Zealand",322,.0100480559
"Alliance",49,.001529052
"Aotearoa Legalise Cannabis Party",83,.0025900268
"Christian Heritage NZ",22,.0006865131
"Democrats for Social Credit",7,.000218436
"Destiny New Zealand",224,.0069899519
"Direct Democracy Party",7,.000218436
"Green Party",1995,.0622542595
"Jim Anderton's Progressive",345,.0107657742
"Labour Party",16016,.499781564
"Libertarianz",9,.0002808463
"Mâori Party",248,.0077388754
"National Party",10108,.3154215815
"New Zealand Family Rights Protection Party",5,.0001560257
"New Zealand First Party",1244,.0388191974
"OneNZ Party",5,.0001560257
"The Republic of New Zealand Party",3,.0000936154
"United Future New Zealand",1346,.0420021219
