Party and Electorate Candidate Votes Recorded at each polling place
"Wairarapa 56","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,"Tararua District Council Chambers, 136 Main Street",0,6,2,6,1,0,0,0,30,8,320,0,4,435,0,101,0,0,10,923,3
"Pirinoa","Pirinoa School, Pirinoa Road",0,3,0,0,0,0,0,0,5,1,61,0,1,119,0,23,0,0,7,220,0
"Pongaroa","Pongaroa School, Makomako Street",0,1,0,0,0,0,1,0,1,1,25,0,2,153,0,18,0,0,3,205,3
"Porangahau","Porangahau School, Keppel Street",0,4,0,0,0,0,2,0,3,1,44,0,8,167,0,9,0,0,6,244,1
"Tinui","Tinui School, Charles Street",0,3,0,1,0,0,0,0,3,0,36,0,1,112,0,19,0,0,2,177,1
"Wainuioru","Wainuioru School, Stronvar Road",0,2,0,0,0,0,0,0,10,0,19,0,0,83,0,9,0,0,2,125,0
"Waipukurau","CHB College Library, Tavistock Road",0,4,0,1,0,0,0,0,13,0,37,0,0,133,0,8,0,0,6,202,0
"Weber","Weber School, Dannevirke-Weber Road",0,1,0,1,0,0,0,0,4,0,16,0,1,108,0,5,0,0,0,136,0
"Whareama","Whareama School, Langdale Road",0,3,0,0,0,0,0,0,6,3,37,0,1,115,0,17,0,0,1,183,0
"Woodville","Woodville School, Vogel Street",0,12,0,3,3,0,5,0,48,8,370,1,10,350,1,90,0,0,18,919,3
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,1,0,0,0,0,0,0,3,1,162,0,3,166,0,35,1,1,2,375,7
,"Ordinary Votes BEFORE polling day",0,22,4,2,2,1,13,1,66,9,497,0,7,802,0,150,0,0,52,1628,2
,"Special Votes BEFORE polling day",0,1,0,0,3,0,1,0,18,3,154,0,0,190,0,42,0,0,11,423,1
,"Special Votes On polling day",0,27,0,4,3,0,5,1,115,11,543,0,12,656,0,105,0,0,36,1518,2
,"Overseas Special Votes including defence force",0,5,0,0,0,0,0,0,18,1,61,0,0,114,0,9,0,1,4,213,1
,"Special Votes Allowed for Party Only",0,0,0,6,1,0,2,0,13,1,103,0,10,55,0,10,0,0,3,204,4
,"Wairarapa Total",5,370,29,76,40,8,82,4,1478,261,11669,13,165,14599,6,2889,6,6,651,32357,124
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",32481
"Electorate Party Valid Votes for Wairarapa",,"National Party - .4511852149"
"99 MP Party",5,.0001545261
"ACT New Zealand",370,.0114349291
"Alliance",29,.0008962512
"Aotearoa Legalise Cannabis Party",76,.0023487962
"Christian Heritage NZ",40,.0012362085
"Democrats for Social Credit",8,.0002472417
"Destiny New Zealand",82,.0025342275
"Direct Democracy Party",4,.0001236209
"Green Party",1478,.0456779059
"Jim Anderton's Progressive",261,.0080662608
"Labour Party",11669,.3606329388
"Libertarianz",13,.0004017678
"Mâori Party",165,.0050993603
"National Party",14599,.4511852149
"New Zealand Family Rights Protection Party",6,.0001854313
"New Zealand First Party",2889,.0892851624
"OneNZ Party",6,.0001854313
"The Republic of New Zealand Party",6,.0001854313
"United Future New Zealand",651,.0201192941
