Party and Electorate Candidate Votes Recorded at each polling place
"Dunedin South 9","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Abbotsford","Community Hall, 72 North Taieri Road",1,0,2,3,1,23,81,0,0,0,106,15,2,234,0
,"Scout Hall, corner Abbotsford Road & Unsworth Street",5,1,6,15,1,67,298,0,1,1,287,61,6,749,10
"Allanton","Allanton Community Centre, 11 Grey Street",2,0,1,0,0,18,42,0,0,1,111,10,1,186,0
"Andersons Bay","Presbyterian Church Hall, 76 Silverton Street",7,1,2,14,6,223,428,1,3,4,561,64,5,1319,8
"Brighton","Big Rock School, 2 Bath Street",5,0,3,3,0,79,169,0,2,3,157,33,2,456,4
"Broad Bay","Broad Bay School, 4 Roebuck Rise",1,0,0,0,0,144,76,0,1,0,62,26,1,311,2
"Calton Hill","Calton Hill Community Hall, 38 Riselaw Road",1,0,7,8,4,61,255,1,0,3,98,19,1,458,3
"Caversham","Caversham Presbyterian Church Hall, 61 Thorn Street",6,1,3,12,5,102,279,0,3,2,183,68,2,666,7
,"Caversham School Hall, 217 South Road",7,2,3,6,0,94,263,1,1,4,125,51,3,560,15
"Concord","Concord Kindergarten, 93 Mulford Street",1,0,0,5,0,25,113,0,0,0,58,10,1,213,6
,"Concord School, 5 Thoreau Street",3,0,1,5,1,32,152,0,1,0,132,21,4,352,0
"Corstorphine","Corstorphine Community Centre, 235 Middleton Road",1,2,5,8,2,123,389,1,1,3,234,72,2,843,12
"Dunedin City","Court House, 41 Lower Stuart Street",0,1,0,0,0,17,23,0,0,0,40,2,1,84,1
,"Dunedin Hospital, 1st Floor Foyer to Lecture Halls, 201 Great King Street",1,1,1,1,0,20,35,0,0,0,42,7,2,110,0
,"Malcam Trust, Jubilee Park (off Maori Road)",1,0,0,1,0,6,6,0,0,0,6,0,0,20,0
,"Salvation Army McMillan Lounge, 575 Princes Street",0,0,0,0,1,13,20,0,0,0,17,6,0,57,0
"Dunedin North","George Street Normal School, 989 George Street",0,0,0,1,0,14,19,0,0,0,19,0,1,54,0
,"Knox Church Hall, 453 George Street ",0,0,0,0,0,11,10,0,0,0,17,1,1,40,0
,"University of Otago, ISB Link East, 630 Cumberland Street",0,0,0,0,0,22,28,0,0,0,20,2,2,74,0
"East Taieri","East Taieri School, 11 Cemetery Road",5,1,1,9,1,40,95,0,0,0,334,28,3,517,6
"Fairfield","Fairfield Community Hall, corner Main Road & Fairplay Street",8,0,4,17,8,141,380,0,0,2,711,94,7,1372,6
"Forbury Corner","St Bernadette's School Hall, 16 Forbury Road",3,0,1,6,1,56,132,0,1,1,153,34,4,392,3
"Green Island","Pipe Band Hall, 186 Main South Road",8,3,7,15,4,97,472,0,5,5,405,109,5,1135,9
