Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tonga 69","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
,"Mount Cook Primary School, 160 Tory Street",0,0,0,0,0,7,12,0,1,4,2,1,0,27,0
,"St Andrew's Church Hall, 30 The Terrace",0,0,0,0,0,1,2,0,2,3,3,0,0,11,0
,"St John's Church Conference Centre, corner Dixon & Willis Streets",0,0,0,0,0,8,11,0,2,3,1,4,0,29,0
,"Te Aro School, 360 The Terrace",0,0,0,0,0,4,2,0,1,0,0,1,0,8,0
,"Wellington High School, 249 Taranaki Street",0,0,0,0,0,6,9,0,0,2,3,1,0,21,0
"Wilton","Otari School, 166 Wilton Road",0,0,0,0,0,5,7,0,0,3,3,1,0,19,0
,West Coast-Tasman
"Arahura","Te Tari O Te Runanga O Ngatiwaewae, 1 Old Christchurch Road (off State Highway 6)",0,0,1,0,0,4,6,0,0,2,3,3,0,19,0
"Blackball ","Blackball Fire Station, Hilton Street",0,0,0,0,0,2,4,0,1,0,0,0,0,7,0
"Cobden ","Bowling Club Rooms, 84a Ward Street",0,0,2,0,0,0,3,0,1,0,1,2,1,10,0
,"Cobden School, 53 Fox Street",0,0,0,0,0,2,7,0,0,3,6,2,0,20,0
"Dunollie","Dunollie St John's Hall, corner Bute & Inverness Streets",0,0,0,0,0,0,6,0,0,1,0,2,0,9,0
"Franz Josef","Franz Josef Community Centre, Main Road",1,0,0,0,0,0,3,0,0,0,4,0,0,8,0
"Granity ","Granity School, 83 Torea Street",0,0,0,0,0,0,4,0,2,1,0,0,0,7,0
"Greymouth","Grey Base Hospital, High Street",0,0,0,0,0,0,1,0,0,2,3,0,0,6,0
,"Grey United Tennis Club, Shakespeare Street",0,0,0,0,0,0,6,0,1,0,2,1,0,10,0
,"Karoro Learning Centre, 180 Tainui Street",0,0,0,0,0,3,3,0,1,2,1,2,0,12,0
,"Karoro School, Old Library, Main South Road",0,0,0,0,0,0,1,0,0,4,1,0,0,6,0
,"Regent Theatre, corner MacKay & Herbert Streets",0,0,0,0,0,1,8,0,0,0,2,2,0,13,1
"Hokitika","Church of Christ Hall, corner Sale & Stafford Streets",0,0,0,1,0,1,8,0,0,5,8,4,0,27,2
,"Regent Theatre, Reynolds Room, 23 Weld Street",1,0,0,0,1,1,10,0,3,5,2,4,1,28,1
,"St Mary's Primary School Hall, 87 Sewell Street",1,0,0,0,0,1,7,0,1,2,2,1,0,15,0
,"Westland High School, 140 Hampden Street",0,0,0,0,0,2,6,0,0,5,3,2,0,18,1
"Inangahua Junction","Inangahua Junction Hall, State Highway 6, RD1 ",0,0,0,0,0,1,2,0,0,0,1,3,0,7,0
"Karamea ","Karamea Area School, 105 Waverley Street",0,0,0,0,0,1,4,0,0,0,1,0,0,6,0
"Kumara","Memorial Hall, 56 Seddon Street",0,0,0,0,0,0,3,0,1,1,2,0,0,7,0
"Lower Moutere","Lower Moutere School Hall, 8 School Road",0,0,0,0,0,1,4,0,0,0,1,2,0,8,1
"Mapua ","Mapua School, 4 Stafford Drive",0,0,0,1,0,4,3,0,0,0,2,2,0,12,0
"Marahau","Marahau Fire Station Hall, Sandy Bay-Marahau Road",0,0,0,0,0,1,0,0,1,1,1,1,0,5,1
"Motueka","Masonic Centre, 8 Inglis Street",0,0,1,0,0,1,5,0,2,0,1,1,0,11,0
,"Motueka South School, 450 High Street",0,0,0,0,0,2,9,0,0,0,2,1,0,14,2
,"Motueka Tasman District Council Service Centre, Hickmott Place ",0,0,0,0,0,5,12,0,1,5,3,5,0,31,1
,"Parklands School, Technology Building, 9-19 Pah Street",1,0,2,0,1,12,47,0,10,10,8,7,0,98,4
"Motupipi  ","Motupipi School, 435 Abel Tasman Drive",0,0,0,1,0,2,1,0,0,2,1,1,0,8,0
"Ngakawau ","Ngakawau Domain Hall, Main Road",0,0,0,0,0,0,4,0,2,1,0,0,0,7,1
"Ngatimoti ","Ngatimoti School, 4 Greenhill Road, RD1",0,0,0,0,0,2,2,0,0,1,1,0,0,6,0
"Paroa","Paroa School, 494 Main South Road",0,0,0,0,0,3,2,0,1,1,6,0,0,13,0
"Reefton","Reefton Community Centre, 52-54 Shiel Street",0,0,0,0,0,1,2,0,2,2,0,2,0,9,0
"Riwaka","Memorial Hall, 398 Main Road",0,0,0,1,0,2,1,0,0,2,1,0,0,7,0
"Ross","Ross School, Moorhouse Street",0,0,0,0,0,1,1,0,0,0,2,1,1,6,0
"Runanga","Runanga School Hall, Duncan Street",0,0,0,0,0,1,2,0,1,1,0,3,0,8,1
"Takaka","Tasman District Council Office, 78 Commercial Street",0,0,0,1,0,3,2,0,1,10,0,0,0,17,0
"Upper Moutere","Upper Moutere School Hall, Main Road",0,0,0,0,0,3,4,0,1,0,1,1,0,10,0
"Wakefield","Wakefield School, Edward Street",0,0,0,1,0,3,6,0,2,3,6,1,0,22,0
"Westport","St Canice's School, 24a Brougham Street",0,0,0,0,0,1,8,0,1,1,5,3,1,20,0
,"Westport Courthouse, 11 Wakefield Street",0,0,0,0,0,0,9,0,0,0,3,2,0,14,1
,"Westport North School, 65 Cobden Street",0,0,1,0,0,1,8,0,1,0,3,1,0,15,0
,"Westport South School, Derby Street",0,0,1,0,0,0,8,0,0,2,3,2,0,16,0
"Whataroa","Whataroa School, 65 Scally Road  ",0,0,0,0,0,1,1,0,0,1,3,0,0,6,0
,Wigram
"Addington","Addington School, 22 Brougham Street (Simeon Street entrance)",0,0,1,0,0,2,10,0,0,2,2,3,0,20,1
,"Sacred Heart Parish Hall, 70 Spencer Street",0,0,1,0,0,2,8,0,2,0,3,0,0,16,1
"Avonhead","Russley School, 75 Cutts Road",0,0,0,0,0,3,7,0,1,3,3,0,0,17,0
"Hei Hei","Gilberthorpe School, 163 Gilberthorpes Road",0,0,0,0,0,0,9,0,0,3,2,2,0,16,0
,"Kidsfirst Kindergarten, 10 Wycola Avenue",0,1,0,0,0,1,13,0,0,5,4,4,0,28,0
,"St Aidans Church, corner Hei Hei & Buchanans Roads",0,0,1,0,0,3,15,0,1,4,5,2,0,31,0
"Hillmorton","Hillmorton High School, Tankerville Road",0,0,1,0,0,3,4,0,0,1,4,1,0,14,0
"Hoon Hay","Hoon Hay School, 91 Sparks Road",0,0,1,0,0,6,8,0,0,3,6,2,0,26,0
,"Manning Intermediate School, 50 Hoon Hay Road",0,0,0,0,0,0,5,0,1,1,5,3,0,15,0
,"Rowley Avenue School, 48 Rowley Avenue",0,0,0,0,0,3,21,0,3,8,3,2,0,40,1
,"Spreydon School, 2 Halswell Road",0,0,0,0,0,2,4,0,1,1,2,2,0,12,1
"Hornby","Branston Intermediate, 35 Amyes Road",0,0,0,0,0,3,21,0,3,5,2,5,0,39,1
,"Hornby Community Care Centre, 8 Goulding Avenue",0,0,0,1,0,2,0,0,1,3,1,2,0,10,0
,"Hornby Primary School, 190 Waterloo Road",0,0,2,0,0,2,13,0,1,1,4,1,0,24,0
,"Sockburn School, 34 Springs Road",0,0,0,1,0,5,16,0,1,7,9,4,0,43,0
,"South Hornby School, 52 Shands Road",0,0,0,0,0,4,11,0,0,1,1,2,0,19,0
,"St Columba's Church Hall, 452 Main South Road",0,0,0,0,0,0,5,0,1,2,2,3,0,13,0
"Middleton","Kidsfirst Kindergarten, 14 Torrens Road",0,0,0,0,0,4,5,0,2,1,3,1,0,16,0
"Riccarton","Riccarton Baptist Church, 80 Rattray street",0,0,0,0,0,1,8,0,1,0,0,2,0,12,0
,"Riccarton Mall, Riccarton Road (in aisle opposite K Mart)",0,0,0,0,0,7,13,0,3,4,6,4,0,37,1
,"Wharenui School, 32 Matipo Street",0,0,0,0,0,2,8,0,1,2,3,0,0,16,0
"Russley","St Stephen's Methodist Church, 376 Yaldhurst Road",0,0,0,0,0,0,4,0,1,1,1,0,0,7,0
"Sockburn","Montessori Pre School, 108 Racecourse Road",0,0,0,0,0,0,4,0,1,2,3,1,0,11,0
,"Riccarton Primary School, English Street",0,0,0,0,0,8,9,0,1,2,2,3,0,25,1
"Somerfield","Somerfield School, 42 Studholme Street",0,1,0,0,0,3,5,0,1,1,6,1,0,18,0
,"Te Kura-Kaupapa Māori o Te Whanau Tahi, 83 Lyttelton Street",1,0,0,1,0,3,5,0,1,2,6,1,0,20,1
"Spreydon","Christchurch South Intermediate, 204 Selwyn Street",0,0,0,0,0,3,19,0,1,1,7,0,0,31,0
,"Spreydon Baptist Church, 51 Cobham Street",0,0,0,0,0,9,4,0,0,1,7,2,0,23,1
,"St James Presbyterian Hall, corner Barrington & Bewdley Streets",0,0,0,0,0,2,4,0,1,3,2,2,0,14,0
,"St Martins Church, Neave Room, 50 Lincoln Road",0,0,0,0,0,2,8,0,2,0,1,1,0,14,2
,"West Spreydon School, 147 Lyttelton Street",0,0,1,0,0,1,7,0,0,1,0,3,0,13,0
"Upper Riccarton","Middleton Grange School, 50 Acacia Avenue",1,0,1,0,0,1,6,0,0,2,0,0,0,11,0
,"Riccarton High School, corner Curletts Road & Vicki Street",0,0,0,0,0,1,4,0,0,3,1,1,0,10,2
,"St Thomas of Canterbury College, 69 Middlepark Road",0,0,0,0,0,0,4,0,1,0,3,1,0,9,1
"Wigram","Air Force Museum of NZ, 45 Harvard Avenue",0,0,0,0,0,6,4,0,0,2,1,1,0,14,0
,"Polling places where less than 6 votes were taken",2,0,5,9,0,123,235,0,28,88,215,62,4,771,8
,"Ordinary Votes BEFORE polling day - Taken in Christchurch Central",1,0,2,0,0,24,34,0,4,12,19,9,0,105,2
,"Ordinary Votes BEFORE polling day - Taken in Christchurch East",0,0,2,0,0,21,41,0,3,21,21,16,2,127,3
,"Ordinary Votes BEFORE polling day - Taken in Clutha-Southland",1,0,5,2,0,19,29,0,5,10,21,6,0,98,1
,"Ordinary Votes BEFORE polling day - Taken in Dunedin North",0,0,1,0,1,32,24,0,9,12,13,4,0,96,1
,"Ordinary Votes BEFORE polling day - Taken in Dunedin South",0,0,4,1,0,9,24,0,5,6,11,8,0,68,3
,"Ordinary Votes BEFORE polling day - Taken in Hutt South",0,0,7,0,0,14,51,0,9,23,10,11,0,125,4
,"Ordinary Votes BEFORE polling day - Taken in Ilam",0,0,1,0,0,8,10,0,2,9,19,6,0,55,0
,"Ordinary Votes BEFORE polling day - Taken in Invercargill",0,0,2,0,0,12,53,0,5,16,18,13,1,120,0
,"Ordinary Votes BEFORE polling day - Taken in Kaikōura",0,0,0,1,0,13,37,0,8,16,19,13,0,107,0
,"Ordinary Votes BEFORE polling day - Taken in Nelson",0,0,1,1,0,15,31,0,5,14,10,6,1,84,4
,"Ordinary Votes BEFORE polling day - Taken in Ōhariu",0,0,0,0,0,9,23,0,4,13,5,10,1,65,0
,"Ordinary Votes BEFORE polling day - Taken in Port Hills",0,0,2,1,0,8,41,0,6,21,14,6,0,99,1
,"Ordinary Votes BEFORE polling day - Taken in Rangitata",0,0,3,2,0,6,25,0,3,8,6,6,0,59,0
,"Ordinary Votes BEFORE polling day - Taken in Rongotai",0,0,2,0,0,25,57,0,19,27,9,15,0,154,3
,"Ordinary Votes BEFORE polling day - Taken in Selwyn",0,0,0,0,0,11,14,0,2,9,13,3,0,52,2
,"Ordinary Votes BEFORE polling day - Taken in Waimakariri",0,0,0,1,0,5,38,0,4,5,12,11,0,76,3
,"Ordinary Votes BEFORE polling day - Taken in Waitaki",0,0,0,0,1,11,11,0,1,8,17,6,0,55,0
,"Ordinary Votes BEFORE polling day - Taken in Wellington Central",0,0,0,1,0,47,57,0,22,34,12,8,1,182,2
,"Ordinary Votes BEFORE polling day - Taken in West Coast-Tasman",1,0,1,1,0,16,56,0,3,18,18,14,1,129,1
,"Ordinary Votes BEFORE polling day - Taken in Wigram",0,0,2,1,0,18,49,0,5,19,24,15,1,134,2
,"Special Votes BEFORE polling day",3,0,3,0,0,34,91,0,16,32,31,23,0,233,4
,"Special Votes On polling day",2,0,17,11,0,260,560,0,121,226,155,87,1,1440,19
