Party and Electorate Candidate Votes Recorded at each polling place
"Northcote 33","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Beachhaven","Birkdale Beachhaven Ratepayers' Hall, 336 Rangatira Road",25,0,12,56,0,301,594,2,12,15,862,165,11,2055,10
,"Maria Assumpta Parish Hall, 198 Beachhaven Road",5,0,9,29,1,91,288,0,4,7,293,57,3,787,3
"Birkdale","Birkdale Intermediate School, 200 Birkdale Road",17,1,4,33,0,145,430,3,8,8,596,96,13,1354,5
,"Birkdale North School, 213 Birkdale Road",4,0,6,23,0,63,201,0,3,2,235,50,5,592,4
,"Birkenhead Baptist Church Hall, 25 Birkdale Road",12,0,13,59,0,178,339,3,3,7,619,96,5,1334,12
"Birkenhead","All Saints Hall, 187 Hinemoa Street",33,0,3,19,1,257,286,1,5,5,911,68,12,1601,8
,"Chelsea Primary School, 2 Onetaunga Road",34,0,3,25,0,170,222,0,2,10,1084,59,5,1614,5
,"North Shore Church of Christ, 3 Willow Avenue",7,0,2,17,0,85,139,1,1,7,354,33,2,648,1
,"Zion Hill Methodist Church Hall, corner Onewa Road & Birkenhead Avenue",16,2,14,52,1,213,358,4,7,13,895,89,6,1670,9
"Glenfield","Glenfield College, 52-60 Kaipatiki Road",13,0,2,20,0,44,157,1,2,2,258,42,3,544,4
,"Glenfield Community Centre, corner Glenfield Road & Bentley Avenue",19,0,5,38,1,92,371,0,2,2,482,66,5,1083,2
,"Glenfield Primary School, 101 Chivalry Road",2,0,2,17,0,43,203,1,2,3,349,52,4,678,3
,"Manuka Road Primary School, 34 Manuka Road",1,0,0,0,0,5,22,0,1,0,41,2,1,73,2
,"Marlborough Primary School, 4 Wykeham Place",10,0,6,40,0,81,298,0,1,8,508,72,3,1027,7
,"Target Road Primary School, 80 Target Road",0,0,1,2,0,2,9,0,0,0,26,3,0,43,0
,"Windy Ridge School, 50 Seaview Road",9,0,10,55,0,97,262,1,1,5,578,45,11,1074,3
"Mairangi Bay","Rangitoto College, 564 East Coast Road",0,0,0,3,0,2,6,0,0,0,14,1,0,26,0
"Milford","North Shore Hospital, Shakespeare Road",1,0,0,1,0,6,26,1,0,0,34,3,0,72,1
"Northcote","Northbridge Retirement Village Hall, 45 Akoranga Drive",11,0,2,15,0,66,124,1,0,2,292,50,2,565,8
,"Northcote Intermediate, 145 Lake Road",20,1,10,42,1,159,585,0,8,9,873,112,10,1830,13
,"Northcote Masonic Centre, 14 Rodney Road",8,0,5,13,0,129,111,1,1,4,468,27,6,773,2
,"Northcote Primary School, corner Lake & Onewa Roads",17,1,6,21,0,147,251,1,1,10,752,43,10,1260,6
,"Sunnybrae Normal School, 36 Sunnybrae Road",27,0,6,28,0,113,353,1,4,5,844,88,7,1476,6
,"Tongan Methodist Church Hall, corner Queen Street & Stafford Road",8,0,2,6,1,56,75,1,2,1,293,23,3,471,2
,"Willow Park School, 13 Compton Street",38,1,8,74,0,221,423,2,3,10,1363,104,18,2265,14
"Sunnynook","Wairau Intermediate School, 113 Becroft Drive",0,0,0,0,0,2,12,0,0,0,17,1,1,33,0
"Takapuna","Takapuna School, 23 Auburn Street (or Anzac Street entrance)",2,1,0,4,0,14,13,1,0,1,38,0,0,74,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in East Coast Bays",1,0,1,0,0,8,6,0,0,0,60,2,0,78,0
,"Ordinary Votes BEFORE polling day - Taken in North Shore",4,0,0,5,0,18,37,0,0,1,90,8,0,163,1
,"Ordinary Votes BEFORE polling day - Taken in Northcote",89,0,16,79,0,363,1088,6,8,20,2191,254,29,4143,23
,"Special Votes BEFORE polling day",7,0,1,7,0,44,151,1,2,1,266,31,1,512,2
,"Special Votes On polling day",31,1,27,36,4,290,618,2,14,13,1205,105,13,2359,13
,"Overseas Special Votes including Defence Force",7,1,0,0,0,69,63,1,1,1,231,1,3,378,0
,"Votes Allowed for Party Only",6,1,5,5,0,40,143,1,5,10,141,17,1,375,4
,"Northcote Total",484,10,181,824,10,3614,8264,37,103,182,17263,1865,193,33030,173
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",33203
"Electorate Party Valid Votes for Northcote",,"National Party - .5226460793"
"ACT New Zealand",484,.0146533454
"Alliance",10,.0003027551
"Aotearoa Legalise Cannabis Party",181,.0054798668
"Conservative Party",824,.0249470179
"Democrats for Social Credit",10,.0003027551
"Green Party",3614,.1094156827
"Labour Party",8264,.2501967908
"Libertarianz",37,.0011201938
"Mana",103,.0031183772
"Māori Party",182,.0055101423
"National Party",17263,.5226460793
"New Zealand First Party",1865,.0564638208
"United Future",193,.0058431729
