Party and Electorate Candidate Votes Recorded at each polling place
"Waiariki 70","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
,Bay of Plenty
"Kaimai","Kaimai School, Room 1, 1853 State Highway 29",0,0,0,0,0,0,0,0,4,0,1,2,2,0,0,0,0,0,0,9,2
"Matakana Island","Te Kura O Te Moutere O Matakana, 183 Opureora Road ",0,0,0,0,3,4,0,0,35,0,23,1,17,0,0,0,0,0,0,83,1
"Matapihi","Matapihi School, Room 3, 398 Matapihi Road",0,0,3,0,1,5,0,2,68,0,37,2,35,0,0,0,0,0,0,153,0
"Maungatapu","Maungatapu Free Kindergarten, 187 Te Hono Street",0,0,0,0,0,2,0,0,36,0,28,6,16,0,0,0,0,0,0,88,2
,"Maungatapu School Hall, 164 Maungatapu Road",0,0,1,0,0,2,0,2,104,0,48,10,13,0,0,0,0,1,0,181,5
"Mt Maunganui","Arataki Community Centre, Grenada Park, Monowai Street",0,0,2,0,0,1,0,0,39,0,26,6,6,0,0,0,0,0,0,80,0
,"Arataki School Hall, 4 Kaimanawa Street",2,0,5,0,0,3,0,0,101,0,53,7,14,0,0,0,0,1,0,186,2
"Ohauiti","Ohauiti Settlers' Hall, 459 Ohauiti Road",0,0,0,0,0,2,0,0,4,0,5,9,4,0,0,1,0,0,0,25,0
"Omokoroa","Omokoroa No. 1 School, Corner of Plummers Point & Emeny Roads",0,0,0,0,0,0,0,0,2,0,1,3,1,0,0,0,0,0,0,7,0
,"Omokoroa Point School, 37 Hamurana Road",0,0,0,0,1,0,0,0,10,0,4,4,5,0,0,0,0,0,0,24,0
"Oropi","Oropi School Computer Room, 1334 Oropi Road",0,0,0,0,0,0,0,0,6,0,3,0,1,0,0,0,0,0,0,10,0
"Pahoia","Pahoia School, Room 1, 29 Esdaile Road",0,0,0,0,0,2,0,0,4,0,1,3,2,0,0,1,0,0,0,13,1
"Papamoa","Papamoa Community Centre and Library, Tohora Room, 15 Gravatt Road",0,0,0,0,2,2,0,3,41,0,25,17,15,0,0,0,0,0,0,105,0
,"Papamoa Primary School Hall, 312 Dickson Road",1,0,1,0,0,4,1,0,27,0,22,13,5,0,0,1,0,0,0,75,1
,"Papamoa Sports & Recreation Centre, Gordon Spratt Reserve, 127 Parton Road",0,0,0,0,0,1,0,0,7,0,1,1,1,0,0,0,0,0,0,11,0
,"Tahatai Coast School Hall, 45 Evans Road",1,0,0,0,1,2,0,1,43,0,20,10,8,0,0,0,0,0,0,86,0
,"Te Akau Ki Papamoa School Hall, 29 Doncaster Drive",0,0,4,0,0,3,0,2,33,0,25,4,6,0,0,0,0,0,0,77,1
"Pyes Pa","Pyes Pa School Hall, 968 Pyes Pa Road",0,0,1,0,0,2,0,0,4,0,7,7,2,0,0,0,0,0,0,23,1
"Te Puke","Te Puke Memorial Hall, Pioneer Room, 130 Jellicoe Street",0,0,1,0,4,4,0,0,154,0,81,15,30,1,0,0,0,0,0,290,8
,"Te Puke Primary School, Corner of Cameron Road & Kowhai Avenue",0,0,0,0,1,1,0,0,35,0,17,10,12,0,0,0,0,0,0,76,3
"Te Puna","Te Puna Memorial Hall, Te Puna Road",0,0,0,0,0,4,0,0,18,0,32,3,12,0,0,0,0,0,1,70,0
,"Te Puna School Staffroom, 225 Te Puna Road",0,1,1,0,0,2,0,0,38,0,37,2,12,0,0,0,0,0,0,93,2
"Waitangi","Te Kura Kaupapa Maori o Te Matai, 309 State Highway 2",0,0,0,0,1,0,0,1,52,0,60,1,16,0,0,0,0,0,0,131,0
"Welcome Bay","Baden Powell Hall, 39 Welcome Bay Road",1,0,0,0,0,4,0,3,37,0,33,9,11,0,0,0,0,0,1,99,6
,"Selwyn Ridge School Hall, 20 Holmburn Street",0,0,0,0,0,2,0,1,27,0,13,2,5,0,0,1,0,0,0,51,1
,"Welcome Bay School Hall, 309 Welcome Bay Road",0,0,2,0,0,4,0,0,76,0,52,11,17,0,0,0,0,1,0,163,5
"Whakamarama","Whakamarama Public Hall, Whakamarama Road",0,0,0,0,0,1,0,0,4,0,3,0,1,0,0,0,0,0,0,9,0
,Coromandel
"Athenree","Athenree Fire Brigade Hall, 43 Roretana Drive",0,0,0,0,0,0,0,0,10,0,5,3,4,0,0,0,0,0,0,22,1
"Katikati","Katikati Christian Centre, 11-13 Henry Road",0,0,1,0,2,1,0,0,19,0,25,2,5,0,0,0,0,0,0,55,0
,"Katikati Primary School, 24 Beach Road",0,0,1,0,0,1,0,0,18,0,19,8,7,0,0,0,0,0,0,54,1
,East Coast
"Awakeri","Awakeri School, Room 2, 976 State Highway 30",0,0,0,0,0,3,0,2,18,0,22,6,6,0,0,1,0,1,0,59,1
"Cape Runaway","Te Kura Mana Maori o Whangaparaoa, State Highway 35",0,0,0,0,0,0,0,0,18,0,27,1,1,0,0,0,0,0,0,47,0
"Coastlands","Rangitaiki Independent School, 33 Meadow Vale",0,0,0,0,0,1,0,0,22,0,16,4,3,0,0,0,0,0,0,46,0
"Edgecumbe","Edgecumbe College, College Road",0,0,0,0,0,2,0,0,34,0,14,4,3,1,0,0,0,0,0,58,0
,"Edgecumbe District War Memorial Hall, corner Kauri & Main Street",1,0,0,0,0,2,0,0,59,0,31,6,5,0,0,0,0,0,0,104,1
"Kutarere","Kutarere School, 461 State Highway 2",1,0,1,0,7,4,0,0,30,0,31,3,6,0,0,0,0,0,0,83,2
"Maraenui","Te Kura Mana Maori, State Highway 35",0,0,0,0,0,0,0,0,12,0,12,0,1,0,0,0,0,0,0,25,0
"Matata","Matata Public School, 43 Pollen Street",0,0,0,0,0,5,0,0,54,0,27,4,15,0,0,1,0,0,0,106,0
"Ohope","Ohope Beach School, 170 Pohutukawa Avenue",0,0,0,0,0,3,0,0,12,0,16,1,2,0,0,0,0,2,0,36,0
,"Ohope Community Hall, Bluett Road",1,0,0,0,0,1,0,0,13,0,9,11,5,0,0,0,0,0,0,40,0
"Omaio","Te Kura o Omaio, School Road",1,0,0,0,0,2,0,0,41,0,39,6,5,0,0,0,0,0,0,94,2
"Omarumutu","Omarumutu School, 141 Omarumutu Road",0,0,0,0,0,2,0,0,11,0,26,3,6,0,0,0,0,0,0,48,1
"Opotiki","Opotiki College Hall, St John Street",0,0,0,0,4,6,1,0,110,0,72,12,9,0,0,0,0,2,0,216,5
