Party and Electorate Candidate Votes Recorded at each polling place
"Hutt South 17","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Alicetown","Hutt Central School, 6 Railway Avenue",30,0,3,0,0,70,9,0,364,1,4,368,36,2,0,6,1,14,0,908,1
"Avalon","Avalon School, 10 Gordon Street",5,0,4,0,0,5,0,0,86,0,0,33,3,0,0,0,0,2,0,138,3
,"Dyer Street School, Dyer Street",12,1,1,0,2,26,5,5,260,0,5,236,24,0,0,2,0,14,0,593,3
"Belmont","Belmont School, 709 Western Hutt Road",0,0,0,0,0,3,0,0,17,0,0,22,0,0,0,0,0,1,0,43,0
"Boulcott","Boulcott School, Boulcott Street",19,0,1,0,2,24,6,4,130,0,1,308,11,2,0,4,0,8,1,521,1
"Days Bay","Wellesley College, Main Road",36,0,1,0,0,85,4,0,155,0,4,312,13,0,0,2,0,7,1,620,0
"Eastbourne","Muritai School, 160 Muritai Road",64,2,5,1,1,214,12,5,380,2,12,732,28,0,0,7,0,21,0,1486,4
"Epuni","Congregational Christian Church Hall of Samoa, 37 Mitchell Street",11,1,0,0,1,32,2,7,208,0,1,169,23,2,0,0,2,7,0,466,1
,"Epuni School Hall, 313 Waiwhetu Road",35,1,4,0,1,98,10,15,478,2,7,543,59,2,0,5,0,14,0,1274,1
"Gracefield","Gracefield School, Bell Road",8,1,2,0,3,27,1,4,166,0,1,154,10,1,0,3,0,7,0,388,4
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",41,0,1,0,0,52,11,4,263,3,3,581,19,0,0,8,0,17,0,1003,3
,"Hutt Hospital, High Street",5,0,1,0,2,30,2,2,119,0,4,104,9,0,0,2,0,5,0,285,0
,"Hutt Intermediate School, Wilford Street",50,1,3,0,0,50,5,1,224,1,5,546,25,0,0,4,0,12,0,927,1
,"Hutt Valley High School, 84 Woburn Road",31,2,3,0,3,67,10,6,241,3,2,480,19,2,0,5,0,13,0,887,1
,"Knox Presbyterian Church Hall, 574 High Street",22,0,1,0,2,24,2,6,150,0,4,317,18,0,0,6,0,10,0,562,3
,"St Bernard's College, 183 Waterloo Road",24,0,1,0,0,45,4,1,229,0,7,308,21,0,0,8,0,13,1,662,5
,"Sts. Peter and Paul School, Myrtle Street",32,1,0,0,0,33,1,3,159,0,3,253,14,0,0,1,0,2,0,502,4
"Moera","Randwick School, Randwick Road",15,3,4,0,0,75,9,6,449,1,11,254,35,7,4,5,0,2,0,880,7
"Naenae","Maota Samoa Hall, 25 Treadwell Street",5,0,3,0,2,24,1,5,351,1,9,78,23,1,0,3,0,2,0,508,5
,"Naenae Kindergarten, 19 Seddon Street",10,0,4,0,2,49,6,3,384,0,7,152,35,4,0,1,0,14,0,671,9
,"Naenae School, Wheatley Street",15,0,1,0,1,32,4,1,319,0,7,133,23,1,1,3,0,12,0,553,6
,"Rata Street School, Rata Street",21,1,4,1,2,51,9,8,579,1,9,244,37,6,0,5,0,11,0,989,13
"Petone","Air Training Corps Drill Hall, 2a Udy Street",11,1,1,0,1,42,4,2,196,0,7,229,24,1,2,3,0,4,0,528,0
,"Petone Central School, 16 Britannia Street",29,1,5,1,0,143,17,9,547,3,15,346,41,3,0,7,0,15,0,1182,7
,"Wilford School, William Street",32,1,3,0,1,149,16,4,555,1,12,436,41,1,0,4,0,22,3,1281,8
"Point Howard","Tennis Club/Playcentre, 29 Ngaumatau Road",18,0,1,0,1,39,1,1,52,0,1,127,5,0,0,0,0,6,0,252,0
"Taita","Avalon Intermediate School, 1041 High Street",0,0,1,0,1,1,0,1,37,0,2,27,3,1,0,1,0,0,0,75,1
"Wainuiomata","Arakura School, 209 Wellington Road",22,1,7,0,4,31,10,11,582,1,19,209,28,1,0,7,0,12,2,947,6
,"Fernlea School, 25a Lees Grove",9,1,2,0,2,20,7,4,179,0,3,126,18,1,0,6,0,5,0,383,1
,"Holy Trinity Church, 40 Wainuiomata Road",16,0,2,0,4,48,10,7,349,0,4,230,47,2,0,10,0,13,0,742,3
,"Intermediate School, 66 Konini Street",24,6,8,0,3,54,7,6,696,1,12,371,46,4,0,7,0,17,0,1262,4
,"Pukeatua School, 19 Frederick Street",6,0,3,0,1,17,8,0,271,0,8,73,18,0,0,3,0,4,0,412,1
,"St Peter's Church, 29 Wise Street",8,2,1,1,4,27,1,2,382,0,9,167,25,1,0,2,0,7,0,639,4
,"Wainuiomata Primary School, Homedale Road",30,5,6,1,4,71,12,5,562,0,7,321,65,4,0,13,0,7,1,1114,4
,"Wainuiomata Union Church, 106 Main Road",13,1,3,0,5,41,8,3,387,3,7,228,42,3,0,4,0,11,1,760,1
"Waiwhetu","Our Lady of the Rosary School, Wainui Road",20,0,3,0,1,35,4,2,228,1,6,168,16,0,0,8,0,19,0,511,4
,"St Paul's Parish Hall, 76 Waiwhetu Road",14,0,2,1,0,38,11,6,215,0,5,232,23,0,0,2,0,8,0,557,1
,"Waiwhetu Marae Meeting House, Puketapu Grove",5,0,1,0,1,50,3,1,191,4,9,94,17,0,0,2,0,7,0,385,0
"Waterloo","Waterloo School, Hardy Street",53,2,4,0,2,136,23,10,690,2,4,833,52,0,1,7,0,34,0,1853,2
"Wellington City","Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",2,0,0,0,0,17,1,0,22,0,1,24,2,0,0,3,0,1,0,73,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,5,0
,"Hospital Votes",2,1,1,0,1,3,1,6,168,0,3,76,14,0,0,0,0,3,0,279,7
,"Ordinary Votes BEFORE polling day",74,5,5,0,7,254,21,16,1164,1,12,1180,99,4,0,3,0,45,1,2891,15
,"Special Votes BEFORE polling day",5,0,1,0,1,33,6,3,212,0,0,143,21,0,0,1,0,6,0,432,1
,"Special Votes On polling day",44,1,17,1,7,177,16,15,987,2,21,724,61,7,0,21,0,23,0,2124,7
