Party and Electorate Candidate Votes Recorded at each voting place
"Rangitata 42","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Alford Forest","Alford Forest Hall, corner Highway 72 & Alford Forest Settlement Road",0,0,0,0,0,0,14,0,9,0,96,5,0,0,0,124,0
"Arowhenua","Arowhenua Maori School, 33 Huirapa Street",0,1,0,0,0,0,9,0,20,0,18,10,0,0,0,58,0
"Ashburton","Allenton School Hall, 110 Harrison Street",2,8,2,53,1,0,84,1,209,3,908,94,1,2,4,1372,10
,"Ashburton Intermediate School, 144 Cass Street",8,9,1,36,1,0,74,0,246,3,614,103,0,3,2,1100,10
,"Hampstead School, 55 Wellington Street",3,7,1,29,2,0,46,5,215,4,360,76,0,0,3,751,1
,"New Life Church, 58 Melcombe Street, Tinwald",1,1,1,28,0,0,21,1,63,4,262,55,1,1,1,440,2
,"Sinclair Community Centre, 74 Park Street",0,5,5,33,0,0,43,1,135,1,406,54,1,0,4,688,0
,"St John Rooms, 241 Tancred Street",2,3,0,11,0,0,23,1,91,0,157,35,0,0,0,323,2
,"Tinwald War Memorial Hall, corner Graham & McMurdo Streets",10,9,2,37,0,0,45,1,173,3,798,99,1,0,7,1185,3
,"Walnut Ave Pavillion, 66 Walnut Avenue",1,1,3,29,1,0,50,3,110,3,492,43,2,1,3,742,2
"Carew","Carew Peel Forest School, 1051 Ealing-Montalto Road",1,0,0,3,0,0,3,0,6,0,121,6,0,0,0,140,0
"Clandeboye","Clandeboye Old School, 1 Kotuku Place",0,1,2,6,0,0,6,0,32,0,95,11,0,0,1,154,0
"Fairton","Fairton School, 14 Fairfield Road",1,1,0,7,0,0,7,0,21,0,121,19,0,0,0,177,0
"Greenstreet","Greenstreet-Ashburton Forks Hall, corner Ashburton-Staveley & Driscolls Roads",0,0,0,5,1,0,2,0,2,0,59,0,0,0,0,69,0
"Hinds","Hinds School, 54 Reed Street",1,1,1,13,0,0,9,0,32,0,210,18,0,0,0,285,0
"Lagmhor","Lagmhor Site, Ashburton Borough School, Tinwald Westerfield Mayfield Road",0,1,0,3,0,1,1,0,5,0,110,5,0,0,0,126,0
"Lowcliffe","Lowcliffe/Coldstream Hall, 9 Trig Pole Road",0,0,0,1,0,0,0,0,8,0,86,7,0,1,0,103,0
"Mayfield","Mayfield School, 14 Lismore-Mayfield Road",4,2,3,8,0,0,8,2,31,0,246,14,0,0,1,319,0
"Methven","Mt Hutt College Hall, corner Main & McDonald Streets",5,6,4,24,1,0,91,0,63,3,584,49,0,0,1,831,2
"Mt Somers","Mt Somers Springburn School, Ashburton Gorge Road",0,1,1,16,0,0,13,0,20,1,146,7,0,0,0,205,0
"Orari","Orari Coronation Hall, 8 McDonald Street",0,1,0,9,1,0,15,1,25,0,94,22,0,0,0,168,0
"Pleasant Point","Pleasant Point Primary School, Victor Wilson Hall, 33 Halstead Road",2,2,1,33,0,0,67,2,120,3,435,47,0,0,6,718,2
"Rangitata","Rangitata Soldiers Memorial Hall, State Highway 1",0,0,0,1,0,0,5,0,4,0,52,2,0,0,0,64,1
"Seadown","Seadown Hall, 729 Seadown Road",0,1,1,3,0,0,9,1,51,1,128,19,0,0,1,215,1
"Temuka","Opihi College, 83 Richard Pearse Drive",5,5,4,21,1,0,49,2,166,1,280,50,0,1,0,585,2
,"Presbyterian Church Complex, corner Hally Terrace & Wilmshurst Road",3,2,3,21,0,1,49,2,168,1,321,63,0,0,2,636,3
,"Temuka Primary School, 9 Hayhurst Street",2,10,4,21,1,0,49,1,193,1,246,53,0,0,0,581,0
"Timaru","Bluestone School, 46 Raymond Street",1,4,2,22,0,0,39,1,136,3,201,30,1,0,1,441,2
,"Church Street Bible Chapel, 213 Church Street (corner Avenue Road)",1,4,1,24,1,0,49,3,183,0,250,36,0,0,0,552,4
,"Elim Christian Centre, 7 Elizabeth Place",3,9,0,27,2,0,40,3,89,4,175,31,0,1,3,387,2
,"Gleniti School, 22 Heath Street",3,3,0,19,0,1,44,3,79,1,307,18,0,0,5,483,0
,"Grantlea Downs School, 65 Grants Road",6,9,3,31,1,0,42,2,207,5,235,65,1,0,2,609,2
,"Highfield School, 26 Rimu Street",0,5,0,21,0,2,49,2,107,2,210,33,0,0,3,434,0
,"Life Church, 134 Morgans Road",0,1,1,40,0,1,26,1,76,0,208,21,0,0,1,376,1
,"Methodist Church Hall, corner North Street & Woodlands Road",2,7,1,30,1,0,50,4,211,4,222,53,0,1,1,587,9
,"Mountainview High School, 67-141 Pages Road",2,2,1,31,0,1,58,4,171,0,269,50,0,0,2,591,1
,"Roncalli College, 19 Wellington Street",1,4,1,11,0,0,34,2,87,1,134,22,0,0,1,298,2
,"Salvation Army Hall, corner 206 Wai-iti & Otipua Roads",5,4,1,34,0,0,92,6,200,0,410,60,0,0,4,816,4
,"South School, 44 Queen Street",4,9,1,43,1,0,81,5,343,3,287,86,0,0,0,863,7
,"St Stephen's Church Hall, 349 Wai-iti Road",0,3,1,34,0,0,30,1,140,2,427,43,1,0,5,687,1
,"Timaru Girls High School, corner Hassall & Cain Streets",2,2,1,16,0,0,48,4,136,3,143,48,0,0,2,405,4
,"Waimataitai School Hall, 29 Trafalgar Street",2,13,2,45,0,0,93,7,294,2,439,72,0,1,2,972,5
,"Washdyke Community and Sports Centre, Sir Basil Arthur Park, 92 Pleasant Point Highway",1,2,0,25,0,0,11,0,68,1,186,46,0,0,0,340,0
"Wakanui","Wakanui School, 20 Wakanui School Road",4,2,3,8,0,0,10,0,20,0,124,17,0,0,0,188,0
"Willowby ","Willowby Hall, 471 Longbeach Road",1,0,0,10,0,0,11,0,16,0,197,8,0,0,1,244,0
"Winchester","Winchester Rural School, 14 Rise Road",0,5,1,10,0,0,18,1,48,0,144,16,0,0,1,244,1
"Winchmore","Winchmore Hall, 935 State Highway 77",0,0,0,4,0,0,3,0,4,0,122,3,0,0,0,136,1
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",61,22,16,550,7,2,757,40,2641,20,6544,943,4,4,27,11638,59
,"Special Votes BEFORE polling day",3,5,1,23,1,0,95,6,141,3,336,44,0,0,3,661,1
,"Special Votes On polling day",7,17,7,51,0,0,165,15,347,3,840,110,0,3,11,1576,6
,"Overseas Special Votes including Defence Force",3,2,1,14,0,0,46,3,33,1,134,8,0,0,1,246,0
,"Votes Allowed for Party Only",2,5,0,6,0,0,32,5,69,4,119,19,0,1,2,264,1
,"Rangitata Total",165,217,84,1580,24,9,2715,142,8064,94,20108,2848,13,20,114,36197,154
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",36351
"Electorate Party Valid Votes for Rangitata",,"National Party - .5555156505"
"ACT New Zealand",165,.0045583888
"Aotearoa Legalise Cannabis Party",217,.005994972
"Ban1080",84,.0023206343
"Conservative",1580,.0436500262
"Democrats for Social Credit",24,.0006630384
"Focus New Zealand",9,.0002486394
"Green Party",2715,.075006216
"Internet MANA",142,.003922977
"Labour Party",8064,.2227808934
"Māori Party",94,.0025969003
"National Party",20108,.5555156505
"New Zealand First Party",2848,.0786805536
"NZ Independent Coalition",13,.0003591458
"The Civilian Party",20,.000552532
"United Future",114,.0031494323
