Party and Electorate Candidate Votes Recorded at each polling place
"Taupō 50","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Turangi","Kuratau School, 2244 State Highway 41, Kuratau Junction",0,0,0,1,0,5,8,0,0,0,33,5,2,54,0
,"Te Kura o Hirangi, 25 Mawake Place",1,0,0,1,0,9,37,0,4,4,16,11,2,85,1
,"Tongariro Seniors' Hall, McLaren Park, 83 Ohuanga Road",11,0,3,22,0,52,152,1,7,7,252,90,14,611,2
"Upper Atiamuri","Upper Atiamuri School, 2613 State Highway 30",1,0,0,1,0,2,17,0,0,0,38,3,1,63,1
"Wairakei Village","Wairakei School, 2 Kauri Drive",5,0,4,11,0,37,62,0,3,7,229,20,6,384,0
"Waitahanui","Te Kura o Waitahanui, 107 State Highway 1",3,0,0,2,0,6,13,0,2,2,28,10,2,68,1
"Whakamaru","Whakamaru School, 36 Kaahu Road",2,0,1,14,0,3,16,0,0,1,54,9,1,101,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
,"Ordinary Votes BEFORE polling day - Taken in Rotorua",0,0,0,0,0,1,6,0,0,0,8,2,0,17,0
,"Ordinary Votes BEFORE polling day - Taken in Taupō",68,3,11,214,2,401,1039,5,23,26,3578,497,60,5927,37
,"Special Votes BEFORE polling day",4,0,4,11,0,41,104,0,4,3,283,44,3,501,3
,"Special Votes On polling day",24,1,24,64,1,199,431,1,8,20,1059,134,13,1979,10
,"Overseas Special Votes including Defence Force",0,0,1,1,0,33,27,1,2,1,123,3,2,194,0
,"Votes Allowed for Party Only",7,0,9,8,0,29,139,0,14,8,129,26,1,370,6
,"Taupō Total",394,12,157,1236,20,2549,6844,22,140,226,19003,2833,311,33747,239
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",33986
"Electorate Party Valid Votes for Taupō",,"National Party - .5631019054"
"ACT New Zealand",394,.0116751119
"Alliance",12,.0003555872
"Aotearoa Legalise Cannabis Party",157,.0046522654
"Conservative Party",1236,.0366254778
"Democrats for Social Credit",20,.0005926453
"Green Party",2549,.0755326399
"Labour Party",6844,.2028032121
"Libertarianz",22,.0006519098
"Mana",140,.0041485169
"Māori Party",226,.0066968916
"National Party",19003,.5631019054
"New Zealand First Party",2833,.0839482028
"United Future",311,.009215634
