Party and Electorate Candidate Votes Recorded at each polling place
"Taranaki-King Country 49","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
,"Special Votes On polling day",17,0,19,57,0,235,346,0,7,26,1104,102,26,1939,8
,"Overseas Special Votes including Defence Force",6,0,0,2,1,33,15,1,1,0,80,1,0,140,0
,"Votes Allowed for Party Only",4,0,10,5,0,31,105,0,8,13,118,22,1,317,1
,"Taranaki-King Country Total",461,24,181,1180,25,2554,4950,20,83,209,18759,2252,340,31038,251
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",31289
"Electorate Party Valid Votes for Taranaki-King Country",,"National Party - .6043881693"
"ACT New Zealand",461,.0148527611
"Alliance",24,.0007732457
"Aotearoa Legalise Cannabis Party",181,.0058315613
"Conservative Party",1180,.0380179135
"Democrats for Social Credit",25,.0008054643
"Green Party",2554,.0822862298
"Labour Party",4950,.1594819254
"Libertarianz",20,.0006443714
"Mana",83,.0026741414
"Māori Party",209,.0067336813
"National Party",18759,.6043881693
"New Zealand First Party",2252,.0725562214
"United Future",340,.0109543141
