Party and Electorate Candidate Votes Recorded at each polling place
"Waimakariri 55","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Belfast","Belfast Community Hall, 807 Main North Road",13,1,4,0,3,28,9,2,300,0,3,263,19,0,0,3,0,3,0,651,1
,"Belfast School, 700 Main North Road",41,1,4,0,5,62,16,7,508,1,2,558,58,0,0,11,0,9,1,1284,1
,"Papanui ACC Office, Northwood Supa Centre, 1 Radcliffe Road",58,2,5,1,0,56,8,3,425,0,2,959,55,0,0,10,0,24,1,1609,5
"Bishopdale","Bishopdale School Hall, 465 Greers Road",1,0,1,0,0,8,0,1,42,0,0,41,2,0,0,1,0,0,0,97,2
,"Cotswold School, 44 Cotswold Avenue",11,0,1,0,1,8,1,1,99,1,2,297,7,0,0,2,0,8,0,439,0
,"Reformed Church of Bishopdale, Church Hall, 90 Highsted Road",19,0,0,0,2,17,8,2,180,0,0,320,19,0,0,1,0,7,0,575,4
"Christchurch City","ANZ Building, ground floor, 9 Cathedral Square",1,0,2,0,0,2,0,0,11,0,0,14,1,0,0,1,0,0,0,32,0
,"Christchurch Art Gallery, corner Worcester Boulevard & Montreal Streets",1,0,0,0,0,4,1,0,8,0,0,15,1,0,0,0,0,0,0,30,0
,"Christchurch Public Hospital, Great Escape Cafe, Riccarton Avenue",2,0,0,0,0,5,1,0,14,0,0,11,1,0,0,0,0,0,0,34,0
"Clarkville","Clarkville School, 10 Heywards Road",19,1,0,0,0,36,7,6,104,0,2,386,12,0,0,5,0,3,0,581,0
"Cust","Cust School, 473 Earlys Road",19,0,3,2,2,41,1,4,128,0,0,348,13,0,1,1,0,5,0,568,0
"Fernside","Fernside School, O'Roarkes Road",29,1,0,0,0,24,7,8,111,0,2,459,16,0,0,3,0,2,1,663,2
"Kaiapoi","Kaiapoi Co-operating Parish, Wesley Centre, 53 Fuller Street",28,2,4,0,2,45,16,11,652,0,6,610,76,0,0,7,0,12,0,1471,12
,"Kaiapoi Community Centre Hall, 24 Sewell Street",33,3,4,1,1,64,7,17,577,0,4,484,67,0,0,9,0,13,0,1284,6
,"Kaiapoi High School Auditorium, Ohoka Road",40,1,10,4,1,59,21,11,638,0,3,627,60,0,1,20,0,10,0,1506,2
