Party and Electorate Candidate Votes Recorded at each polling place
"Mangere 22","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Favona","Favona School, 50 Wakefield Road",2,0,6,0,13,7,7,13,630,0,11,100,21,104,0,5,0,6,0,925,13
"Ihumatao","Makaurau Marae, 8 Ruaiti Road",1,0,0,0,0,2,0,0,12,0,1,16,2,0,0,0,0,1,0,35,0
"Mangere","Martin Hautus Pacific Peoples Learning Institute, 55-57 Plumley Crescent",3,0,1,0,3,5,0,1,214,0,1,57,9,41,0,2,0,10,0,347,7
"Mangere Bridge","Mangere Bridge School, 2 Domain Road",33,1,4,0,13,60,12,4,638,2,15,431,61,44,1,6,0,19,0,1344,16
,"St James Anglican Church Hall, 29 Church Road",37,0,5,0,13,68,15,4,317,0,8,352,72,12,2,3,0,21,0,929,3
,"Waterlea School, 17 House Avenue",34,1,5,0,4,65,12,9,393,0,11,495,78,15,1,13,0,15,0,1151,9
"Mangere Central","Jean Batten School, 6 Imrie Avenue",11,0,7,1,13,10,7,2,726,0,13,181,31,122,2,1,0,7,0,1134,17
,"Koru School, 71 Robertson Road",7,0,2,0,15,9,1,2,770,0,5,161,28,121,0,0,0,10,2,1133,9
,"Mangere Central Community Hall, 241 Kirkbride Road",9,0,4,0,12,10,5,0,586,0,12,115,36,116,0,1,0,3,0,909,11
,"Mangere College, 23 Bader Drive",10,0,1,1,5,12,0,1,555,0,3,65,24,103,0,2,0,5,0,787,7
,"Nga Iwi School, 60 Mascot Avenue",1,0,5,0,22,10,3,1,663,0,8,89,28,157,1,1,0,10,0,999,17
,"Robertson Road School, 205 Robertson Road",5,0,1,0,31,13,4,0,680,0,5,82,17,146,0,2,0,6,1,993,5
,"Sir Douglas Bader Intermediate School, 4 Court Town Close",2,0,1,0,2,7,1,0,258,0,6,29,12,49,0,3,0,1,0,371,3
,"Southern Cross Campus, 253 Buckland Road West",3,0,3,0,2,10,6,2,637,0,3,60,20,157,1,3,0,6,2,915,11
,"Te Kura Kaupapa Maori a Rohe o Mangere, 7 Comet Crescent",1,0,0,0,1,7,1,0,197,0,2,16,3,68,0,1,0,3,0,300,4
,"Viscount Learning Community School, 54 Viscount Street",2,0,3,0,7,4,4,1,560,0,8,55,25,138,0,4,0,3,1,815,10
"Mangere East","De La Salle College, 81 Gray Avenue",9,0,5,0,12,16,6,2,409,0,8,141,28,31,0,1,0,9,0,677,12
,"Kedgley Intermediate, 181 Portage Road",6,0,2,0,10,15,6,2,520,0,8,221,34,29,0,3,0,3,1,860,9
,"Kingsford School, 54 Raglan Street",1,0,4,0,7,12,4,1,605,1,4,72,30,87,1,3,0,4,1,837,24
,"Mangere East Primary School, 21 Yates Road",5,1,5,0,12,14,6,0,805,0,7,85,26,188,0,2,0,17,1,1174,18
,"Selwyn Anglican Church Hall, corner Massey Road & Hain Avenue",8,1,3,0,6,18,10,1,476,0,9,139,33,86,2,1,0,5,0,798,10
,"Sutton Park School, 89 Vine Street",1,0,2,0,6,9,2,0,495,0,4,46,18,106,1,0,0,3,0,693,11
"Otahuhu","Middlemore Hospital, Hospital Road",0,0,0,0,0,0,1,1,56,0,0,15,2,1,0,0,0,0,0,76,2
"Papatoetoe","Aorere College, 6-8 Selfs Road",10,0,1,0,3,6,1,0,219,0,2,70,7,22,0,0,0,1,0,342,3
