Party and Electorate Candidate Votes Recorded at each polling place
"Christchurch Central 4","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Opawa","Opawa Baptist Friendship Centre, 282 Wilsons Road",0,0,0,0,0,3,0,0,6,0,0,10,4,0,0,1,0,0,0,24,0
"Papanui","Papanui Baptist Church, 144 Sawyers Arms Road",3,3,3,0,2,10,9,2,168,0,5,129,18,1,0,1,0,5,0,359,0
,"Papanui Methodist Church Hall, 68 Harewood Road (corner Chapel Street)",3,1,1,0,1,16,10,1,201,0,2,153,14,0,0,3,0,2,0,408,2
,"Papanui Primary School, 40 Winters Road",12,0,1,0,2,33,11,8,194,0,2,251,21,0,0,8,0,5,0,548,3
,"Paparoa Street School, 120 Paparoa Street",45,0,0,0,1,96,11,4,318,0,4,683,32,1,0,2,0,9,0,1206,1
,"St Joseph's Church School, 4 Vagues Road",10,2,2,0,0,48,12,5,220,0,1,221,33,0,0,2,0,7,0,563,3
,"St Paul's Anglican Church Parish Hall, 1 Harewood Road",7,0,2,0,0,14,1,1,62,0,1,98,8,0,0,1,0,1,0,196,1
,"Waimairi School Hall, 1 Tillman Avenue",1,0,0,0,0,3,0,0,7,0,0,7,1,0,0,0,0,0,0,19,0
"Phillipstown","Phillipstown School, 39 Nursery Road",4,0,7,1,7,59,17,6,310,1,3,193,27,1,0,8,0,5,1,650,1
,"Te Waipounamu Maori Cultural Centre, 290 Ferry Road",1,1,4,0,0,20,7,3,125,0,1,58,12,0,0,2,0,0,0,234,4
"Riccarton","NZ Blood Donor Service, 87 Riccarton Road",8,0,1,0,0,9,1,1,25,0,0,22,0,0,0,2,0,0,0,69,0
"Richmond","North Avon Baptist Church Hall, 103 North Avon Road",13,0,6,0,0,65,25,4,283,0,5,206,23,0,0,2,0,10,0,642,1
,"Richmond Kindergarten, 41 North Avon Road",18,0,0,2,2,49,14,3,247,0,0,144,25,0,0,1,0,4,0,509,2
,"Richmond Primary School, Perth Street",13,3,3,0,0,75,14,0,249,0,6,117,18,0,0,6,0,2,0,506,2
"Shirley","Hammersley Park School, 102 Quinns Road",19,2,2,0,1,27,16,5,281,0,5,241,13,0,0,7,0,7,0,626,3
,"MacFarlane Park Free Kindergarten, 19 Acheson Avenue",10,2,5,0,1,21,7,9,261,2,3,97,13,2,0,0,0,4,1,438,5
,"Shirley Intermediate School Hall, corner Shirley Road & North Parade ",9,0,0,0,0,35,11,0,207,0,4,174,14,2,1,2,0,2,0,461,2
,"Shirley Primary School, 11 Shirley Road",24,3,7,2,2,120,20,16,501,0,11,388,36,0,1,8,0,7,0,1146,5
"St Albans","Beulah Christian Fellowship Church, 140 Springfield Road",27,0,1,0,4,72,10,8,259,0,3,371,23,0,0,2,0,7,0,787,0
,"Lamb of God Community Hall, 19 Thames Street",15,1,1,0,1,82,10,4,217,0,2,326,15,0,0,5,0,12,0,691,2
,"Malvern Scout Hall, Innes Road (adjacent Rugby Park)",27,2,2,1,0,66,8,10,134,0,4,310,15,0,0,1,0,4,1,585,1
,"Rehua Marae, 79 Springfield Road",18,0,3,0,1,60,3,1,93,0,9,155,9,0,0,2,0,0,0,354,2
,"St Albans Baptist Church, corner McFaddens Road & Redwood Place",19,0,0,0,1,20,6,1,95,0,2,155,13,0,0,1,0,3,0,316,0
,"St Albans Community Resource Centre, 1047 Colombo Street",36,1,14,1,3,182,36,9,513,3,11,514,49,0,0,8,0,13,4,1397,5
,"St Albans School, 17 Sheppard Place",31,1,2,2,0,134,13,0,335,1,7,418,25,0,0,6,0,4,0,979,3
,"The Royal New Zealand Foundation of the Blind, Social Centre, 96 Bristol Street",8,0,0,0,0,48,6,0,82,0,0,162,14,0,0,0,0,1,0,321,0
"Waltham","Waltham School, corner Hastings Street East & Vienna Street",1,0,2,0,0,14,7,1,42,0,1,28,7,0,0,2,0,0,0,105,0
"Woolston","Christchurch Polytechnic - Main Entrance, corner Ensors Road & Sulllivan Avenue",0,0,0,0,0,6,2,0,25,0,0,15,2,0,0,0,0,0,0,50,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",6,4,3,1,2,28,26,6,301,3,5,268,32,1,0,0,1,5,1,693,12
,"Ordinary Votes BEFORE polling day",88,3,11,1,6,290,55,16,910,0,11,981,75,3,0,7,0,11,2,2470,10
,"Special Votes BEFORE polling day",6,0,5,0,1,46,9,3,228,1,1,205,27,0,0,2,0,2,1,537,1
,"Special Votes On polling day",82,0,16,1,13,384,39,13,1087,3,23,1014,64,6,0,31,1,21,6,2804,5
,"Overseas Special Votes including defence force",14,1,0,0,0,109,4,0,153,2,3,204,1,0,0,0,0,2,0,493,1
,"Votes Allowed for Party Only",14,0,16,0,8,59,10,4,349,0,21,207,12,5,0,5,1,2,0,713,7
,"Christchurch Central Total",897,41,187,16,87,3688,697,218,12999,21,230,12409,1036,31,2,187,5,239,33,33023,119
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",33142
"Electorate Party Valid Votes for Christchurch Central",,"Labour Party - .3936347394"
"ACT New Zealand",897,.0271628865
"Alliance",41,.0012415589
"Aotearoa Legalise Cannabis Party",187,.0056627199
"Democrats for Social Credit",16,.0004845108
"Family Party",87,.0026345275
"Green Party",3688,.1116797384
"Jim Anderton's Progressive",697,.0211065015
"Kiwi Party",218,.0066014596
"Labour Party",12999,.3936347394
"Libertarianz",21,.0006359204
"Maori Party",230,.0069648427
"National Party",12409,.3757684038
"New Zealand First Party",1036,.031372074
"New Zealand Pacific Party",31,.0009387397
"RAM - Residents Action Movement",2,.0000605638
"The Bill and Ben Party",187,.0056627199
"The Republic of New Zealand Party",5,.0001514096
"United Future",239,.00723738
"Workers Party",33,.0009993035
