Party and Electorate Candidate Votes Recorded at each polling place
"Mt Albert 27","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Avondale","Avondale Baptist Church Hall, cnr Blockhouse Bay Rd and New North Rd",0,11,1,0,0,0,6,0,30,6,260,0,2,101,0,13,0,1,8,439,1
,"Avondale College (Music Suite), Victor Street",0,18,0,0,2,0,10,0,80,11,660,0,2,215,1,31,0,0,17,1047,6
,"Avondale Community Centre, 99 Rosebank Road",1,38,1,1,1,0,18,0,47,17,782,0,8,166,1,47,0,0,14,1142,14
,"Avondale Primary School Hall, Crayford Street",0,7,2,0,2,0,4,0,38,13,393,2,3,126,1,28,0,0,9,628,3
,"Rosebank School Hall, 217 Rosebank Road",0,13,3,2,1,0,11,0,71,18,1020,0,11,262,1,69,0,1,32,1515,13
"Balmoral","Balmoral School Hall, 19 Brixton Road",0,23,0,0,0,0,1,0,67,8,341,0,3,186,0,17,0,1,13,660,4
,"Balmoral Scout Hall, Waitomo Street (by Pollard Park)",0,0,1,0,0,0,0,0,5,0,41,0,0,22,0,2,0,0,3,74,0
,"Good Shepherd Parish Hall, 30 Telford Avenue",0,11,1,0,1,0,6,0,70,8,269,0,1,254,1,34,0,0,11,667,3
,"St Albans Church Hall, 443 Dominion Road",0,8,0,1,0,0,0,1,19,2,129,0,2,60,0,6,0,0,4,232,0
"Grey Lynn","Grey Lynn Library Hall, 474 Great North Road",0,4,0,0,0,0,0,1,61,4,209,0,3,93,0,8,0,0,8,391,0
"Kingsland","Kowhai Intermediate School Hall, 26 Onslow Road",0,24,2,3,1,0,3,0,225,14,693,1,9,387,1,30,0,1,21,1415,4
,"Samoan Congregational Church, 50 Bond Street, Kingsland",0,7,0,1,0,0,3,0,137,5,308,0,3,144,1,9,0,0,9,627,0
"Morningside","Morningside Church of Christ Hall, 42 Leslie Avenue",0,7,1,3,0,2,1,0,65,2,255,0,2,135,0,14,0,0,9,496,5
,"Mt Albert Primary School Hall, Taylory Road, Morningside",0,8,1,1,1,0,3,0,65,6,326,1,2,206,0,27,0,0,18,665,1
,"The Church in Auckland Hall, 621 New North Road",0,15,0,1,0,0,2,0,48,5,265,2,6,119,0,11,0,0,14,488,4
"Mt Albert","Gladstone Primary School Hall, Carrington Road",0,38,1,2,2,0,3,0,115,7,600,0,2,301,0,29,0,0,21,1121,3
,"Mark Road Kindergarten, 24 Mark Road",0,18,0,1,1,0,5,0,60,8,288,0,3,174,0,26,0,0,12,596,0
,"Mt Albert Baptist Church, Jubilee Hall, 732 New North Road",0,28,0,0,1,0,3,0,44,10,376,0,0,233,0,18,0,0,30,743,1
,"Mt Albert Grammar School Hall, 36 Alberton Avenue",0,32,0,1,2,0,0,1,105,11,608,0,4,518,0,48,0,1,28,1359,3
,"Mt Albert Methodist Church Hall, Alexis Avenue",1,12,1,2,3,0,5,0,44,15,313,2,0,212,1,27,0,0,14,652,2
,"Mt Albert Presbyterian Church Hall, 14 Mt Albert Road",0,42,1,1,0,1,3,0,57,11,537,0,3,405,0,34,0,0,27,1122,2
,"Rossgrove Chapel Hall, Rossgrove Terrace",1,20,0,1,1,0,1,0,99,9,487,1,6,332,0,45,0,0,26,1029,3
"Mt Eden","Auckland Provincial Guide Centre, 132 Grange Road",0,5,0,1,0,0,1,0,31,5,144,0,1,117,0,8,0,0,9,322,4
,"Eden Community Church Hall, 72 View Road",0,2,0,0,1,0,1,0,16,0,35,0,0,24,0,3,0,0,1,83,0
,"Mt Eden Normal Primary School Hall, Valley Rd",0,8,0,0,0,0,0,0,20,0,80,0,0,82,0,3,0,0,4,197,0
"New Lynn","New Lynn Community Centre, 45 Totara Avenue",0,4,0,1,0,0,1,0,4,0,38,0,1,5,0,4,0,0,1,59,1
,"New Lynn Salvation Army Hall, 32 Delta Avenue",0,0,0,1,0,0,1,1,9,3,38,0,1,9,0,2,0,0,3,68,0
"New Windsor","New Windsor School Hall, 185 New Windsor Road",0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,2,0,0,3,21,0
