Party and Electorate Candidate Votes Recorded at each polling place
"Palmerston North 40","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Aokautere","Aokautere School Hall, Fitzherbert East Rd",0,4,0,0,0,0,1,0,34,3,110,0,1,244,0,8,0,0,14,419,0
"Ashhurst","Village Valley Community Centre, Cambridge Ave/Guildford St",0,2,0,0,0,0,0,0,2,1,11,0,0,11,0,0,0,0,0,27,0
"Feilding","Manchester St School, 160 Manchester St",0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,1,0,0,0,18,0
"Linton","Country School, Akers Rd",0,4,0,1,0,0,0,0,13,1,64,2,0,98,0,12,0,0,11,206,0
"Linton Camp","Community Centre, Puttick Rd",0,5,0,2,1,0,0,0,23,1,205,0,6,145,0,24,0,0,8,420,0
"Massey University","Bernard Chambers 'A', University Avenue",0,2,0,2,1,0,3,0,37,2,109,0,1,102,0,3,0,0,14,276,1
"Palmerston North","Awapuni Community Centre, 22 Newbury St",0,4,2,1,1,0,1,0,28,9,223,0,0,99,0,22,0,1,13,404,0
,"Awapuni School, 18 Rochester St",0,5,0,1,0,0,4,0,52,14,589,0,2,324,0,79,2,0,34,1106,9
,"Central Normal School, 201 Featherston St",0,10,1,3,4,0,5,2,77,19,658,1,6,445,0,70,1,0,41,1343,7
,"Cloverlea Primary School, 55 Herbert Avenue",0,0,0,0,1,0,0,0,7,3,60,0,1,25,0,4,0,0,1,102,0
,"College St Normal School, 402 College St",0,9,0,1,3,1,1,0,129,11,490,0,8,566,1,46,0,0,49,1315,3
,"Emmanuel Congregational Church Hall, 43 Victoria Avenue",0,6,1,1,0,0,5,0,45,0,171,0,3,194,0,18,0,0,18,462,1
,"Girls' High School, 228-242 Fitzherbert Avenue",0,9,0,1,2,0,0,0,51,4,283,3,2,374,0,29,0,0,30,788,0
,"Hokowhitu School, 227 Albert St",0,18,2,1,1,0,3,0,85,24,554,0,3,723,0,70,0,0,38,1522,3
,"IHC Day Base, 153 Cook St",0,6,0,0,1,0,0,0,30,2,153,0,1,105,0,17,0,0,14,329,0
,"Intermediate Normal School Hall, 31 South St",0,20,0,1,2,0,5,0,90,7,435,1,5,322,0,41,1,0,29,959,1
,"Kelvin Grove Community Centre, 68 Kaimanawa St",0,0,1,0,0,0,0,0,1,2,28,0,1,19,0,3,0,0,3,58,1
,"Metlifecare Retirement Village, Fitchett St",0,1,0,1,0,1,2,0,19,6,132,0,2,124,0,22,0,0,13,323,1
,"Milson School, Rutland Place",0,2,0,1,0,0,2,0,5,0,48,0,0,25,0,3,0,0,2,88,0
,"Monrad Intermediate School, 228 Botanical Rd",0,3,0,1,3,0,5,0,30,5,250,1,2,150,0,31,2,0,13,496,2
,"Olive Tree Village Community Centre, Olive Grove",1,4,0,0,0,1,0,0,23,8,194,0,1,281,0,34,0,0,16,563,4
,"Order of St John Hall, 92 Cuba St",0,1,0,1,0,0,1,0,13,7,114,0,1,65,0,16,0,0,6,225,1
,"Parkland School, 41 Parkland Crescent",0,7,1,2,1,1,3,0,56,13,402,1,2,318,0,32,0,0,49,888,1
,"Public Hospital Education Centre, Ruahine St",0,2,0,0,0,0,1,0,18,4,91,0,1,75,0,12,0,0,8,212,2
,"Queen Elizabeth College, 350-382 Rangitikei St",0,2,0,0,0,0,2,0,17,3,146,0,2,93,1,22,0,0,7,295,1
,"Rangiora Community Centre, 98-102 Rangiora Avenue",0,2,0,0,0,0,1,0,42,9,384,0,4,125,0,35,0,0,15,617,3
,"Riverdale School, 95 Slacks Rd",0,3,0,1,0,0,2,0,68,10,537,0,4,559,0,58,0,0,57,1299,2
,"Roslyn School, Kipling and Shelley Streets",0,0,0,4,1,0,4,0,34,6,344,0,5,174,0,43,0,0,23,638,0
,"Ross Intermediate School, 25 Freyberg St",1,0,0,1,3,0,1,0,6,2,101,0,2,72,0,11,0,0,14,214,0
,"Russell St School, 19-31 Russell St",0,11,0,1,1,0,1,0,63,15,489,0,1,374,0,51,0,0,31,1038,3
,"Ryder-Cheshire Centre, 114 Te Awe Awe St",0,9,0,0,0,1,0,0,47,4,178,0,2,357,0,17,0,0,14,629,1
,"Somerset Crescent School, 45 Somerset Crescent",0,2,1,3,0,0,4,0,14,10,284,0,3,148,0,30,0,0,22,521,1
,"St David's Church Hall, 9 Rainforth St",0,3,0,2,0,0,2,0,36,5,248,0,1,179,0,39,0,0,19,534,0
,"St James School, Room 8, 304 Albert St",1,6,0,1,2,0,2,0,64,10,274,0,4,367,0,27,0,0,26,784,1
,"St Luke's Lutheran Church Hall, McGiffert St",0,0,1,0,0,0,4,0,22,5,161,0,3,87,0,15,0,0,11,309,2
,"St Michael's Church Hall, 52 Pembroke St",0,3,0,1,0,0,5,0,16,8,252,0,8,64,0,29,0,0,9,395,5
,"St Oswald's Church Hall, Kingswood St",1,4,0,1,0,0,3,0,28,8,347,0,3,166,0,51,0,0,21,633,6
,"St Peter's College, 22-38 Rennie Avenue",0,0,0,0,0,0,0,0,4,0,26,0,0,15,0,1,0,0,0,46,0
,"Summerset Retirement Village, 166-186 Ruapehu Drive",0,7,0,0,1,0,0,0,29,4,171,0,2,330,0,27,0,0,12,583,2
,"Takaro School, Brighton Crescent",0,3,0,1,1,0,1,0,12,7,312,0,4,103,0,43,0,0,20,507,0
,"Terrace End School, 183-209 Ruahine St",1,8,0,6,2,0,6,0,67,25,563,0,4,337,0,78,0,0,42,1139,7
,"The Salvation Army Hall, 431 Church St",0,3,0,0,2,0,5,0,30,5,163,0,1,118,0,15,0,0,10,352,0
,"West End School Hall, 395-427 Botanical Rd",0,8,0,2,0,0,1,0,97,19,621,1,3,443,0,67,0,0,46,1308,1
,"Westbrook Community Centre, Havelock Avenue",0,5,0,3,2,0,1,0,20,11,389,0,8,139,0,57,0,0,18,653,6
,"Winchester School, 548 Ruahine St",1,9,1,0,0,0,1,1,66,16,350,0,3,410,0,43,0,0,43,944,4
"Turitea","Tiritea School, Old West Rd",0,3,0,0,1,0,1,0,25,0,50,0,1,104,0,11,0,0,4,200,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0
,"Hospital Votes",2,0,2,0,0,0,0,0,7,7,184,0,1,115,0,23,0,2,3,346,6
,"Ordinary Votes BEFORE polling day",2,37,1,3,1,0,11,0,200,20,1279,3,20,1180,0,156,1,1,119,3034,7
,"Special Votes BEFORE polling day",0,5,0,1,0,0,2,1,18,3,158,0,2,123,0,18,0,0,7,338,2
,"Special Votes On polling day",0,22,0,5,11,1,10,0,127,9,844,5,12,682,0,77,0,0,42,1847,3
,"Overseas Special Votes including defence force",0,5,0,0,0,0,1,0,69,2,208,0,0,147,0,23,0,0,9,464,0
,"Special Votes Allowed for Party Only",0,1,0,2,0,0,3,1,20,1,192,0,9,90,0,9,0,0,3,331,4
,"Palmerston North Total",10,285,14,59,49,6,116,5,2116,370,14642,18,161,11943,2,1673,7,4,1071,32551,105
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",32656
"Electorate Party Valid Votes for Palmerston North",,"Labour Party - .4498172099"
"99 MP Party",10,.0003072102
"ACT New Zealand",285,.0087554914
"Alliance",14,.0004300943
"Aotearoa Legalise Cannabis Party",59,.0018125403
"Christian Heritage NZ",49,.0015053301
"Democrats for Social Credit",6,.0001843261
"Destiny New Zealand",116,.0035636386
"Direct Democracy Party",5,.0001536051
"Green Party",2116,.0650056834
"Jim Anderton's Progressive",370,.0113667783
"Labour Party",14642,.4498172099
"Libertarianz",18,.0005529784
"Mâori Party",161,.0049460846
"National Party",11943,.3669011705
"New Zealand Family Rights Protection Party",2,.000061442
"New Zealand First Party",1673,.0513962705
"OneNZ Party",7,.0002150472
"The Republic of New Zealand Party",4,.0001228841
"United Future New Zealand",1071,.032902215
