Party and Electorate Candidate Votes Recorded at each voting place
"Whanganui 62","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Aberfeldy","Aberfeldy School, Parapara Road (State Highway 4)",0,0,0,2,0,0,1,0,1,0,24,2,0,0,0,30,0
"Alton","Alton Hall, Ball Road",0,0,0,3,0,0,3,0,3,1,102,7,0,0,0,119,0
"Aramoho","Aramoho School, 2 Mitchell Street",2,1,3,26,0,0,48,3,196,4,154,70,0,0,3,510,1
,"Churton School, Burmah Street",2,1,1,15,0,0,45,3,86,1,144,51,0,0,2,351,1
,"Cullinane College, 15 Peat Street",0,2,0,22,0,0,33,5,149,2,140,51,0,0,0,404,2
"Auroa","Auroa School, 734 Auroa Road",1,0,2,7,0,0,1,0,6,0,155,12,0,0,0,184,0
"Brunswick","Brunswick School, 15 Campbell Road",2,4,0,11,0,0,20,1,28,1,109,22,0,0,0,198,0
"Cardiff","Cardiff Hall, 28 Cardiff Road",1,1,0,4,2,0,3,0,5,0,96,8,0,0,1,121,0
"Castlecliff","Aranui School, 14 Aranui Avenue",1,2,0,4,0,0,21,3,55,2,44,43,0,0,2,177,1
,"Castlecliff School, 25 Polson Street",1,7,0,19,1,1,41,7,232,8,119,83,0,0,0,519,0
,"St Luke's Church Hall, 34 Manuka Street",1,4,0,13,1,0,19,4,107,3,68,43,0,0,1,264,2
,"Te Kura O Kokohuia, 36 Matipo Street",0,1,0,2,0,0,4,0,38,2,10,17,0,0,0,74,2
"Eltham"," All Saints Church Hall, 88 King Edward Street",0,8,0,27,0,3,30,3,132,0,232,66,0,1,0,502,1
,"Eltham School, 69 Conway Road",1,1,0,13,1,0,9,4,52,0,113,35,0,0,0,229,0
,"Rawhitiroa School, 596 Rawhitiroa Road",2,1,1,4,0,0,3,0,8,1,67,5,0,0,0,92,0
"Fordell","Fordell School, Budge Street",1,0,1,10,0,1,16,1,33,3,123,28,0,0,0,217,0
"Gonville","Baden Powell Scout Hall, 13 Swiss Avenue",3,8,0,51,2,0,49,6,272,3,137,93,0,0,0,624,4
,"St Peters Parish Hall, 72 Koromiko Road",4,3,1,57,0,0,45,4,179,5,159,85,0,1,3,546,1
"Hawera","Hawera Bridge Club, 63 Collins Street",1,3,0,10,0,0,10,1,50,0,181,26,0,0,0,282,1
,"Hawera High School, 13 Camberwell Road",1,2,0,14,0,0,29,3,70,2,187,33,0,0,0,341,0
,"Hawera Hospital, 37 Hunter Street",0,0,0,6,0,0,7,1,34,0,94,18,0,0,0,160,2
,"Hawera Primary School, 261 South Road",1,5,1,15,0,0,30,2,81,2,257,49,0,1,0,444,3
,"Presbyterian Centre, 35 Argyle Street",2,4,0,36,0,0,35,4,155,1,382,102,0,0,4,725,3
,"Ramanui School, 85 Fairfield Road",1,2,0,9,0,0,15,1,48,1,144,32,1,1,1,256,0
,"Tawhiti School, Perth Street ",1,1,0,9,0,0,18,0,63,0,200,27,0,2,1,322,0
,"Turuturu School, 194 Glover Road",7,4,0,29,1,0,15,1,70,1,462,66,0,0,0,656,0
"Kai Iwi","Kai Iwi School, 908 State Highway 3",0,0,0,4,0,0,5,0,24,0,100,19,0,0,2,154,0
"Kaitoke","Kaitoke School, Concord Line",1,1,0,11,0,0,16,1,32,0,91,16,0,0,0,169,0
"Kakaramea","Kakaramea School, 2193 South Road",0,0,0,2,0,0,6,0,10,0,61,12,0,0,0,91,0
"Kaponga","Kaponga School, 30 Egmont Street",5,2,0,27,0,0,12,4,35,0,252,29,0,0,0,366,1
"Manaia","Manaia School, Patukukupa Street ",1,1,0,5,1,0,19,1,85,1,216,56,0,0,1,387,0
"Matapu","Matapu School, 495 Hastings Road",3,1,0,5,0,0,4,0,9,0,147,15,0,1,0,185,1
"Maxwell","Maxwell Pre-School,1655 State Highway 3 (South Road)",2,1,0,8,0,0,5,0,14,0,58,18,0,0,0,106,0
"Midhirst","Midhirst Primary School Library, 8 Erin Street",0,1,0,0,0,0,1,0,0,0,20,3,0,0,0,25,0
"Mokoia","Mokoia School, 969 South Road",0,0,0,8,0,0,2,0,10,0,76,12,0,0,0,108,0
"Mosston","Mosston School, 211 Mosston Road",1,1,0,16,0,0,25,4,71,4,174,36,0,0,1,333,0
"Ngaere","Ngaere School, 4355 Mountain Road",0,1,0,18,1,0,2,2,13,0,90,13,0,0,0,140,0
"Normanby","Normanby School, 3 Hunter Street",0,2,0,20,0,0,16,1,63,1,183,40,0,0,0,326,0
"Okoia","Okoia School, No. 3 Line",0,1,0,9,0,0,5,1,19,1,55,19,0,0,1,111,0
"Opunake","Opunake Primary School, Longfellow Road",0,0,0,0,0,0,4,0,9,0,38,5,0,0,0,56,0
"Patea","Patea Old Folks Hall, 139 Egmont Street",1,2,2,8,0,0,15,1,83,4,82,33,0,0,0,231,0
"Pihama","Pihama Hall, 3264 South Road (State Highway 45)",0,0,0,0,0,0,1,0,4,0,98,5,0,0,0,108,0
"Pukengahu","Pukengahu Hall, corner Waihapa & Wingrove Roads",0,1,0,1,0,0,0,0,13,1,73,2,0,0,0,91,0
"Putiki","Te Kura Kaupapa Māori O Te Atihaunui A Paparangi, 25 Anaua Street",0,1,1,7,0,0,22,0,44,2,77,34,1,0,0,189,1
"Rapanui","Rapanui-Mowhanau Community Centre, 4-6 Mowhanau Drive",0,0,0,0,0,0,9,0,12,1,60,7,0,0,0,89,0
"Springvale","Faith City Church, 127 Springvale Road",3,2,0,57,0,0,45,6,205,2,371,100,1,1,0,793,3
,"Jubilee Stadium, Springvale Park (London Street entrance)",4,0,1,28,2,0,35,11,177,1,195,44,0,2,1,501,5
"Stratford","Avon School, Hamlet Street",4,1,1,20,2,0,24,1,85,1,174,56,0,1,1,371,1
,"Stratford High School, Swansea Road",0,1,1,11,1,0,13,1,64,0,174,30,0,1,1,298,2
,"Stratford Methodist Church Hall, corner Orlando & Regan Streets (opposite New World)",5,9,7,26,2,0,39,3,188,5,484,123,0,1,3,895,2
,"Stratford Primary School, Regan Street",2,3,1,18,1,0,24,0,82,1,245,47,0,0,0,424,1
"Tawhero","Tawhero School, 27 Totara Street",5,3,2,39,0,0,46,5,237,4,193,93,1,1,2,631,2
"Te Kiri","Te Kiri Hall, Eltham Road",1,4,0,2,0,0,0,0,6,0,81,5,0,0,0,99,0
"Turakina","Turakina School, State Highway 3",0,0,0,1,0,0,3,0,3,0,5,0,0,0,0,12,1
"Upokongaro","Upokongaro School, State Highway 4",0,0,0,7,0,0,12,1,27,7,80,20,0,0,0,154,0
"Waitotara","Waitotara School, Severn Street",4,0,0,7,0,0,5,0,20,1,106,15,0,0,0,158,1
"Waverley","Waverley Primary School, Gloag Street",2,2,1,26,1,1,20,1,84,0,254,68,0,0,1,461,2
"Westmere","Westmere School, corner Francis & Rapanui Roads",3,0,1,22,0,0,29,1,65,4,270,33,1,0,2,431,1
"Whanganui","Carlton School, 99A Carlton Avenue",4,5,2,32,2,0,66,3,259,6,238,84,0,1,2,704,3
,"Durie Hill School, 109 Portal Street",2,1,0,39,1,0,59,10,136,4,250,64,0,0,1,567,1
,"Keith Street School, 38-46 Keith Street",3,5,0,36,1,0,46,5,266,7,208,90,1,0,2,670,4
,"St Andrew's Presbyterian Church, 42 Glasgow Street",2,3,1,20,2,0,23,3,121,3,120,42,0,0,0,340,0
,"St John's Hill School, 71 Parkes Avenue",1,0,2,49,0,0,93,4,177,7,502,75,0,0,1,911,0
,"Wanganui City College, 84 Ingestre Street",3,2,2,30,0,0,46,4,160,2,257,90,0,0,1,597,4
,"War Memorial Centre, Queens Park, Watt Street",0,3,1,17,0,0,67,3,116,4,182,40,0,0,0,433,2
"Whanganui East","All Saints Church Hall, 70 Moana Street",0,4,2,51,1,0,74,6,241,1,295,96,0,1,1,773,1
,"St Anne's Catholic School, Raine Street",0,0,0,12,0,0,31,1,94,0,124,38,0,0,0,300,0
,"Wanganui East School, Patapu Street",1,12,2,28,1,0,49,4,192,1,201,73,0,1,4,569,1
"Whenuakura","Whenuakura School, Kaharoa Road",0,0,0,3,0,0,0,0,8,1,60,9,0,0,0,81,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,4,0
,"Ordinary Votes BEFORE polling day",43,15,10,497,26,5,634,62,2491,51,4631,1159,5,1,19,9649,44
,"Special Votes BEFORE polling day",5,4,0,31,2,1,91,19,222,8,355,79,1,0,3,821,2
,"Special Votes On polling day",7,18,5,72,1,1,162,17,407,12,593,157,1,4,6,1463,1
,"Overseas Special Votes including Defence Force",10,3,0,11,1,1,61,6,38,4,107,9,0,0,1,252,0
,"Votes Allowed for Party Only",3,9,1,12,0,0,30,10,137,10,78,31,0,0,0,321,1
,"Whanganui Total",167,190,56,1771,57,14,2546,259,9012,205,16687,4221,13,22,75,35295,112
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",35407
"Electorate Party Valid Votes for Whanganui",,"National Party - .4727865137"
"ACT New Zealand",167,.0047315484
"Aotearoa Legalise Cannabis Party",190,.0053831988
"Ban1080",56,.001586627
"Conservative",1771,.0501770789
"Democrats for Social Credit",57,.0016149596
"Focus New Zealand",14,.0003966568
"Green Party",2546,.0721348633
"Internet MANA",259,.0073381499
"Labour Party",9012,.2553336167
"Māori Party",205,.0058081881
"National Party",16687,.4727865137
"New Zealand First Party",4221,.1195920102
"NZ Independent Coalition",13,.0003683241
"The Civilian Party",22,.0006233178
"United Future",75,.0021249469
