Party and Electorate Candidate Votes Recorded at each polling place
"Maungakiekie 26","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Ellerslie","Christ Church Anglican Church Hall, 169 Ladies Mile",0,31,0,2,1,0,3,0,84,30,471,0,8,788,2,60,0,0,17,1497,4
,"Ellerslie Kindergarten, 122 Celtic Crescent",0,30,0,3,0,0,2,1,38,11,416,0,2,556,0,51,0,0,31,1141,5
,"Micheal Park School Gymnasium, 55 Amy Street",0,9,0,0,1,0,1,0,60,2,129,0,0,159,0,6,0,0,9,376,0
,"St Mary's Church Hall, 66 Main Highway",0,21,0,3,2,0,4,0,37,15,365,1,2,400,5,51,0,0,27,933,5
,"YMCA Centre, 46 Michaels Avenue",0,26,0,1,2,1,5,1,76,15,371,0,2,508,0,27,0,0,24,1059,0
"Greenlane","Cornwall Park District School Hall, Greenlane W & Wheturangi Road",1,21,0,2,0,0,1,0,42,5,265,0,2,486,0,24,0,0,24,873,2
"Mt Wellington","Bailey Road School Hall, 19 Bailey Road",0,29,1,2,1,0,17,0,53,18,874,0,4,398,3,72,0,0,30,1502,12
,"Panama Road School Hall, 139 Panama Road",1,10,0,3,2,1,19,0,15,20,901,1,12,171,8,55,0,1,15,1235,20
,"Panmure District School, 87 Mt Wellington Highway",0,33,0,1,0,0,12,2,40,17,745,0,4,439,1,64,0,0,41,1399,12
,"Pensioner Flats Hall, 7 Rowlands Avenue",0,3,0,0,0,0,0,0,6,1,134,0,1,74,0,17,0,0,9,245,5
,"Stanhope Road School, 2B Harris Road",0,42,0,3,4,0,19,1,67,31,922,0,7,595,0,81,0,0,42,1814,10
,"Sylvia Park School, Longford Street",0,16,1,2,1,0,26,0,31,7,414,0,4,205,1,34,0,0,13,755,3
"One Tree Hill","Oranga District School Hall, 21 Rangipawa Road",1,18,0,3,3,1,12,0,94,18,587,1,5,468,1,65,0,0,49,1326,5
,"St Oswald's Anglican Church Hall, 193 Campbell Road",2,60,1,2,0,0,4,0,90,17,543,0,7,970,0,55,0,0,37,1788,4
"Oranga","St Stephen's Church Hall, 21 Waitangi Road",0,7,0,1,2,0,8,1,23,7,548,0,3,111,1,22,0,0,6,740,5
,"Te Papapa School Hall, 219 Mt Smart Road",1,14,0,0,0,0,10,0,30,7,429,0,9,209,4,28,0,0,5,746,3
"Otahuhu","Fairburn School, 10 Pukeora Road",0,5,0,1,0,0,8,0,20,10,486,0,4,74,3,30,0,0,2,643,1
,"McAuley High School, 26 High Street",2,8,1,1,1,0,14,0,21,33,757,0,8,118,4,33,0,0,11,1012,8
,"Otahuhu College, 74-78 Mangere Road",0,10,0,2,1,0,11,1,21,9,359,0,10,79,2,30,0,0,8,543,2
,"Otahuhu Intermediate School, 22-24 Luke Street",0,6,2,3,1,1,15,0,31,30,696,0,6,125,4,63,0,0,11,994,7
,"Otahuhu Primary School, 41 Station Road",0,10,0,0,1,1,10,1,8,14,591,0,11,78,1,33,1,0,8,768,12
"Panmure","Panmure Community Library, 7-13 Pilkington Road",0,12,1,1,4,0,7,0,21,7,305,0,4,185,1,29,0,0,14,591,3
"Penrose","Penrose High School, 421-451 Great South Road",0,14,0,0,1,0,5,0,33,7,306,1,3,264,0,34,0,0,22,690,1
"Royal Oak","Royal Oak School, Chandler Avenue (Use Manukau Rd entrance)",1,21,0,1,2,0,2,2,53,15,534,2,1,546,1,57,0,0,32,1270,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,1,1,0,1,0,0,0,0,3,83,0,2,32,0,10,0,0,2,135,5
,"Ordinary Votes BEFORE polling day",0,52,2,3,6,2,12,0,66,20,756,0,4,777,0,95,0,0,47,1842,2
,"Special Votes BEFORE polling day",0,20,0,4,2,0,7,0,62,5,527,0,12,421,3,55,0,0,34,1152,0
,"Special Votes On polling day",0,39,1,8,5,0,29,1,101,28,1446,1,18,696,4,79,1,1,35,2493,11
,"Overseas Special Votes including defence force",0,9,0,1,1,0,2,0,27,4,134,0,0,165,0,3,0,0,13,359,0
,"Special Votes Allowed for Party Only",0,7,0,2,1,0,11,0,17,8,390,0,29,126,0,15,0,0,5,611,2
,"Maungakiekie Total",9,584,11,55,46,7,276,11,1267,414,15484,7,184,10223,49,1278,2,2,623,30532,149
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",30681
"Electorate Party Valid Votes for Maungakiekie",,"Labour Party - .5071400498"
"99 MP Party",9,.0002947727
"ACT New Zealand",584,.0191274728
"Alliance",11,.0003602777
"Aotearoa Legalise Cannabis Party",55,.0018013887
"Christian Heritage NZ",46,.001506616
"Democrats for Social Credit",7,.0002292677
"Destiny New Zealand",276,.0090396961
"Direct Democracy Party",11,.0003602777
"Green Party",1267,.0414974453
"Jim Anderton's Progressive",414,.0135595441
"Labour Party",15484,.5071400498
"Libertarianz",7,.0002292677
"Mâori Party",184,.006026464
"National Party",10223,.3348290318
"New Zealand Family Rights Protection Party",49,.0016048736
"New Zealand First Party",1278,.041857723
"OneNZ Party",2,.000065505
"The Republic of New Zealand Party",2,.000065505
"United Future New Zealand",623,.0204048212
