Party and Electorate Candidate Votes Recorded at each polling place
"Pakuranga 37","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Botany Downs","Elim Christian Centre, 159 Botany Road",13,0,0,0,1,4,0,3,52,0,1,180,8,0,0,0,0,3,0,265,0
,"St Columba Presbyterian Church, 480 Ti Rakau Drive",6,0,0,0,0,3,0,2,15,0,0,69,2,0,0,0,0,5,0,102,0
"Bucklands Beach"," Macleans College, 2 Macleans Road",144,2,3,0,6,69,8,2,245,2,6,1167,26,4,0,10,0,14,1,1709,3
,"Bucklands Beach Intermediate School, 247 Bucklands Beach Road",135,1,2,0,8,40,3,5,267,0,3,929,31,1,0,5,1,16,0,1447,0
,"Bucklands Beach Primary School, 107 Clovelly Road",105,0,1,0,1,40,5,4,171,0,3,766,26,0,0,4,0,11,0,1137,2
,"Macleans Primary School, 10 Wycherley Drive",86,0,4,0,11,34,13,5,312,0,8,691,36,1,1,11,0,16,0,1229,2
,"Old Bucklands Beach Yacht Club, 56 The Parade",103,0,3,0,0,20,2,1,93,1,3,578,30,0,0,5,0,9,0,848,0
,"Pakuranga Health Camp School, 1-9 Pigeon Mountain Road",137,1,2,0,4,31,5,3,161,0,1,932,46,0,0,2,0,12,0,1337,2
"Cockle Bay","Cockle Bay Playcentre, 17 Pah Road",4,0,0,0,0,7,0,0,12,0,0,56,2,0,0,0,0,2,0,83,0
"Highland Park","Rockabye Early Learning Centre, 122 Aviemore Drive",21,0,0,0,4,20,4,2,158,0,0,269,17,0,0,2,0,4,0,501,1
"Howick","Cockle Bay School, 24 Sandspit Road",80,0,2,0,3,57,3,2,147,0,2,527,31,0,0,2,0,12,0,868,2
