Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tonga 69","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
,"St James School, Room 4, 25 Rowan Avenue",0,0,0,0,0,2,0,0,44,0,15,1,3,1,0,0,0,0,0,66,2
"Avondale","Avondale School, Rooms 5 and 6, 132 Breezes Road",0,0,0,0,0,1,1,0,23,0,15,5,4,0,0,1,0,1,0,51,0
,"Woolley Street Kindergarten, 63 Woolley Street",0,0,0,0,0,0,0,0,12,0,3,3,0,0,0,0,0,0,0,18,0
"Bexley","Pipi's Preschool, corner Pages & Bexley Roads",0,0,2,0,1,1,1,0,16,0,9,2,1,0,0,0,0,0,0,33,0
"Brooklands","Community Centre Hall, 5 Anfield Street",0,0,1,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,7,0
"Burwood","ABC Learning Centre, 53 Putake Drive",0,0,2,1,0,3,0,0,3,0,4,3,2,0,0,0,0,0,0,18,0
,"Burwood Christian Centre, 54 Bassett Street",0,0,0,0,0,1,0,1,11,0,1,1,1,0,0,0,0,0,0,16,2
,"Burwood School Hall, 255 New Brighton Road",0,0,0,0,0,3,1,0,16,0,4,8,1,0,0,0,0,1,0,34,0
,"Garage, 165 Queensbury Street",0,0,0,0,0,2,0,0,5,0,1,0,1,0,0,0,0,0,0,9,0
,"Windsor School Hall, 170 Burwood Road",1,0,0,0,0,1,1,0,16,0,2,2,5,0,0,1,0,0,0,29,0
"Dallington","Banks Avenue School Hall, 71 Banks Avenue",0,0,1,0,0,2,1,0,10,0,3,3,0,0,0,0,0,0,0,20,0
,"Dallington Scout Group, 3 Halberg Street",0,0,0,0,1,0,0,0,4,0,2,1,1,0,0,0,0,0,0,9,0
,"St Paul's School, School Hall, 21 Gayhurst Road",0,0,0,0,0,2,2,0,12,0,6,1,0,0,0,1,0,0,0,24,0
"Kainga","Kainga Public Hall, Kainga Road",2,0,0,0,0,0,0,0,7,0,2,1,2,0,0,2,0,0,0,16,0
"New Brighton","Central New Brighton School, Roy Stokes Hall, 140 Seaview Road",0,0,1,0,2,6,1,1,47,0,29,7,11,0,0,0,0,0,0,105,1
"North New Brighton","Freeville School, Room 3, 11 Sandy Avenue",0,0,0,0,0,0,0,0,9,0,6,3,1,0,0,0,0,0,0,19,0
,"North New Brighton School Hall, 150 Leaver Terrace",0,0,2,0,1,5,1,1,23,0,10,1,3,0,0,0,0,0,0,47,0
,"Room 123, Korean Catholic Community, 268 Bower Avenue",1,0,0,0,0,0,0,0,13,0,5,5,1,0,0,0,0,0,0,25,0
,"Section Sales Office, corner Aston Drive & Orlando Crescent",0,0,0,0,0,3,0,0,2,0,0,3,0,0,0,0,0,0,0,8,1
,"Travis Junction Life Centre, 158 Travis Road",0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,9,0
"Parklands","Parkview School Hall, 10 Chadbury Street",1,0,0,0,0,3,0,0,43,0,10,7,3,0,0,1,0,0,0,68,0
"Queenspark","Queenspark School Hall, 222 Queenspark Drive",1,0,0,0,0,3,0,0,12,0,7,3,2,0,0,0,0,0,0,28,1
"South New Brighton","South Brighton Community Centre, 74 Beatty Street",0,0,0,0,0,13,0,1,31,0,9,9,9,0,0,1,0,0,0,73,0
,"South Brighton Croquet Club Rooms, 132 Union Street",0,0,0,0,0,1,1,0,11,0,2,1,0,0,0,0,0,0,0,16,0
"Wainoni","Methodist Church Lounge, 878 Avonside Drive",0,0,0,0,0,2,1,0,17,0,7,1,1,0,0,0,0,0,0,29,0
,"Ottawa Gardens Pre-School, 49 Ottawa Road",1,0,0,0,0,1,0,0,16,0,2,1,0,0,0,0,0,0,0,21,0
,"Wainoni School Hall, 115 Eureka Street",0,0,0,0,0,0,0,0,22,0,16,1,1,0,0,0,0,0,0,40,1
,Clutha-Southland
"Arrowtown","Arrowtown Primary School, 9 Chalmers Place",0,0,0,0,1,2,0,0,6,0,6,7,0,0,0,1,0,0,0,23,1
"Balclutha","Balclutha Information Centre, 4 Clyde Street",0,0,1,0,0,0,0,0,11,0,0,2,2,0,0,1,0,0,0,17,0
,"Balclutha Primary School Hall, 21 Lanark Street",0,0,2,0,0,0,0,0,7,0,0,1,2,0,0,0,0,0,0,12,0
,"Balmoral Church Hall, 34 Essex Street",0,0,0,0,0,1,0,0,12,0,1,0,1,0,0,0,0,0,0,15,0
,"Rosebank School Hall, 21 Frances Street",0,0,0,0,0,0,0,0,7,0,1,3,1,0,0,2,0,0,0,14,0
"Clinton","Clinton School, 34 Halsey Street",0,0,0,0,0,1,0,0,6,0,1,1,0,0,0,0,0,0,0,9,0
"Dipton","Dipton School, James Street",0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,7,0
"Frankton","Queenstown Events Centre, 35 Joe O'Connell Drive",0,0,0,0,1,1,1,0,6,0,5,4,1,0,0,1,0,0,0,20,0
,"St Margarets Church, corner Kawarau Road & Ross Street",0,0,0,0,1,1,0,0,13,0,8,8,0,0,0,0,0,0,0,31,0
"Gore","Calvin Presbyterian Church Centre, 25 Robertson Street",0,0,0,0,0,1,0,0,7,0,5,3,1,0,0,0,0,0,0,17,0
,"East Gore School Hall, 3 Wentworth Street",0,0,0,0,0,1,0,0,7,0,4,5,0,0,0,0,0,0,0,17,0
,"Gore District Court, 6 Hokonui Drive",0,0,0,0,0,1,0,0,9,0,1,5,0,0,0,1,0,0,0,17,0
,"Gore Main School, School Hall, 39 Ardwick Street",0,0,0,0,0,0,0,0,7,0,1,1,3,0,0,0,0,0,0,12,2
,"Pipe Band Hall,  27 Hyde Street",0,0,0,0,0,0,0,0,9,0,2,1,2,0,0,0,0,0,0,14,1
"Kaitangata","Kaitangata School, Salcombe Street",0,0,0,0,0,0,0,0,13,0,2,3,0,0,0,0,0,0,0,18,0
"Kaka Point","Kaka Point Community Centre, Moana Street",0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,0,0,0,6,0
"Lawrence","St John Rooms, 10 Ross Place",0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,8,1
"Lumsden","Lumsden School, 19 Maria Street",1,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,8,0
"Mataura","Mataura School Hall, 33 Oakland Street",0,0,1,0,0,0,1,0,42,0,14,2,3,0,0,1,0,0,0,64,2
"Milton","Tokomairiro Co-op Parish Hall, 30-34 Union Street",0,0,1,0,0,3,0,0,22,0,7,2,2,0,0,0,0,0,0,37,0
,"Tokomairiro High School, 238 Union Street",0,0,0,0,0,1,0,0,13,0,2,8,1,0,0,0,0,0,0,25,0
"Nightcaps","Takitimu Primary School, 17 Evans Street",3,0,0,0,0,0,0,0,3,0,5,2,0,0,0,0,0,0,0,13,0
"Ohai","Ohai Volunteer Fire Brigade, 61 Birchwood Road",0,0,0,0,0,0,0,0,14,0,3,4,1,0,0,0,0,0,0,22,0
"Otautau","Otautau School, 17 Elles Road",0,0,0,0,0,1,0,0,10,0,2,2,1,0,0,0,0,0,0,16,0
"Owaka","Owaka Memorial Community Centre, 3 Ovenden Street",1,0,1,0,0,2,0,0,3,0,1,4,1,0,0,0,0,0,0,13,0
"Queenstown","Memorial Hall, corner Memorial & Stanley Streets",0,0,0,0,0,2,0,0,19,0,8,3,3,0,0,1,0,0,0,36,0
,"Queenstown Primary School Hall, Robins Road",0,0,2,0,1,0,0,0,6,0,2,2,1,0,0,0,0,0,0,14,0
"Riversdale","Riversdale School, 28 Rutland Street",0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,7,0
"Tapanui","Tapanui School, Sussex Street",0,0,0,0,0,0,0,0,8,0,4,4,1,0,0,1,0,0,0,18,0
"Te Anau","Te Anau School Hall, 167 Milford Road",0,0,1,0,0,2,0,0,6,0,4,10,0,0,0,2,0,0,0,25,1
"Tuatapere","Tuatapere Community College, 47 Orawia Road",0,0,0,0,0,0,0,0,7,0,3,8,2,0,0,0,0,0,0,20,0
"Waihola","Waihola & Districts School, 5 Kilgour Street",0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,7,0
"Waikoikoi","Waikoikoi Public Hall, corner State Highway 90 & Koi Flat Road",0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,6,0
"Winton","Central Southland College, Grange Street",0,0,1,0,0,0,0,0,2,0,2,5,1,0,0,0,0,0,0,11,0
,"Winton Primary School Hall, corner Clyde & Eglinton Streets",0,0,0,0,0,0,0,0,7,0,2,3,0,0,0,0,0,0,0,12,0
,Dunedin North
"Brockville","Brockville School, 263 Brockville Road",0,0,2,0,1,4,0,0,35,0,10,2,1,0,0,0,0,0,0,55,1
"Careys Bay","Port Chalmers Fishermen's Co-Op Society Offices, 10 Macandrew Road",0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,7,0
"Dunedin City","Arthur Street School, 26 Arthur Street",0,0,0,0,0,4,0,0,5,0,4,2,0,0,0,0,0,0,0,15,0
,"Court House, 41 Lower Stuart Street",0,0,0,0,0,4,0,0,10,0,1,2,2,0,0,0,0,0,0,19,0
,"Dunedin Hospital, 1st Floor Foyer to Lecture Halls, 201 Great King Street",0,0,0,0,0,4,0,0,11,0,4,0,0,0,0,0,0,0,0,19,0
,"High Street School, 7 Montpellier Street",0,0,0,0,0,3,0,0,9,0,5,0,0,0,0,0,0,0,0,17,0
,"Salvation Army McMillan Lounge, 575 Princes Street",0,0,0,0,0,2,1,0,10,0,5,2,0,0,0,0,0,1,0,21,0
"Dunedin North","All Saints Church Hall, 786 Cumberland Street",0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,1,0,0,0,6,0
,"George Street Normal School, 989 George Street",0,0,1,0,0,6,0,0,12,0,12,3,2,0,0,0,0,1,0,37,1
,"Knox Church Hall, 453 George Street (corner Pitt Street)",0,1,0,0,0,4,0,0,8,0,1,2,0,0,0,0,0,0,0,16,0
,"University of Otago (ISB Link East), 630 Cumberland Street",2,1,0,0,0,6,0,0,24,0,4,2,1,0,0,0,0,0,0,40,0
,"University of Otago College of Education, 141 Union Street",0,0,0,0,0,3,0,0,6,0,2,0,0,0,0,0,0,1,0,12,0
"Halfway Bush","Halfway Bush Community Hall, 54 Ashmore Street",0,0,0,0,0,0,0,0,7,0,2,0,1,0,0,0,0,0,0,10,0
"Kaikorai","Kaikorai Presbyterian Church Hall, 127 Taieri Road (corner Nairn Street)",0,0,0,0,0,1,1,0,14,0,6,4,0,0,0,0,0,0,0,26,0
"Karitane","Karitane Primary School, Coast Road",0,0,0,0,0,4,0,0,4,0,3,2,0,0,0,0,0,0,0,13,1
"Long Beach","McCurdy Grimman Hall, 22 Driver Street",0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,6,0
"Maori Hill","Coronation Hall, 1 Balmacewen Road",0,0,0,0,0,1,0,0,4,0,2,2,1,0,0,0,0,0,0,10,0
"Mornington","Mornington School, 34 Elgin Road",0,0,0,0,0,2,1,1,21,0,6,0,1,0,0,1,0,0,0,33,2
,"Mornington Scout Hall, 66 Argyle Street",0,0,0,0,0,2,0,0,12,0,2,3,0,0,0,0,0,0,0,19,0
,"St Francis Xavier School, 27 Benhar Street",1,0,0,0,0,1,0,0,2,0,1,3,1,0,0,0,0,0,0,9,0
"North East Valley","Dunedin North Intermediate School, 34 North Road",0,0,0,0,0,5,0,0,21,0,8,1,1,0,0,0,0,0,0,36,1
,"North East Valley Baptist Church Hall, 268 North Road",0,1,0,0,0,1,0,1,9,0,4,3,1,0,0,1,0,0,0,21,0
"Opoho","Opoho School, 96 Signal Hill Road",0,0,0,0,0,0,0,0,6,0,1,2,0,0,0,1,0,0,0,10,0
"Pine Hill","Pine Hill School, 2 Wilkinson Street",0,0,0,0,0,5,0,0,37,0,6,1,3,0,0,0,0,0,0,52,0
"Port Chalmers","Port Chalmers School, 30a Albertson Avenue",0,0,0,0,0,0,0,0,5,0,3,1,1,0,0,0,0,0,0,10,0
,"Port Otago WIC Building, Beach Street",0,0,0,0,0,2,0,0,4,0,2,1,0,0,0,0,0,0,0,9,0
"Ravensbourne","Ravensbourne Community Hall, 5 Wanaka Street",0,0,0,0,0,2,0,0,9,0,2,1,0,0,0,0,0,0,0,14,1
"Roslyn","Kaikorai Primary School, 22 Tyne Street",0,0,0,0,1,3,0,0,5,0,4,0,1,0,0,0,0,0,0,14,0
,"Presbyterian Church Hall, 21 Highgate",0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,6,0
,"Roslyn Baptist Church, 309 Highgate",0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,0,0,0,0,10,0
"Sawyers Bay","Sawyers Bay School, 99 Stevenson Avenue",0,0,0,0,0,0,0,0,5,0,1,1,2,0,0,0,0,0,0,9,0
"St Leonards","King George Hall, 29 St Leonards Road",0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,9,0
"Waikouaiti","Waikouaiti Primary School, 6 Malloch Street",0,0,0,0,0,2,0,0,11,0,6,1,3,0,0,0,0,0,0,23,0
"Waitati","Waitati Primary School, Mt Cargill Road",1,0,0,0,0,4,0,0,3,0,5,1,0,0,0,0,0,0,0,14,0
"Wakari","Balmacewen Intermediate School, 44 Chapman Street",0,0,0,0,0,0,0,0,10,0,5,1,0,0,0,0,0,0,0,16,0
,"Wakari School, 150 Helensburgh Road",0,0,0,0,0,1,0,0,11,0,1,4,2,0,0,0,0,0,0,19,1
"Warrington","Warrington Primary School, 3 Ferguson Street",0,0,0,0,0,0,0,0,4,0,2,1,1,0,0,0,0,0,0,8,0
,Dunedin South
"Abbotsford","Scout Hall, Abbotsford Road (corner Unsworth Street)",0,0,0,0,0,0,0,0,10,0,2,4,0,0,0,0,0,0,0,16,0
"Andersons Bay","Presbyterian Church Hall, 76 Silverton Street",0,0,1,0,0,1,0,0,18,0,5,1,0,0,0,0,0,0,0,26,0
"Brighton","Big Rock School, 2 Bath Street",0,0,0,0,0,3,0,0,9,0,4,3,0,0,0,0,0,0,0,19,0
"Calton Hill","Calton Hill School Hall, 38 Riselaw Road",0,0,1,0,0,1,0,1,17,0,7,2,1,0,0,0,0,0,0,30,1
"Caversham","Caversham Presbyterian Church Hall, 61 Thorn Street",0,0,0,0,0,0,0,0,16,0,10,1,1,0,0,0,0,1,0,29,1
,"Caversham School Hall, 217 South Road",0,1,1,0,0,5,0,0,31,0,13,2,2,0,0,1,0,0,0,56,1
"Concord","Concord Kindergarten, 93 Mulford Street",0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,8,0
"Corstorphine","Corstorphine Community Centre, 235 Middleton Road",0,0,0,0,0,3,0,0,20,0,4,3,1,0,0,0,0,0,0,31,1
,"Corstorphine School, 2  Lockerbie Street",2,0,0,0,0,0,0,0,6,0,3,0,2,0,0,0,0,0,0,13,0
"Fairfield","Fairfield Community Hall, corner Main Road & Fairplay Street",1,0,0,0,0,0,0,0,5,0,4,4,1,0,0,0,0,1,0,16,0
"Forbury Corner","St Bernadette's School Hall, 16 Forbury Road",0,0,0,0,0,1,0,0,4,0,1,1,0,0,0,0,0,0,0,7,0
"Green Island","Pipe Band Hall, 186 Main South Road",0,0,0,0,0,1,0,1,11,0,4,0,3,0,0,0,0,0,0,20,0
,"Plunket Rooms, 189d Main South Road (next to the PostShop)",0,0,0,0,0,0,0,0,11,0,2,1,1,0,0,0,0,0,0,15,0
"Macandrew Bay","Macandrew Bay School, 488 Portobello Road",0,0,0,0,0,4,0,0,7,0,2,1,0,0,0,0,0,0,0,14,0
"Middlemarch","Strath Taieri School, 33 Swansea Street",0,0,0,0,0,1,0,0,3,0,1,3,1,0,0,0,0,0,0,9,0
"Mosgiel","A&P Showgrounds, 320 Gordon Road",0,0,0,0,0,1,0,0,3,0,0,2,1,0,0,0,0,0,0,7,0
,"Elmgrove School, 74 Argyle Street",0,0,1,0,0,0,0,0,9,0,4,2,4,0,0,0,0,0,0,20,0
,"Mosgiel Public Library, 7 Hartstonge Avenue",0,0,0,0,0,0,0,0,12,0,5,5,1,0,0,0,0,0,0,23,1
,"Reid Park Kindergarten, 63 Murray Street",0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,7,0
,"Salvation Army Hall, 4 Lanark Street",0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,6,0
,"Silverstream (South) Primary School, 52 Green Street",0,0,0,0,0,1,0,0,5,0,2,1,2,0,0,1,0,0,0,12,0
,"St Mary's School Hall, 53 Gordon Road",0,0,1,0,0,1,0,0,12,0,4,5,3,0,0,0,0,0,0,26,0
"Musselburgh","Baptist Sunday School Hall, 131 Musselburgh Rise",0,0,1,0,1,0,0,0,13,0,3,2,2,0,0,0,0,1,0,23,0
,"Musselburgh School Library, 34 Marlow Street",0,0,0,0,0,1,0,0,6,0,4,0,2,0,0,0,0,0,0,13,1
,"Presbyterian Sunday School Hall, 26 Queens Drive",0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,8,0
"Ocean Grove","Tomahawk School, 31 Luke Street",0,0,0,0,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,8,0
"Ocean View","Ocean View Public Hall, 812 Brighton Road",0,0,0,0,0,0,1,0,6,0,6,2,0,0,0,0,0,0,0,15,0
"Otakou","Te Rununga Otakou, Otakou Marae, 45 Tamatea Road",0,0,1,0,0,7,0,0,8,0,2,2,3,0,0,0,0,0,0,23,0
"Outram","Outram School, 1 Beaumaris Street",0,0,0,0,0,0,0,0,8,0,1,3,0,0,0,0,0,0,0,12,0
"Portobello","Portobello School, 30 Harrington Point Road",0,0,0,0,0,3,0,0,7,0,1,2,1,0,0,0,0,0,0,14,0
"South Dunedin","Dunedin South Presbyterian Hall, 393 King Edward Street",0,0,0,0,0,2,1,0,17,0,3,1,2,0,0,0,0,0,0,26,0
,"Macandrew Intermediate School, 213 Macandrew Road",1,0,0,0,0,2,0,0,18,0,4,1,5,0,0,0,0,0,0,31,1
,"Methodist Church Hall, 11 Wesley Street",0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,11,0
,"Salvation Army Hall, 190 King Edward Street",0,0,1,0,0,2,0,0,11,0,6,4,1,0,0,0,0,0,0,25,0
,"St Patrick's Parish Centre, 32 Macandrew Road",0,0,0,0,0,0,0,0,2,0,1,3,3,0,0,0,0,0,0,9,0
"St Clair","St Clair School Hall, 135 Richardson Street",0,0,0,0,0,3,0,0,13,0,2,4,0,0,0,0,0,0,0,22,0
"St Kilda","Holy Cross Anglican Church,17 Ajax Street",0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,9,0
"Tainui","Tainui School Hall, 41 Tahuna Road",0,0,0,0,0,3,0,0,5,0,1,0,1,0,0,0,0,0,0,10,0
"Waldronville","Waldronville School, 5a Vulcan Road",0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,7,0
"Waverley","Otago Sports Car Club Hall, 97 Larnach Road",0,0,0,0,0,0,0,0,5,0,0,3,1,0,0,0,0,0,0,9,1
,Hutt South
"Alicetown","Hutt Central School, 6 Railway Avenue",0,0,1,0,1,2,0,0,25,0,9,3,1,0,0,1,0,0,0,43,0
"Avalon","Dyer Street School, Dyer Street",0,0,0,0,0,1,0,0,11,0,6,1,0,0,0,0,0,0,1,20,0
"Boulcott","Boulcott School, Boulcott Street",0,0,0,0,0,2,0,0,8,0,3,4,0,0,0,0,0,0,0,17,0
"Days Bay","Wellesley College, Main Road",0,0,0,0,0,1,0,0,5,0,0,4,1,0,0,0,0,0,0,11,0
"Eastbourne","Muritai School, 160 Muritai Road",1,0,0,0,0,4,0,0,5,0,2,1,1,0,0,1,0,0,0,15,0
"Epuni","Congregational Christian Church Hall of Samoa, 37 Mitchell Street",0,0,0,0,0,0,0,0,18,0,8,2,2,0,0,0,0,1,0,31,0
,"Epuni School Hall, 313 Waiwhetu Road",0,0,0,0,0,5,0,0,39,0,11,3,5,0,0,0,0,0,0,63,1
"Gracefield","Gracefield School, Bell Road",1,0,0,0,0,0,0,0,9,0,4,1,1,0,0,1,0,0,0,17,0
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",0,0,0,0,0,0,0,0,5,0,5,5,1,0,0,1,0,0,0,17,0
,"Hutt Hospital, High Street",0,0,0,0,0,2,0,1,5,0,6,1,0,0,0,0,0,0,0,15,0
,"Hutt Intermediate School, Wilford Street",1,0,2,0,0,2,0,0,4,0,3,1,1,0,0,1,0,0,0,15,0
,"Hutt Valley High School, 84 Woburn Road",0,0,0,0,0,4,0,0,13,0,5,4,1,0,0,0,0,0,0,27,0
,"Knox Presbyterian Church Hall, 574 High Street",0,0,1,0,1,0,0,0,6,0,4,0,1,0,0,0,0,0,0,13,0
,"St Bernard's College, 183 Waterloo Road",0,1,0,0,0,0,0,0,11,0,5,3,0,0,0,1,0,1,0,22,0
,"Sts. Peter and Paul School, Myrtle Street",0,0,0,0,0,0,1,0,6,0,0,1,5,0,0,0,0,0,0,13,0
