Party and Electorate Candidate Votes Recorded at each polling place
"Bay of Plenty 2","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Welcome Bay","Baden Powell Hall, 39 Welcome Bay Road",55,1,9,2,0,76,11,47,350,1,9,918,142,1,0,11,0,11,0,1644,3
,"Selwyn Ridge School Hall, 20 Holmburn Street",25,2,4,1,4,44,4,49,171,1,8,435,60,1,3,3,1,3,0,819,3
,"Welcome Bay School Hall, 309 Welcome Bay Road",36,0,3,1,1,87,6,44,332,2,13,794,123,0,1,6,0,11,0,1460,5
"Whakamarama","Whakamarama Public Hall, Whakamarama Road",20,0,1,0,0,46,2,5,64,0,4,224,25,0,0,1,0,2,0,394,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0
,"Hospital Votes",11,0,0,0,0,19,4,14,200,1,0,528,130,0,1,0,1,9,0,918,14
,"Ordinary Votes BEFORE polling day",113,4,7,5,4,138,13,102,719,1,20,2737,357,0,0,4,0,24,0,4248,17
,"Special Votes BEFORE polling day",16,0,3,2,1,24,3,6,91,0,6,226,32,0,0,1,0,4,0,415,1
,"Special Votes On polling day",59,0,10,0,7,140,8,33,416,4,16,1048,87,3,0,24,0,14,1,1870,2
,"Overseas Special Votes including defence force",5,0,0,0,0,25,2,6,50,1,2,255,6,0,0,1,0,3,0,356,1
,"Votes Allowed for Party Only",7,1,6,0,1,24,4,6,121,0,18,169,29,0,0,2,1,3,1,393,3
,"Bay of Plenty Total",1067,21,135,18,60,1787,175,734,7404,25,258,21526,3030,17,9,144,3,258,3,36674,118
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",36792
"Electorate Party Valid Votes for Bay of Plenty",,"National Party - .5869553362"
"ACT New Zealand",1067,.0290941812
"Alliance",21,.0005726128
"Aotearoa Legalise Cannabis Party",135,.003681082
"Democrats for Social Credit",18,.0004908109
"Family Party",60,.0016360364
"Green Party",1787,.0487266183
"Jim Anderton's Progressive",175,.0047717729
"Kiwi Party",734,.020014179
"Labour Party",7404,.2018868953
"Libertarianz",25,.0006816818
"Maori Party",258,.0070349566
"National Party",21526,.5869553362
"New Zealand First Party",3030,.0826198397
"New Zealand Pacific Party",17,.0004635437
"RAM - Residents Action Movement",9,.0002454055
"The Bill and Ben Party",144,.0039264874
"The Republic of New Zealand Party",3,.0000818018
"United Future",258,.0070349566
"Workers Party",3,.0000818018
