Party and Electorate Candidate Votes Recorded at each polling place
"Tamaki 48","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Ellerslie","Christ Church Anglican Church, 169 Ladies Mile",67,0,2,0,5,47,3,1,151,0,2,489,15,0,1,1,0,19,0,803,3
,"Ellerslie Kindergarten, 122 Celtic Crescent",52,0,0,0,0,40,6,3,173,0,4,359,22,1,1,1,0,10,0,672,3
,"St Mary's Church Hall, 66 Main Highway",8,0,0,0,0,7,1,1,38,0,0,70,2,0,0,2,0,3,0,132,0
,"YMCA Centre, downstairs childcare centre, 46 Michaels Avenue",11,0,0,0,0,9,3,1,37,0,0,63,4,0,0,1,0,0,0,129,1
"Glen Innes","Glen Innes Primary School,  38-42 Eastview Road",13,0,1,0,0,18,3,1,301,0,3,136,19,13,0,2,0,5,0,515,6
,"Glenbrae Primary School, 105 Leybourne Circle",3,0,0,0,0,5,2,1,212,0,2,31,9,4,0,1,0,1,0,271,11
,"His International Mission, 77 Line Road (or Omaru Lane entrance)",23,0,2,0,6,13,6,4,336,0,5,150,21,14,0,3,0,2,0,585,13
,"Sacred Heart College, 250 West Tamaki Road",60,0,1,0,0,54,3,0,205,0,6,455,38,2,0,2,0,12,0,838,4
,"Tamaki College, corner Elstree Avenue & Taniwha Street",20,0,2,0,2,21,3,3,506,0,12,148,21,15,1,5,0,3,0,762,15
"Glendowie","Churchill Park School, Riddell Road",75,0,1,0,1,51,1,0,97,0,0,554,9,0,2,3,0,10,0,804,0
,"Glen Taylor Primary School, 172 West Tamaki Road",82,1,3,0,1,64,5,0,282,1,6,441,34,3,0,4,0,6,0,933,5
,"Glendowie Primary School, 217 Riddell Road",82,0,1,0,0,96,15,5,259,1,5,939,26,0,1,5,0,8,0,1443,3
"Kohimarama","Kohimarama Primary School, 112 Kohimarama Road",158,0,0,0,3,60,5,1,176,0,8,1010,35,0,0,4,0,10,0,1470,1
,"Presbyterian Church Hall, 34 Kohimarama Road",77,1,0,0,0,32,3,4,102,0,2,573,27,0,0,1,0,6,0,828,3
,"St Thomas's School, 113 Allum Street",232,0,2,0,5,127,12,8,356,2,12,1510,46,1,2,10,1,17,0,2343,4
"Meadowbank","Free Kindergarten, 122 Meadowbank Road",64,0,2,0,0,56,5,0,154,0,4,488,19,0,0,2,0,3,0,797,1
,"Meadowbank Primary School, 68 Waiatarua Road",88,1,1,0,1,55,3,0,142,1,2,673,12,0,1,4,0,4,0,988,3
,"St Chad's Church Hall, 5 Meadowbank Road",130,0,0,0,2,78,10,0,274,0,4,926,46,0,0,5,0,12,2,1489,3
,"St John's College, Wesley Hall, 202-210 St John's Road",192,0,3,2,1,121,10,8,490,1,7,1272,59,3,1,7,0,20,0,2197,3
"Mechanics Bay","Auckland Marine Rescue Centre, 3 Solent Street",12,0,1,0,0,5,0,0,14,0,0,40,1,0,0,0,0,1,0,74,0
"Mission Bay","Patteson Guide Hall, 87 Patteson Avenue",125,0,0,0,1,53,6,0,182,2,3,815,24,0,0,3,0,8,0,1222,1
"Mt Wellington","Panmure District School, 87 Mt Wellington Highway",13,0,0,0,0,8,2,2,58,0,1,111,6,0,0,1,0,3,0,205,0
