Party and Electorate Candidate Votes Recorded at each polling place
"Tauranga 51","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Bethlehem","Bethlehem Primary School Hall, 66 Carmichael Road",19,1,6,65,1,94,163,1,1,12,1077,165,9,1614,9
,"Bethlehem Tertiary Institute, 24 Elder Lane",18,0,3,78,2,58,86,0,0,8,849,100,6,1208,6
"Maungatapu","Maungatapu School, 164 Maungatapu Road",1,0,2,4,0,8,18,0,2,1,39,17,0,92,1
"Mt Maunganui","Arataki Community Centre, Zambuk Way (off Grenada Street)",2,0,2,6,0,46,61,0,1,1,107,34,4,264,1
,"Arataki School, 4 Kaimanawa Street",2,0,1,6,0,33,52,0,1,1,84,42,2,224,3
,"Harbourside Netball Pavilion, Maunganui Road",5,0,3,10,0,44,59,0,0,3,240,59,4,427,0
,"Mt Maunganui College, Maunganui Road",10,0,6,35,0,96,89,1,0,0,528,107,6,878,3
,"Mt Maunganui Intermediate School, 21 Links Avenue",14,0,8,22,0,84,134,2,0,2,476,132,2,876,4
,"Mt Maunganui Primary School, 13 Orkney Road",18,0,3,24,1,138,94,0,1,8,627,92,4,1010,1
,"Senior Citizens' Hall, 345 Maunganui Road",10,0,4,20,0,80,82,0,0,5,419,90,2,712,11
,"St Peter's Church Hall, 11 Victoria Road",6,0,0,14,0,29,31,1,0,0,287,41,2,411,0
"Papamoa","Papamoa Community Centre and Library - Tohora, Tamure and Mako Rooms, 15 Gravatt Road",0,0,0,1,0,4,13,0,0,0,23,4,1,46,0
,"Shop 7, Fashion Island, Gravatt Road",0,0,0,2,0,8,6,0,0,0,34,5,0,55,2
,"Tahatai Coast School, 45 Evans Road",0,0,1,1,0,2,5,0,1,1,25,1,0,37,0
"Pyes Pa","Aquinas College, 183 Pyes Pa Road",15,0,4,61,0,68,136,0,2,6,742,168,9,1211,14
"Tauranga","Brookfield School, 20 Millers Road",13,0,10,72,0,166,323,0,0,16,757,354,10,1721,6
,"Greenpark School, 13 Lumsden Street",10,0,3,73,0,96,234,0,2,7,666,218,12,1321,9
,"Greerton Community Hall, 1247 Cameron Road",22,2,14,100,2,118,471,2,5,12,765,499,6,2018,30
,"Matua Community Hall, Levers Road",30,0,8,72,0,182,250,1,3,6,1098,302,9,1961,12
,"Matua Dance Education Centre, 228b Levers Road",14,0,3,35,0,51,64,0,0,1,333,55,3,559,3
,"Merivale School, 26 Kesteven Avenue",3,0,4,34,0,47,136,0,5,3,166,118,3,519,6
,"Otumoetai College, 105 Windsor Road",9,0,10,39,0,94,168,0,1,5,377,143,7,853,7
,"Otumoetai School, 236 Otumoetai Road",18,2,9,104,0,193,321,0,5,8,1225,324,13,2222,18
,"Pillans Point School, 101 Maxwells Road",24,0,5,43,1,139,199,1,2,3,863,184,9,1473,6
,"St Columba Church Hall, 502 Otumoetai Road",14,0,0,72,1,75,130,0,0,8,681,262,4,1247,17
,"St Peter's Community Centre, 130 Spring Street",3,0,0,13,1,30,57,0,1,3,193,50,1,352,3
,"Tauranga Girls' College Hall, 930 Cameron Road",4,0,9,47,1,80,283,2,2,3,485,255,5,1176,12
,"Tauranga Intermediate School, 30 18th Avenue",8,1,4,33,3,95,180,1,4,3,434,127,7,900,1
,"Tauranga Primary School Hall, 31 5th Avenue",26,2,6,70,2,146,231,2,0,6,969,243,11,1714,11
,"Tauriko School, State Highway 29",2,0,1,9,0,15,16,0,0,1,152,34,1,231,2
,"Village Hall, Village on 17, 17th Avenue",3,0,2,22,0,36,82,0,3,3,122,59,2,334,4
"Welcome Bay","Baden Powell Hall, 39 Welcome Bay Road",2,0,2,2,0,5,17,0,0,0,34,4,1,67,0
,"Welcome Bay School, 309 Welcome Bay Road",0,0,1,2,0,1,7,0,0,2,19,4,0,36,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Bay of Plenty",0,0,0,2,0,16,17,0,0,0,73,12,1,121,0
,"Ordinary Votes BEFORE polling day - Taken in Tauranga",60,0,15,200,4,396,621,1,8,18,3084,800,29,5236,64
,"Special Votes BEFORE polling day",6,0,5,14,1,57,62,0,2,4,287,80,3,521,3
,"Special Votes On polling day",27,0,21,78,2,297,466,2,3,12,1196,206,13,2323,10
,"Overseas Special Votes including Defence Force",2,0,1,5,0,38,24,1,2,1,142,16,3,235,0
,"Votes Allowed for Party Only",6,0,8,9,0,43,108,0,2,9,180,49,1,415,3
,"Tauranga Total",426,8,184,1499,22,3208,5496,18,59,182,19858,5455,205,36620,283
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",36903
"Electorate Party Valid Votes for Tauranga",,"National Party - .5422719825"
"ACT New Zealand",426,.0116329874
"Alliance",8,.0002184599
"Aotearoa Legalise Cannabis Party",184,.0050245767
"Conservative Party",1499,.0409339159
"Democrats for Social Credit",22,.0006007646
"Green Party",3208,.0876024031
"Labour Party",5496,.1500819224
"Libertarianz",18,.0004915347
"Mana",59,.0016111415
"Māori Party",182,.0049699618
"National Party",19858,.5422719825
"New Zealand First Party",5455,.1489623157
"United Future",205,.0055980339
