Party and Electorate Candidate Votes Recorded at each polling place
"Kaikoura 20","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Amberley","Amberley School, Lawcocks Road",10,0,0,0,1,40,2,7,133,0,3,259,19,0,0,4,0,8,0,486,1
,"Hurunui District Council, 66 Carters Road",22,1,0,1,0,59,9,9,176,0,2,410,39,0,0,4,0,7,1,740,9
"Ashley","Ashley School, Boundary Road",18,0,1,0,0,47,4,9,106,0,0,366,18,0,0,3,0,6,0,578,4
"Balcairn","Balcairn Hall, 4 Ashbys Road",16,0,0,0,0,11,4,6,38,0,0,140,17,0,0,0,0,1,0,233,0
"Blenheim","Baptist Church Hall, 8 Beaver Road",10,1,3,1,2,40,3,17,154,0,3,271,25,1,0,2,0,3,0,536,2
,"Bohally Intermediate School Hall, 37-49 McLauchlan Street",15,0,3,0,0,26,7,15,231,0,5,252,29,0,0,6,0,3,1,593,3
,"Bright Centre, 2 Dillons Point Road",7,0,2,0,3,32,5,15,130,0,4,158,25,0,0,5,0,2,0,388,1
,"Marlborough Boys' College Hall, 5 Stephenson Street",29,0,5,2,1,74,10,13,410,0,4,441,50,0,1,11,0,11,0,1062,8
,"Mayfield School Hall, 81 Hutcheson Street",20,1,3,0,1,30,1,8,262,1,2,205,35,0,0,4,0,5,1,579,5
,"Nativity Anglican Church Hall, 76 Alfred Street",17,1,5,1,0,33,2,14,154,0,4,210,29,0,0,2,0,4,0,476,0
,"NMIT Marlborough Campus, Block E, 85 Budge Street",12,0,4,0,1,42,8,18,272,0,0,190,22,0,0,3,0,2,0,574,5
,"Redwoodtown School, 88-92 Cleghorn Street",49,3,6,2,5,137,25,46,982,0,13,1024,139,2,0,18,1,25,0,2477,13
,"Salvation Army Hall, 35 George Street",2,0,2,0,1,26,4,4,150,0,2,145,13,0,0,3,0,4,1,357,2
,"Springlands School Hall, corner Murphys Road & Aston Street",48,0,0,1,0,74,14,19,421,0,3,851,56,1,0,11,0,12,0,1511,3
,"St Mark's Hobbies Room, 61 Main Street",9,0,1,0,2,15,6,11,92,0,3,142,21,0,0,3,0,3,0,308,3
,"St Ninian's Church Hall, corner Alabama Road & Riley Crescent",28,0,0,1,0,50,7,24,273,1,4,475,39,0,0,8,0,10,2,922,1
,"Whitney Street School Hall, Whitney Street",21,2,3,0,0,66,5,16,318,0,4,403,32,0,0,8,0,6,0,884,6
,"Witherlea Kindergarten, 18 Alana Place",9,0,0,0,0,33,4,17,208,0,5,275,30,0,0,6,1,5,0,593,3
,"Witherlea School Hall, 214-220 Weld Street",31,1,1,2,2,74,6,17,307,0,4,536,44,0,0,9,1,7,0,1042,4
"Broomfield","Broomfield School, 115 Mt Brown Road",11,0,0,1,0,11,1,1,27,0,2,127,7,0,0,1,0,7,0,196,0
"Canvastown","Canvastown School, 5044 State Highway 6",3,0,1,0,1,24,5,6,29,0,0,61,13,0,0,1,0,1,0,145,0
"Cheviot","Cheviot Area School Community Hall, Caverhill Road",13,0,2,0,0,32,2,4,101,0,1,224,19,0,0,4,0,2,0,404,1
"Culverden","Amuri Area School, 19 School Road",26,0,1,0,0,4,3,1,81,0,1,278,13,0,0,2,0,5,0,415,0
"Domett","Main Line Station, State Highway 1",8,0,0,0,0,7,1,0,16,0,0,82,3,0,0,2,0,0,0,119,0
"Fairhall","Fairhall School Library, New Renwick Road",20,0,0,0,0,29,1,2,72,0,2,304,6,0,0,3,0,5,0,444,1
"Greta Valley","Greta Valley School, State Highway 1",15,0,1,0,0,7,0,3,21,0,2,87,7,0,0,0,0,1,0,144,1
"Grovetown","Grovetown School, 50-62 Vickerman Street",11,0,1,0,1,17,2,3,61,0,6,171,13,0,0,2,0,2,0,290,1
"Hanmer Springs","Hanmer Springs School, 6 Cheltenham Street",23,0,1,0,0,48,4,5,93,0,3,291,14,0,1,2,0,2,0,487,4
"Hapuku","Hapuku School, State Highway 1",1,0,0,0,0,18,0,1,30,0,2,86,4,0,0,1,0,0,0,143,1
"Havelock","Havelock School, Lawrence Street",7,0,1,0,0,25,0,9,106,0,1,198,36,0,0,0,0,4,0,387,4
"Hawarden","Hurunui College, Tenterden Street",9,1,1,0,1,18,6,0,51,0,0,235,7,0,0,0,0,2,0,331,1
"Kaikoura","Kaikoura High School, Ludstone Road",6,1,0,0,0,30,4,2,82,0,1,139,9,0,0,3,0,1,0,278,0
,"Kaikoura Suburban School, Schoolhouse Road",4,0,0,0,0,8,1,1,16,0,1,80,6,0,0,0,0,3,0,120,1
,"St John's Ambulance Hall, 116 Beach Road",15,0,1,1,0,28,4,1,168,0,8,237,29,0,0,0,0,3,0,495,2
,"St Peter's Anglican Church Hall, 33 Torquay Street",14,0,0,1,2,40,7,10,199,0,6,243,27,0,0,2,0,5,0,556,4
"Koromiko","Koromiko School, 743 State Highway 1",5,0,2,0,0,13,0,6,51,0,0,77,9,0,0,2,0,2,0,167,1
"Leithfield","Leithfield School, Old Main Road",15,0,2,1,0,28,2,6,116,0,4,180,22,0,0,2,0,3,0,381,2
"Linkwater","Linkwater School, 1357 Queen Charlotte Drive",6,0,0,0,0,52,1,4,72,0,1,153,20,0,0,0,0,3,0,312,0
"Loburn","Loburn School, 73 Hodgsons Road",28,0,3,0,0,48,1,15,130,0,3,364,19,0,0,2,0,8,0,621,7
"Medbury","Medbury Hall, corner Medbury & Buschs Roads",3,0,0,0,0,2,2,2,10,0,0,77,5,0,1,1,0,1,0,104,1
"North Loburn","North Loburn School, Mt Grey Road",9,1,0,0,1,17,3,9,49,0,0,142,3,0,0,1,0,5,0,240,0
"Oaro","Ocean View Motel, State Highway 1",0,0,0,0,0,6,0,0,22,0,0,31,3,0,0,0,0,0,0,62,1
"Okaramio","Okaramio Community Hall, 2356 State Highway 6",2,0,1,1,0,7,1,2,29,0,1,76,4,0,0,0,0,5,0,129,0
"Omihi","Omihi School, State Highway  1",12,0,1,1,0,1,2,0,11,0,2,79,2,0,0,0,0,2,0,113,0
"Parnassus","Parnassus Community Hall, 82 Sisters Road",2,0,0,2,0,2,0,0,11,0,0,56,2,0,0,0,0,1,0,76,1
"Picton","Little Theatre, 9 Dublin Street",22,0,3,0,2,67,6,8,247,0,10,260,53,0,0,2,0,3,0,683,2
