Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tonga 68","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,Aoraki
,"St Andrew's Church Hall, 30 The Terrace",0,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,8,0
,"St John's Church Conference Centre, Dixon Street",0,0,0,0,0,0,0,0,5,2,15,0,4,3,0,3,0,0,0,32,0
,"Wellington Central Church, 39 Webb Street",0,0,0,0,0,0,0,0,4,0,26,0,4,1,0,2,0,0,0,37,2
,"Wellington High School, Main Foyer, 249 Taranaki Street",0,0,0,0,0,0,1,0,5,0,12,0,6,0,0,1,0,0,1,26,0
,"Wellington Town Hall, 111 Wakefield Street",0,0,0,1,0,0,1,0,15,0,54,0,18,5,0,6,0,0,0,100,1
,"Wesley Church New Hall, 75 Taranaki Street",0,0,0,0,0,0,1,0,11,0,21,0,4,1,0,0,0,0,0,38,0
"Karori","Karori Baptist Church, 161-163 Karori Rd",0,0,0,0,0,0,0,0,0,0,6,0,2,2,0,0,0,0,0,10,0
,"Karori Normal School Hall, Donald Street",0,0,0,0,0,0,0,0,4,0,11,0,5,1,0,0,0,0,0,21,0
,"Karori West School, Allington Road",0,0,0,0,0,0,0,0,5,0,30,0,10,3,0,0,0,0,0,48,0
,"Karori West Scout Hall, 21 Sunshine Avenue",0,0,0,1,0,0,0,0,1,0,11,0,2,0,0,0,0,0,0,15,0
,"Sprott House, Recreation Lounge, Messines Road",0,1,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,7,0
,"St Teresa's Parish Hall, 301 Karori Road",0,1,0,0,0,0,2,0,1,0,8,0,8,2,0,5,0,0,1,28,0
"Kelburn","Kelburn Normal School Hall, Kowhai Road",0,0,0,0,0,0,0,0,0,0,14,0,2,1,0,0,0,0,0,17,0
,"St Michael's and All Angels Parish Hall, 83 Upland Road",0,0,0,0,0,0,0,0,4,0,4,0,6,2,0,0,0,0,0,16,0
"Makara","Makara School, 399 Makara Rd",0,0,0,0,0,0,0,0,2,1,3,0,1,1,0,3,0,0,0,11,0
"Mt Victoria","Clyde Quay School Hall, Elizabeth Street",0,0,0,0,0,0,0,0,11,0,39,0,16,1,0,2,0,0,0,69,0
,"St Joseph's Church, Bill Pearce Room, 154 Brougham Street",0,0,0,0,0,0,0,0,2,0,9,0,6,2,0,0,0,0,0,19,0
"Newtown","St James Presbyterian Church Lounge, 235 Adelaide Road",0,0,0,0,0,0,0,0,3,0,4,0,1,0,0,0,0,0,0,8,0
,"St Paul's Lutheran Church, King Street",0,0,0,0,0,0,0,0,2,0,5,0,1,2,0,0,0,0,0,10,0
,"Te Whaea National Dance & Drama Centre, Student Common Room, Hutchison Road",0,0,0,0,1,0,0,0,3,0,7,0,2,1,0,0,0,0,0,14,0
"Northland","Northland School, Harbour View Road",0,0,0,0,0,0,0,0,2,0,12,0,4,1,0,0,0,0,0,19,0
,"St Anne@Ward Church Hall, Northland Road",0,0,0,0,0,0,0,0,2,0,6,0,4,1,0,2,0,0,1,16,0
"Oriental Bay","Overseas Terminal, Ground Floor, 1 Herd Street",0,0,0,0,0,0,0,0,1,0,6,0,1,1,0,0,0,0,0,9,0
"Thorndon","De Porres House, St Mary's College, Guilford Tce",0,0,0,0,0,0,0,0,2,0,5,0,2,2,0,0,0,0,0,11,0
,"Thorndon School Hall, Hobson Crescent",0,0,0,0,0,0,0,0,4,0,16,0,7,4,0,0,0,0,0,31,0
,"Wellington Bridge Club, 17 Tinakori Road",0,0,0,0,0,0,0,0,4,0,14,0,2,3,0,1,0,0,0,24,0
"Wadestown","St Luke's Centre, 32 Pitt Street",0,0,0,0,0,0,0,0,3,1,6,0,4,3,0,1,0,0,0,18,0
,"Wadestown School, 2 Rose Street",0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,7,0
"Wilton","Otari School, 166 Wilton Road",0,0,0,0,0,0,0,0,2,0,18,0,11,4,0,1,0,0,0,36,0
,West Coast-Tasman
"Arahura","Arahura Whare Wananga, SH 6",0,1,0,0,0,0,0,0,3,0,13,0,9,1,0,5,0,0,0,32,1
"Cobden","Bowling Club Rooms, 84a Ward St",0,0,2,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,10,0
,"Cobden School, Fox St",0,0,0,0,0,0,0,0,0,0,8,0,4,2,0,1,0,0,0,15,1
"Dobson","Paparoa Range School, Herald St",0,0,0,2,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,9,0
"Dovedale","Dovedale School, Wakefield Thorpe, Wakefield",0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,8,0
"Fox Glacier","Te Moeka O Tuawe School, Cook Flat Rd",0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,8,0
"Franz Josef","Franz Josef/Waiau Community Centre, SH 6",0,0,0,0,0,0,0,0,1,0,4,0,2,3,0,1,0,0,0,11,0
"Granity","Granity School, 83 Torea St",0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,5,1
"Greymouth","Grey Main School, Joyce Crescent",0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,1,0,0,1,8,0
,"Grey United Tennis Club, Shakespeare St",0,0,0,0,0,0,0,0,1,0,4,0,1,1,0,1,0,0,0,8,0
,"Karoro Learning Centre, 180 Tainui St",0,0,0,1,0,0,0,0,2,0,12,0,6,3,0,2,0,0,1,27,0
,"Regent Theatre, cnr Mackay & Herbert Sts",0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,2,0,0,1,8,0
"Haast","Haast School, Hannahs Clearing",0,0,0,0,0,0,0,0,1,0,3,0,1,3,0,1,0,0,0,9,0
"Hari Hari","Sth Westland Area School, Wanganui Flat Rd",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,5,1
"Hector","Ngakawau Domain Hall, Main Rd",0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,1,0,0,1,10,0
"Hokitika","Church of Christ Hall, cnr Sale & Stafford St",0,0,0,0,0,0,0,0,0,0,11,0,2,2,0,2,0,0,0,17,1
,"Hokitika Regent Theatre, Tancred St",0,0,0,0,0,0,0,0,1,0,11,0,4,2,0,6,0,0,0,24,0
,"St Mary's Primary School, Sewell St",0,0,0,0,0,0,1,0,0,0,12,0,2,0,0,1,0,0,0,16,1
,"Westland High School, Sale St",0,0,0,0,0,0,0,0,1,0,13,0,6,2,0,2,0,0,0,24,0
"Kaniere","Kaniere School, 16 Camp St ",0,0,0,0,0,0,0,0,0,0,4,0,2,3,0,1,0,0,0,10,0
"Lower Moutere","Lower Moutere School RD 2",0,0,0,0,0,0,0,0,1,0,4,0,0,3,0,0,0,0,1,9,0
"Mapua","Mapua School, 4 Stafford Drive",0,1,0,0,0,0,0,0,3,0,8,0,1,2,0,1,0,0,0,16,0
"Moana","Lake Brunner School, Ahau St",0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,5,1
"Motueka","Motueka South School, 450 High St",0,0,0,0,0,0,0,0,2,0,14,0,2,0,0,2,0,0,2,22,0
,"Parklands School, 9 - 19 Pah St",0,0,0,0,0,0,3,0,4,0,66,0,30,2,0,6,0,0,0,111,2
,"Salvation Army Hall, 8 Greenwood St",0,0,0,0,0,0,2,0,4,0,12,0,2,0,0,2,0,0,0,22,0
"Motupipi","Motupipi School, RD1 Takaka",0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,6,0
"Murchison","Murchison Area School, Waller St",0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,1,0,0,0,7,0
"Paroa","Paroa School, Main South Rd",0,0,0,0,0,0,0,0,1,0,5,0,1,2,0,2,0,0,0,11,0
"Reefton","Reefton Community Centre",0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,7,0
"Riwaka","Riwaka Memorial Hall, Main Rd",0,0,0,0,0,0,0,0,3,0,5,0,0,2,0,1,0,0,0,11,0
,"Riwaka School, 22 School Rd",0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,13,0
"Ross","Ross School, Moorhouse St",0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,2,0,0,0,11,0
"Runanga","Runanga School, McGowan St",0,0,0,0,0,0,0,0,1,0,7,0,1,1,0,1,0,0,0,11,1
"Seddonville","Seddonville Bowling Club",0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,6,0
"Takaka","Tasman District Council Office, 78 Commercial St",0,0,0,0,0,0,0,0,5,0,12,0,0,1,0,0,0,0,0,18,1
"Tapawera","Taparewa Area School, Main Rd",0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,6,0
"Upper Moutere","Upper Moutere School, Main Rd",0,0,0,0,0,0,0,0,2,0,5,0,1,2,0,0,0,0,0,10,0
"Waimangaroa","Waimangaroa School, Stewart St",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,6,0
"Westport","Kawatiri Maori Women's Welfare League, 1 Lyndhurst St",0,0,0,0,0,0,0,0,1,0,13,0,0,1,0,1,0,0,0,16,0
,"St Canice's School, cnr Brougham & Derby Sts",0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,1,0,0,0,10,0
