Party and Electorate Candidate Votes Recorded at each polling place
"Tainui 64","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,Auckland Central
,"Paeroa Memorial Hall, Normanby Road",0,0,0,2,0,0,2,0,7,1,115,0,59,8,0,18,0,0,0,212,8
"Puriri","Puriri School, Puriri Valley Road",0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,9,0
"Tairua","Tairua School, 110 Main Rd",0,0,0,0,0,0,0,0,2,0,15,0,4,0,0,1,0,0,0,22,0
"Tapu","Tapu School, State Highway 25",0,0,0,1,0,0,0,0,2,0,15,0,2,4,0,3,0,0,0,27,0
"Te Puru","Thames Coast Community Centre, 4 West Crescent",0,0,1,0,0,0,1,0,1,0,15,0,10,2,0,4,0,0,0,34,0
"Te Rerenga","Te Rerenga School, State Highway 25",0,0,0,0,0,0,1,0,1,0,5,0,2,0,0,0,0,0,0,9,0
"Thames","Moanataiari School, 101 Kuranui Street",0,0,0,1,0,0,0,0,1,0,14,0,1,2,0,1,0,0,0,20,0
,"Parawai School, Lowe Avenue",0,0,0,0,0,0,4,0,0,0,13,0,7,2,0,1,0,0,0,27,0
,"Thames Civic Centre, 200 Mary Street",0,1,0,3,0,0,3,0,7,0,46,0,17,0,0,6,0,0,0,83,2
,"Thames Cultural Centre, Tararu Road",0,0,0,0,0,0,0,0,1,0,7,0,1,2,1,1,0,0,0,13,0
,"Thames High School, Sealey Street",0,0,0,0,0,0,0,0,0,0,18,0,8,1,0,4,0,0,1,32,2
,"Thames South School, cnr Grey & Rolleston Streets",0,1,0,0,0,0,3,0,3,0,48,0,18,3,0,6,0,0,2,84,0
"Turua","Turua School, Hauraki Road",0,0,0,0,0,0,0,0,1,0,16,0,6,3,0,1,0,0,0,27,0
"Waihi","Waihi East School, Donnelly Street",0,0,0,0,0,0,1,0,1,0,9,0,7,2,0,3,0,0,0,23,0
,"Waihi Memorial Hall, Seddon Street",0,0,0,0,0,0,1,0,8,2,50,0,13,2,0,5,0,0,0,81,0
,"Waihi South School, Moresby Avenue",0,0,0,0,0,0,0,0,0,0,25,0,5,1,0,3,0,0,2,36,1
"Waihi Beach","Waihi Beach School, Hillview Road",0,0,0,0,0,0,0,0,2,0,15,0,5,4,0,5,0,0,0,31,1
"Waikino","Victoria Hall, SH2 Main Road",0,0,0,1,0,0,0,0,3,0,8,0,5,1,0,0,0,0,0,18,0
"Waitakaruru","Waitakaruru School, Canal West Road",0,0,0,1,0,0,1,0,2,0,6,0,6,2,0,4,0,0,0,22,0
"Whangamata","Whangamata Memorial Hall, 620 Port Road",0,0,0,2,0,0,0,0,10,0,37,0,13,7,0,11,0,0,1,81,1
"Whenuakite","Whenuakite School, State Highway 25",0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,6,0
"Whitianga","Mercury Bay Area School, South Highway",0,0,0,1,0,0,0,0,2,0,12,0,7,2,0,2,0,0,0,26,1
,"Mercury Bay Bowling Club, 92 Cook Drive",0,0,0,0,0,0,0,0,2,0,6,0,3,2,0,1,0,0,0,14,1
,"Whitianga Presbytarian Church, Owen Street",0,0,0,0,0,0,3,0,3,0,15,0,6,2,0,4,0,0,0,33,1
,Hamilton East
"Chartwell","Hukanui School, Pickering Crescent",0,1,0,0,1,0,2,0,3,0,41,0,19,6,0,7,0,0,0,80,1
,"St Albans Church Hall, Comries Road",0,1,0,1,0,0,3,0,1,0,60,0,27,3,0,12,0,0,0,108,0
"Claudelands","Miropiko Kindergarten, 309 River Road",0,0,0,0,0,0,1,0,2,0,9,0,8,1,0,4,0,0,0,25,0
,"Peachgrove Intermediate School, Peachgrove Road",0,0,0,0,0,0,2,0,3,1,54,0,20,1,0,2,0,0,0,83,1
,"St Aidans Parish Hall, 24 Thames Street",0,0,0,0,0,0,0,0,4,0,45,0,22,3,0,2,0,0,1,77,0
"Enderley","Insoll Avenue School, Insoll Avenue",0,1,0,1,0,0,5,0,4,0,133,0,51,3,0,6,0,0,3,207,2
,"Southwell School, 200 Peachgrove Road",0,0,0,0,0,0,0,0,3,0,10,0,9,2,0,1,0,0,0,25,0
,"Te Kura Kaupapa Maori O Te Ara Rima School, Fifth Avenue",0,0,0,2,0,0,3,0,5,0,149,0,104,4,0,11,0,0,1,279,4
