Party and Electorate Candidate Votes Recorded at each polling place
"Rangitata 41","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Alford Forest","Alford Forest Hall, corner Highway 72 & Alford Forest Settlement Road",17,0,0,0,0,16,1,0,6,0,2,108,0,0,0,1,0,0,0,151,0
"Arowhenua","Arowhenua Maori School, 33 Huirapa Street",0,0,0,0,0,2,1,0,18,0,2,17,1,0,0,0,0,0,0,41,1
"Ashburton","Allenton School Hall, 110 Harrison Street",108,3,5,1,1,62,17,13,505,1,5,1149,72,0,0,19,1,24,1,1987,18
,"Ashburton College Auditorium, 27 Walnut Avenue",48,0,4,0,3,42,11,2,278,0,5,465,33,1,0,15,0,11,0,918,5
,"Ashburton Intermediate School, 144 Cass Street",59,1,7,0,1,62,17,11,547,1,2,668,64,1,1,11,0,14,0,1467,8
,"Hampstead School, 55 Wellington Street",25,2,4,0,2,33,14,11,457,0,5,399,69,0,0,15,0,13,1,1050,8
,"Sinclair Community Centre, 74 Park Street",44,4,2,0,3,35,8,4,253,0,2,523,41,0,0,5,0,13,0,937,7
,"St John Rooms,  241 Tancred Street",19,1,4,0,2,18,11,3,202,0,1,214,42,0,0,10,0,6,0,533,6
,"Tinwald Scout Den, Lagmhor Road",34,1,2,0,0,16,7,3,200,0,3,373,51,0,1,8,0,5,0,704,13
,"Tinwald St James Presbyterian Church Hall, corner Graham & Thomson Streets",67,0,2,0,3,34,8,12,375,1,2,725,49,0,0,16,0,13,0,1307,15
"Carew","Carew Peel Forest School, 1051 Ealing-Montalto Road",22,0,1,0,0,5,3,0,9,0,0,103,2,0,0,3,0,0,0,148,0
"Chertsey","Chertsey Primary School Library, 83 High Street",9,2,1,0,1,2,2,1,31,0,0,101,12,0,0,1,0,1,0,164,1
"Dorie","Dorie School, 103 Dorie School Road",4,0,1,0,0,3,1,0,12,0,0,76,3,0,0,0,0,1,0,101,0
"Fairton","Fairton School, 14 Fairfield Road",20,0,0,0,0,2,0,1,71,0,2,144,6,0,0,2,0,1,0,249,1
"Geraldine","Geraldine Primary School, 73 Wilson Street",1,0,1,0,0,1,0,0,7,0,0,27,2,0,0,1,0,0,0,40,0
"Greenstreet","Greenstreet-Ashburton Forks Hall, corner Ashburton-Staveley & Driscolls Roads",9,0,0,0,0,4,2,0,11,1,0,73,1,0,0,1,0,1,0,103,0
"Hinds","Hinds School, 54 Reed Street",31,0,1,0,0,10,0,1,53,0,1,205,7,0,0,5,0,1,0,315,0
"Laghmor","Laghmor Site, Ashburton Borough School, Tinwald-Westerfield-Mayfield Road",11,0,0,0,0,1,0,1,15,0,0,75,1,0,0,0,0,0,0,104,0
"Lauriston","Lauriston School, corner Church & Coleridge Streets",16,0,0,0,0,8,1,1,16,0,0,135,4,0,0,2,0,0,0,183,1
"Lowcliffe","Lowcliffe School, corner Emersons & Pyes Roads",9,0,0,0,0,0,2,1,24,0,0,84,8,0,0,1,0,0,0,129,0
"Mayfield","Mayfield School, 14 Lismore-Mayfield Road",37,0,1,0,0,9,4,2,37,0,5,211,3,0,0,2,0,3,0,314,1
"Methven","Mt Hutt College Hall, corner Main & McDonald Streets",79,0,3,0,5,73,10,2,214,0,5,633,27,0,0,8,0,4,1,1064,5
"Milford","Milford Hall, 563 Milford-Clandeboye Road",9,0,0,0,0,9,1,0,70,0,0,126,1,0,0,1,0,1,0,218,0
"Mt Somers","Mt Somers Springburn School, Ashburton Gorge Road",21,0,0,0,0,14,4,2,28,0,1,154,5,0,0,3,0,2,1,235,0
"Orari","Orari Coronation Hall, 8 McDonald Street",8,0,1,0,0,15,3,1,49,0,0,72,7,0,0,1,0,0,0,157,1
"Pendarves","Pendarves Hall, corner Christy's & Pendarves Rakaia Roads",8,0,0,0,0,1,0,1,11,0,2,104,1,0,0,1,0,1,0,130,0
"Pleasant Point","Pleasant Point Primary School, Victor Wilson Hall, 33 Halstead Road",54,4,3,0,3,62,11,8,289,0,4,627,38,0,0,15,0,13,0,1131,6
"Rakaia","Rakaia Community Centre, corner Elizabeth Avenue & Mackie Street",26,1,3,0,0,43,12,2,214,0,4,393,42,0,1,0,0,9,1,751,8
