Party and Electorate Candidate Votes Recorded at each voting place
"Dunedin North 8","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
,"Wakari School, 150 Helensburgh Road",1,3,4,25,0,0,168,5,355,3,377,72,0,0,2,1015,4
"Warrington","Warrington Primary School, 3 Ferguson Street",0,0,0,7,1,0,67,1,60,1,59,20,0,0,2,218,1
,"Voting places where less than 6 votes were taken",0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,4,0
,"Ordinary Votes BEFORE polling day",30,37,10,218,8,0,2458,183,2706,34,2710,573,4,5,23,8999,26
,"Special Votes BEFORE polling day",3,13,2,25,1,0,333,40,366,8,424,62,1,3,3,1284,3
,"Special Votes On polling day",4,18,8,62,2,0,498,43,639,12,732,123,0,4,5,2150,6
,"Overseas Special Votes including Defence Force",2,3,0,11,2,0,369,27,211,1,175,15,0,1,2,819,0
,"Votes Allowed for Party Only",1,9,0,11,0,0,112,10,175,4,148,23,0,0,1,494,1
,"Dunedin North Total",111,172,60,956,37,1,8035,603,11147,124,11302,2364,7,27,86,35032,99
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",35131
"Electorate Party Valid Votes for Dunedin North",,"National Party - .3226193195"
"ACT New Zealand",111,.0031685316
"Aotearoa Legalise Cannabis Party",172,.0049097968
"Ban1080",60,.0017127198
"Conservative",956,.0272893355
"Democrats for Social Credit",37,.0010561772
"Focus New Zealand",1,.0000285453
"Green Party",8035,.2293617264
"Internet MANA",603,.017212834
"Labour Party",11147,.3181947933
"Māori Party",124,.0035396209
"National Party",11302,.3226193195
"New Zealand First Party",2364,.0674811601
"NZ Independent Coalition",7,.0001998173
"The Civilian Party",27,.0007707239
"United Future",86,.0024548984
