Party and Electorate Candidate Votes Recorded at each polling place
"East Coast 10","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Awakeri","Awakeri School, Room 2, 974 State Highway 30",7,0,0,17,1,60,72,0,1,7,341,42,8,556,4
"Cape Runaway","Te Kura Mana Māori o Whangaparaoa, State Highway 35",0,0,0,0,0,1,1,0,0,1,7,2,0,12,0
"Coastlands","Rangitaiki Independent School, 33 Meadow Vale",2,0,1,9,0,28,64,0,1,5,238,29,3,380,1
"Edgecumbe","All Saints Anglican Church Hall, 73 Main Street",4,0,0,14,0,16,70,0,2,2,159,42,6,315,3
,"Rangitaiki Presbyterian (St David’s) Church, 51 College Street",3,0,4,26,0,33,111,0,0,7,191,44,4,423,3
"Gisborne","Awapuni School, 129 Awapuni Road",5,0,2,6,0,39,100,0,0,3,148,22,2,327,1
,"Central School, 7 Central Street",9,1,2,20,1,127,202,0,4,3,635,38,4,1046,4
,"Cobham School, Lytton Road",0,0,1,6,1,22,92,0,2,2,55,36,0,217,1
,"Elgin School, 2 Knox Street",5,0,2,6,0,41,185,0,4,2,172,61,0,478,8
,"Gisborne  Hospital, 421 Ormond Road",2,0,0,8,0,28,70,0,4,2,153,13,3,283,1
,"Gisborne District Council, 15 Fitzherbert Street",10,0,6,23,0,153,252,0,3,6,536,71,7,1067,4
,"Gisborne Girls High School, 555 Gladstone Road",1,1,2,14,0,83,238,0,5,6,306,64,2,722,9
,"Ilminster Intermediate, De Lautour Road",7,0,6,27,1,81,219,0,2,6,249,43,0,641,5
,"Kaiti School, 517 Wainui Road",4,0,4,9,0,62,260,1,7,4,124,47,7,529,2
,"Mangapapa Kindergarten, 2 Rua Street",6,0,4,25,1,85,228,0,3,3,356,60,6,777,5
,"Mangapapa Residents Hall, 351 Ormond Road",3,0,2,15,0,46,220,0,4,6,345,83,11,735,9
,"Riverdale School, 324 Stout Street",10,0,2,25,0,41,171,0,5,6,330,49,5,644,6
,"Rutene Road Kindergarten, 128 Rutene Road",5,0,5,12,0,52,120,0,1,7,226,23,4,455,3
,"Te Hapara School, 31 Mill Road",6,1,0,29,0,59,217,0,2,6,405,51,2,778,11
,"Waikirikiri School, 7 Pickering Street",0,0,0,1,1,10,59,0,5,3,13,14,0,106,1
,"YMCA Hall, 150 Roebuck Road",3,0,0,12,0,44,122,0,0,1,88,29,2,301,3
"Hicks Bay","Te Kura Kaupapa Māori o Kawakawa mai Tawhiti, 22 Wharf Road",0,0,0,0,0,7,5,0,1,3,13,7,0,36,0
"Kawerau","District Council, Town Hall, Ranfurly Court",1,0,1,6,0,7,18,0,0,3,37,17,0,90,0
"Kutarere","Kutarere School, 461 State Highway 2",2,0,2,5,0,47,14,0,1,3,70,22,0,166,1
"Makaraka","Makaraka School, 137 Main Road South",6,0,2,13,0,31,67,1,1,4,315,28,5,473,3
"Makauri","Makauri School, 120 King Road",5,0,1,9,0,31,42,1,0,1,274,17,3,384,2
"Manawahe","Manawahe Community Hall, 1866 Manawahe Road",1,0,0,7,0,14,9,0,0,1,39,5,1,77,0
"Manutuke","Manutuke School, 59 Waingake Road",1,0,1,10,0,12,50,1,2,2,133,9,1,222,1
"Matata","Matata Public School, 43 Pollen Street",4,0,0,20,0,38,72,0,1,2,191,64,0,392,3
"Matawai","Matawai School, 29 Raumati Street",4,0,0,5,0,12,14,0,0,0,149,10,1,195,1
"Muriwai","Muriwai School, 1684 Wharerata Road",1,0,1,5,0,5,15,0,1,3,32,2,0,65,0
"Ohope","Ohope Beach School, 170 Pohutukawa Avenue",4,1,2,10,0,74,82,0,1,8,334,32,8,556,2
,"Ohope Community Hall, Bluett Road",8,0,5,24,0,93,118,0,3,7,443,60,9,770,5
"Omaio","Te Kura o Omaio, School Road",0,0,0,0,0,8,8,0,0,0,5,3,0,24,0
"Omarumutu","Omarumutu School, 141 Omarumutu Road",0,0,0,0,0,9,9,0,3,2,14,2,0,39,1
"Opotiki","Opotiki College Hall, St John Street",6,0,4,16,0,50,120,2,7,4,157,50,5,421,2
,"Opotiki Senior Citizens Hall, 1 King Street",8,0,2,30,0,84,204,0,9,18,368,106,5,834,14
"Ormond","Ormond School, 45 Whitmore Road",1,0,1,8,0,24,27,0,0,0,231,19,4,315,2
"Otakiri","Otakiri School, Staff Room, 571 Otakiri Road",3,0,0,11,0,19,46,0,0,2,160,32,2,275,0
"Patutahi","Patutahi School, 29 Atkins Street",5,0,2,12,0,15,37,0,1,1,157,11,1,242,1
"Raukokore","Raukokore School, State Highway 35, RD3",0,0,1,1,0,7,2,0,1,0,26,9,0,47,1
"Rere","Rere School, 3294 Wharekopae Road",1,0,0,1,0,2,7,0,0,1,62,1,1,76,0
"Ruatoki North","Te Kura o Tawera, 164 Ngahina Road",0,0,0,0,0,1,3,0,2,0,0,1,0,7,0
"Ruatoria","Te Kura Kaupapa Māori O Te Waiu O Ngati Porou, 13 Tuparoa Road",1,0,0,2,0,10,20,0,3,6,15,8,0,65,0
"Taneatua","Taneatua School, 44 McKenzie Street",1,0,1,8,0,11,43,0,5,2,85,19,1,176,2
"Te Araroa","Te Waha O Rerekohu Area School, 3 Arewhana Street",0,0,0,1,0,4,15,0,2,2,5,8,1,38,0
"Te Kaha","Te Whanau-a-Apanui Area School, State Highway 35",0,0,0,1,0,10,13,0,4,0,16,10,0,54,2
"Te Karaka","Te Karaka Area School, 5 Kanakanaia Road",3,0,2,10,0,18,47,0,0,3,113,18,2,216,2
"Te Puia Springs","Te Puia Springs School, 28 McKenzie Street",0,0,0,0,0,4,13,0,0,1,8,4,0,30,0
"Te Teko","Te Kura o Te Teko School Hall, 6 Te Teko Road",2,0,1,6,0,11,31,0,9,4,78,14,0,156,0
"Thornton","Thornton School Hall, 43 Eastbank Road",1,0,1,5,0,5,15,0,0,1,125,5,1,159,1
"Tikitiki","Tikitiki School, 33 Rangitukia Road",0,0,0,0,0,1,9,0,2,0,7,8,0,27,1
"Tiniroto","Tiniroto School, 14 School Road",0,0,0,1,0,7,3,0,0,0,25,1,0,37,0
"Tokomaru Bay","Hatea-A-Rangi School, 6 School Road",0,0,0,2,0,9,26,0,2,6,25,12,1,83,0
"Tolaga Bay","Tolaga Bay Area School, Resolution Street",2,0,4,4,0,17,53,0,1,2,85,35,0,203,3
"Torere","Te Kura o Torere, 2276 State Highway 35",0,0,0,0,0,4,7,0,1,1,6,10,0,29,0
"Waerenga o Kuri","Waerenga-O-Kuri School, 1763 Tiniroto Road",0,0,0,2,0,7,5,0,0,0,56,1,2,73,1
"Waimana","Nukuhou North School, State Highway 2",3,0,0,9,0,8,6,0,0,1,55,10,1,93,3
,"Waimana School, 6 Raroa Road",1,0,1,3,0,7,12,0,3,1,21,2,6,57,1
"Wainui","Wainui Beach School, 56 Wairere Road",10,1,3,9,0,129,77,1,1,3,353,14,6,607,5
"Whakatane","Allandale School, 167 King Street",8,1,5,31,1,80,214,0,9,11,322,73,16,771,5
,"District Council, 9 Commerce Street",13,0,3,47,0,141,280,1,7,10,744,126,20,1392,3
,"Reads Auction Hall, 17 King Street",8,1,7,39,1,79,237,0,6,15,490,120,6,1009,12
,"Salvation Army Hall, 87 King Street",2,0,0,20,0,50,151,0,4,6,214,84,7,538,3
,"Te Whare Kura o Ruatoki, 18 Mission Road, RD1",1,0,0,0,0,2,3,0,3,0,1,1,0,11,0
,"Whakatane Intermediate School Hall, 101 James Street",3,0,3,24,0,65,166,0,3,5,350,65,12,696,3
"Whangara","Whangara School, 44 Pa Road",2,0,0,2,0,4,7,0,1,0,37,5,0,58,0
"Whatatutu","Whatatutu School, 24 Te Hau Road",1,0,0,3,0,1,18,0,0,0,12,2,0,37,0
"Woodlands","Woodlands School, 168 Dip Road",3,0,1,16,0,7,31,0,1,4,105,12,1,181,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in East Coast",43,2,12,112,1,403,944,1,31,36,2146,354,44,4129,46
,"Ordinary Votes BEFORE polling day - Taken in Rotorua",0,0,0,1,0,2,11,0,0,1,18,5,0,38,0
,"Special Votes BEFORE polling day",7,1,2,12,0,47,82,0,1,3,198,19,4,376,5
,"Special Votes On polling day",11,0,15,21,0,229,358,0,18,17,644,85,13,1411,6
,"Overseas Special Votes including Defence Force",0,0,0,2,0,34,19,0,0,1,85,5,1,147,0
,"Votes Allowed for Party Only",1,0,4,8,1,47,143,0,18,18,73,31,4,348,4
,"East Coast Total",280,10,133,898,10,3154,7101,9,224,313,14804,2536,271,29743,233
,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",29976
"Electorate Party Valid Votes for East Coast",,"National Party - .4977305585"
"ACT New Zealand",280,.0094139798
"Alliance",10,.0003362136
"Aotearoa Legalise Cannabis Party",133,.0044716404
"Conservative Party",898,.0301919779
"Democrats for Social Credit",10,.0003362136
"Green Party",3154,.1060417577
"Labour Party",7101,.238745251
"Libertarianz",9,.0003025922
"Mana",224,.0075311838
"Māori Party",313,.0105234845
"National Party",14804,.4977305585
"New Zealand First Party",2536,.0852637595
"United Future",271,.0091113876
