Party and Electorate Candidate Votes Recorded at each polling place
"Clutha-Southland 6","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Lochiel","Lochiel School, corner Lochiel Bridge & Smith Roads",0,0,0,0,0,0,2,0,5,0,0,55,1,0,0,3,0,1,0,67,1
"Lumsden","Lumsden School, 19 Maria Street",20,1,1,1,2,13,1,1,87,0,2,178,16,0,0,4,0,2,0,329,2
"Manapouri","Manapouri Hall, 11 Hall Road",7,0,1,0,0,11,0,0,40,0,0,91,8,0,1,2,0,1,0,162,0
"Mandeville","Mandeville Public Hall, 11 Waimea Valley Road",6,0,0,0,0,8,0,0,13,0,0,84,0,0,0,0,0,1,0,112,1
"Mararoa","Mararoa School, 2373 State Highway 94",8,0,0,0,0,3,0,0,4,0,1,108,0,0,0,1,0,3,0,128,0
"Mataura","Mataura School Hall, 33 Oakland Street",17,1,10,0,4,16,8,6,282,2,3,321,43,1,0,4,0,3,0,721,2
"Milton","Tokomairiro Co-op Parish Hall, 30-34 Union Street",27,0,1,1,4,17,5,2,282,0,8,296,33,0,0,4,0,5,0,685,9
,"Tokomairiro High School, 238 Union Street",15,4,3,0,3,18,2,0,251,0,1,284,26,0,0,4,0,4,0,615,4
"Mosgiel","Salvation Army Hall, 4 Lanark Street",0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1,0,0,0,8,0
,"St Mary's School Hall, 53 Gordon Road",1,0,0,0,0,1,0,0,7,0,0,9,0,0,0,0,0,0,0,18,0
"Mossburn","Mossburn School, 28 Surrey Street",12,2,0,0,9,8,0,1,49,1,0,222,5,0,0,1,0,2,1,313,2
"Nightcaps","Takitimu Primary School, 17 Evans Street",6,0,1,0,0,11,2,0,81,0,1,114,13,0,1,3,0,1,0,234,1
"Ohai","Ohai Volunteer Fire Brigade, 61 Birchwood Road",9,1,2,0,0,6,0,0,48,0,2,76,9,0,0,3,0,0,0,156,0
"Opio","Opio Public Hall, 529 Opio Road",6,0,1,0,0,0,0,0,1,0,0,53,1,0,0,2,0,0,0,64,0
"Orawia","Orawia and Districts Community Centre, 2044 Ohai Clifden Highway",7,0,0,0,0,5,0,0,15,0,0,87,1,0,0,0,0,0,0,115,0
"Orepuki","Orepuki and Districts Community Centre, 32 Oldham Street",1,0,0,0,1,1,0,0,0,0,1,18,1,0,0,0,0,0,0,23,0
"Otama","Otama School, 702 Otama Road",5,1,1,0,0,0,1,0,9,0,1,79,3,0,0,0,0,0,0,100,0
"Otautau","Otautau School, 17 Elles Road",18,2,1,0,1,12,5,1,96,2,3,349,17,0,0,5,0,9,2,523,2
"Outram","Outram School, 1 Beaumaris Street",0,1,0,0,0,4,1,0,3,0,0,7,1,0,0,0,0,0,0,17,1
"Owaka","Owaka Memorial Community Centre, 3 Ovenden Street",33,2,2,0,4,20,3,1,93,0,2,222,10,0,0,2,0,4,0,398,2
"Pukerau","Pukerau School, 30 Pukerau Street",10,0,0,0,2,4,1,0,18,0,1,116,3,0,0,0,0,1,0,156,0
"Queenstown","Memorial Hall, corner Memorial & Stanley Streets",35,0,6,2,14,155,7,1,312,1,4,577,24,0,0,6,0,5,2,1151,3
,"Queenstown Primary School Hall, Robins Road",26,1,3,0,11,56,7,2,128,2,2,269,10,1,0,6,0,6,0,530,1
"Riversdale","Riversdale School, 28 Rutland Street",10,1,4,0,1,14,2,2,45,0,1,308,5,0,0,3,0,1,0,397,0
"Stirling","Stirling School, corner Baker & Boyd Streets",10,1,2,0,2,4,2,0,78,0,0,121,4,0,0,2,0,2,0,228,0
"Tahakopa","Tahakopa School, 921 Tahakopa Valley Road",3,0,0,0,0,3,1,0,19,0,0,37,7,0,0,0,0,1,0,71,1
"Taieri Beach","Taieri Beach School Library, 208 Moturata Road",3,1,0,0,0,7,3,0,47,0,0,65,6,0,0,0,0,2,0,134,1
"Tapanui","Tapanui School, Sussex Street",31,2,0,2,2,16,6,14,131,0,1,378,16,0,0,5,0,5,0,609,3
"Te Anau","Te Anau School Hall, 167 Milford Road",43,0,4,0,6,72,5,0,205,0,2,747,25,1,0,12,0,17,2,1141,2
"Tuatapere","Tuatapere Community College, 47 Orawia Road",7,1,1,0,2,6,3,1,55,0,1,275,7,0,0,2,0,4,0,365,4
"Waihola","Waihola & Districts School, 5 Kilgour Street",14,2,0,0,1,12,1,2,75,0,2,148,12,0,0,6,0,3,0,278,1
"Waikaia","Waikaia School, 22 Leamington Street",8,0,0,0,0,8,1,0,20,0,0,115,7,0,0,1,0,0,0,160,0
"Waikaka","Waikaka School, 22 Matheson Road",16,0,0,0,0,5,1,1,20,0,0,174,9,0,0,2,0,1,0,229,2
"Waikoikoi","Waikoikoi Public Hall, corner State Highway 90 & Koi Flat Road",11,0,0,0,0,1,0,1,8,2,0,114,4,0,0,0,0,2,0,143,0
"Waimumu","Waimumu Te Tipua Hall, corner Waimumu & Glendhu Roads",6,0,0,0,0,2,0,1,5,0,0,102,5,0,0,0,0,0,0,121,0
"Waipahi","Waipahi Community Centre, Railway Terrace",0,0,0,2,0,1,0,0,8,0,1,80,5,0,0,0,0,3,0,100,0
"Waitahuna","Waitahuna School, 18 Sunderland Street",6,1,0,0,0,6,4,0,21,0,0,93,3,0,0,1,0,0,0,135,0
"Waiwera South","Waiwera South School, 16 May Street",7,0,0,0,0,0,1,0,8,0,2,82,1,0,0,3,0,0,0,104,0
"Warepa","Warepa School, 383 Old Port Road",4,0,0,0,0,7,0,0,16,0,0,79,0,0,0,0,0,0,0,106,0
"Wendonside","Wendonside Hall, corner Wendonside & Freshford Plains Station Roads",6,0,0,0,0,1,0,0,5,0,0,46,0,0,0,0,0,0,0,58,0
"Winton","Central Southland College, Grange Street",22,0,0,1,2,15,3,6,106,0,3,400,23,0,0,3,0,4,0,588,3
,"Winton Primary School Hall, corner Clyde & Eglinton Streets",28,0,1,0,9,22,5,3,179,0,2,712,31,0,0,5,0,5,0,1002,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0,9,0
,"Hospital Votes",1,1,0,0,1,6,0,1,94,0,2,151,10,1,0,0,0,0,1,269,13
,"Ordinary Votes BEFORE polling day",114,5,7,1,22,195,15,14,711,0,9,2160,90,2,0,11,0,38,1,3395,13
,"Special Votes BEFORE polling day",12,2,4,0,4,34,2,2,106,0,1,276,10,0,0,1,0,1,0,455,1
,"Special Votes On polling day",70,7,12,0,11,176,14,6,492,0,14,1094,41,2,0,35,1,7,3,1985,5
,"Overseas Special Votes including defence force",3,0,0,0,0,19,2,0,68,0,2,154,1,0,0,1,0,3,0,253,0
,"Votes Allowed for Party Only",4,0,4,0,4,19,4,4,67,0,15,112,4,0,0,3,0,0,0,240,2
,"Clutha-Southland Total",1315,63,131,18,193,1726,226,131,8091,16,141,20235,968,8,4,259,2,254,18,33799,142
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",33941
"Electorate Party Valid Votes for Clutha-Southland",,"National Party - .5986863517"
"ACT New Zealand",1315,.0389064765
"Alliance",63,.0018639605
"Aotearoa Legalise Cannabis Party",131,.0038758543
"Democrats for Social Credit",18,.0005325601
"Family Party",193,.0057102281
"Green Party",1726,.0510665996
"Jim Anderton's Progressive",226,.0066865884
"Kiwi Party",131,.0038758543
"Labour Party",8091,.2393857806
"Libertarianz",16,.0004733868
"Maori Party",141,.0041717211
"National Party",20235,.5986863517
"New Zealand First Party",968,.0286399006
"New Zealand Pacific Party",8,.0002366934
"RAM - Residents Action Movement",4,.0001183467
"The Bill and Ben Party",259,.0076629486
"The Republic of New Zealand Party",2,.0000591733
"United Future",254,.0075150152
"Workers Party",18,.0005325601
