Party and Electorate Candidate Votes Recorded at each voting place
"Hutt South 17","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Alicetown","Hutt Central School, 6 Railway Avenue",6,2,1,25,1,0,79,2,221,1,347,58,0,0,4,747,2
"Avalon","Avalon School, 10 Gordon Street",2,1,0,7,0,0,11,0,27,0,54,10,0,0,0,112,1
,"Dyer Street School, 59 Dyer Street",5,2,0,6,0,0,38,0,104,2,189,25,0,1,2,374,0
"Belmont","Belmont Hall, 711 Western Hutt Road",1,1,0,29,0,0,76,7,114,4,315,50,0,0,3,600,0
,"Maranatha School, 180 Hill Road",2,0,0,16,0,0,60,1,44,0,129,15,0,1,0,268,0
,"Raphael House, 27 Matuhi Street",0,0,0,4,0,0,42,1,27,1,105,9,0,0,2,191,0
"Boulcott","Boulcott School, 9 Boulcott Street",2,1,1,21,0,0,46,0,83,2,306,10,0,0,1,473,0
"Days Bay","Wellesley College, 611 Marine Drive",6,0,0,10,0,0,110,3,72,2,283,19,0,0,3,508,2
"Eastbourne","Muritai School, 160 Muritai Road",5,4,0,20,0,0,193,6,176,10,581,30,0,0,5,1030,3
"Epuni","Congregational Christian Church Hall of Samoa, 37 Mitchell Street",5,0,0,5,1,0,27,1,106,0,137,37,0,0,0,319,6
,"Epuni School Hall, 313 Waiwhetu Road",7,0,0,37,1,0,75,1,201,3,337,46,0,2,3,713,1
"Gracefield","Gracefield School, 20A Bell Road",2,2,0,17,0,0,26,0,93,1,138,20,0,0,2,301,2
"Harbourview","Garage, 12 Panorama Grove",4,1,0,26,0,0,35,1,64,1,250,22,0,1,3,408,1
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",13,1,1,36,0,0,74,1,144,0,503,38,0,1,1,813,2
,"Hutt Hospital, 640 High Street",3,1,0,4,0,0,14,4,63,3,99,16,0,0,0,207,5
,"Hutt Intermediate School, 7 Kauri Street",6,2,0,16,0,0,74,1,135,1,470,29,0,1,1,736,3
,"Hutt Valley High School, 84 Woburn Road",10,5,0,32,0,0,84,4,178,4,495,36,0,2,1,851,5
,"Knox Presbyterian Church Hall, 574 High Street",4,1,0,27,1,0,37,6,110,2,312,31,0,0,1,532,3
,"St Bernard's College, 183 Waterloo Road",5,1,0,30,0,1,48,4,130,3,396,27,2,0,1,648,2
,"Sts Peter and Paul School, Myrtle Street",9,1,0,13,0,0,44,3,87,0,255,24,0,0,1,437,3
"Kelson","Kelson School Hall, 52 Taieri Crescent",5,3,2,47,0,0,104,6,204,2,518,70,0,1,5,967,3
"Korokoro","Korokoro School Hall, 79 Korokoro Road",5,1,0,11,0,0,109,4,100,7,257,17,0,0,3,514,0
"Maungaraki","Garage, 66 Oakleigh Street",0,1,0,18,0,0,44,2,53,3,135,16,0,0,3,275,1
,"Maungaraki Community Centre, 135 Dowse Drive",12,4,3,44,1,0,148,4,241,7,648,71,0,0,9,1192,2
"Moera","Randwick School, 59 Randwick Road",5,6,0,18,0,0,85,6,280,4,183,52,0,0,4,643,9
"Naenae","Naenae Community Hall, corner Treadwell & Everest Streets",0,0,0,1,0,0,2,1,25,0,7,4,0,0,0,40,0
,"Naenae Kindergarten, 19 Seddon Street",0,0,0,1,0,0,1,1,9,0,12,0,0,1,0,25,0
,"Naenae Primary School, 18 Wheatley Street ",0,0,0,3,0,0,3,0,4,0,4,2,0,0,0,16,0
"Normandale","St Aidans-On-The-Hill Church Hall, 2 Stratton Street",4,2,3,24,1,0,107,0,111,4,325,47,0,0,3,631,2
"Petone","Petone Central School, 16 Britannia Street",3,4,1,27,0,0,191,10,314,7,366,56,0,1,2,982,4
,"St Augustine's Cub Group Hall, 71 Udy Street",1,2,0,3,0,0,66,2,100,4,167,23,0,2,0,370,0
,"Wilford School, 100 William Street",8,1,1,16,0,0,163,8,274,3,375,58,0,0,6,913,3
"Point Howard","Tennis Club/Playcentre, 29 Ngaumatau Road",0,0,0,2,0,0,25,0,24,0,72,4,0,0,3,130,0
"Taita","Avalon Intermediate School, 1041 High Street",0,0,0,0,0,0,0,0,19,0,6,8,0,0,0,33,2
"Wainuiomata","Arakura School, 209 Wellington Road",2,6,2,34,0,0,50,10,281,5,179,82,1,1,0,653,8
,"Fernlea School, 25a Lees Grove",0,2,1,8,0,0,22,3,129,0,98,31,0,0,0,294,2
,"Holy Trinity Church, 40 Wainuiomata Road",2,2,2,33,0,0,31,2,164,6,131,74,0,0,1,448,2
,"Pukeatua School, 19 Frederick Street",0,1,3,9,1,0,29,1,144,2,92,31,0,0,0,313,2
,"St Peter's Church, 29 Wise Street",3,2,5,25,1,0,28,1,182,4,147,61,0,0,1,460,4
,"Wainuiomata Intermediate School, 66 Konini Street",4,4,1,47,0,0,46,4,396,3,307,126,0,0,5,943,2
,"Wainuiomata Primary School, 5 Homedale Road",1,4,7,20,0,2,75,11,284,6,260,89,0,0,2,761,7
,"Wainuiomata Union Church, 106 Main Road",1,5,2,14,0,0,43,4,176,0,185,74,0,0,2,506,2
"Waiwhetu","Our Lady of the Rosary School, 12 Wainui Road",3,0,0,15,0,0,29,2,137,0,169,36,0,0,4,395,0
,"St Paul's Parish Hall, 76 Waiwhetu Road",1,1,0,26,0,0,43,2,145,2,196,41,0,0,0,457,3
,"Waiwhetu Marae Meeting House, 4 Puketapu Grove",3,2,0,10,0,0,54,3,114,4,112,28,0,0,0,330,1
"Waterloo","Waterloo School, 26 Hardy Street",10,5,1,56,0,1,144,10,353,7,696,132,1,0,5,1421,6
"Wellington City","Michael Fowler Centre, Renouf Foyer, 111 Wakefield Street",0,0,0,0,0,0,10,1,13,0,17,1,0,0,0,42,0
,"Wellington Central Library Meeting Room, Mezzanine Floor, 65 Victoria Street",0,0,0,0,0,0,12,1,13,0,20,1,0,0,0,47,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",59,31,10,374,3,0,1324,77,3075,50,4533,851,3,3,28,10421,71
,"Special Votes BEFORE polling day",3,10,2,23,0,1,133,17,340,6,314,72,0,0,2,923,10
,"Special Votes On polling day",14,26,7,76,0,1,367,33,648,12,985,152,0,1,6,2328,7
,"Overseas Special Votes including Defence Force",8,0,0,16,0,0,219,3,178,4,323,20,0,0,7,778,0
,"Votes Allowed for Party Only",2,9,2,9,0,0,66,6,194,15,108,31,0,0,1,443,5
,"Hutt South Total",256,160,58,1391,11,6,4966,281,10903,207,17648,2913,7,19,136,38962,199
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",39161
"Electorate Party Valid Votes for Hutt South",,"National Party - .4529541605"
"ACT New Zealand",256,.0065705046
"Aotearoa Legalise Cannabis Party",160,.0041065654
"Ban1080",58,.0014886299
"Conservative",1391,.0357014527
"Democrats for Social Credit",11,.0002823264
"Focus New Zealand",6,.0001539962
"Green Party",4966,.1274575227
"Internet MANA",281,.0072121554
"Labour Party",10903,.279836764
"Māori Party",207,.0053128689
"National Party",17648,.4529541605
"New Zealand First Party",2913,.0747651558
"NZ Independent Coalition",7,.0001796622
"The Civilian Party",19,.0004876546
"United Future",136,.0034905806
