Party and Electorate Candidate Votes Recorded at each polling place
"Rakaia 43","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Lauriston","Lauriston School, cnr Church St and Coleridge St",0,4,0,0,0,0,0,0,5,1,22,0,0,142,0,4,0,0,0,178,0
"Leeston","Leeston Consolidated School Hall, Selwyn St",0,20,0,1,1,0,1,0,24,18,322,0,4,455,0,46,0,0,70,962,2
"Lincoln","Lincoln High School Hall, 134 North Belt",0,12,3,1,1,0,0,0,54,25,330,0,3,511,0,49,0,0,45,1034,7
,"Lincoln University, Stewart Lecture Block, Ellesmere Junction Rd",0,12,0,0,0,0,0,0,34,3,96,0,1,131,0,17,1,0,18,313,0
"Lowcliffe","Lowcliffe School, cnr Emersons Rd & Pyes Rd",0,10,0,0,0,0,0,0,1,0,27,0,0,81,0,4,0,0,1,124,0
"Mayfield","Mayfield School, Lismore-Mayfield Rd",0,18,0,0,0,0,0,0,8,0,41,0,1,237,0,25,0,0,12,342,2
"Methven","Mt Hutt College Hall, cnr Main St and McDonald St",0,39,0,3,2,0,1,0,74,10,258,0,0,577,3,39,2,0,23,1031,3
"Motukarara","Motukarara Community Hall, Park Rd",0,1,0,0,0,1,0,0,8,0,14,0,0,50,0,2,0,0,2,78,0
"Mt Hutt","Mt Hutt Station Homestead, Junction Inland Scenic Route 72 and Mt Hutt Station Rd 77",0,4,0,0,1,0,0,0,2,1,13,0,0,81,0,2,0,0,0,104,0
"Mt Somers","Mt Somers Springburn School, Ashburton Gorge Rd",1,12,0,0,0,0,0,0,6,3,44,0,0,157,1,11,0,0,6,241,0
"Pendarves","Pendarves Hall, cnr Christy's Rd & Pendarves Rakaia Rd",0,0,0,0,0,0,0,0,0,0,14,0,0,104,0,8,0,0,0,126,0
"Prebbleton","Prebbleton School, Blakes Rd",0,20,1,1,3,0,1,0,51,19,381,2,1,645,0,39,0,0,53,1217,5
"Rakaia","Rakaia Community Centre, cnr Elizabeth Avenue and Mackie St",2,17,0,1,0,1,6,0,28,18,326,1,0,451,0,62,0,0,27,940,2
"Riccarton","Wharenui School, Matipo St",0,1,0,0,0,0,0,0,5,0,23,0,0,26,0,2,0,0,5,62,0
"Rolleston","Rolleston Community Centre, 126 Rolleston Drive",2,47,0,1,2,0,8,0,73,48,918,0,4,1083,0,122,0,1,56,2365,5
"Russley","St Stephen's Methodist Church, 376 Yaldhurst Rd",0,0,0,0,0,0,0,0,1,1,9,0,0,12,0,4,0,0,0,27,0
"Sheffield","Sheffield School, Wrights Rd",1,13,0,0,0,1,2,0,19,8,55,0,1,154,1,23,0,0,11,289,1
"Sockburn","Sockburn School, 34 Springs Rd",0,0,0,0,0,0,0,0,1,0,9,0,0,6,0,1,0,0,0,17,0
"Southbridge","Southbridge School, 25 Hasting St",0,6,2,0,0,0,0,0,30,10,184,0,0,310,0,21,0,0,43,606,2
"Springfield","Tawera Memorial Hall, Main West Coast Rd",0,1,0,0,0,0,0,0,14,8,71,0,0,95,0,15,0,0,7,211,0
"Springston","Springston Primary School, Leeston Rd",0,11,1,0,0,0,0,0,34,7,121,0,1,236,0,14,0,0,21,446,3
"Springston South","Springston South Soldiers' Memorial Hall, Days Rd",0,1,0,0,0,0,0,0,10,2,43,0,1,99,0,7,1,0,4,168,0
"Tai Tapu","Tai Tapu School, Main Akaroa Highway",0,11,0,1,0,0,1,0,45,9,119,0,0,265,0,17,0,1,20,489,0
"Templeton","Templeton Community Centre, Kirk St",1,12,2,0,0,1,0,0,21,23,483,0,3,477,0,82,2,0,28,1135,7
"Wakanui","Wakanui School, 20 Wakanui School Rd",0,15,0,1,0,0,0,0,7,4,37,0,0,116,0,2,0,0,6,188,0
"Weedons","Weedons School, Weedons-Ross Rd",1,7,0,1,1,0,0,0,12,5,118,0,0,283,0,20,0,0,10,458,1
"West Melton","West Melton School, cnr Weedons-Ross Road and Westview Cres",0,23,1,1,1,0,2,0,55,7,266,1,1,671,0,39,0,0,51,1119,0
"Winchmore","Winchmore Hall, 935 State Highway 77",0,7,0,3,0,0,0,0,2,1,20,0,0,125,0,11,1,0,2,172,0
"Windwhistle","Windwhistle School, Highway 72/Rakaia Gorge Rd",0,2,0,0,0,0,0,0,4,1,14,0,1,100,0,5,0,0,2,129,0
"Yaldhurst","Yaldhurst Memorial Hall, cnr Yaldhurst Rd & Pound Rd",1,18,0,0,0,0,0,0,22,7,103,2,0,323,0,27,0,0,34,537,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",2,1,1,0,2,0,0,0,0,6,86,0,0,98,0,16,0,0,2,214,5
,"Ordinary Votes BEFORE polling day",0,57,1,0,1,0,4,0,82,25,652,1,1,1149,1,97,0,0,68,2139,11
,"Special Votes BEFORE polling day",0,0,0,0,0,1,0,0,4,1,37,0,1,43,0,5,0,0,3,95,0
,"Special Votes On polling day",0,27,1,9,0,1,2,0,102,27,718,0,4,1055,0,93,0,0,55,2094,3
,"Overseas Special Votes including defence force",0,4,0,0,0,0,1,1,27,1,92,0,1,110,0,4,0,0,5,246,0
,"Special Votes Allowed for Party Only",0,4,0,0,0,1,2,0,20,1,86,0,4,93,0,16,0,0,4,231,1
,"Rakaia Total",26,869,32,67,34,9,62,1,1426,581,11338,11,51,19204,10,1826,14,8,1187,36756,117
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",36873
"Electorate Party Valid Votes for Rakaia",,"National Party - .5224725215"
"99 MP Party",26,.0007073675
"ACT New Zealand",869,.0236423985
"Alliance",32,.0008706062
"Aotearoa Legalise Cannabis Party",67,.0018228316
"Christian Heritage NZ",34,.000925019
"Democrats for Social Credit",9,.000244858
"Destiny New Zealand",62,.0016867994
"Direct Democracy Party",1,.0000272064
"Green Party",1426,.038796387
"Jim Anderton's Progressive",581,.0158069431
"Labour Party",11338,.3084666449
"Libertarianz",11,.0002992709
"Mâori Party",51,.0013875286
"National Party",19204,.5224725215
"New Zealand Family Rights Protection Party",10,.0002720644
"New Zealand First Party",1826,.049678964
"OneNZ Party",14,.0003808902
"The Republic of New Zealand Party",8,.0002176515
"United Future New Zealand",1187,.0322940472
