Party and Electorate Candidate Votes Recorded at each voting place
"North Shore 33","Party Vote Details"
,,"ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Focus New Zealand","Green Party","Internet MANA","Labour Party","Māori Party","National Party","New Zealand First Party","NZ Independent Coalition","The Civilian Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Bayswater","Bayswater School, 181 Bayswater Avenue",10,3,1,62,0,0,223,8,247,6,790,90,1,1,4,1446,1
"Belmont","Belmont Primary School, 3A Harrison Avenue",10,1,0,20,0,0,88,1,111,5,457,52,0,0,2,747,2
"Browns Bay","Browns Bay Red Cross Centre, 5 Wilks Lane",0,0,0,2,1,0,5,2,9,0,20,1,0,0,0,40,0
"Campbells Bay","Campbells Bay School Hall, 77 Aberdeen Road",22,5,0,55,1,0,145,8,145,6,1115,73,0,0,7,1582,2
"Castor Bay","Wat Phra Dhammakaya Hall, corner Seaview Road & Katui Street",16,2,0,49,0,0,93,3,97,5,725,40,0,0,1,1031,0
"Devonport","Devonport Community House, 32 Clarence Street",3,3,1,28,1,0,231,6,226,7,583,68,0,0,4,1161,5
,"Devonport Holy Trinity Parish Hall, 20 Church Street",8,0,0,22,1,0,180,10,155,9,459,57,0,0,1,902,1
,"Devonport St Paul's Ltd, corner Victoria & Albert Streets",7,3,2,29,0,0,146,3,139,5,396,59,0,0,3,792,2
"Forrest Hill","Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",59,7,1,127,0,0,109,8,305,9,1000,95,0,0,4,1724,9
,"Westlake Boys High School, 30 Forrest Hill Road",19,3,0,41,0,0,59,7,143,5,451,45,0,0,0,773,0
"Glenfield","Glenfield Community Centre, corner Glenfield Road & Bentley Avenue",3,1,0,0,0,0,8,0,10,0,24,4,0,0,0,50,0
,"Glenfield Primary School, 101 Chivalry Road",0,0,0,1,0,0,2,1,4,0,12,2,0,0,0,22,0
,"Target Road Primary School, 80 Target Road",0,1,0,3,0,0,9,0,12,0,46,6,0,0,0,77,0
"Hauraki","Hauraki School, 82 Jutland Road",11,1,0,16,0,0,67,3,105,4,474,43,0,1,3,728,2
,"Takapuna Bible Chapel Hall, 13 Jutland Road",8,6,0,43,1,0,117,7,180,4,768,87,0,0,3,1224,4
"Mairangi Bay","Mairangi Bay Community Church Hall, 49 Maxwelton Drive",7,0,0,51,2,0,69,4,103,3,545,45,0,0,2,831,0
,"Mairangi Bay Presbyterian Church Hall, 11 Hastings Road",13,1,3,75,3,0,107,5,100,4,750,41,0,1,7,1110,1
,"Rangitoto College, 564 East Coast Road",14,1,0,23,0,0,45,7,55,1,257,21,0,0,2,426,1
"Milford","Milford Baptist Church Hall, 3 Dodson Avenue",22,3,0,63,3,0,105,3,183,6,962,80,1,2,1,1434,5
,"Milford School, 34 Shakespeare Road",27,5,0,82,3,0,128,10,305,4,1314,129,1,0,6,2014,5
,"North Shore Hospital, Shakespeare Road",2,0,0,8,0,0,9,0,35,1,116,13,0,0,1,185,0
"Murrays Bay","Murrays Bay Intermediate School, 37 Sunrise Avenue",7,0,0,15,0,0,22,0,31,0,152,10,0,0,2,239,0
"Narrow Neck","Vauxhall School, Morrison Avenue",2,1,1,22,0,0,150,4,120,6,418,24,0,0,0,748,1
"Northcote","Northcote Intermediate, 145 Lake Road",6,0,1,1,1,0,2,0,8,0,23,1,0,0,0,43,1
"Point Wells","Point Wells Community Hall, 5 Point Wells Road",0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,11,0
"Stanley Bay","Stanley Bay School, 15 Russell Street",4,2,0,13,0,0,63,3,83,3,307,21,0,0,2,501,0
"Sunnynook","Sunnynook School, 27 Lyford Crescent",24,5,0,52,3,0,80,6,178,3,552,46,0,0,2,951,2
,"Wairau Intermediate School, 113 Becroft Drive",42,9,0,91,2,0,95,5,274,5,873,130,0,2,3,1531,5
"Takapuna","Takapuna Methodist Church Hall, corner Lake Road & Tennyson Avenue",5,0,0,34,1,0,97,6,111,1,616,67,0,0,1,939,2
,"Takapuna Normal Intermediate School, 54b Taharoto Road",15,0,0,34,0,0,30,4,50,0,251,36,0,0,0,420,1
,"Takapuna School, 23 Auburn Street (or Anzac Street entrance)",9,0,0,47,0,0,90,5,132,2,844,57,0,1,0,1187,4
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",76,12,1,379,6,1,747,50,1065,37,5499,502,1,1,18,8395,14
,"Special Votes BEFORE polling day",15,6,0,51,3,0,143,21,154,7,625,65,0,1,4,1095,1
,"Special Votes On polling day",54,18,2,90,0,1,345,27,383,16,1405,154,0,1,10,2506,4
,"Overseas Special Votes including Defence Force",11,1,0,29,2,0,234,15,130,3,665,41,0,0,3,1134,0
,"Votes Allowed for Party Only",14,3,0,15,0,0,73,8,85,7,259,41,0,1,2,508,3
,"North Shore Total",545,103,13,1673,34,2,4118,250,5473,174,23762,2246,4,12,98,38507,78
,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",38585
"Electorate Party Valid Votes for North Shore",,"National Party - .6170826084"
"ACT New Zealand",545,.0141532708
"Aotearoa Legalise Cannabis Party",103,.0026748383
"Ban1080",13,.000337601
"Conservative",1673,.0434466461
"Democrats for Social Credit",34,.0008829563
"Focus New Zealand",2,.0000519386
"Green Party",4118,.106941595
"Internet MANA",250,.0064923261
"Labour Party",5473,.1421300023
"Māori Party",174,.0045186589
"National Party",23762,.6170826084
"New Zealand First Party",2246,.0583270574
"NZ Independent Coalition",4,.0001038772
"The Civilian Party",12,.0003116317
"United Future",98,.0025449918
