Electorate Candidate and Party Votes Recorded at Each Polling Place
"Maungakiekie 25","Candidate Vote Details"
,,"BEAUMONT, Carol Ann","BLADE, Elliott Reece","BROUGHTON, David Peter","BROWN, Patrick James","JONES, Darren","KRUM, Denise Adrienne","LOLE-TAYLOR, Le-Aufa'amulia Asenati","LOTU-IIGA, Peseta Samuela Masunu","McQUILKAN, William Athol","OGILVY, Bernard James","ROBSON, Matthew Peter","Total Valid Candidate Votes","Informal Candidate Votes"
"Ellerslie","Christ Church Anglican Church, 169 Ladies Mile",196,1,40,1,1,13,9,488,16,1,27,793,5
,"Ellerslie Kindergarten, 122 Celtic Crescent",127,2,21,0,1,7,8,265,17,1,13,462,5
,"Michael Park School, 55 Amy Street",190,1,80,1,0,3,5,197,13,0,15,505,4
,"St Mary's Church Hall, 66 Main Highway",250,2,42,3,9,0,18,458,25,3,27,837,15
,"YMCA Centre, downstairs childcare centre, 46 Michaels Avenue",251,1,69,3,0,13,5,516,26,2,27,913,16
"Epsom","Epsom Methodist Church Hall, 12 Pah Road",166,1,32,0,1,13,10,499,31,7,14,774,13
"Greenlane","Cornwall Park District School, Greenlane West & Wheturangi Roads",204,3,27,5,1,29,2,578,36,7,16,908,15
"Hillsborough","Hillsborough Baptist Church, 179 Hillsborough Road",12,0,0,0,0,1,0,9,0,0,3,25,0
,"St Margaret's Church, 102 Hillsborough Road",7,0,0,0,0,1,0,9,0,0,0,17,0
"Mt Roskill","Sunnydene School, 48 Smallfield Avenue",5,0,0,0,0,0,0,4,0,0,0,9,0
"Mt Wellington","Bailey Road School, 19 Bailey Road",772,4,60,5,14,11,28,610,54,9,33,1600,26
,"Panmure District School, 87 Mt Wellington Highway",477,6,49,6,13,8,20,417,35,10,27,1068,20
,"Pensioner Flats Hall, 7 Rowlands Avenue",159,1,5,0,0,5,14,103,12,0,5,304,4
,"Stanhope Road School, 2b Harris Road",738,2,83,7,12,22,26,694,46,7,47,1684,19
,"Sylvia Park School, 3 Longford Street",385,1,38,2,11,10,24,277,20,4,19,791,11
"One Tree Hill","Oranga District School, 21 Rangipawa Road",501,2,63,0,4,20,28,567,38,4,37,1264,16
,"St Oswald's Anglican Church Hall, 193 Campbell Road",385,3,53,3,4,19,28,1015,34,4,21,1569,8
"Onehunga","Onehunga Co-operating Parish, corner Grey Street & Onehunga Mall",541,4,67,1,12,14,24,535,28,7,29,1262,15
,"Onehunga High School, 24 Pleasant Street",115,0,16,2,3,3,4,139,7,3,4,296,6
,"Onehunga Primary School, 122 Arthur Street",379,7,47,0,3,10,13,413,19,3,21,915,7
,"St Peters Anglican Church, corner Church Street & Onehunga Mall",486,5,51,2,16,14,21,421,17,2,13,1048,17
"Oranga","St Stephen's Church Hall, 21 Waitangi Road",478,2,21,2,13,9,10,136,13,1,13,698,7
,"Te Papapa School, 219 Mt Smart Road",440,3,46,1,12,10,11,399,23,11,28,984,16
"Panmure","Bridge Primary School, 76 Kings Road",254,0,17,0,3,6,16,204,9,4,17,530,9
,"Maungarei Hall, 7-13 Pilkington Road",400,1,31,0,7,6,15,188,23,6,20,697,10
,"Ruapotaka Primary School, 10a Taratoa Street",183,0,7,0,13,1,7,29,2,2,3,247,1
,"St Patrick's Church Hall, 19 Sunset View Road",191,0,16,0,4,6,17,153,15,1,9,412,9
,"Tamaki Community Church Foyer, 4a Court Crescent",198,0,9,0,4,1,9,84,6,1,8,320,7
,"Tamaki Intermediate School, 80a Tripoli Road",302,0,25,0,13,3,24,125,15,1,10,518,5
"Penrose","One Tree Hill College, 421-451 Great South Road",195,0,28,0,3,15,4,261,14,1,9,530,10
"Point England","Point England Primary School, 130 Point England Road",301,0,13,2,4,5,8,88,8,7,10,446,13
"Royal Oak","Royal Oak Intermediate, 74 Symonds Street (use Trafalgar Street entrance)",464,2,44,1,0,14,28,640,26,1,33,1253,10
,"Royal Oak School, Chandler Avenue (use 663 Manukau Road entrance)",565,6,87,1,2,23,16,1082,54,3,29,1868,11
"Three Kings","Three Kings School, 944 Mt Eden Road",230,1,46,0,2,9,11,509,32,6,24,870,12
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",92,0,1,1,2,5,4,69,0,1,0,175,44
,"Ordinary Votes BEFORE polling day",1143,10,103,4,13,29,65,1424,76,25,60,2952,24
,"Special Votes BEFORE polling day",277,5,34,0,5,11,25,256,20,4,4,641,18
,"Special Votes On polling day",1339,9,222,5,41,35,67,1293,137,20,68,3236,45
,"Overseas Special Votes including defence force",151,0,46,0,0,9,6,337,22,4,13,588,1
,"Maungakiekie Total",13549,85,1639,58,246,413,630,15491,969,173,756,34009,474
,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34483
"Electorate Candidate Valid Votes","Party",,"LOTU-IIGA, Peseta Samuela Masunu - majority 1942"
"BEAUMONT, Carol Ann",Labour Party,13549,.3983945426
"BLADE, Elliott Reece",RAM - Residents Action Movement,85,.0024993384
"BROUGHTON, David Peter",Green Party,1639,.0481931253
"BROWN, Patrick James",Communist League,58,.0017054309
"JONES, Darren",New Zealand Pacific Party,246,.0072333794
"KRUM, Denise Adrienne",United Future,413,.0121438443
"LOLE-TAYLOR, Le-Aufa'amulia Asenati",New Zealand First Party,630,.0185245082
"LOTU-IIGA, Peseta Samuela Masunu",National Party,15491,.4554970743
"McQUILKAN, William Athol",ACT New Zealand,969,.0284924579
"OGILVY, Bernard James",Kiwi Party,173,.0050868888
"ROBSON, Matthew Peter",Jim Anderton's Progressive,756,.0222294099
