Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tokerau 68","Candidate Vote Details"
,,"DANIELS, Judy Merle","DAVIS, Kelvin Glen","HARAWIRA, Hone Pani Tamati Waka Nene","RANKIN, David Malcolm","TASHKOFF, Peter Boris","Total Valid Candidate Votes","Informal Candidate Votes"
,Auckland Central
"Great Barrier Island","G.B.I. Community Health Centre, 80 Hector Sanderson Road, Claris",2,5,10,0,2,19,0
,"Okiwi School, Aotea Road",0,3,9,0,0,12,2
,"Tryphena Mulberry Grove School, Shoal Bay Road",1,2,10,0,0,13,0
,East Coast Bays
"Albany","Oteha Valley School, corner Oteha Valley Road and Medallion Drive",1,3,14,0,1,19,0
,"Pinehurst School, 75 Bush Road",0,3,14,0,8,25,0
"Browns Bay","Browns Bay Red Cross Centre, 5 Glencoe Close",0,1,5,0,1,7,0
,"Browns Bay School, Masterton Road",0,2,7,0,3,12,0
,"Browns Bay Senior Citizens Hall, 9 Inverness Road",2,2,13,0,2,19,1
,"Northcross Intermediate School, 10 Sartors Avenue",1,9,8,0,0,18,0
,"Pinehill School, corner Hugh Green Drive & Spencer Road",0,1,14,0,4,19,2
,"Salvation Army East Coast Bays Hall, 5 Bayview Road",1,1,11,0,1,14,1
"Glenfield","Meadowood Community House, 55 Meadowood Drive",1,10,25,0,2,38,1
,"Target Road Primary School, 80 Target Road",2,13,42,0,7,64,0
"Long Bay","Long Bay Baptist Church, 282 Glenvar Road",0,2,9,0,0,11,0
"Murrays Bay","Kwang Lim Methodist Church, 539 Beach Road",1,2,6,0,0,9,1
,"Murrays Bay Intermediate School, 37 Sunrise Avenue",1,2,3,0,2,8,0
"Torbay","Torbay School, Deep Creek Road",4,2,17,0,3,26,1
,"Torbay Senior Citizens Club, Torbay Shopping Centre, 37 Watea Road",0,2,7,0,5,14,0
"Unsworth","Westminster Christian School, 31 Westminster Gardens (off Unsworth Drive)",1,4,2,0,1,8,0
,Helensville
"Albany","Albany Community Hall, 3/21 Library Lane",1,10,16,0,2,29,0
,"Albany School, 6 Bass Road",1,5,12,0,4,22,0
"Glenfield","Bayview Primary School, 60 Bayview Road",3,7,23,1,2,36,0
,"Manuka Road Primary School, 34 Manuka Road",1,11,25,0,4,41,0
"Greenhithe","Greenhithe School Hall, Isobel Road",1,2,13,0,6,22,0
,"St Michael's Anglican Church Hall, 12 Greenhithe Road",0,3,2,1,3,9,2
"Haranui","Haranui Marae, Haranui Road",1,1,13,1,0,16,0
"Helensville","Helensville Primary School Hall, corner Rata & Garfield Roads",5,21,77,1,6,110,1
"Herald Island","Herald Island Fire Station, 57 Ferry Parade ",1,1,5,0,0,7,0
"Hobsonville","Hobsonville Primary School, 104 Hobsonville Road",0,5,8,3,5,21,1
,"Hobsonville Public Hall, 397 Hobsonville Road",1,8,14,0,7,30,3
"Huapai","Huapai District School Hall, 40 Station Road",1,2,8,1,6,18,1
"Kaukapakapa","Kaukapakapa Village Hall, 977 Kaipara Coast Highway",2,8,28,0,7,45,0
"Kumeu","Kumeu Baptist Youth Hall, 21 Access Road",4,6,9,0,3,22,3
"Muriwai","Muriwai Fire Station, corner Coast & Motutara Roads",1,5,12,0,1,19,1
"Parakai","Parakai School, 10 Fordyce Road",3,15,50,0,3,71,3
"Paremoremo","Ridgeview School, 1 Cutts Crescent",4,4,15,0,1,24,2
"Riverhead","Riverhead School, 21 School Road",1,10,13,1,2,27,2
"Taupaki","Taupaki School, 14 Cottle Road",0,2,2,0,2,6,0
"Waimauku","Waimauku School, 2 Muriwai Road",1,7,27,4,8,47,1
"Waioneke","Waioneke School, 1981 South Head Road",0,3,5,0,0,8,1
"Waitoki","Waitoki School Hall, 1119 Kahikatea Flat Road",1,2,4,0,2,9,0
"West Harbour","Marina View School, 97-99 Marina View Drive",2,4,18,0,7,31,1
,"West Harbour Alliance Church, 145 Moire Road",3,11,35,0,3,52,0
,"West Harbour Primary School, 74 Oriel Avenue",6,24,58,0,3,91,0
"Whenuapai","Whenuapai School, 14 Airport Road",1,3,9,1,2,16,0
,"Whenuapai Village Hall, 41 Waimarie Road",0,0,10,0,1,11,3
,North Shore
"Bayswater","Bayswater School, Bayswater Avenue",0,18,39,0,5,62,0
"Belmont","Belmont Primary School, 3a Harrison Avenue",0,6,13,0,3,22,0
"Campbells Bay","Campbells Bay School Hall, 77 Aberdeen Road",0,1,5,0,2,8,0
"Castor Bay","Presbyterian Church Hall, corner Seaview Road & Katui Street",3,1,3,0,2,9,0
"Devonport","Devonport Community House, 32 Clarence Street",1,7,21,0,3,32,0
,"Devonport Holy Trinity Parish Hall, 20 Church Street",0,11,9,0,0,20,0
,"Devonport Presbyterian Church Hall, Cnr Victoria and Albert Streets",0,7,17,0,3,27,0
"Forrest Hill","Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",3,6,13,0,5,27,0
"Hauraki","Takapuna Bible Chapel Hall, 13 Jutland Road",1,8,19,0,5,33,1
,"Takapuna Grammar School, Lake Road",0,8,9,0,1,18,0
"Mairangi Bay","Mairangi Bay Presbyterian Church Hall, 11 Hastings Road",0,2,5,0,4,11,1
,"Mairangi Bay School, Galaxy Drive entrance",0,1,6,1,3,11,0
"Milford","Carmel College, 114 Shakespeare Road",0,2,3,0,1,6,0
,"Milford Baptist Church Hall, 3 Dodson Avenue",2,4,4,0,4,14,0
,"Milford School, 34 Shakespeare Road",1,8,13,2,3,27,0
,"North Shore Hospital, Shakespeare Road",1,5,7,1,0,14,0
"Narrow Neck","Vauxhall School, Morrison Avenue",1,5,7,0,0,13,0
"Stanley Bay","Stanley Bay School, 15 Russell Street",0,3,8,0,0,11,0
"Sunnynook","Sunnynook School, 27 Lyford Crescent",0,2,15,1,3,21,0
,"Wairau Intermediate School, Becroft Drive",0,22,23,0,2,47,0
"Takapuna","Takapuna Methodist Church Hall, corner Lake Road & Tennyson Avenue",1,4,9,0,3,17,2
,"Takapuna Normal Intermediate School, 54b Taharoto Road",0,4,2,0,1,7,0
,"Takapuna School, 23 Auburn Street or Anzac Street entrance",0,1,6,1,3,11,0
,Northcote
"Beachhaven","Birkdale Beachhaven Residents Hall, 336 Rangatira Road",4,46,108,0,6,164,4
