Electorate Candidate and Party Votes Recorded at Each Polling Place
"Rangitikei 42","Candidate Vote Details"
,,"ANGUS BURNEY, Jills Helen","GIBSON, Stephen Graham","LANGFORD, John Anthony","POWER, Simon James","THOMPSON, Jean Grace","Total Valid Candidate Votes","Informal Candidate Votes"
"Aokautere","Aokautere School Hall, 196 Fitzherbert East Road",189,12,1,389,12,603,4
"Apiti","Apiti School, 11 Bryce Street",19,0,0,113,3,135,2
"Ashhurst","Ashhurst School Hall, 96 Cambridge Avenue",573,18,21,779,28,1419,17
"Awahou North","Awahou School, Pohangina Valley East Road",44,2,0,110,4,160,0
"Awahuri","Awahuri Hall, Rural No 1623, State Highway 3",58,7,1,183,5,254,1
"Bulls","Bulls School, Bridge Street",195,11,4,425,10,645,4
,"Clifton School, Clifton Street",136,9,11,363,10,529,7
"Bunnythorpe","Bunnythorpe School, 5 Baring Street",154,14,3,298,4,473,2
"Cheltenham","Cheltenham School, Cheltenham-Hunterville Highway",16,1,1,132,1,151,1
"Colyton","Colyton School, 421 Colyton Road",76,9,4,241,2,332,3
"Feilding","Feilding Fire Station Lounge, 201 Kimbolton Road",216,28,3,525,13,785,8
,"Feilding Intermediate School, 95 East Street",249,44,1,409,10,713,6
,"Industrial, Agricultural & Pastoral Association Hall, Rata Street",67,15,3,272,3,360,2
,"Lytton St School, corner Lytton & Monmouth Streets",366,46,4,685,6,1107,11
,"Manchester St School, 160 Manchester Street",460,65,13,1063,13,1614,12
,"North Street School, 52 North Street",402,62,9,706,17,1196,13
,"St Paul's Presbyterian Parish Hall, Church Street",271,50,5,488,8,822,12
"Fordell","Fordell School, 21 Budge Street",3,2,0,28,2,35,0
"Glen Oroua","Glen Oroua School, 200 Sansons Road",39,1,0,222,2,264,4
"Halcombe","Halcombe Primary School, corner Willoughby & Monteith Streets",77,11,1,268,5,362,6
,"Stanway Public Hall, Makino Road",15,2,0,82,2,101,1
"Hikumutu","Hikumutu Community Centre, Hikumutu Road",1,0,1,27,0,29,0
"Himatangi Beach","Community Hall, Koputara Road",121,7,6,129,7,270,1
"Hiwinui","Hiwinui School, Watershed Road",38,0,1,162,1,202,3
"Hunterville","Hunterville Consolidated School, 33 Bruce Street",87,6,1,303,5,402,5
"Kairanga","Kairanga Community Centre, 1103 Kairanga Bunnythorpe Road",56,6,3,295,10,370,1
"Kaitieke","Kaitieke School, Activities Room, Kaitieke Road",5,1,0,53,3,62,1
"Kakahi","Kakahi School, Mohio Road",28,0,0,13,0,41,0
"Kimbolton","Kimbolton School, Flyger Street",30,4,0,158,5,197,1
"Kiwitea","Kiwitea School, 7 Perrys Line",16,1,0,112,1,130,0
"Kopane","Kopane School, Rongotea Road",37,3,4,148,4,196,3
"Linton","Country School, 77 Akers Road",61,5,2,108,3,179,6
"Linton Camp","Community Centre, Puttick Road",142,11,7,199,5,364,4
"Longburn","Longburn Primary School, Carey Street",86,5,0,281,15,387,4
"Makirikiri South","South Makirikiri School, Makirikiri Road",13,4,0,133,0,150,0
"Makuhou","Makuhou Public Hall, Makuhou Road",2,0,0,51,0,53,0
"Mangaweka","Mangaweka School, Raumaewa Road",32,3,4,131,4,174,3
"Marton","James Cook School, Mill Street",155,8,2,287,5,457,3
,"Marton Junction School, 44-56 Alexandra Street",100,5,0,135,2,242,6
,"Marton School, Hereford Street",114,5,5,291,9,424,7
,"St Andrew's Presbyterian Church Hall, Broadway",332,25,13,727,6,1103,6
"Mataroa","Mataroa School, Rongoiti Road",13,2,0,75,1,91,1
"Moawhango","Moawhango School, Moawhango Valley Road",10,0,1,33,3,47,0
