Electorate Candidate and Party Votes Recorded at Each Polling Place
"Mt Albert 26","Candidate Vote Details"
,,"CARAPIET, Jonathan Michael ","CLARK, Helen Elizabeth","DAWSON, Christian Richard","LLEWELL, David Rex","McCABE, Kathleen Patricia Louise","MUSUKU, Ravi Kumar","SIILATA, Milo","van den HEUVEL, Anthony Joseph James","Total Valid Candidate Votes","Informal Candidate Votes"
"Avondale","Avondale Baptist Church, corner Blockhouse Bay & New North Roads",20,207,4,1,13,100,3,1,349,3
,"Avondale College (Music Room M1 Gate 2), 47 Victor Street",40,623,8,0,31,240,9,1,952,14
,"Avondale Community Centre, 99 Rosebank Road",15,498,5,1,14,124,16,1,674,10
,"Avondale Primary School, Crayford Street West",13,144,5,0,12,39,8,2,223,7
,"Rosebank School Hall, 217 Rosebank Road",48,1072,9,1,37,353,39,4,1563,26
"Balmoral","Balmoral School Hall, 19 Brixton Road",38,383,6,0,29,233,0,2,691,5
,"Balmoral Scout Group, 1a Waitomo Avenue (in Pollard Park)",4,39,0,0,3,18,0,0,64,0
"Grey Lynn","Grey Lynn Community Centre, 510 Richmond Road",10,51,0,0,2,11,4,0,78,0
,"Grey Lynn Library Hall, 474 Great North Road",6,60,1,0,3,19,0,0,89,3
"Kingsland","Congregational Christian Church of Samoa, 50 Bond Street",36,254,1,1,20,117,0,4,433,3
,"Kowhai Intermediate School Hall, 26 Onslow Road",99,785,3,0,58,289,3,2,1239,12
,"The Church in Auckland Hall, 621 New North Road",45,266,1,3,22,124,5,0,466,3
"Morningside","Morningside Church of Christ Hall, 42 Leslie Avenue",40,291,1,0,31,146,2,4,515,6
"Mt Albert","Gladstone Primary School, 8 Seaview Terrace",70,707,6,4,43,315,6,1,1152,8
,"Mt Albert Baptist Church, Jubilee Hall, 732 New North Road",46,443,7,0,33,292,2,1,824,9
,"Mt Albert Grammar School Hall, 36 Alberton Avenue",51,759,14,6,62,530,6,5,1433,12
,"Mt Albert Kindergarten, 24 Mark Road",53,389,4,3,20,204,6,0,679,5
,"Mt Albert Methodist Church Hall, Alexis Avenue",48,321,6,1,24,195,3,0,598,11
,"Mt Albert Presbyterian Church Hall, 14 Mt Albert Road",26,471,4,0,54,357,1,2,915,12
,"Mt Albert Primary School Hall, 6 Sainsbury Road",30,339,6,0,33,196,3,5,612,6
,"Rossgrove Chapel Hall, 12 Rossgrove Terrace",53,557,7,2,58,301,5,2,985,6
"Mt Eden","Auckland Provincial Guide Centre, 132 Grange Road",21,167,2,1,14,102,0,1,308,3
,"Ficino School, 27 Esplanade Road",6,15,0,0,2,11,0,0,34,0
,"Good Shepherd Parish Hall, 30 Telford Avenue",28,294,5,1,33,205,2,1,569,5
,"Maungawhau School, 43 Ellerton Road",6,23,3,0,1,26,0,1,60,0
,"Mt Eden Normal Primary School, Valley Road",13,87,1,1,7,61,0,2,172,3
,"St Albans Church Hall, 443 Dominion Road",11,115,4,0,8,43,3,2,186,1
"Mt Roskill","Christ The King Parish, 288 Richardson Road",1,21,2,0,2,2,0,0,28,1
,"May Road School, 504 Richardson Road",0,17,0,0,2,14,0,0,33,0
,"St John's Presbyterian Church, 422 Mt Albert Road",8,65,2,0,7,45,1,0,128,2
,"Wesley Intermediate School, 798 Sandringham Road",1,34,0,1,4,17,0,1,58,2
"New Lynn","New Lynn Sea Scout Hall, 37 Margan Avenue",2,9,1,0,0,2,0,0,14,0
"New Windsor","New Windsor School, 185 New Windsor Road (use 64 Peter Buck Road entrance)",1,13,0,0,0,4,0,0,18,0
"Newton","Newton Central School, end of Waima Street (corner Monmouth Street)",0,11,0,0,1,7,0,0,19,0
"Owairaka","Owairaka District School Hall, 113 Richardson Road",39,787,12,4,29,279,20,2,1172,13
"Point Chevalier","Pasadena Intermediate School Hall, 26 Moray Place",25,252,3,0,18,93,1,1,393,6
,"Point Chevalier Baptist Church Hall, 126 Point Chevalier Road",75,725,9,1,51,415,3,4,1283,21
,"Point Chevalier Primary School, 7-31 Te Ra Road",105,765,5,1,67,560,2,2,1507,10
,"Selwyn Village Theatre, 43 Target Street",11,159,1,0,6,124,0,0,301,4
"Sandringham","Christian Family Church Hall, 631 Sandringham Road",32,473,4,0,24,223,5,3,764,12
,"Edendale Primary School Hall, 419 Sandringham Road",101,1346,10,1,70,530,5,1,2064,29
,"Salvation Army Community Church Hall, Duncan Avenue",22,411,1,2,22,189,3,1,651,8
"Three Kings","Mt Roskill Primary School, 37 Frost Road",1,12,1,0,3,10,0,0,27,0
"Waterview","Waterview Methodist Church Hall, corner Great North Road & Fir Street",60,441,8,2,40,219,10,0,780,13
,"Waterview Primary School Hall, 19 Oakley Avenue (use Herdman Street entrance)",30,397,4,2,13,122,4,0,572,10
"Western Springs","Greek Orthodox Church Hall, 108 Western Springs Road",61,443,9,0,32,203,4,3,755,4
"Westmere","Westmere School, corner Larchwood Avenue & Garnet Street",3,19,0,0,3,10,0,0,35,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",3,127,7,1,5,65,2,1,211,29
,"Ordinary Votes BEFORE polling day",147,1388,16,4,101,791,10,6,2463,31
,"Special Votes BEFORE polling day",41,339,8,1,25,140,2,3,559,8
,"Special Votes On polling day",289,2076,29,7,167,885,35,12,3500,31
,"Overseas Special Votes including defence force",85,467,4,0,33,206,1,3,799,1
,"Mt Albert Total",2019,20157,249,53,1392,9806,234,87,33997,410
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34407
