Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tonga 68","Candidate Vote Details"
,,"CALDWELL, Russell Stanton","OHIA, Rereamoamo Monte","OKEROA, Mahara","SAMUEL, Maru David","STANTON TURIE, Metiria Leanne Agnes","Total Valid Candidate Votes","Informal Candidate Votes"
,Aoraki
,"NZ Post Agency, Main Road, Little River",2,2,8,0,0,12,1
"Beckenham","Thorrington School Hall, Colombo Street South",2,5,8,0,3,18,0
"Cashmere","Cashmere Primary School, 135 Hackthorne Road",0,2,4,1,0,7,1
,"Landsdowne Community Centre, Landsdowne Terrace",1,3,3,0,0,7,0
,"Princess Margaret Hospital Day Hospital, Cashmere Road",3,2,1,0,2,8,0
"Cass Bay","Navy League, TS Steadfast, Governors Bay Road",0,8,7,1,1,17,0
"Diamond Harbour","Diamond Harbour Community Centre, Waipapa Ave",0,3,3,0,2,8,0
"Halswell","Catholic Church Hall, Nicholls Road",1,7,7,0,0,15,1
,"Halswell School Hall, cnr Kennedys Bush Rd & School Rd",2,4,7,0,1,14,0
,"St Mary's Anglican Church Hall, 329 Halswell Rd",1,8,15,0,1,25,0
"Heathcote Valley","Heathcote Valley School, Bridle Path Road",0,3,10,1,7,21,0
"Hillsborough","Commercial Premises, 34 Curries Rd - Opposite Curries Reserve",0,3,3,0,1,7,1
"Linwood","Linwood Avenue School, 260 Linwood Avenue",3,19,39,0,12,73,2
,"Union Church Hall, 378 Linwood Avenue",1,14,28,3,6,52,0
"Lyttelton","Lyttelton Main School, Oxford Street",1,11,19,0,4,35,1
,"Lyttelton West School, Voelas Road",1,3,2,0,0,6,0
"Mt Pleasant","Mt Pleasant Community Centre, McCormacks Bay Road",0,7,2,1,3,13,2
,"Mt Pleasant School, Major Hornbrook Road",0,2,7,0,1,10,1
"Oaklands","Oaklands School, Cunningham Place",3,5,4,0,1,13,1
"Opawa","Opawa Community Church Hall, 7a Aynsley Terrace",0,15,9,0,4,28,1
,"Opawa School, Newbery Street",0,0,5,0,4,9,0
"Redcliffs","St Andrews Church, Main Road",0,4,5,0,2,11,3
"St Martins","Hillview Christian Senior School, 125 Wilsons Road",0,3,9,1,4,17,0
,"Scout Den Opposite Rapaki Road, 297 Centaurus Road",0,1,4,0,1,6,0
,"St Anne's Anglican Church Hall, 7 Wilsons Road",0,6,4,0,2,12,0
"Sumner","Star of the Sea School Hall (cnr Colenso and Menzies Streets)",0,6,5,0,4,15,0
,"Sumner Community Centre, cnr Wakefield Ave & Nayland St",0,5,3,1,4,13,0
"Westmorland","Garage, 10 Highcrest Heights",1,5,0,0,0,6,0
"Woolston","Christchurch Polytechnic Staff Common Room (cnr Ensors Road and Sullivan Avenue)",1,5,6,1,3,16,0
,"Edmonds-Smith Street Kindergarten, 21 Smith Street",0,10,19,1,3,33,0
,"St Johns Church Hall, Ferry Road",1,23,25,1,13,63,3
,"Woolston School, Hopkins Street",3,23,36,1,13,76,1
,Christchurch Central
"Addington","Kidsfirst Kindergarten, 366 Selwyn Street",5,20,20,0,3,48,1
,"Sacred Heart Parish Hall, 70 Spencer Street",4,3,16,1,1,25,0
"Avonside","Avonside Early Childhood Centre, 43 Woodham Road",0,3,7,0,4,14,0
,"Avonside Scout Den, 11 Retreat Road",2,6,17,1,4,30,1
,"Holy Trinity Anglican Church Hall, 168 Stanmore Road",0,4,7,2,4,17,0
"Christchurch City","Cathedral College, cnr Barbadoes Street and Moorhouse Avenue",0,15,5,0,3,23,0
,"Christchurch Central Public Library, cnr Gloucester St & Oxford Tce",1,12,28,2,8,51,1
,"Christchurch East School, 311 Gloucester Street",1,29,19,2,9,60,1
,"Christchurch Hospital, The Great Escape Cafe",0,6,10,0,2,18,1
,"Disability Information Service, Disabled Persons Centre, 314 Worcester Street",2,6,4,0,0,12,0
,"District Court, Family Court Building, 85 Armagh Street",1,2,3,0,2,8,0
,"Hagley Community College, 510 Hagley Avenue",0,2,9,0,0,11,0
,"HMNZS Pegasus, 419 Montreal Street",1,3,5,0,0,9,1
,"St Luke's Church, 250 Manchester Street",2,7,5,0,3,17,1
,"St Mary's Parish Hall, 375 Manchester Street",0,2,7,1,3,13,1
,"The Arts Centre, Hurst Seager Room, cnr Hereford Street & Rolleston Avenue",0,6,4,0,4,14,1
"Linwood","Linwood Bible Chapel, 78 Stanmore Road",1,15,20,4,2,42,2
,"Linwood College Hall, 85 Aldwins Road",0,9,23,0,2,34,2
,"Linwood Intermediate School, McLean Street",0,10,13,1,5,29,0
,"Linwood North School Hall, 221 Woodham Road",2,16,34,3,8,63,2
,"St Chad's Anglican Church Hall, 11 Carnarvon Street (cnr Buckleys Road)",0,2,9,1,0,12,1
"Mairehau","Aldred Methodist Hall, Knowles Street (cnr Nancy Avenue)",0,2,9,0,1,12,0
,"Glenmoor School, 96 Philpotts Road",0,0,4,0,1,5,1
,"Mairehau Primary School, 43 Mahars Road",1,10,5,0,1,17,2
"Opawa","Opawa Baptist Hall, 285 Wilsons Road",1,6,7,1,2,17,0
"Papanui","Papanui Primary School, Winters Road",0,6,9,0,1,16,1
,"Paparoa Street School, Paparoa Street",1,7,5,1,1,15,1
"Phillipstown","Phillipstown School, 21 Nursery Road",2,22,36,1,9,70,1
,"Te Waipounamu Maori Cultural Centre, 290 Ferry Road",2,31,16,1,3,53,1
"Richmond","North Avon Baptist Church Hall, 103 North Avon Road",4,7,14,0,1,26,0
,"Richmond Kindergarten, 41 North Avon Road",0,8,8,1,3,20,0
,"Richmond Primary School, Pavitt Street",1,5,8,0,6,20,0
"Shirley","Hammersley Park School, 102 Quinns Road",0,7,16,0,2,25,1
,"MacFarlane Park Free Kindergarten, 19 Acheson Avenue",0,2,16,0,2,20,6
,"Shirley Community Centre, Shirley Road (cnr Slater Street)",1,17,25,1,9,53,0
,"Shirley Intermediate School Hall, North Parade (cnr Shirley Road)",2,5,15,2,6,30,1
"St Albans","Beulah Christian Fellowship Church, 140 Springfield Road",2,6,7,0,3,18,1
,"Lamb of God Community Hall, 19 Thames Street",0,2,6,3,2,13,0
,"Malvern Scout Hall, Innes Road (Adjacent Rugby Park)",0,6,1,0,0,7,0
,"Rehua Marae, 79 Springfield Road",1,28,14,0,3,46,2
,"St Albans Community Resource Centre, 1049 Colombo Street",1,8,17,0,3,29,0
,"St Albans School, 17 Sheppard Place",2,7,4,1,6,20,1
"Waltham","Waltham School, cnr Hastings Street East and Vienna Street",4,12,18,0,5,39,0
,Christchurch East
"Aranui","School Rooms 1 and 2, 257 Breezes Road",4,42,48,2,10,106,2
,"St Ambrose Church Cafe, 309 Breezes Road",4,26,21,1,4,56,0
,"St James School Room 4, 25 Rowan Avenue",0,15,27,0,4,46,3
"Avondale","School Rooms 5 and 6, 132 Breezes Road",0,6,19,3,3,31,2
,"Woolley Street Kindergarten, 63 Woolley Street",0,7,7,0,3,17,0
"Bexley","Samoan Assembly of God Hall, cnr 157 Bexley Rd and 3 Brook St",1,5,10,0,0,16,1
"Bromley","School Library, 33 Keighleys Road",4,25,28,1,4,62,0
"Brooklands","Community Centre Hall, 5 Anfield Street",1,2,3,0,2,8,0
"Burwood","Burwood Christian Centre, 54 Bassett Street",1,7,9,2,2,21,3
,"Burwood School Hall, 255 New Brighton Road",2,8,12,1,4,27,0
,"Quaker Meeting House Children's Room, 72 Cresswell Ave",1,2,3,1,0,7,0
,"Tumara Park Section Sales Office, cnr Putake Dr & Titirangi Cres",2,0,2,0,2,6,1
,"Windsor School Hall, 170 Burwood Road",2,14,14,2,0,32,2
"Dallington","Banks Avenue School Hall, 71 Banks Avenue",0,6,9,1,2,18,0
,"Dallington Scout Group, 3 Halberg St",1,4,4,1,1,11,0
,"St Paul's School Rooms 1 and 2, 21 Gayhurst Road",0,6,12,0,1,19,1
"Kainga","Public Hall, Kainga Road",0,1,8,1,0,10,0
"New Brighton","Central New Brighton School, Roy Stokes Hall, Seaview Road",4,35,60,1,12,112,4
"North New Brighton","Freeville School, Room 3, Sandy Avenue",0,3,10,1,5,19,1
,"Queen Elizabeth II Park Preschool, Travis Road",0,5,5,0,3,13,0
,"Redemptorist Retreat Centre Hall, 268 Bower Avenue",0,4,12,0,6,22,1
,"School Hall, Leaver Terrace",0,5,11,1,5,22,0
,"War Memorial Community Centre, 93 Marine Parade",2,8,9,1,2,22,1
"Parklands","Parkview School Hall, 10 Chadbury Street",1,20,38,5,9,73,4
"Queenspark","School Library, 222 Queenspark Drive",3,8,10,1,6,28,1
"South New Brighton","South Brighton Community Centre, 74 Beatty Street",2,17,23,3,8,53,0
,"South Brighton Croquet Club Rooms, 132 Union Street",0,1,7,0,3,11,0
"Wainoni","Methodist Church Lounge, 878 Avonside Drive",1,4,5,1,1,12,0
,"Ottawa Gardens Pre-School, 49 Ottawa Road",0,2,4,1,1,8,0
,"School Hall, 115 Eureka Street",0,15,16,1,0,32,3
,Clutha-Southland
"Balclutha","Balclutha Primary School Hall, Lanark St",2,7,13,0,0,22,1
,"Balmoral Church Hall, Essex St",0,4,11,0,1,16,1
,"Rosebank School Hall, Frances St",1,6,17,0,0,24,0
,"St Andrew's Church Hall, George St",0,4,8,0,0,12,0
"Clinton","Clinton School",0,2,6,0,0,8,0
"Colac Bay","Fire Station",1,3,4,0,2,10,0
"Edendale","Edendale School, 24 Salford St",8,0,1,1,1,11,1
"Gore","Calvin Presbyterian Church Centre, Robertson St",1,8,8,0,2,19,0
,"East Gore School Hall, Wentworth St",3,3,5,0,0,11,2
,"Gore District Court, Hokonui Drive",1,7,17,0,3,28,0
,"Gore Main School, School Hall, Ardwick St",0,2,6,0,4,12,0
,"Pipe Band Hall, Hyde St",0,5,7,0,1,13,1
"Kaitangata","Kaitangata School",1,2,16,1,4,24,2
"Kaka Point","Kaka Point Community Centre",0,1,5,0,0,6,0
"Lawrence","St John Rooms",1,3,1,5,0,10,3
"Lumsden","Lumsden School",0,5,8,0,0,13,0
"Mataura","Mataura School Hall, Oakland St",4,26,47,2,6,85,2
"Milton","Tokomairiro Co-op Parish Hall, Union St",0,7,21,0,3,31,0
,"Tokomairiro High School, Union St",1,5,13,0,4,23,0
"Mossburn","Mossburn School",0,2,2,0,2,6,0
"Nightcaps","Takitimu Primary School, Evans St",1,5,1,0,1,8,1
"Ohai","Ohai Town Hall",0,8,13,0,0,21,0
"Otautau","Otautau School",3,7,10,0,2,22,1
"Outram","Outram School",2,2,4,0,4,12,1
"Owaka","Memorial Community Centre",2,3,2,1,5,13,1
"Riversdale","Riversdale School",1,2,1,1,0,5,1
"Riverton","Riverton Primary School Hall, Princess St",0,20,25,4,8,57,1
"Tahakopa","Tahakopa School",0,2,2,0,1,5,1
"Taieri Beach","Taieri Beach School Library",1,1,4,0,0,6,0
"Tapanui","Tapanui School",2,5,4,0,0,11,0
"Te Anau","Te Anau School Hall",1,6,12,1,3,23,1
"Tokanui","Tokanui School, Duncan St",2,1,4,0,2,9,1
"Tuatapere","Tuatapere Community College",0,11,5,0,1,17,3
"Waihola","Waihola & Districts School",0,5,2,0,0,7,0
"Waikawa","Waikawa Hall",0,5,1,0,0,6,1
"Winton","Central Southland College, Grange St",0,3,7,0,3,13,0
,"Winton Primary School, Room 7, Eglinton St",0,3,6,1,0,10,2
"Wyndham","Wyndham Primary School, Florence St",2,8,7,0,0,17,0
,Dunedin North
"Balmacewan","Balmacewan Intermediate School, 44 Chapman Street",1,3,1,0,1,6,0
"Brockville","Brockville School, 263 Brockville Road",0,9,19,0,4,32,0
"Dunedin Central","Arthur Street School, 26 Arthur Street",0,3,11,0,3,17,0
,"Court House, 41 Lower Stuart Street",1,4,7,0,9,21,0
,"Dunedin Hospital, 1st Floor Foyer to Lecture Halls, Great King St",0,7,5,0,5,17,0
,"High Street School, 7 Montpellier Street",0,7,14,1,3,25,3
,"Salvation Army McMillan Lounge, 575 Princes Street",0,3,11,0,2,16,1
,"The Dunedin Centre, 1 Harrop St, Dunedin",0,2,2,0,3,7,1
"Dunedin North","All Saints Church Hall, 786 Cumberland Street",0,2,4,1,1,8,0
,"Dunedin College of Education, 141 Union Street",0,8,8,0,5,21,0
,"George Street Normal School, 989 George Street",3,12,11,1,3,30,0
,"Kelsey Yaralla Kindergarten, 4 Trent Avenue",0,0,6,0,1,7,0
,"Knox Church Hall, 453 George Street (cnr Pitt Street)",0,4,7,0,5,16,0
,"University of Otago (ISB Link East), Cumberland St",1,12,18,2,11,44,0
,"University of Otago (ISB Link West), Cumberland St",2,9,11,0,10,32,0
"Halfway Bush","Halfway Bush Community Hall, 54 Ashmore Street",0,1,9,0,0,10,0
"Kaikorai","Kaikorai Plunket Rooms, 11 Kaikorai Valley Road",0,4,5,0,1,10,0
,"Kaikorai Presbyterian Church Hall, 127 Taieri Road (cnr Nairn Street)",0,2,8,0,3,13,1
,"Kaikorai Valley College, 500 Kaikorai Valley Rd Kenmure",1,1,7,0,0,9,0
"Maori Hill","Coronation Hall, 1 Balmacewan Road",1,3,5,0,2,11,0
"Mornington","Mornington School, 34 Elgin Road",1,11,16,0,4,32,1
,"Mornington Scout Hall, Argyle Street",2,3,6,0,1,12,0
,"St Francis Xavier School, 27 Benhar Street",0,5,4,0,3,12,0
"North East Valley","Dunedin North Intermediate School, 34 North Road",1,12,9,0,9,31,1
,"North East Valley Presbyterian Youth Centre, 213 North Road",1,13,18,0,4,36,1
"Opoho","Opoho School, 96 Signal Hill Road",0,4,6,0,0,10,0
"Pine Hill","Pine Hill School, 2 Wilkinson Street",0,4,17,0,4,25,2
"Port Chalmers","Port Chalmers School, 30A Albertson Avenue",0,1,6,0,2,9,0
,"Port Chalmers Town Hall, Grey Street",1,3,8,0,1,13,0
"Ravensbourne","Ravensbourne Community Hall, Wanaka Street",1,6,4,0,2,13,0
"Roslyn","Kaikorai Primary School, Wright Street",1,2,7,0,1,11,0
,"Presbyterian Church Hall, 21 Highgate",0,3,2,0,3,8,1
"Sawyers Bay","Sawyers Bay School, 99 Stevenson Avenue",1,1,10,0,0,12,0
"St Leonards","King George Hall, 29 St Leonards Road",0,3,1,0,2,6,0
"Wakari","Wakari School, 150 Helensburgh Road",0,7,10,0,2,19,1
,Dunedin South
"Abbotsford","Scout Hall, Abbotsford Road (cnr Unsworth Street)",2,7,10,0,1,20,0
"Andersons Bay","Presbyterian Church Hall, Silverton Street",2,4,10,0,4,20,0
"Brighton","Brighton School, 2 Bath St",0,0,15,2,0,17,1
"Broad Bay","Broad Bay School, Roebuck Rise",0,1,2,0,3,6,0
"Calton Hill","Calton Hill School, 38 Riselaw Road",1,11,18,0,2,32,0
"Caversham","Caversham Presbyterian Church Hall, 61 Thorn Street",0,4,8,0,2,14,1
,"Caversham School Hall, Surrey Street",1,16,24,1,6,48,2
"Concord","Kindergarten, 93 Mulford Street",1,0,6,0,2,9,0
"Corstorphine","Community Centre, Middleton Road",1,9,15,1,2,28,3
,"Corstorphine School, Lockerbie Street",0,4,4,0,5,13,0
"Fairfield","Fairfield Community Hall, Main Road",0,4,9,0,1,14,1
"Forbury Corner","St Bernadettes School Hall, 16 Forbury Road",0,2,6,0,4,12,2
"Green Island","Pipe Band Hall, Main South Road",0,6,13,0,2,21,1
,"Plunket Rooms, Main South Road",0,2,7,1,4,14,0
"Macandrew Bay","Macandrew Bay School, 488 Portobello Road",0,1,3,0,4,8,0
"Mosgiel","Coronation Hall, Gordon Rd",0,2,5,0,1,8,0
,"Elmgrove School, 74 Argyle Street",2,3,0,0,2,7,0
,"Mosgiel Abilities Resource Centre, 16 Green Street",0,5,4,0,0,9,1
,"Mosgiel Public Library, 7 Hartstonge Avenue",0,4,13,0,2,19,0
,"Reid Park Kindergarten, 63 Murray Street",1,0,8,0,1,10,0
,"St Mary's School Hall, Gordon Rd",1,3,11,1,2,18,1
