Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tonga 68","Candidate Vote Details"
,,"CALDWELL, Russell Stanton","OHIA, Rereamoamo Monte","OKEROA, Mahara","SAMUEL, Maru David","STANTON TURIE, Metiria Leanne Agnes","Total Valid Candidate Votes","Informal Candidate Votes"
,Aoraki
,"Bright Centre, Dillons Point Road",0,4,10,0,3,17,3
,"Marlborough Boys' College Pavilion, Francis Street",2,23,24,2,3,54,2
,"Mayfield School Hall, Hutcheson Street",0,7,20,1,4,32,3
,"NMIT Marlborough Campus, Block E",0,22,25,1,2,50,2
,"Redwoodtown School, Cleghorn Street",0,21,34,0,8,63,4
,"Salvation Army Hall, George Street",1,6,9,0,1,17,0
,"Springlands School Old Hall, cnr Murphys Road and Aston Street",1,9,14,2,5,31,2
,"St Mark's Hobbies Room, 61 Main Street",1,2,5,2,1,11,1
,"St Ninian's Church Hall, cnr Alabama Road & Riley Crescent",1,3,10,1,4,19,0
,"Triple Links Hall, 6 John Street",2,5,6,0,0,13,0
,"Whitney Street School Hall, Whitney Street",2,12,8,0,4,26,1
,"Witherlea Kindergarten, 18 Alana Place",1,3,5,0,1,10,0
,"Witherlea School, Weld Street",1,10,6,0,0,17,0
"Culverden","Amuri Area School, School Road",2,1,4,0,1,8,1
"Fairhall","Fairhall School, New Renwick Road",1,5,1,1,1,9,0
"Grovetown","Grovetown School, Vickerman Street",0,3,4,0,1,8,0
"Hanmer Springs","Hanmer Springs School, 6 Cheltenham Street",0,6,5,2,0,13,0
"Hapuku","Hapuku School, SH 1",0,10,6,0,0,16,0
"Havelock","Havelock School, Lawrence Street",3,10,11,0,3,27,2
"Hawarden","Hurunui College, Tenterden Street",0,3,2,1,2,8,0
"Kaikoura","Kaikoura High School, Ludstone Road",1,12,4,0,1,18,2
,"St John's Ambulance Hall, Beach Road",0,9,12,0,4,25,2
,"St Peter's Anglican Church Hall, 33 Torquay Street",1,15,12,0,4,32,1
"Koromiko","Koromiko School, SH 1",0,5,5,0,3,13,0
"Leithfield","Leithfield School, Old Main Road",0,1,6,0,1,8,0
"Linkwater","Linkwater School, Queen Charlotte Drive",0,1,3,0,1,5,1
"Loburn","Loburn School, Hodgsons Road",0,3,3,0,0,6,0
"Oaro","Ocean View Motel, SH 1",0,3,2,0,1,6,0
"Picton","Little Theatre, Dublin Street",3,24,15,0,4,46,1
,"Picton School, cnr Buller and Kent Streets",0,22,11,0,2,35,1
,"Queen Charlotte College, Waikawa Road",1,6,6,0,2,15,0
"Rai Valley","Rai Valley Area School, Community Library, SH 6",0,0,4,2,1,7,0
"Rarangi","Rarangi Golf Club, Rarangi Beach Road",0,1,7,0,2,10,0
"Renwick","Renwick Community Hall, High Street",1,10,11,0,3,25,1
"Seddon","Seddon School, Marama Road",1,2,9,0,0,12,1
"Spring Creek","Spring Creek School, Ferry Road",0,5,10,0,1,16,1
"Tuamarina","Tuamarina School, Bush Road",1,2,5,0,0,8,0
"Waiau","Waiau School, Montrose Street",0,5,3,2,0,10,0
"Waikawa Bay","Waikawa Bay School, 282 Waikawa Road",0,14,8,1,0,23,0
"Wairau Pa","Kokiri Centre, Wairau Bar Road",0,6,8,0,1,15,0
"Woodbourne","RNZAF Family Centre, Caldwell Road",0,7,5,0,0,12,0
,Mana
"Porirua","North City Shopping Centre, Titahi Bay Road",0,3,3,0,2,8,0
,Nelson
"Atawhai","Clifton Terrace School Hall, 888 Atawhai Drive",0,4,2,2,2,10,1
"Brightwater","Brightwater School, 106 Ellis Street",0,5,6,0,2,13,2
"Hope","Hope School, Paton Road",0,2,3,1,0,6,0
"Nelson","Athletics Nelson Club Rooms, Pioneer Park, Hastings Street",0,18,21,2,8,49,0
,"Auckland Point School, 111 Haven Road",2,9,25,5,10,51,0
,"Court House, 200 Bridge Street",2,12,4,2,5,25,0
,"Grove Street Kindergarten, 50A Grove Street",0,10,6,0,4,20,0
,"Hampden Street School, 250 Hampden Street",1,9,11,1,5,27,0
,"Nelson Intermediate School, 112 Tipahi Street",1,12,12,1,5,31,1
,"Presbyterian Nelson Trinity Church, 64 Nile Street",1,11,10,1,10,33,0
,"Salvation Army Hall, 57 Rutherford Street",0,11,8,0,6,25,1
,"Sealord Marine Rescue Centre, Wakefield Quay",0,2,3,1,1,7,1
,"Victory School, 214 Vanguard Street",1,26,51,3,13,94,0
"Richmond","Athletic Soccer Club Room, Gladstone Road",0,2,8,1,0,11,1
,"Garin College, 35 Champion Road",1,2,5,4,3,15,0
,"Richmond School Community Hall, Cambridge Street",2,5,12,2,2,23,0
,"Tasman District Council Office, Queen St",0,2,14,0,1,17,1
,"Waimea Intermediate School, 48 Salisbury Road",1,7,7,0,4,19,0
"Stoke","Birchwood School, Durham Street",0,3,10,0,1,14,0
,"Broadgreen Intermediate School, 193 Nayland Road",1,8,17,5,4,35,2
,"St Barnabas Church Hall, 523 Main Road",0,5,12,2,2,21,1
,"Stoke School, 601 Main Road",1,27,33,5,9,75,2
"Tahunanui","Church of Christ Hall, 29 Parkers Road",0,9,17,2,2,30,2
,"Tahunanui School, 69 Muritai Street",1,11,27,3,9,51,3
"Wakatu","Enner Glynn School, 10 The Ridgeway",0,4,10,0,2,16,1
"Wakefield","Wakefield School, Edward Street",0,3,7,2,2,14,0
,Ohariu-Belmont
"Belmont","Belmont School, 709 Western Hutt Road",1,6,12,1,3,23,0
"Churton Park","Churton Park School, 90 Churton Drive",1,14,10,0,2,27,0
"Harbour View","Garage, 36 Viewmont Drive",0,5,6,1,0,12,0
"Johnsonville","Broderick Road Chapel, 17 Broderick Road",1,32,31,2,5,71,0
,"Garage, 6 Glen Alton Avenue",0,4,4,0,0,8,0
,"Johnsonville School Hall, Morgan Street",1,32,30,3,5,71,0
,"Onslow College Hall, Burma Road",0,36,29,1,8,74,1
,"West Park School Hall, Broderick Road",1,13,7,1,1,23,1
"Khandallah","Cashmere Avenue School, 110 Cashmere Avenue",1,8,14,0,6,29,0
,"Onslow Community Church, 4 Ngatoto Street",0,3,3,0,2,8,1
,"Presbyterian Church Hall, 35 Ganges Road",1,10,11,0,3,25,0
"Korokoro","Korokoro School, Korokoro Road",0,3,8,0,2,13,0
"Maungaraki","Garage, 66 Oakleigh Street",0,0,5,0,1,6,0
,"Maungaraki Community Centre, 135 Dowse Drive",2,20,5,1,1,29,0
"Newlands","Bellevue School Hall, Bancroft Terrace",0,11,34,2,3,50,3
,"Newlands School Hall, 200 Newlands Road",1,36,29,1,8,75,1
,"Rewa Rewa School Hall, Padnell Crescent",3,6,20,1,4,34,0
,"Tennis Club, 26 Black Rock Road",2,5,5,0,0,12,0
"Ngaio","Town Hall, Ottawa Road",1,12,14,0,3,30,2
"Paparangi","Paparangi School Hall, Beazley Avenue",1,15,13,0,3,32,0
,Otago
"Alexandra","Alexandra Primary School, Ventry Street",1,7,7,1,2,18,2
,"Dunstan High School Hall, Enterprise Street",1,4,10,1,3,19,0
,"St Gerard's Parish Hall, Tarbert Street",0,4,5,1,4,14,0
"Arrowtown","Arrowtown Primary School, 9 Chalmers Place",1,5,12,1,2,21,2
"Cromwell","Cromwell Sports Club, Anderson Park, Barry Avenue",1,5,15,1,9,31,1
"Frankton","Frankton Presbyterian Church Hall, cnr Ross/McBride Streets",0,10,16,4,2,32,1
,"Queenstown Events Centre, 35 Joe O'Connell Drive",0,3,5,0,5,13,0
"Hampden","Hampden Primary School, 41-47 Norwich Street",1,3,4,0,1,9,1
"Kakanui","Kakanui Primary School, Fyfe Place",0,4,4,0,2,10,0
"Karitane","Karitane Primary School, Coast Road",0,6,6,0,2,14,0
"Middlemarch","Strath Taieri School, Swansea Street",1,1,4,0,0,6,1
"Moeraki","Coronation Hall, Haven Street",0,1,5,0,0,6,2
"Oamaru","Eveline Church Hall, Thames Highway",0,4,14,0,1,19,0
,"Fenwick School, Arun Street",0,3,10,0,1,14,3
,"Garrison Band Hall, 10 Severn Street",0,2,4,0,3,9,0
,"North Otago Vintage Car Club, Stoke Street",0,1,2,3,1,7,0
,"North School, Torridge Street",0,4,5,0,5,14,0
,"Otago Polytech, Oamaru Campus, Humber Street",0,2,5,0,2,9,0
,"Pembroke School, Harlech Street",0,4,9,1,0,14,0
,"Waitaki Girls' High School, Thames Street",1,4,7,0,1,13,1
"Omakau","Omakau Primary School, Deaker Street",0,4,3,0,0,7,0
"Palmerston","Community Centre, Ronaldsay Street",0,3,10,2,1,16,0
"Queenstown","Memorial Hall, cnr Memorial & Stanley Streets",1,11,16,0,5,33,1
,"Queenstown Primary School Hall, Robins Road",0,5,22,0,6,33,0
"Ranfurly","Maniototo Area School Library, 15 Caulfield Street",0,5,2,0,0,7,0
"Roxburgh","Roxburgh Area School, Scotland Street",0,1,9,0,0,10,0
"Waikouaiti","Waikouaiti Primary School, Malloch Street",2,6,13,0,3,24,3
"Waitati","Waitati Primary School, Mt Cargill Road",1,6,3,1,3,14,0
"Wanaka","International Language Centre, Mt Aspiring College, Plantation Road ",4,5,12,1,3,25,0
,"Wanaka Primary School, 71 Tenby Street",1,2,12,1,5,21,0
"Warrington","Warrington Primary School, Ferguson Street",0,2,6,1,1,10,0
,Rakaia
"Ashburton","Allenton School Hall, 110 Harrison St",1,6,19,0,0,26,2
,"Ashburton College Auditorium, 27 Walnut Avenue",0,2,3,0,1,6,0
,"Ashburton Intermediate School, 144 Cass St",0,2,18,2,3,25,1
,"Hampstead School, 55 Wellington St",0,6,12,0,1,19,0
,"Sinclair Community Centre, 74 Park St",1,5,4,1,0,11,0
,"St John Rooms, 241 Tancred St",1,2,10,0,2,15,1
,"Tinwald Scout and Guide Den, Lagmhor Rd",1,1,3,1,2,8,0
,"Tinwald St James Presbyterian Church Hall, cnr Graham St & Thomson St",4,3,8,1,1,17,2
"Burnham","Burnham School, cnr Chaytor Avenue & Godley Rd",2,9,27,1,0,39,2
"Darfield","Darfield High School, McLaughlins Rd",2,3,2,0,2,9,0
,"Malvern Order of St John, cnr Currie Street & North Terrace",1,1,2,1,1,6,0
"Dunsandel","Dunsandel Community Hall, cnr Dunsandel-Hororata Road and Browns Rd",0,3,2,0,1,6,0
"Fairton","Fairton School, Fairfield Road ",0,0,3,3,1,7,0
"Glentunnel","Glentunnel School, Homebush Rd",2,1,5,0,2,10,0
"Leeston","Leeston Consolidated School Hall, Selwyn St",2,4,6,0,3,15,0
"Lincoln","Lincoln High School Hall, 134 North Belt",0,0,6,1,0,7,3
,"Lincoln University, Stewart Lecture Block, Ellesmere Junction Rd",0,4,4,0,2,10,1
"Methven","Mt Hutt College Hall, cnr Main St and McDonald St",0,4,12,1,1,18,0
"Prebbleton","Prebbleton School, Blakes Rd",0,1,10,0,1,12,0
"Rakaia","Rakaia Community Centre, cnr Elizabeth Avenue and Mackie St",0,7,13,2,4,26,2
"Rolleston","Rolleston Community Centre, 126 Rolleston Drive",3,12,12,3,4,34,0
"Southbridge","Southbridge School, 25 Hasting St",1,2,2,0,2,7,0
"Springfield","Tawera Memorial Hall, Main West Coast Rd",1,5,2,0,0,8,0
"Templeton","Templeton Community Centre, Kirk St",1,8,11,0,2,22,0
"West Melton","West Melton School, cnr Weedons-Ross Road and Westview Cres",0,1,4,1,0,6,1
"Yaldhurst","Yaldhurst Memorial Hall, cnr Yaldhurst Rd & Pound Rd",1,2,3,1,1,8,0
,Rimutaka
"Avalon","Avalon School, 10 Gordon Street",1,12,29,0,1,43,2
"Kelson","Kelson School Hall, Taieri Cresent",0,8,10,3,4,25,0
"Manor Park","Former Manor Park School, Ford Road",1,1,7,0,0,9,0
"Naenae","Rata Street School, Rata Street",1,57,82,6,11,157,5
"Taita","Avalon Intermediate School, 1041 High Street",1,17,27,1,0,46,0
,"Pomare School, Partridge Street",0,33,47,2,2,84,2
,"St Michael's School, Cooper Street",0,14,22,4,2,42,2
,"Taita Central School, Churton Crescent",0,28,47,2,10,87,1
,Rongotai
"Berhampore","Berhampore School Hall, 105 Britomart Street",0,7,14,0,7,28,0
,"South Wellington Intermediate School Hall, Rintoul Street",0,11,14,6,1,32,0
,"St Cuthbert's Church Hall, 23 Luxford Street",0,10,8,0,3,21,0
"Chatham Islands, Waitangi","Chatham Islands Council",2,19,37,0,6,64,2
"Hataitai","Hataitai Bowling Club, Upstairs Lounge, 159 Hataitai Road",1,8,10,1,2,22,0
,"Hataitai School Hall, Arawa Road",0,6,13,0,5,24,0
,"Port Nicholson Sea Scouts' Hall, Evans Bay Parade",0,6,2,0,1,9,0
"Houghton Bay","Houghton Valley School, Room 6, 110 Houghton Bay Road",0,3,3,1,1,8,1
"Island Bay","Island Bay Presbyterian Church Lounges, 88 The Parade",3,17,19,0,6,45,4
,"Island Bay School Hall, Thames St",0,3,10,0,3,16,0
,"St Hilda's Church Parish Centre, 311 The Parade",1,22,20,0,6,49,1
"Kilbirnie","Kilbirnie School Hall, 72 Hamilton Road",0,15,6,0,5,26,2
,"St Patrick's Church Parish Centre, 1 Childers Terrace",1,21,38,0,4,64,3
"Kingston","Capital Montessori School, Rata Classroom, 14 Camrose Grove",2,4,3,1,6,16,1
"Lyall Bay","Lyall Bay Pavilion, Lyall Bay Parade",1,10,12,0,6,29,1
,"Lyall Bay School Hall, Freyberg Street",0,30,33,7,7,77,1
"Maupuia","Garage, 70 Akaroa Drive",0,13,6,0,3,22,1
"Miramar","Holy Cross School Hall, 117 Miramar Avenue",0,15,9,0,2,26,0
,"Miramar Baptist Church Hall, 33 Park Road",1,10,11,5,6,33,3
,"Miramar Central School Hall, 38 Park Road",0,21,18,0,5,44,0
,"Miramar Community Centre, 27 Chelsea St",1,7,3,0,0,11,1
,"Miramar North School Hall, 23 Weka Street",0,2,6,0,2,10,0
,"Miramar South School Hall, 1 Kauri Street",0,3,24,0,0,27,0
"Mornington","Ridgway School Room 7, Mornington Road",0,11,7,2,3,23,1
"Newtown","Newtown School Hall, Mein Street",1,35,42,1,13,92,1
,"The Congregational Christian Church of Samoa EFKS, Room 2, 172-180 Owen Street",0,4,3,0,1,8,0
,"Trinity Union Church Hall, Riddiford St / Hall Avenue",1,2,5,0,4,12,0
,"Wellington Chinese Baptist Church Hall, 24 Donald McLean Street",0,13,12,0,7,32,3
,"Wellington South Salvation Army Hall, 16-22 Constable Street",2,17,16,1,9,45,2
"Owhiro Bay","Owhiro Bay School Hall, 96 Happy Valley Road",1,14,8,1,1,25,0
"Rongotai","Rongotai College, Renner Hall, 170 Coutts Street",1,25,25,0,5,56,0
"Roseneath","St Barnabas Church Hall, 15 Maida Vale Road",1,7,4,0,2,14,0
"Seatoun","St Anthony's School Junior Block 1, 10 Ludlam Street",0,3,2,0,1,6,1
,"St Christopher's Village Hall, Ventnor Street (cnr Forres Street)",0,3,2,0,1,6,0
"Strathmore Park","Ancient & Apostolic Church of the East, St George Parish, 6 Glamis Ave",0,3,8,0,1,12,0
,"Garage, 20 Ahuriri Street",0,3,16,0,0,19,1
,"Strathmore Community School, Strathmore Avenue",0,22,21,0,5,48,0
"Vogeltown","Garage, 2/2 Short Street",0,6,0,0,0,6,0
"Worser Bay","Worser Bay School, Middle Area, 168 Seatoun Heights Road",1,1,1,1,1,5,1
,Waimakariri
"Belfast","Belfast School, 700 Main North Road",0,12,11,0,1,24,0
,"Papanui ACC Office, Northwood Supa Centre, 1 Radcliffe Road",1,5,3,1,0,10,0
,"Salvation Army Hall, 794 Main North Road",2,8,11,1,0,22,2
"Bishopdale","Bishopdale School Hall, 465 Greers Road",2,12,10,0,2,26,0
,"Cotswold School, 50 Cotswold Avenue",0,10,17,0,2,29,0
,"Reformed Church, 90 Highsted Road",3,6,3,1,0,13,0
"Clarkville","Clarkville School, Heywards Road",1,0,3,0,1,5,1
"Kaiapoi","Kaiapoi Community Centre Hall, 24 Sewell Street",3,12,27,1,5,48,2
,"Kaiapoi Cooperating Parish, Wesley Centre, 53 Fuller St",3,8,24,1,1,37,1
,"Kaiapoi High School Auditorium, Ohoka Road",3,16,33,2,5,59,0
,"Kaiapoi North School, 278 Williams Street",3,7,17,1,2,30,1
"Marshland","Marshland School, 329 Prestons Road",1,3,2,0,1,7,2
"Ohoka","Ohoka School, Jacksons Road",0,2,1,1,2,6,2
"Oxford","Jaycee's Room, Main Street",2,5,6,0,1,14,0
"Papanui","Casebrook Intermediate, 90 Veitches Road",0,4,11,0,4,19,2
,"Papanui Baptist Church, 144 Sawyers Arms Road",0,5,7,2,1,15,3
,"Papanui Methodist Church Hall, 68 Harewood Rd (cnr Chapel St)",1,13,11,1,5,31,1
"Pines Beach","Public Hall, 7 Dunns Avenue",1,5,11,0,2,19,1
"Rangiora","Ashgrove School, 48 Seddon Street",1,1,4,2,1,9,0
,"Rangiora Borough School, King Street",4,7,10,2,1,24,2
,"Rangiora High School, East Belt",0,2,5,1,0,8,0
,"Salvation Army Hall, 12 Ashley Street",0,6,5,2,1,14,0
,"Southbrook School, 26 Marshall Street",2,3,11,4,2,22,0
"Redwood","Early Childhood Centre, 339 Main North Road",0,7,4,0,1,12,0
,"Northcote School, 26 Tuckers Road",2,6,17,0,6,31,0
,"Play Centre, 40 Dunedin Street",0,1,5,0,1,7,1
,"School, 51 Prestons Road",1,5,17,0,3,26,1
,"Scout Hall, 20 Sturrocks Road",1,2,4,0,2,9,1
"Tuahiwi","Tuahiwi School, 206 Tuahiwi Road",5,24,28,0,6,63,2
"Waikuku","Waikuku School, Main Road",1,2,3,0,1,7,0
"Waikuku Beach","Waikuku Beach Hall, Park Terrace",0,4,7,2,1,14,0
"Woodend","Woodend School, Main Road ",2,7,12,0,0,21,0
,Wellington Central
"Brooklyn","Brooklyn Community Centre, Harrison Street",1,9,10,0,9,29,1
,"Brooklyn School, Washington Avenue",1,10,5,0,3,19,0
"Chartwell","Chartwell School Hall, Chartwell Drive",0,4,5,0,1,10,1
"City","Aro Valley Community Centre, 48 Aro Street",1,26,36,1,16,80,0
,"Mount Cook Preschool, 160 Tory Street",1,14,13,0,6,34,1
,"St Andrew's Church Hall, 30 The Terrace",0,3,3,0,2,8,0
,"St John's Church Conference Centre, Dixon Street",0,12,11,0,9,32,0
,"Wellington Central Church, 39 Webb Street",0,10,20,2,4,36,3
,"Wellington High School, Main Foyer, 249 Taranaki Street",0,12,9,1,4,26,0
,"Wellington Town Hall, 111 Wakefield Street",3,38,38,1,19,99,2
,"Wesley Church New Hall, 75 Taranaki Street",0,12,14,2,9,37,1
"Karori","Karori Baptist Church, 161-163 Karori Rd",0,2,6,1,1,10,0
,"Karori Normal School Hall, Donald Street",0,12,6,0,2,20,1
,"Karori West School, Allington Road",3,24,19,0,2,48,0
,"Karori West Scout Hall, 21 Sunshine Avenue",0,4,9,1,1,15,0
,"Sprott House, Recreation Lounge, Messines Road",0,3,2,0,2,7,0
,"St Teresa's Parish Hall, 301 Karori Road",0,17,5,2,2,26,2
"Kelburn","Kelburn Normal School Hall, Kowhai Road",0,9,4,0,3,16,1
,"St Michael's and All Angels Parish Hall, 83 Upland Road",0,10,3,0,3,16,0
"Makara","Makara School, 399 Makara Rd",0,3,5,0,2,10,1
"Mt Victoria","Clyde Quay School Hall, Elizabeth Street",1,30,24,0,13,68,1
,"St Joseph's Church, Bill Pearce Room, 154 Brougham Street",0,7,7,0,4,18,1
"Newtown","St James Presbyterian Church Lounge, 235 Adelaide Road",0,3,2,0,3,8,0
,"St Paul's Lutheran Church, King Street",1,2,6,0,1,10,0
,"Te Whaea National Dance & Drama Centre, Student Common Room, Hutchison Road",0,5,8,0,1,14,0
"Northland","Northland School, Harbour View Road",0,11,6,0,1,18,1
,"St Anne@Ward Church Hall, Northland Road",0,5,6,0,5,16,0
"Oriental Bay","Overseas Terminal, Ground Floor, 1 Herd Street",0,2,6,0,1,9,0
"Thorndon","De Porres House, St Mary's College, Guilford Tce",0,5,4,0,2,11,0
,"Thorndon School Hall, Hobson Crescent",1,11,14,0,5,31,0
,"Wellington Bridge Club, 17 Tinakori Road",0,10,9,1,4,24,0
"Wadestown","St Luke's Centre, 32 Pitt Street",0,6,8,1,3,18,0
,"Wadestown School, 2 Rose Street",0,1,5,0,1,7,0
"Wilton","Otari School, 166 Wilton Road",0,21,11,1,1,34,2
,West Coast-Tasman
"Arahura","Arahura Whare Wananga, SH 6",0,12,18,0,0,30,3
"Cobden","Bowling Club Rooms, 84a Ward St",3,2,5,0,0,10,0
,"Cobden School, Fox St",1,6,6,1,0,14,2
"Dobson","Paparoa Range School, Herald St",4,1,2,2,0,9,0
"Dovedale","Dovedale School, Wakefield Thorpe, Wakefield",1,3,3,1,0,8,0
"Fox Glacier","Te Moeka O Tuawe School, Cook Flat Rd",0,3,4,1,0,8,0
"Franz Josef","Franz Josef/Waiau Community Centre, SH 6",0,6,3,0,2,11,0
"Granity","Granity School, 83 Torea St",0,1,3,0,1,5,1
"Greymouth","Grey Main School, Joyce Crescent",0,1,4,1,0,6,2
,"Grey United Tennis Club, Shakespeare St",0,2,5,0,1,8,0
,"Karoro Learning Centre, 180 Tainui St",0,11,12,0,3,26,1
,"Regent Theatre, cnr Mackay & Herbert Sts",0,2,3,1,1,7,1
"Haast","Haast School, Hannahs Clearing",0,3,4,0,1,8,1
"Hari Hari","Sth Westland Area School, Wanganui Flat Rd",1,1,1,1,1,5,1
"Hector","Ngakawau Domain Hall, Main Rd",0,4,6,0,0,10,0
"Hokitika","Church of Christ Hall, cnr Sale & Stafford St",1,5,8,0,2,16,2
,"Hokitika Regent Theatre, Tancred St",1,9,13,0,1,24,0
,"St Mary's Primary School, Sewell St",0,5,9,0,1,15,2
,"Westland High School, Sale St",2,9,11,0,1,23,1
"Kaniere","Kaniere School, 16 Camp St ",0,4,3,0,1,8,2
"Lower Moutere","Lower Moutere School RD 2",2,0,5,0,2,9,0
"Mapua","Mapua School, 4 Stafford Drive",1,3,4,0,8,16,0
"Moana","Lake Brunner School, Ahau St",0,1,2,0,2,5,1
"Motueka","Motueka South School, 450 High St",0,8,10,0,3,21,1
,"Parklands School, 9 - 19 Pah St",0,41,54,5,12,112,1
,"Salvation Army Hall, 8 Greenwood St",0,6,10,2,4,22,0
"Motupipi","Motupipi School, RD1 Takaka",0,2,2,0,1,5,1
"Murchison","Murchison Area School, Waller St",0,1,1,0,3,5,2
"Paroa","Paroa School, Main South Rd",2,3,5,0,0,10,1
"Reefton","Reefton Community Centre",0,2,3,2,0,7,0
"Riwaka","Riwaka Memorial Hall, Main Rd",0,4,6,0,1,11,0
,"Riwaka School, 22 School Rd",1,2,9,0,1,13,0
"Ross","Ross School, Moorhouse St",1,3,4,0,1,9,2
"Runanga","Runanga School, McGowan St",2,1,6,0,2,11,1
"Seddonville","Seddonville Bowling Club",0,2,3,0,1,6,0
"Takaka","Tasman District Council Office, 78 Commercial St",0,3,14,0,0,17,2
"Tapawera","Taparewa Area School, Main Rd",0,3,3,0,0,6,0
"Upper Moutere","Upper Moutere School, Main Rd",0,4,4,0,2,10,0
"Waimangaroa","Waimangaroa School, Stewart St",0,1,4,0,1,6,0
"Westport","Kawatiri Maori Women's Welfare League, 1 Lyndhurst St",0,3,11,0,2,16,0
,"St Canice's School, cnr Brougham & Derby Sts",1,1,7,0,1,10,0
,"Westport Courthouse, Wakefield St",1,4,6,1,1,13,0
,"Westport North School, Cobden St",1,1,2,0,1,5,1
,"Westport South School, Derby St",1,8,0,0,1,10,1
"Whataroa","Whataroa Courthouse, Main Rd",0,3,3,1,0,7,0
,Wigram
"Addington","Addington School, 22 Brougham Street",3,13,18,1,5,40,0
"Beckenham","Beckenham School, Sandwich Road",2,6,9,0,4,21,0
,"St Peter's School, 11 Fisher Avenue",1,3,4,0,1,9,0
"Hei Hei","Gilberthorpe School, 163 Gilberthorpes Road",0,10,7,0,1,18,2
,"Kids First Kindergarten, Wycola Avenue",1,9,6,0,1,17,1
,"St Aidan's Church Hall, 173 Buchanans Road",4,13,20,0,3,40,0
"Hillmorton","Hillmorton Kindergarten, 14 Torrens Road",1,4,4,0,1,10,1
,"Rowley School, 48 Rowley Avenue",5,16,28,2,3,54,1
,"Spreydon School, 2 Halswell Road",2,9,4,0,2,17,1
"Hoon Hay","Hillmorton High School, Recreation Hall, Tankerville Road",0,9,6,1,2,18,1
,"Hoon Hay School Library, 91 Sparks Road",1,9,13,1,3,27,2
,"Manning Intermediate, 50 Hoon Hay Road",1,5,7,2,0,15,0
,"Presbyterian Church Hall, 5 Downing Street",1,1,3,0,1,6,0
"Hornby","Branston Intermediate, 35 Amyes Road",4,16,27,1,2,50,2
,"Hornby Library, Goulding Avenue",8,9,15,1,3,36,1
,"Hornby School Hall, Waterloo Road",2,13,14,0,4,33,3
,"South Hornby School, Shands Rd",1,4,14,0,0,19,0
,"St Columba's Church Hall, 452 Main South Rd",2,3,8,1,1,15,0
"Riccarton","NZ Blood Donor Service, 87 Riccarton Road",0,5,9,3,4,21,0
,"St Hilda's Church Hall, 7 Centennial Avenue",0,3,7,0,2,12,0
,"Wharenui School, Matipo St",1,5,10,2,3,21,1
"Russley","Russley School, 75 Cutts Road",0,4,2,1,1,8,0
,"St Stephen's Methodist Church, 376 Yaldhurst Rd",1,2,3,0,0,6,0
"Sockburn","Sockburn School, 34 Springs Rd",6,22,26,0,4,58,2
,"Sockburn Service Centre, 149 Main South Road",1,8,4,0,1,14,1
"Somerfield","Cashmere High School, Rose Street",1,1,6,0,1,9,0
,"Somerfield School, 42 Studholme Street",1,6,12,1,5,25,1
"Spreydon","Christchurch South Intermediate, 204 Selwyn Street",5,12,15,0,2,34,2
,"Spreydon Baptist, Cobham St Hall, 51 Cobham Street",2,3,14,1,3,23,0
,"St James Presbyterian Hall, cnr Barrington & Bewdley Street",1,3,6,0,3,13,3
,"St Martins Church Neave Room, 50 Lincoln Road",2,4,6,1,2,15,1
,"St Nicholas Church Hall, 331 Barrington St",0,5,4,0,1,10,0
,"Te Kura Kaupapa Maori O Te Whanau Tahi, 81 Lyttelton Street",0,14,11,1,1,27,0
,"West Spreydon School Llibrary, 147 Lyttelton Street",2,2,8,0,3,15,0
"Sydenham","St Saviours Anglican Hall, 200 Colombo Street",3,10,9,1,6,29,0
,"Sydenham Community Centre, 23-25 Hutcheson St",0,8,10,1,3,22,1
"Upper Riccarton","Middleton Grange School, 50 Acacia Avenue",1,3,3,2,1,10,1
,"Riccarton High School, Curletts Road",1,9,6,2,2,20,0
,"Riccarton School, English Street",1,1,5,0,0,7,1
,"St Thomas of Canterbury College, 69 Middlepark Road",0,3,6,0,3,12,0
,"Polling places where less than 6 votes were taken",48,212,303,28,86,677,40
,"Hospital Votes",3,22,20,1,5,51,3
,"Ordinary Votes BEFORE polling day",41,367,443,30,134,1015,40
,"Special Votes BEFORE polling day",6,65,64,4,21,160,8
,"Special Votes On polling day",34,611,567,38,198,1448,52
,"Overseas Special Votes including defence force",5,51,75,2,19,152,1
,"Te Tai Tonga Total",705,6512,9015,559,2296,19087,644
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",19731
"Electorate Candidate Valid Votes","Party",,"OKEROA, Mahara - majority 2503"
"CALDWELL, Russell Stanton",Jim Anderton's Progressive,705,.0369361345
"OHIA, Rereamoamo Monte",Mâori Party,6512,.3411746215
"OKEROA, Mahara",Labour Party,9015,.472310997
"SAMUEL, Maru David",Destiny New Zealand,559,.0292869492
"STANTON TURIE, Metiria Leanne Agnes",Green Party,2296,.1202912977
