Electorate Candidate Votes Recorded at Each Voting Place
"Nelson 30","Candidate Vote Details"
,,"BAYLY, Adrian James","GREEN, John Langlands","HUFFLETT, Paul Charles","OSMASTON, Richard Francis","ROBERTSON, Colin Donald","SMITH, Nick","STREET, Maryan","Total Valid Candidate Votes","Informal Candidate Votes"
"Appleby ","Appleby School, 19 Moutere Highway",1,6,0,0,8,60,17,92,1
"Atawhai","Clifton Terrace School Hall, 888 Atawhai Drive",4,29,1,2,111,457,231,835,5
"Brightwater","Brightwater School, 106 Ellis Street",3,29,3,2,35,528,197,797,8
"Enner Glynn","Enner Glynn School, 10 The Ridgeway",2,22,2,9,82,558,311,986,7
"Hira","Hira School, 800 Main Road",2,10,2,2,50,119,106,291,1
"Hope","Hope Community Hall, 184 Main Road ",3,20,2,5,20,293,79,422,9
,"Hope School, 316 Paton Road",2,18,3,1,39,361,108,532,8
"Nelson","Athletics Nelson Club Rooms, Pioneer Park, Hastings Street",4,16,7,8,101,313,299,748,6
,"Auckland Point School, 111 Haven Road",1,20,5,3,69,287,240,625,11
,"Club Italia Hall, 9 Trafalgar Street",0,20,5,6,101,426,269,827,13
,"Court House, 200 Bridge Street",1,21,5,7,139,411,355,939,6
,"Masonic Hall, 109 Nile Street",4,19,6,9,171,419,440,1068,10
,"Salvation Army Hall, 57 Rutherford Street",1,8,3,1,40,130,128,311,5
"Nelson South","Hampden Street School, 250 Hampden Street",5,19,4,2,96,416,335,877,3
,"Nelson Intermediate School, 112 Tipahi Street",0,21,5,5,71,151,229,482,5
,"Victory School Community Centre, Totara Street",8,40,7,5,131,297,766,1254,21
"Richmond","Garin College, 35 Champion Road",1,20,2,3,46,707,196,975,7
,"Richmond School Community Hall, 14 Cambridge Street",6,44,4,6,51,607,317,1035,6
,"Tasman District Council Office, 189 Queen Street",9,49,3,0,122,1059,443,1685,20
,"Waimea Intermediate School, 48 Salisbury Road",2,26,6,1,45,350,180,610,5
"Stoke","Birchwood School, 15 Durham Street",6,15,5,9,35,366,229,665,5
,"Broadgreen Intermediate School, 193 Nayland Road",9,32,8,5,105,901,574,1634,17
,"Saxton Stadium, 142 Saxton Road East",1,29,2,2,39,528,211,812,8
,"Stoke School, 601 Main Road",9,71,12,7,101,854,552,1606,13
,"Stoke Scout Hall, 214 Songer Street",6,25,1,5,38,386,287,748,7
"Tahunanui","Church of Christ Hall, 29 Parkers Road",3,22,7,4,61,340,279,716,10
,"Nightingale Memorial Library, 2 Beach Road",2,4,1,2,37,201,115,362,4
,"Tahunanui School, 69 Muritai Street",5,24,5,4,84,536,338,996,2
"Wakapuaka","Hira Rural Kindergarten, 460 Wakapuaka Road (State Highway 6)",1,9,1,2,27,108,52,200,1
"Wakefield","Wakefield School, Edward Street",1,2,0,0,4,17,8,32,1
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",25,340,52,31,893,6183,3398,10922,138
,"Special Votes BEFORE polling day",3,25,6,7,133,510,318,1002,9
,"Special Votes On polling day",6,66,11,18,247,834,602,1784,19
,"Overseas Special Votes including Defence Force",2,4,7,2,117,287,186,605,1
,"Nelson Total",138,1125,193,175,3449,20000,12395,37475,392
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",37867
"Electorate Candidate Valid Votes","Party",,"SMITH, Nick - majority 7605"
"BAYLY, Adrian James",Democrats for Social Credit,138,.003682455
"GREEN, John Langlands",Conservative,1125,.0300200133
"HUFFLETT, Paul Charles",ACT New Zealand,193,.0051501001
"OSMASTON, Richard Francis",Money Free Party,175,.0046697799
"ROBERTSON, Colin Donald",Green Party,3449,.0920346898
"SMITH, Nick",National Party,20000,.5336891261
"STREET, Maryan",Labour Party,12395,.3307538359
