Electorate Candidate and Party Votes Recorded at Each Polling Place
"Tukituki 53","Candidate Vote Details"
,,"BURNSIDE, Robert James","FOSS, Craig Raymond Robert","HAYDON-CARR, Julia Bridgit","JENKINSON, Stephen","MACDONALD, James Stuart","MANNING, Romana Lea","PULFORD, Barry Reece","Total Valid Candidate Votes","Informal Candidate Votes"
"Waipawa","Central Hawkes Bay District Council Chambers, 28-32 Ruataniwha Street",1,122,28,16,16,3,0,186,2
"Waipukurau","Waipukurau School Hall, St Marys Road",0,58,14,1,3,0,0,76,1
"Waiwhare","Waiwhare Community Centre, 27 River Road",2,61,7,2,2,0,0,74,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Napier",1,83,30,2,9,2,0,127,2
,"Ordinary Votes BEFORE polling day - Taken in Tukituki",24,2789,1103,114,219,20,12,4281,59
,"Ordinary Votes BEFORE polling day - Taken in Wairarapa",0,105,26,3,8,1,0,143,0
,"Special Votes BEFORE polling day",1,223,118,7,28,4,0,381,9
,"Special Votes On polling day",19,1017,558,52,193,28,2,1869,48
,"Overseas Special Votes including Defence Force",0,111,47,2,23,1,0,184,1
,"Tukituki Total",252,19378,9718,1078,2319,352,74,33171,787
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33958
"Electorate Candidate Valid Votes","Party",,"FOSS, Craig Raymond Robert - majority 9660"
"BURNSIDE, Robert James",ACT New Zealand,252,.0075969974
"FOSS, Craig Raymond Robert",National Party,19378,.5841849809
"HAYDON-CARR, Julia Bridgit",Labour Party,9718,.2929667481
"JENKINSON, Stephen",Conservative Party,1078,.0324982666
"MACDONALD, James Stuart",Green Party,2319,.069910464
"MANNING, Romana Lea",Aotearoa Legalise Cannabis Party,352,.0106116789
"PULFORD, Barry Reece",Democrats for Social Credit,74,.0022308643
