Electorate Candidate Votes Recorded at Each Voting Place
"Hutt South 17","Candidate Vote Details"
,,"BISHOP, Christopher","COPELAND, Gordon Frank","MALLARD, Trevor Colin","O'SULLIVAN, Graeme Arthur","PAJAK, Jan","PARORO, Mataroa","STONYER, David Lester","WALKER, Holly Ruth","Total Valid Candidate Votes","Informal Candidate Votes"
"Alicetown","Hutt Central School, 6 Railway Avenue",306,20,330,1,1,22,3,63,746,3
"Avalon","Avalon School, 10 Gordon Street",47,5,37,2,0,4,0,17,112,1
,"Dyer Street School, 59 Dyer Street",174,7,162,0,0,5,0,26,374,0
"Belmont","Belmont Hall, 711 Western Hutt Road",313,18,188,6,2,16,0,55,598,2
,"Maranatha School, 180 Hill Road",133,10,77,1,0,4,0,41,266,2
,"Raphael House, 27 Matuhi Street",91,0,73,0,0,2,0,23,189,2
"Boulcott","Boulcott School, 9 Boulcott Street",309,12,120,1,0,3,2,25,472,1
"Days Bay","Wellesley College, 611 Marine Drive",271,1,161,3,0,4,0,65,505,5
"Eastbourne","Muritai School, 160 Muritai Road",507,8,375,2,0,11,2,125,1030,3
"Epuni","Congregational Christian Church Hall of Samoa, 37 Mitchell Street",124,6,148,2,0,16,1,24,321,4
,"Epuni School Hall, 313 Waiwhetu Road",310,21,295,2,1,20,2,57,708,6
"Gracefield","Gracefield School, 20A Bell Road",124,8,144,1,0,6,0,15,298,5
"Harbourview","Garage, 12 Panorama Grove",245,10,110,3,0,6,4,30,408,1
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",495,24,228,6,1,11,2,45,812,3
,"Hutt Hospital, 640 High Street",87,2,86,3,0,8,2,22,210,2
,"Hutt Intermediate School, 7 Kauri Street",438,15,209,2,1,7,0,64,736,3
,"Hutt Valley High School, 84 Woburn Road",466,18,271,8,3,16,0,63,845,11
,"Knox Presbyterian Church Hall, 574 High Street",298,17,165,3,1,13,1,33,531,4
,"St Bernard's College, 183 Waterloo Road",373,18,201,4,1,16,2,30,645,5
,"Sts Peter and Paul School, Myrtle Street",243,8,150,3,1,5,3,24,437,3
"Kelson","Kelson School Hall, 52 Taieri Crescent",496,29,345,0,6,22,2,66,966,4
"Korokoro","Korokoro School Hall, 79 Korokoro Road",236,4,221,3,0,9,3,37,513,1
"Maungaraki","Garage, 66 Oakleigh Street",136,7,106,0,0,4,2,20,275,1
,"Maungaraki Community Centre, 135 Dowse Drive",616,32,410,9,3,21,13,86,1190,4
"Moera","Randwick School, 59 Randwick Road",159,12,394,7,1,20,5,48,646,6
"Naenae","Naenae Community Hall, corner Treadwell & Everest Streets",6,1,32,0,0,1,0,0,40,0
,"Naenae Kindergarten, 19 Seddon Street",11,0,12,0,1,0,0,1,25,0
,"Naenae Primary School, 18 Wheatley Street ",4,3,8,0,0,0,0,1,16,0
"Normandale","St Aidans-On-The-Hill Church Hall, 2 Stratton Street",311,15,208,2,4,13,9,66,628,5
"Petone","Petone Central School, 16 Britannia Street",340,14,483,2,3,25,1,113,981,5
,"St Augustine's Cub Group Hall, 71 Udy Street",148,2,176,0,3,6,0,34,369,1
,"Wilford School, 100 William Street",328,9,461,7,3,15,2,87,912,4
"Point Howard","Tennis Club/Playcentre, 29 Ngaumatau Road",68,2,43,0,1,2,1,13,130,0
"Taita","Avalon Intermediate School, 1041 High Street",10,0,22,0,0,2,0,1,35,0
"Wainuiomata","Arakura School, 209 Wellington Road",158,13,414,2,1,34,0,33,655,6
,"Fernlea School, 25a Lees Grove",73,3,195,3,0,13,0,9,296,0
,"Holy Trinity Church, 40 Wainuiomata Road",122,23,242,3,1,34,0,21,446,4
,"Pukeatua School, 19 Frederick Street",75,4,202,0,3,12,0,17,313,2
,"St Peter's Church, 29 Wise Street",109,11,286,1,3,27,0,25,462,2
,"Wainuiomata Intermediate School, 66 Konini Street",245,24,577,6,5,38,4,37,936,9
,"Wainuiomata Primary School, 5 Homedale Road",218,12,434,1,2,41,1,54,763,5
,"Wainuiomata Union Church, 106 Main Road",131,7,311,0,4,19,1,30,503,5
"Waiwhetu","Our Lady of the Rosary School, 12 Wainui Road",165,9,181,2,0,7,0,25,389,6
