Electorate Candidate Votes Recorded at Each Voting Place
"Ōhāriu 36","Candidate Vote Details"
,,"ANDERSEN, Virginia Ruby","BRUNNER, Michael Johann","DUNNE, Peter Francis ","FITZPATRICK, Sean Daniel Thomas","HAMILL, Sue","HUDSON, Brett John","STEEMSON, Alida Katherine","WOODLEY, Tane Hohepa","Total Valid Candidate Votes","Informal Candidate Votes"
"Churton Park","Amesbury School Hall, 48 Amesbury Drive",298,66,559,17,6,349,2,60,1357,4
,"Churton Park School Hall, 90 Churton Drive",241,41,468,11,4,193,2,48,1008,10
"Crofton Downs","Crofton Downs Primary School Hall, 1 Chartwell Drive",123,10,113,1,1,68,0,39,355,3
,"Ngaio Playcentre, 50 Silverstream Road",80,5,67,0,4,17,0,26,199,0
"Grenada North","Grenada North Club Rooms, Nassau Avenue",57,0,33,0,1,17,0,12,120,1
"Johnsonville","Broderick Road Chapel, 17 Broderick Road",368,35,276,10,7,177,1,75,949,10
,"Johnsonville School Hall, 8 Morgan Street",401,36,349,7,7,146,2,91,1039,7
,"Onslow College Hall, Burma Road",493,44,447,10,18,196,0,110,1318,11
,"West Park School Hall, 97 Broderick Road",262,23,287,6,4,170,4,66,822,11
"Kenepuru","Kenepuru Hospital, Hospital Drive (off Raiha Street)",11,1,6,0,0,7,0,0,25,0
"Khandallah","Cashmere Avenue School Hall, 110 Cashmere Avenue",282,20,390,3,6,173,1,52,927,6
,"Onslow Community Church, 4 Ngatoto Street",173,7,188,1,2,49,0,33,453,2
,"Presbyterian Church Hall, 33 Ganges Road",377,18,709,6,6,181,0,90,1387,8
,"St Barnabas Parish Hall, 35 Box Hill",118,5,212,4,1,48,0,21,409,1
"Linden","Linden Social Centre, 10 Linden Avenue",60,9,47,1,1,32,0,7,157,2
"Mt Cook","Wellington High School, 249 Taranaki Street",9,0,5,0,0,0,0,1,15,0
"Mt Victoria","Clyde Quay School Hall, 27 Elizabeth Street",8,1,7,0,1,4,0,4,25,1
"Newlands","Bellevue School Hall, 12 Bancroft Terrace",352,31,305,8,8,155,1,42,902,11
,"Newlands School Hall, 200 Newlands Road",367,22,230,6,5,140,0,66,836,8
,"Newlands-Paparangi Tennis Club, 26 Black Rock Road",121,2,102,2,2,34,0,22,285,1
,"Ngā Hau e Whā o Paparārangi, 30 Ladbrooke Drive",55,2,46,1,1,14,0,13,132,2
,"Rewa Rewa School Hall, 18 Padnell Crescent",268,18,229,3,1,99,0,45,663,6
"Newtown","Newtown School Hall, corner Riddiford & Mein Streets",11,1,3,0,0,4,0,6,25,0
,"Wellington Hospital, Te Ao Marama Building Sports Complex, Riddiford Street (main entrance)",10,0,4,0,0,8,0,0,22,0
