Electorate Candidate Votes Recorded at Each Voting Place
"Dunedin North 8","Candidate Vote Details"
,,"CLARK, David Scott","DALEY, Jonathan Samuel","GRAAMANS, Adrian Daegal","GRAY, Abraham","LUSBY, Stanley Richard","MOWAT, Miriam Yvonne Durose","STEWART, Robert James","STANTON TUREI, Metiria Leanne Agnes","WOODHOUSE, Michael Allan","Total Valid Candidate Votes","Informal Candidate Votes"
"Bradford","Bradford School, 42a Bradford Street",123,4,0,5,0,0,1,39,66,238,1
"Brockville","Brockville School, 263 Brockville Road",439,22,3,17,3,1,1,84,155,725,6
"Careys Bay","Port Chalmers Fishermen's Co-Op Society Offices, 10 Macandrew Road",101,0,0,2,0,1,2,41,33,180,1
"Caversham","Carisbrook Main School (previously known as Caversham School), 217 South Road",68,6,0,6,0,2,1,22,32,137,2
"Dunback","Coronation Hall, 1238 Dunback-Morrisons Road (State Highway 85)",29,2,2,2,0,0,0,8,121,164,0
"Dunedin City","Age Concern Otago, Lower Octagon (beside Moran Building)",183,5,0,4,0,1,3,78,68,342,0
,"Arthur Street School, 26 Arthur Street",158,6,3,6,0,2,1,90,102,368,1
,"Dunedin Hospital, 1st Floor Foyer to Lecture Halls, 201 Great King Street",146,2,0,4,1,0,3,52,69,277,1
,"Malcam Trust, Jubilee Park (off Maori Road)",68,4,0,6,0,0,1,31,50,160,0
,"Salvation Army McMillan Lounge, 575 Princes Street",165,2,1,11,3,1,4,53,90,330,3
"Dunedin North","All Saints Church Hall, 786 Cumberland Street",226,9,0,6,0,1,7,70,128,447,3
,"George Street Normal School, 989 George Street",423,23,3,31,1,3,7,132,252,875,8
,"Kelsey Yaralla Kindergarten, 4 Trent Avenue",25,0,0,1,0,1,1,10,38,76,2
,"Knox Church Hall, 453 George Street ",232,8,0,9,0,1,6,91,152,499,2
,"University of Otago College of Education, 141 Union Street",69,1,0,5,0,0,0,25,49,149,1
,"University of Otago, ISB Link East, 630 Cumberland Street",255,14,1,11,0,3,10,79,128,501,1
,"University of Otago, ISB Link West, 630 Cumberland Street",159,7,0,10,1,1,6,65,86,335,1
"Forbury Corner","St Bernadette's School Hall, 16 Forbury Road",12,0,0,2,0,1,0,6,6,27,0
"Halfway Bush","Halfway Bush Community Hall, 54 Ashmore Street",343,13,0,10,2,2,0,61,139,570,0
"Hampden","Hampden Primary School, 41-47 Norwich Street",91,9,0,4,0,3,1,21,131,260,7
"Herbert","Public Hall, 17 Tain Street",38,6,1,0,1,1,0,17,115,179,4
"Kaikorai","Kaikorai Presbyterian Church Hall, 127 Taieri Road ",392,10,0,12,1,1,3,118,235,772,8
,"Kaikorai Valley College, 500 Kaikorai Valley Road ",128,5,2,0,2,1,2,45,103,288,1
"Karitane","Karitane Primary School, 179 Coast Road",84,4,6,0,0,0,2,60,66,222,3
"Long Beach","McCurdy Grimman Hall, 22 Driver Street",56,3,0,2,0,2,1,25,25,114,2
"Maori Hill","Coronation Hall, 1 Balmacewen Road",418,17,4,8,2,4,4,162,583,1202,2
"Moeraki","Coronation Hall, 41 Haven Street",14,1,0,0,3,0,0,4,44,66,2
"Mornington","Mornington School, 34 Elgin Road",560,17,7,14,6,6,2,191,444,1247,3
,"Mornington Scout Hall, 66 Argyle Street",204,8,1,13,1,2,2,59,118,408,5
,"St Francis Parish Centre, 27 Benhar Street",321,12,1,4,2,5,4,82,270,701,2
"North East Valley","Dunedin North Intermediate School, 34 North Road",545,12,4,33,3,3,8,184,188,980,5
,"North East Valley Normal School, 248 North Road",449,21,0,11,1,0,5,142,125,754,2
"Opoho","Opoho School, 96 Signal Hill Road",314,4,1,7,0,1,1,107,98,533,0
"Palmerston","East Otago High School, 3 Stour Street",127,14,20,4,3,1,1,50,234,454,2
"Pine Hill","Pine Hill School, 11 Hislop Street",400,25,1,12,2,3,3,88,129,663,5
"Port Chalmers","Port Chalmers School, 30a Albertson Avenue",97,0,0,2,1,2,1,25,17,145,0
,"Port Chalmers Town Hall, 1 Grey Street",246,9,1,9,0,1,5,99,73,443,3
"Ravensbourne","Ravensbourne Fire Station, 243 Ravensbourne Road",237,8,4,11,1,3,3,100,106,473,5
"Roslyn","Roslyn Baptist Church, 309 Highgate",175,3,2,3,0,1,1,46,146,377,1
,"Roslyn Kindergarten, 69 Highgate",255,9,2,4,1,1,5,111,323,711,3
,"St Johns Anglican Church Hall, 373 Highgate",200,6,0,2,0,0,0,72,193,473,3
"Sawyers Bay","Sawyers Bay School, 99 Stevenson Avenue",253,10,5,4,0,3,3,70,132,480,1
"South Dunedin","Dunedin South Presbyterian Hall, 393 King Edward Street",7,1,0,1,0,0,0,3,10,22,0
,"Edgar Sports Centre, corner Portsmouth Drive & Teviot Street",19,0,0,0,0,0,0,10,13,42,0
,"Nations Christian Church, 334 King Edward Street ",22,2,0,2,0,0,0,9,14,49,1
"St Leonards","King George Hall, 29 St Leonards Drive",113,2,0,4,0,2,1,48,85,255,1
"Waikouaiti","East Otago Events Centre, 203 Main Road",190,15,6,5,0,2,1,77,285,581,4
"Waitati","Waitati Blueskin Bay Library, 28 Harvey Street",139,21,0,2,1,0,1,114,93,371,6
"Wakari","Balmacewen Intermediate School, 44 Chapman Street",160,5,0,5,1,1,2,55,98,327,1
,"Wakari School, 150 Helensburgh Road",504,13,1,10,2,1,1,122,364,1018,1
"Warrington","Warrington Primary School, 3 Ferguson Street",102,3,0,0,0,2,2,58,51,218,1
,"Voting places where less than 6 votes were taken",0,1,0,0,0,0,0,2,1,4,0
,"Ordinary Votes BEFORE polling day",4421,153,19,126,9,26,79,1605,2532,8970,55
,"Special Votes BEFORE polling day",550,17,4,44,3,2,22,251,378,1271,16
,"Special Votes On polling day",887,36,1,66,3,3,27,454,653,2130,26
,"Overseas Special Votes including Defence Force",373,11,0,8,2,1,8,255,159,817,2
,"Dunedin North Total",16315,621,106,580,62,105,255,5978,10398,34420,216
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34636
"Electorate Candidate Valid Votes","Party",,"CLARK, David Scott - majority 5917"
"CLARK, David Scott",Labour Party,16315,.4739976758
"DALEY, Jonathan Samuel",Conservative,621,.0180418361
"GRAAMANS, Adrian Daegal",Independent,106,.0030796049
"GRAY, Abraham",Aotearoa Legalise Cannabis Party,580,.0168506682
"LUSBY, Stanley Richard",Independent,62,.0018012783
"MOWAT, Miriam Yvonne Durose",Democrats for Social Credit,105,.003050552
"STEWART, Robert James",Internet Party,255,.0074084834
"STANTON TUREI, Metiria Leanne Agnes",Green Party,5978,.1736780941
"WOODHOUSE, Michael Allan",National Party,10398,.3020918071
