Electorate Candidate Votes Recorded at Each Voting Place
"Wigram 64","Candidate Vote Details"
,,"GRIEVE, Shaun Hayden","HANSEN, Christopher Michael","McCLINTOCK, Lois Marie","PETERS, Mark Jonathan","PHILLIPS, Te Whe Ariki","RING, John Charles","VARLEY, Karl Daniel","WESLEY, Richard Laurence","WOODS, Megan Cherie","Total Valid Candidate Votes","Informal Candidate Votes"
,"Riccarton High School Hall, corner Curletts Road & Vicki Street",6,0,4,10,3,0,108,29,178,338,5
,"St Thomas of Canterbury College Hall, 69 Middlepark Road",2,0,0,7,2,1,113,12,109,246,7
,"Villa Maria College Hall, 21 Peer Street (Brodie Street entrance)",1,0,1,4,0,0,47,7,61,121,1
"Wigram","Air Force Museum of NZ, inside main entrance, 45 Harvard Avenue",31,1,8,38,4,2,475,68,393,1020,10
"Yaldhurst","Yaldhurst Model School, 48 School Road",0,0,1,2,0,0,12,1,8,24,1
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",83,6,62,233,18,14,2896,501,3859,7672,118
,"Special Votes BEFORE polling day",15,6,12,21,7,3,325,87,426,902,19
,"Special Votes On polling day",32,5,23,67,16,6,818,310,961,2238,31
,"Overseas Special Votes including Defence Force",4,1,2,7,1,1,127,60,142,345,1
,"Wigram Total",318,51,213,847,122,79,11189,2324,14519,29662,401
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",30063
"Electorate Candidate Valid Votes","Party",,"WOODS, Megan Cherie - majority 3330"
"GRIEVE, Shaun Hayden",ACT New Zealand,318,.0107207875
"HANSEN, Christopher Michael",NZ Economic Euthenics Party,51,.0017193716
"McCLINTOCK, Lois Marie",Internet Party,213,.0071809049
"PETERS, Mark Jonathan",Conservative,847,.0285550536
"PHILLIPS, Te Whe Ariki",Māori Party,122,.0041130065
"RING, John Charles",Democrats for Social Credit,79,.0026633403
"VARLEY, Karl Daniel",National Party,11189,.3772166408
"WESLEY, Richard Laurence",Green Party,2324,.0783494033
"WOODS, Megan Cherie",Labour Party,14519,.4894814915
