Electorate Candidate and Party Votes Recorded at Each Polling Place
"Whanganui 61","Candidate Vote Details"
,,"BORROWS, Kerry James","DAVIDSON, Alan Daniel","McDOUALL, Hamish Crichton","MILNES, John Ingham","SMITH, Heather Marion","Total Valid Candidate Votes","Informal Candidate Votes"
"Alton","Alton Hall, Ball Road",113,0,2,0,1,116,1
"Auroa","Auroa School Library, 734 Auroa Road",219,3,16,0,2,240,0
"Brunswick","Brunswick School Library, 15 Campbell Road",148,1,65,6,0,220,2
"Eltham","Eltham School Hall, 69 Conway Road",257,4,202,29,6,498,7
,"Rawhitiroa School Library, 596 Rawhitiroa Road",110,1,4,2,0,117,0
,"St Mark's Church Hall, 235 High Street",315,11,179,22,8,535,9
"Fordell","Fordell School, 21 Budge Street",125,0,61,7,0,193,0
"Hawera","Hawera High School Hall, 13 Camberwell Road",330,10,113,14,3,470,4
,"Hawera Primary School, 261 South Road",521,4,152,13,3,693,3
,"Highland Pipe Band Hall, Collins Street",368,3,126,15,1,513,5
,"Presbyterian Hall, 35 Argyle Street",476,6,171,10,11,674,3
,"Public Hospital Conference Room, 37 Hunter Street",121,1,37,3,2,164,0
,"Turuturu School, 194 Glover Road",765,6,139,16,4,930,1
"Kai Iwi","Kai Iwi School Library, State Highway 3",108,1,48,10,0,167,1
"Kaitoke","Kaitoke Primary School,16 Concord Line",141,0,53,13,0,207,2
"Kakaramea","Kakaramea Primary School, 2193 Main South Road (State Highway 3)",91,1,25,0,0,117,1
"Kakatahi","Kakatahi School, Parapara Road (State Highway 4)",31,0,7,2,0,40,0
"Kaponga","Kaponga Primary School, 30 Egmont Street",307,15,63,17,4,406,3
"Manaia","Manaia Primary School, Karaka Street",333,3,140,21,5,502,8
"Mangamahu","Mangamahu School, 40 Kowhai Street",40,2,15,1,0,58,0
"Manutahi","Manutahi Hall, Muggeridge Road",60,0,6,1,0,67,1
"Matapu","Matapu Primary School, 495 Hastings Road",180,6,14,3,0,203,0
"Maxwell","Maxwell and Districts Pre-School, 1655 Main South Road (State Highway 3)",104,0,25,4,0,133,2
"Mokoia","Mokoia School, 969a Main South Road (State Highway 3)",54,2,12,1,1,70,0
"Mosston","Mosston School, 211 Mosston Road",184,2,144,11,3,344,2
"Ngaere","Ngaere School, 4355 Mountain Road",29,0,7,1,0,37,0
"Nolantown","Tawhiti School Hall, Perth Street entrance",174,1,63,10,1,249,2
"Normanby","Normanby School Scout Hall, 3 Hunter Street",350,6,91,12,2,461,4
"Oaonui","Oaonui Hall, Main South Road (State Highway 45)",84,1,5,1,1,92,3
"Ohangai","Ohangai School and Community Hall, 1134 Ohangai Road East",82,1,9,2,0,94,0
"Ohawe Beach","Progressive Hall, Ohawe Terrace",53,0,26,5,0,84,0
"Okato","Coastal Taranaki School, 88 Carthew Street",43,2,18,7,0,70,1
"Okoia","Okoia School, No. 3 Line",113,2,34,6,0,155,2
"Opunake","Opunake Primary School Hall, Longfellow Road",402,11,181,35,7,636,9
"Patea","Patea Area School Hall, Kent Street",64,2,73,6,0,145,1
,"Patea Kindergarten, 4 Derby Street",119,3,97,17,2,238,4
"Pihama","Pihama Hall, Main South Road (State Highway 45)",112,2,8,3,0,125,0
"Pungarehu","Pungarehu Hall, Main South Road (State Highway 45)",82,2,26,7,0,117,0
"Putiki","Te Kura Kaupapa Maori O Te Atihaunui A Paparangi",111,0,88,11,4,214,0
"Raetihi","Raetihi Primary School Hall, 24 Grey Street",9,7,0,1,1,18,1
"Rahotu","Rahotu School, Main South Road (State Highway 45)",134,1,33,13,0,181,3
"Ramanui","Ramanui School, Manawapou Road entrance",228,2,88,10,3,331,2
"Rapanui","Mowhanau Community Hall, 4-6 Mowhanau Drive",66,0,42,8,1,117,0
"Te Kiri","Te Kiri Hall, Eltham Road",107,1,4,4,1,117,0
"Turakina","Turakina School, Main Road",19,1,13,0,0,33,2
"Upokongaro","Upokongaro School, State Highway 4",88,4,70,4,1,167,4
"Waitotara","Waitotara Primary School, Severn Street",99,1,35,7,3,145,0
"Wanganui","Aramoho School Hall, 2 Mitchell Street",268,7,433,39,3,750,4
,"Aranui Primary School Hall, 14 Aranui Avenue",104,1,151,15,1,272,3
,"Baden Powell Scout Hall, 13 Swiss Avenue",202,4,319,21,8,554,10
,"Baptist Church Hall, corner Moana & Nixon Streets",463,10,478,42,11,1004,7
,"Carlton School Hall, 101 Carlton Avenue",503,17,645,58,9,1232,11
,"Castlecliff School Hall, 25 Polson Street",197,6,406,47,8,664,11
,"Churton School Hall, Burmah Street",227,6,203,36,0,472,7
,"Cullinane College, 15 Peat Street",258,3,224,26,3,514,5
,"Durie Hill School Hall, 109 Portal Street",399,6,289,56,5,755,2
,"Faith City Church Lounge, 127 Springvale Road",627,13,542,27,4,1213,7
,"Gonville School Hall, Gonville Avenue",360,9,466,45,5,885,9
,"St John's Hill School Hall, 71 Parkes Avenue",909,7,443,43,1,1403,5
,"St Luke's Anglican Church Hall, 34 Manuka Street",97,1,177,20,1,296,2
,"Tawhero School Hall, 27 Totara Street",424,12,614,38,11,1099,9
,"Te Kura O Kokohuia Hall, 36 Matipo Street",19,1,80,4,1,105,0
,"Wanganui East School Hall, Patapu Street",589,7,715,86,7,1404,16
"Wanganui City","Keith Street School Hall, 38-46 Keith Street",358,8,576,67,4,1013,18
,"St Andrew's Church Hall, corner Glasgow & Gloucester Streets",189,4,184,24,6,407,3
,"St Andrew's Hall, 9 Bell Street",203,1,254,31,5,494,4
,"Wanganui City College Hall, 84 Ingestre Street",449,9,454,53,10,975,7
"Warea","Warea Hall, Main South Road (State Highway 45)",110,6,8,8,0,132,1
"Waverley","Waverley Primary School Library, Gloag Street",329,4,150,9,2,494,8
"Westmere","Westmere Primary School Hall, Rapanui Road",305,3,128,22,1,459,1
"Whenuakura","Whenuakura School, Room 2, 52 Kaharoa Road",100,1,9,1,0,111,0
,"Polling places where less than 6 votes were taken",0,0,3,0,0,3,1
,"Hospital Votes",400,1,355,13,8,777,10
,"Ordinary Votes BEFORE polling day",1777,21,909,111,17,2835,22
,"Special Votes BEFORE polling day",164,6,128,12,2,312,7
,"Special Votes On polling day",833,29,490,138,11,1501,20
,"Overseas Special Votes including defence force",140,1,76,20,0,237,1
,"Whanganui Total",19072,336,12739,1503,225,33875,304
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34179
"Electorate Candidate Valid Votes","Party",,"BORROWS, Kerry James - majority 6333"
"BORROWS, Kerry James",National Party,19072,.5630110701
"DAVIDSON, Alan Daniel",ACT New Zealand,336,.0099188192
"McDOUALL, Hamish Crichton",Labour Party,12739,.3760590406
"MILNES, John Ingham",Green Party,1503,.0443690037
"SMITH, Heather Marion",Democrats for Social Credit,225,.0066420664
