Electorate Candidate and Party Votes Recorded at Each Polling Place
"Waikato 54","Candidate Vote Details"
,,"ARDERN, Jacinda Kate Laurell","DAVIES, Mark Marshall","HARPER, Wendy Barbara","PEMBERTON, John Stuart","ROSS, James Alexander","STEWART, Barbara Joy","TISCH, William Lindsay","Total Valid Candidate Votes","Informal Candidate Votes"
"Tuakau","Tuakau Primary School, 6 School Road",9,3,5,0,1,1,36,55,3
"Waerenga","Waerenga School, 1066 Taniwha Road",21,6,9,1,3,6,196,242,1
"Waharoa","Raungaiti Marae, State Highway 27",3,0,0,0,0,1,6,10,0
,"Waharoa School, 32 Ward Street",19,4,1,0,3,16,74,117,3
"Waikaretu","Waikaretu School, 1448 Waikaretu Valley Road",14,4,3,0,3,0,53,77,0
"Waingaro","Waingaro School, 5844 Waingaro Road",10,0,3,0,0,2,63,78,1
"Waiterimu","Waiterimu School, 166 Waiu Road",17,4,2,0,3,3,91,120,1
"Walton","Walton School, Main Road",32,13,16,4,0,5,224,294,0
"Wardville","Wairere School, Wardville Road",14,6,4,1,0,1,119,145,1
"Whangamata ","Whangamata Baptist Church, 301 Port Road",17,1,6,1,0,0,45,70,0
"Whatawhata","Whatawhata School, 9 Kura Street ",45,8,21,2,3,6,97,182,1
"Whitehall","Whitehall School, 12 Brunskill Road",20,4,7,0,1,0,60,92,0
"Whitikahu","Whitikahu School, 763 Whitikahu Road",45,5,8,1,3,3,168,233,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Hospital Votes",117,3,6,1,1,18,180,326,9
,"Ordinary Votes BEFORE polling day",498,62,86,7,22,106,1682,2463,12
,"Special Votes BEFORE polling day",108,7,20,0,6,15,238,394,6
,"Special Votes On polling day",506,92,181,9,22,80,1311,2201,14
,"Overseas Special Votes including defence force",46,6,18,0,3,3,181,257,1
,"Waikato Total",7272,1089,1484,122,278,1353,20122,31720,245
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",31965
"Electorate Candidate Valid Votes","Party",,"TISCH, William Lindsay - majority 12850"
"ARDERN, Jacinda Kate Laurell",Labour Party,7272,.2292559899
"DAVIES, Mark Marshall",ACT New Zealand,1089,.034331652
"HARPER, Wendy Barbara",Green Party,1484,.0467843632
"PEMBERTON, John Stuart",Democrats for Social Credit,122,.0038461538
"ROSS, James Alexander",Kiwi Party,278,.0087641866
"STEWART, Barbara Joy",New Zealand First Party,1353,.0426544767
"TISCH, William Lindsay",National Party,20122,.6343631778
