Electorate Candidate and Party Votes Recorded at Each Polling Place
"Northland 34","Candidate Vote Details"
,,"BRILL, Barry Edward","EVANS, Pauline ","HEREWINI, Ngawai","PEITA, Josephine Bernadette ","SABIN, Michael Lewis","STEWART, Lynette Merle","TAYLOR, Melanie Jane","Total Valid Candidate Votes","Informal Candidate Votes"
"Pipiwai","Te Horo School, 3239 Pipiwai Road",1,2,0,1,8,4,0,16,0
"Port Albert","Port Albert Hall, 980 Port Albert Road",6,26,0,2,179,36,21,270,6
"Pouto","Rangitane Community Centre, Pouto Road",0,4,4,0,17,10,2,37,3
"Pukenui","Pukenui School, Lamb Road",2,20,2,1,199,65,12,301,7
"Pukepoto","Pukepoto School, 818 Awaroa Road",1,10,2,0,35,12,3,63,1
"Punaruku","Whangaruru School, 2916 Old Russell Road",0,7,4,1,4,9,2,27,2
"Rawene","Rawene School, Marmon Street",1,60,18,0,66,54,3,202,8
"Rawhiti","Rawhiti Kohanga Reo, Te Rawhiti Marae, 221 Te Rawhti Road ",0,6,5,2,3,10,1,27,1
"Ruatangata","Ruatangata Hall, Pipiwai Road",2,5,1,1,66,8,4,87,2
"Ruawai","Ruawai Primary School, Main Road",2,29,8,7,258,83,21,408,16
"Russell","Russell School, Baker Street",2,107,5,10,352,133,24,633,13
"Taheke","Taheke Health Centre, 3735 Horeke Road",1,9,6,2,23,29,7,77,2
"Taipa","Taipa Area School, 578 State Highway 10",6,81,18,5,310,134,33,587,24
"Taipuha","Taipuha Hall, Taipuha Station Road",1,5,0,1,40,7,6,60,0
"Takahue","Takahue Community Hall, Takahue Saddle Road",2,15,1,2,44,12,6,82,2
"Tangiteroria","Tangiteroria Primary School, 3078 State Highway 14",0,8,2,1,106,24,7,148,1
"Tangowahine","Tangowahine Primary School, Tangowahine Valley Road",1,19,3,1,66,13,9,112,5
"Tapora","Tapora Primary School, 1 Okahukura Road",1,3,0,0,37,6,6,53,2
"Taupo Bay","Taupo Bay Holiday Park, Taupo Bay Road",0,22,2,0,24,14,6,68,2
"Tautoro","Tautoro School, Mangakahia Road",0,6,4,1,5,15,0,31,0
"Te Hapua","Te Hapua School, 14 Waharua Road",0,0,5,0,2,4,0,11,0
"Te Iringa","Te Iringa Marae, Waimatenui Road",1,7,1,1,9,6,0,25,1
"Te Kao","Te Kao Area School, Far North Road",0,1,5,0,10,5,1,22,0
"Te Kopuru","Te Kopuru School, Norton Street",1,37,5,1,195,78,18,335,13
"Te Tii","Te Tii School, Purerua Road",0,7,3,0,41,10,1,62,0
"Tinopai","Tinopai Primary School, Tinopai Road",0,10,0,0,49,16,4,79,3
"Titoki","Mangakahia Area School, Mangakahia Road",1,14,1,1,85,21,13,136,4
"Tokerau Beach","Kura Kaupapa Rangiawhia School, Inland Road",1,23,4,3,174,67,5,277,6
"Totara North","Totara North Hall, 4 School Road",0,10,1,0,74,26,8,119,2
"Umawera","Umawera School, State Highway 1",2,5,0,0,62,7,10,86,1
"Victoria Valley","Victoria Valley War Memorial Hall, Victoria Valley Road",2,9,0,0,50,21,5,87,4
"Waiharara","Waiharara School, Katavich Road",0,4,2,1,71,18,1,97,2
"Waihue","Waihue Settlers' Hall, 2368 Waihue Road",0,3,0,0,54,8,3,68,1
"Waima","Waima School, State Highway 12",0,3,4,2,9,3,0,21,2
"Waimamaku","Waimamaku Resource Centre, State Highway 12",2,39,4,3,46,32,9,135,8
"Waimate North","Sunday School, Te Ahu Ahu Road",2,28,3,1,126,23,6,189,2
"Waiotira","Waiotira School, Ararua Road",2,6,2,1,48,12,1,72,0
"Waipapa","Waipapa Hall, Waipapa Loop Road",6,130,10,7,743,178,58,1132,35
"Waipapakauri","Paparore School, 157 West Coast Road",1,12,1,0,52,24,2,92,4
"Wellsford","Wellsford Community Centre, 1 Matheson Road",15,96,7,7,580,237,37,979,31
"Whakapara","Whakapara Hall, McLennan Road",0,33,3,0,117,36,6,195,1
"Whananaki","Whananaki School, Whananaki North Road",1,13,2,1,43,16,3,79,1
"Whangaroa","Whangaroa Hall, Whangaroa Road",1,25,3,0,107,40,5,181,7
"Whirinaki","Te Kura Kaupapa Māori o Te Tonga o Hokianga, School Road",0,12,7,0,7,7,0,33,2
,"Polling places where less than 6 votes were taken",0,0,1,0,0,3,0,4,0
,"Ordinary Votes BEFORE polling day - Taken in Northland",28,361,77,25,2237,828,179,3735,113
,"Ordinary Votes BEFORE polling day - Taken in Whangarei",0,18,1,1,110,39,12,181,4
,"Special Votes BEFORE polling day",1,68,18,6,275,137,17,522,15
,"Special Votes On polling day",15,339,39,30,874,365,81,1743,32
,"Overseas Special Votes including Defence Force",7,33,6,0,84,38,3,171,2
,"Northland Total",261,3822,611,290,18188,6826,1606,31604,972
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32576
"Electorate Candidate Valid Votes","Party",,"SABIN, Michael Lewis - majority 11362"
"BRILL, Barry Edward",ACT New Zealand,261,.0082584483
"EVANS, Pauline ",Green Party,3822,.120934059
"HEREWINI, Ngawai",Mana,611,.0193329958
"PEITA, Josephine Bernadette ",Māori Party,290,.0091760537
"SABIN, Michael Lewis",National Party,18188,.5754967726
"STEWART, Lynette Merle",Labour Party,6826,.2159853183
"TAYLOR, Melanie Jane",Conservative Party,1606,.0508163524
