Electorate Candidate and Party Votes Recorded at Each Polling Place
"Manurewa 24","Candidate Vote Details"
,,"BAILEY, Michael James","BAINS, Sukhdev Singh","CALDER, Campbell Gordon","HALL, John Harold","HAWKINS, George Warren","JOHNSON, Alan Michael","KHAN, Amjad Javed ","LEWIS, Richard Charles","STOWERS, James Amando Alfred","VITALE, Vui Muliagatele Kelemete Sapolu","Total Valid Candidate Votes","Informal Candidate Votes"
"Alfriston","Alfriston School, corner Mill & Alfriston Roads",6,1,33,1,18,4,0,1,0,0,64,0
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",6,0,48,2,22,2,0,4,0,0,84,0
"Chapel Downs","Chapel Downs Primary School, corner Chapel & Dawson Roads",13,7,151,14,262,10,2,12,2,19,492,5
"Clover Park","St Peter Chanel Hall, 44 Boundary Road",0,0,41,6,120,2,0,3,0,13,185,4
"Flat Bush","Dawson Primary School, Haumia Way",0,3,20,2,74,7,0,1,0,12,119,3
"Manukau","Everglade Primary School, 64 Everglade Drive",98,35,1124,40,870,79,15,30,19,27,2337,28
,"Redoubt North School, 47 Diorella Drive",39,15,415,26,633,36,5,33,14,37,1253,32
,"Wiri Community Hall, 11 Inverell Avenue",1,2,46,13,342,14,1,14,2,59,494,11
"Manurewa","1st Manurewa Scout Hall, corner Sturdee & Browns Roads",24,12,222,27,554,36,1,17,7,22,922,13
,"Alfriston College, 550 Porchester Road",6,1,37,3,55,4,0,7,2,1,116,0
,"Clayton Park School, corner Coxhead & Wattle Farm Roads",9,1,30,4,89,5,1,5,1,4,149,2
,"Clendon Park School, 145 Rowandale Avenue",8,0,120,14,437,23,5,8,2,50,667,13
,"Elmwood Village, 131 Hill Road",1,0,29,1,21,5,0,1,1,1,60,0
,"Finlayson Park School, 87 John Walker Drive",17,15,127,21,665,33,0,20,0,124,1022,25
,"Greenmeadows Intermediate, Ferguson Road entrance",14,0,53,6,162,14,2,7,5,6,269,3
,"Hillpark School Hall, 57 Grande Vue Road",129,25,714,46,584,90,7,39,12,14,1660,7
,"Leabank School, 7 Dr Pickering Avenue",16,7,116,18,317,14,1,9,3,40,541,4
,"Manurewa Central School, corner Great South & Hill Roads",34,15,202,30,408,32,4,15,13,23,776,18
,"Manurewa East School, Scotts Road",17,5,67,8,195,14,1,8,2,15,332,6
,"Manurewa Library, 7 Hill Road",60,15,364,37,670,55,2,8,10,27,1248,20
,"Manurewa South Primary School, 39 Tawa Crescent",20,0,84,26,256,24,1,11,2,7,431,10
,"Manurewa West Primary School, 31 McKean Avenue",11,2,112,17,378,30,2,17,7,18,594,5
,"Roscommon School, 23 Burundi Avenue",15,1,97,12,608,23,7,18,2,103,886,4
,"Rowandale School, 73 Rowandale Avenue",18,8,84,23,565,24,1,17,2,94,836,34
,"St Elizabeth's Anglican Church, 182 Finlayson Avenue",11,1,64,7,200,8,0,7,6,14,318,5
,"St Luke's Anglican Church Hall, 3 Russell Road",24,6,165,43,411,26,5,19,9,5,713,27
,"Table Tennis Club Hall, corner Browns & McVilly Roads",20,4,112,24,401,24,2,20,5,47,659,17
,"Te Matauranga School, 206 Finlayson Avenue",17,2,90,17,336,19,1,8,6,38,534,10
,"The Gardens School, 101 Charles Prevost Drive",1,0,20,0,19,3,0,2,0,0,45,0
"Otahuhu","Middlemore Hospital, Hospital Road",1,0,16,2,19,0,0,3,0,2,43,4
"Papatoetoe","Puhinui Primary School, 116 Puhinui Road",18,15,177,31,321,17,6,16,1,25,627,11
"Takanini","Takanini School, School Hall, 39 Takanini School Road (Old Park Place entrance)",1,0,9,2,11,1,0,0,1,0,25,0
"Weymouth","Weymouth Primary School, 23 Evans Road",45,7,420,52,564,95,1,17,14,14,1229,12
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",3,4,54,12,101,6,0,1,1,1,183,12
,"Ordinary Votes BEFORE polling day",82,23,641,63,1129,71,11,42,23,62,2147,21
,"Special Votes BEFORE polling day",8,1,79,8,249,14,0,6,1,25,391,2
,"Special Votes On polling day",78,26,531,48,1383,93,8,66,9,184,2426,39
,"Overseas Special Votes including defence force",8,4,71,1,62,6,0,2,1,5,160,1
,"Manurewa Total",879,263,6785,707,13511,963,92,514,185,1138,25037,408
,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",25445
"Electorate Candidate Valid Votes","Party",,"HAWKINS, George Warren - majority 6726"
"BAILEY, Michael James",ACT New Zealand,879,.0351080401
"BAINS, Sukhdev Singh",Jim Anderton's Progressive,263,.0105044534
"CALDER, Campbell Gordon",National Party,6785,.2709989216
"HALL, John Harold",New Zealand First Party,707,.0282382075
"HAWKINS, George Warren",Labour Party,13511,.5396413308
"JOHNSON, Alan Michael",Green Party,963,.0384630746
"KHAN, Amjad Javed ",Kiwi Party,92,.0036745616
"LEWIS, Richard Charles",Family Party,514,.0205296162
"STOWERS, James Amando Alfred",United Future,185,.0073890642
"VITALE, Vui Muliagatele Kelemete Sapolu",New Zealand Pacific Party,1138,.04545273
