Electorate Candidate Votes Recorded at Each Voting Place
"Christchurch East 5","Candidate Vote Details"
,,"BAKER, Leighton James","HAYES, Joanne Kowhai","MATAKI, Tania ","MATHERS, Mojo Celeste","PARK, Sevaschan Sam","WILKINSON, Robert","WILLIAMS, Munokoa Poto","Total Valid Candidate Votes","Informal Candidate Votes"
"Akaroa","Akaroa Area School Gymnasium, 141 Rue Jolie (Selwyn Avenue entrance)",0,4,0,0,0,0,9,13,0
"Aranui","Aranui Primary School, 257 Breezes Road",24,112,5,44,2,11,457,655,4
,"St Ambrose Church, 309 Breezes Road",9,72,3,25,0,2,230,341,5
,"St James School, 25 Rowan Avenue",13,52,0,19,1,12,274,371,8
"Avondale","Avondale Primary School, 132 Breezes Road",21,154,4,22,4,10,243,458,4
,"Woolley Street Kindergarten, 63 Woolley Street",13,157,1,29,3,4,198,405,4
"Belfast","Belfast School, 700 Main North Road",2,19,1,7,0,2,12,43,1
"Bromley","Bromley School, 33 Keighleys Road",9,68,4,28,1,5,206,321,2
"Burwood","Burwood Christian Centre, 54 Bassett Street",33,214,3,43,6,6,239,544,7
,"Waitakiri School Community Hall, 170 Burwood Road",45,695,6,113,2,13,511,1385,15
,"Waitakiri School, 255 New Brighton Road",19,252,3,40,1,4,178,497,9
"Christchurch City","ABC Salisbury Street, 150 Salisbury Street",5,10,0,7,0,0,6,28,0
,"Christchurch East School, 311 Gloucester Street",4,23,0,13,0,1,37,78,2
,"Christchurch Public Hospital, The Great Escape Cafe, First Floor, 2 Riccarton Avenue",0,12,0,6,1,0,23,42,0
,"St Michael's Church School Hall, corner Tuam & Durham Streets",0,6,1,4,0,0,15,26,0
"Dallington","Banks Avenue School, 71 Banks Avenue",25,196,2,70,1,6,273,573,4
"Kainga","Kainga Public Hall, Kainga Road",21,98,1,26,1,6,112,265,1
"Linwood","Aspire Canterbury, 314 Worcester Street",0,11,0,9,1,0,17,38,1
,"Linwood Avenue School, 260 Linwood Avenue",7,62,0,27,2,6,111,215,0
,"Linwood College, Student Centre, 85 Aldwins Road",4,16,0,13,1,3,24,61,1
,"St Chad's Anglican Church Hall, corner Carnarvon Street & Buckleys Road",21,106,3,45,2,13,205,395,5
,"Union Church Hall, 378 Linwood Avenue, corner Tilford Street",3,15,0,8,0,0,41,67,0
"Mairehau","Mairehau High School, 440 Hills Road",15,179,0,40,2,0,138,374,6
,"Mairehau Primary School, 43 Mahars Road",3,23,0,10,0,0,26,62,0
,"St Albans Uniting Parish, corner Knowles Street & Nancy Avenue",2,18,0,3,0,1,12,36,0
"Marshland","Marshland School, 329 Prestons Road",39,481,1,42,9,8,164,744,7
"New Brighton","Central New Brighton School, Roy Stokes Hall, 140 Seaview Road",39,298,8,156,6,25,609,1141,5
"North Linwood","Linwood North School, 221 Woodham Road (Rowcliffe Crescent entrance)",22,180,9,85,4,19,373,692,8
"North New Brighton","Freeville School, 11 Sandy Avenue",33,182,3,57,2,9,320,606,6
,"North New Brighton School, 150 Leaver Terrace",28,257,5,115,3,11,514,933,6
"Ouruhia","Ouruhia School Library, 21 Turners Road",9,176,2,24,0,3,76,290,1
"Papanui","The Village Presbyterian Church Hall, corner Papanui Road & Frank Street",0,6,1,1,0,3,2,13,0
"Parklands","Parkview School Hall, 10 Chadbury Street",82,652,7,148,7,17,723,1636,18
"Phillipstown","Phillipstown Community Centre, 39a Nursery Road",1,8,0,3,0,4,16,32,0
"Queenspark","Queenspark School Hall, 222 Queenspark Drive",59,643,2,86,9,14,483,1296,15
"Richmond","Kidsfirst Richmond Kindergarten, 41 North Avon Road",34,245,8,87,2,15,324,715,9
"Shirley","MacFarlane Park Free Kindergarten, 19 Acheson Avenue",20,99,3,47,5,6,232,412,6
,"Shirley Intermediate School, 60 Shirley Road (North Parade entrance)",33,422,10,118,11,16,432,1042,7
,"Shirley Primary School, 11 Shirley Road",21,175,3,55,3,5,209,471,4
"South New Brighton","South New Brighton School, 166 Estuary Road",31,352,4,165,4,23,591,1170,16
"Wainoni","Ottawa Gardens Pre-School, 49 Ottawa Road",14,70,3,20,0,2,179,288,8
,"Wainoni School, 115 Eureka Street",7,32,2,13,0,4,124,182,1
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",370,3194,47,831,45,82,4733,9302,147
,"Special Votes BEFORE polling day",31,302,9,114,5,24,422,907,21
,"Special Votes On polling day",91,691,25,326,11,62,949,2155,43
,"Overseas Special Votes including Defence Force",9,109,1,62,2,0,149,332,2
,"Christchurch East Total",1271,11148,190,3206,159,457,15221,31652,409
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32061
"Electorate Candidate Valid Votes","Party",,"WILLIAMS, Munokoa Poto - majority 4073"
"BAKER, Leighton James",Conservative,1271,.0401554404
"HAYES, Joanne Kowhai",National Party,11148,.3522052319
"MATAKI, Tania ",Māori Party,190,.0060027802
"MATHERS, Mojo Celeste",Green Party,3206,.1012890181
"PARK, Sevaschan Sam",United Future,159,.0050233792
"WILKINSON, Robert",Aotearoa Legalise Cannabis Party,457,.0144382661
"WILLIAMS, Munokoa Poto",Labour Party,15221,.480885884
