Electorate Candidate and Party Votes Recorded at Each Polling Place
"Waitaki 58","Candidate Vote Details"
,,"COUTTS, Susan Jane","DEAN, Jacqueline Isobel","FORD, David Anthony Robert","MISA, Jesus Jaime Ricardo Hernandez","MONKS, Barry Raymond","NICHOLLS, Colin William","van WIEREN, Hessel Christiaan","Total Valid Candidate Votes","Informal Candidate Votes"
"Albury","Albury School, 5-7 Station Street",7,140,5,6,23,1,0,182,2
"Alexandra","Alexandra Primary School, 2 Ventry Street",92,750,9,24,259,2,6,1142,19
,"Dunstan High School Hall, 12 Enterprise Street",76,448,11,9,184,8,0,736,35
,"St Gerard's Parish Hall, 2 Station Street (Tarbert Street entrance)",90,606,14,12,208,7,4,941,21
"Ardgowan","Ardgowan School, 219 Ardgowan Road",5,91,1,1,25,2,0,125,5
"Cave","Cave Hall, Elizabeth Street",12,124,1,3,32,2,1,175,4
"Clyde","Clyde Primary School, 25 Blyth Street",68,451,6,14,139,0,0,678,12
"Cromwell","Memorial Hall, 36 Melmore Terrace",214,1480,18,37,458,19,35,2261,44
"Dunback","Coronation Hall, 1238 Dunback-Morrisons Road (State Highway 85)",11,149,1,1,29,0,0,191,3
"Duntroon","Duntroon Primary School, Livingstone Street",18,161,5,5,35,3,0,227,4
"Ettrick","Community Hall, 5155 Ettrick-Raes Junction Road (State Highway 8)",7,78,4,4,16,3,0,112,4
"Fairlie","Fairlie Primary School, 21 School Road",47,518,16,19,140,4,1,745,14
"Fairview","Barton Rural School, 462 Fairview Road",23,227,11,14,59,4,1,339,5
"Five Forks","Five Forks Primary School, 1403 Kakanui Valley Road",5,108,2,3,11,2,0,131,1
"Geraldine","Geraldine High School Library, 85 McKenzie Street",85,497,14,22,203,7,0,828,26
,"Geraldine Primary School, 73 Wilson Street",138,673,18,27,255,9,6,1126,32
"Glenavy","Glenavy School, 15 Ruane Street",13,173,4,6,61,1,0,258,4
"Hampden","Hampden Primary School, 41-47 Norwich Street",23,161,6,5,92,2,2,291,12
"Herbert","Public Hall, 17 Tain Street",19,96,3,7,38,2,2,167,11
"Ikawai","Memorial Hall, 2425 Hakataramea Highway (State Highway 82)",1,54,1,2,10,2,0,70,2
"Kakanui","Kakanui Primary School, 5 Fyfe Place",28,141,5,7,83,2,1,267,10
"Kingsdown","Kingsdown Hall, Normanby Road",20,92,2,3,51,0,2,170,3
"Kurow","Memorial Hall, 49 Gordon Street",24,252,3,9,70,3,1,362,12
"Lake Hawea","Community Centre, Myra Street",111,231,10,6,57,0,0,415,6
"Lake Roxburgh","Coal Creek Community Hall, Tamblyn Drive",9,43,0,5,20,0,2,79,1
"Lake Tekapo","Lake Tekapo School, Aorangi Crescent",30,164,3,2,30,1,0,230,6
"Luggate","Luggate Hall, State Highway 6",33,144,4,2,21,2,1,207,2
"Maheno","Maheno Primary School, 5 Short Street",14,117,2,7,46,3,0,189,3
"Makikihi","Makikihi School, 12 Station Road",18,101,5,8,43,1,2,178,4
"Maungati","St James Church Hall, 143 Timaunga Road",7,61,0,0,7,1,0,76,0
"Millers Flat","Millers Flat School Library, 1655 Teviot Road",8,94,0,4,35,1,1,143,7
"Moeraki","Coronation Hall, 41 Haven Street",5,53,0,1,21,0,0,80,0
"Morven","Morven School, 41 Donald Street",4,73,3,6,26,0,0,112,1
"Naseby","Fire Brigade Rooms, corner Ness & Tay Streets",7,100,3,0,18,0,0,128,5
"Ngapara","Rugby Club Rooms, 11 Paradise Gully Road",12,79,1,4,17,0,0,113,0
"Oamaru","Aoraki Polytech, 44 Humber Street",17,81,2,5,78,0,2,185,4
,"Eveline Church Hall, 424a Thames Highway",39,502,11,19,335,4,6,916,44
,"Fenwick School, 25a Arun Street",98,637,16,29,488,1,3,1272,39
,"Garrison Band Hall, corner Severn and Isis Streets",47,342,20,19,223,0,5,656,8
,"North Otago Vintage Car Club, 1 Stoke Street",12,125,3,4,57,2,2,205,5
,"North School, 40 Torridge Street",33,252,6,19,212,1,4,527,17
,"Pembroke School, Harlech Street",41,299,10,15,390,3,4,762,15
,"St Luke's Hall, 3 Wharfe Street",37,112,11,11,112,3,1,287,8
,"Waitaki Girls' High School, 270 Thames Street",54,328,9,12,278,2,1,684,15
"Omakau","Omakau Primary School, 9 Deaker Street",23,248,7,6,56,1,1,342,6
"Omarama","Omarama School, Omarama Avenue",15,149,3,7,46,1,0,221,6
"Orari","Orari Coronation Hall, 8 McDonald Street",10,65,0,0,5,0,0,80,3
"Otaio","Otaio Community Centre, 7 Woolshed Road",1,61,0,2,9,1,1,75,3
"Otematata","Otematata Fire Station, 1 Tasman Road",7,121,2,6,30,0,1,167,3
"Oturehua","Community Hall, Main Road",3,77,1,1,8,0,0,90,0
"Palmerston","Community Centre, 104a Ronaldsay Street",63,365,15,13,140,2,1,599,12
"Papakaio","Papakaio Primary School, 17 Papakaio Road",5,160,1,2,19,0,0,187,1
"Pareora","Pareora Campus School, corner Elworthy & Davidson Streets",26,60,1,3,92,2,0,184,9
"Patearoa","Bowling Club, 1615 Ranfurly-Patearoa Road",3,87,3,4,5,0,2,104,0
"Peel Forest","Peel Forest Hall, 1209 Peel Forest Road",15,86,3,8,24,1,0,137,1
"Pleasant Point","Pleasant Point Primary School, Victor Wilson Hall, 33 Halstead Road",8,81,0,0,22,3,0,114,4
"Poolburn","Poolburn School, 1017 Ida Valley-Omakau Road",2,82,1,1,0,0,1,87,2
"Pukeuri","Public Hall, 51 Works Road",7,71,1,3,36,0,0,118,1
"Ranfurly","Maniototo Community Library, 15 Caulfeild Street",19,392,8,3,99,2,1,524,8
"Roxburgh","Roxburgh Area School Library, 78 Scotland Street",44,297,10,15,97,5,1,469,12
"Southburn","Southburn Hall, corner Caird & Pareora River Roads",13,99,6,5,20,1,0,144,3
"St Andrews","St Andrews School, 21 Bluecliffs Road",26,149,4,14,59,1,2,255,3
"Tarras","Tarras Primary School, 2612 Tarras-Cromwell Road",10,91,1,1,18,1,0,122,0
"Timaru","St John's Church Hall, 125 Wai-iti Road",15,79,2,2,22,1,0,121,3
,"Timaru Girls High School, corner Hassall and Cain Streets",10,73,1,8,27,2,0,121,2
"Totara","Public Hall, 633 Fortification Road ",13,152,5,10,51,0,1,232,4
"Totara Valley","Combined Districts Hall, Totara Valley Road",5,102,1,3,5,2,0,118,1
"Twizel","Twizel Area School, Mt Cook Street",93,311,9,10,265,2,3,693,22
"Waiareka","Oamaru Farmers' Saleyards Building, 31-39 Weston Road",16,192,5,5,83,0,2,303,10
"Waihao Downs","Waihao Downs School, 1139 Hakataramea Highway",15,125,4,3,21,1,0,169,1
"Waimate","Centennial School, 5 Hughes Street",25,159,5,15,166,0,0,370,14
,"Silver Band Hall, 135 High Street",82,454,17,22,373,3,6,957,31
,"Waimate Main School Hall, 29 John Street",73,335,8,15,270,5,5,711,26
"Waitohi","Centennial Hall, Main Waitohi Road",1,69,3,2,6,1,0,82,1
"Wanaka","Lake Wanaka Centre, 89 Ardmore Street",329,897,13,17,112,8,0,1376,15
,"Mt Aspiring College Gymnasium, 121 Plantation Road",180,603,12,5,101,2,2,905,4
"Weston","Weston Primary School, 1 Charles Street",41,380,8,14,136,0,5,584,11
"Woodbury","Woodbury School, 559 Woodbury Road",19,140,2,10,42,4,0,217,5
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Rangitata",19,170,1,7,49,0,1,247,3
,"Ordinary Votes BEFORE polling day - Taken in Waitaki",496,3025,54,62,938,18,26,4619,118
,"Special Votes BEFORE polling day",77,321,6,9,121,3,3,540,8
,"Special Votes On polling day",324,1366,27,28,465,15,10,2235,48
,"Overseas Special Votes including Defence Force",35,117,2,1,43,0,1,199,4
,"Waitaki Total",3830,23219,531,760,9076,198,172,37786,883
