Electorate Candidate Votes Recorded at Each Voting Place
"Maungakiekie 26","Candidate Vote Details"
,,"BEAUMONT, Carol Ann","COGGAN, Felicity Jane","FINAU, Sitaleki","LECKINGER, Richard John","LOTU-IIGA, Peseta Samuelu Masunu","MOCKRIDGE, Bryan","SIMPSON, Litia ","Total Valid Candidate Votes","Informal Candidate Votes"
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",9,1,0,1,6,0,1,18,1
"Ellerslie","Christ Church Anglican Church, 169 Ladies Mile",272,5,5,68,663,10,14,1037,15
,"Ellerslie Kindergarten, 122 Celtic Crescent",261,3,3,70,622,2,20,981,15
,"Michael Park School, 55 Amy Street",105,0,2,58,221,0,3,389,2
,"St Mary's Church Hall, 66 Main Highway",197,6,3,50,502,3,18,779,8
,"YMCA Centre, Downstairs Childcare Centre, 46 Michaels Avenue",128,1,3,43,376,3,11,565,4
"Epsom","Epsom Normal School, 41 The Drive",6,0,0,3,23,0,1,33,0
,"Sacred Heart Parish Hall, 19 Banff Avenue",3,0,0,1,13,0,0,17,0
"Glen Innes","Glen Innes Primary School, 38-42 Eastview Road",27,0,1,1,7,0,0,36,0
,"Glenbrae School, 103 Leybourne Circle",8,0,1,2,5,0,0,16,0
,"Grace International, 77 Line Road",82,1,0,6,32,0,6,127,5
,"Tamaki College, corner Elstree Avenue & Taniwha Street",49,0,3,5,8,1,0,66,0
"Grafton","Auckland City Hospital, Foyer, 2 Park Road",19,0,0,10,25,0,1,55,1
"Greenlane","Cornwall Park District School, corner Greenlane West & Wheturangi Roads",135,2,2,38,415,2,13,607,5
"Mt Wellington","Bailey Road School, 19 Bailey Road",581,3,18,55,592,3,29,1281,21
,"Panmure District School, 87 Mt Wellington Highway",374,1,11,50,435,3,15,889,13
,"Pensioner Flats Hall, 7 Rowlands Avenue",74,0,3,6,59,0,8,150,6
,"Stanhope Road School, 2B Harris Road",602,4,10,102,725,11,45,1499,25
,"Sylvia Park School, 3 Longford Street",341,2,10,46,367,0,19,785,23
"One Tree Hill","Oranga School, 21 Rangipawa Road",326,3,6,54,589,2,18,998,11
,"St Oswald's Anglican Church Hall, 193 Campbell Road",224,0,2,64,721,5,19,1035,14
"Onehunga","Onehunga Co-operating Parish, corner Grey Street & Onehunga Mall",348,1,3,47,445,1,16,861,9
,"Onehunga High School, 24 Pleasant Street",76,1,4,10,128,0,6,225,2
,"Onehunga Primary School, 122 Arthur Street",268,3,7,41,361,1,8,689,12
,"St Peter's Anglican Church, corner Church Street & Onehunga Mall",388,7,14,63,398,3,19,892,13
"Oranga","St Stephen's Church Hall, 21 Waitangi Road",335,0,17,14,158,0,11,535,4
,"Te Papapa School, 219 Mt Smart Road",406,0,11,47,322,2,13,801,12
"Otahuhu","Otahuhu Intermediate School, 22-24 Luke Street",87,0,4,7,36,0,12,146,3
,"Panama Road School, 139 Panama Road",684,2,25,38,208,2,14,973,9
"Panmure","Panmure Bridge Primary School, 76 Kings Road",209,2,2,30,191,5,6,445,9
,"Panmure Community Centre, 7-13 Pilkington Road",332,3,9,30,197,5,8,584,20
,"Ruapotaka Primary School, 10A Taratoa Street",133,0,8,8,27,0,3,179,5
,"St Patrick's Church Hall, 19 Sunset View Road",146,4,4,14,141,2,7,318,3
,"Tamaki Community Church, 4A Court Crescent",129,2,5,10,78,0,2,226,3
,"Tamaki Primary School, 11A Alamein Road",174,0,6,19,74,1,6,280,9
"Penrose","One Tree Hill College, 421-451 Great South Road",178,1,8,42,287,2,13,531,12
"Point England","Point England Primary School, 130 Point England Road",351,1,12,22,100,1,2,489,11
"Remuera","Remuera Intermediate School, 64-72 St Vincent Avenue",16,0,1,4,38,1,0,60,2
"Royal Oak","Royal Oak Intermediate, 74 Symonds Street (Trafalgar Street entrance)",118,0,1,20,297,1,14,451,4
,"Royal Oak Primary School, Chandler Avenue (663 Manukau Road entrance)",49,0,0,11,121,1,1,183,1
"Stonefields","Stonefields School, 81 Tihi Street",37,0,0,5,159,0,2,203,1
"Three Kings","Three Kings School, 944 Mt Eden Road",13,1,0,2,18,1,0,35,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",3495,21,132,392,3740,22,167,7969,144
,"Special Votes BEFORE polling day",665,5,35,136,586,2,31,1460,37
,"Special Votes On polling day",1142,5,66,289,1306,13,65,2886,41
,"Overseas Special Votes including Defence Force",182,1,5,51,310,3,5,557,5
,"Maungakiekie Total",13784,92,462,2085,16132,114,672,33341,540
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33881
"Electorate Candidate Valid Votes","Party",,"LOTU-IIGA, Peseta Samuelu Masunu - majority 2348"
"BEAUMONT, Carol Ann",Labour Party,13784,.4134249123
"COGGAN, Felicity Jane",Communist League,92,.0027593653
"FINAU, Sitaleki",MANA Movement,462,.0138568129
"LECKINGER, Richard John",Green Party,2085,.0625356168
"LOTU-IIGA, Peseta Samuelu Masunu",National Party,16132,.4838487148
"MOCKRIDGE, Bryan",United Future,114,.0034192136
"SIMPSON, Litia ",Conservative,672,.0201553643
