Electorate Candidate Votes Recorded at Each Voting Place
"Rotorua 47","Candidate Vote Details"
,,"COFFEY, Tamati Gerald","DAVIDSON, Michael Jack","McCLAY, Todd Michael","RUSSELL, Lyall","TABUTEAU, Fletcher","Total Valid Candidate Votes","Informal Candidate Votes"
"Broadlands","Broadlands School, 2986 Broadlands Road",24,2,99,1,4,130,3
"Hamurana","Hamurana Play Centre, 38 Tauranga Direct Road",81,10,235,0,25,351,2
"Horohoro","Horohoro School, 69 Apirana Road",23,3,68,0,9,103,1
"Kaharoa","Kaharoa School, 296 Kaharoa Road",32,4,125,1,12,174,0
"Kaingaroa Forest","Administration Building, Dun Road",15,0,10,1,5,31,1
"Koutu","Te Kura O Te Koutu, 41-45 Russell Road ",63,3,57,2,15,140,2
"Lake Okareka","Lake Okareka Community Hall, 75 Loop Road",77,1,145,1,6,230,1
"Lake Rerewhakaaitu","Lake Rerewhakaaitu School, 9 Ash Pit Road",24,1,133,0,3,161,1
"Lake Rotoma","Rotoma and Rotoehu Community Hall, 167 State Highway 30",49,0,49,0,6,104,3
"Lake Tarawera","Lake Tarawera Playcentre, 10 Alexander Road",28,2,78,1,7,116,2
"Lynmore","Lynmore School, corner Te Ngae & Iles Roads",360,21,853,1,58,1293,12
,"Lynmore Scout Hall, Lewis Road",155,5,381,1,32,574,4
"Mamaku","Mamaku School, 54 Tarena Street",96,7,165,0,37,305,4
"Ngakuru","Ngakuru School, 913 Whirinaki Valley Road",49,7,170,0,14,240,1
"Ngapuna","Hurunga Marae, 15 Hurunga Street",33,2,23,0,3,61,1
"Ngongotaha","Ngongotaha Community Hall, 5 School Road",436,19,819,3,116,1393,9
"Ohauiti","Ohauiti Settlers Hall, 459 Ohauiti Road",42,17,186,1,24,270,6
"Okere Falls","Whangamarino School, 637 State Highway 33",70,1,80,0,12,163,3
"Oropi","Oropi School, 1334 Oropi Road",23,4,81,1,10,119,2
"Owhata","Owhata School Hall, 29-37 Brent Road",160,5,182,0,35,382,2
,"St Mark's Anglican Hall, corner Sunrise Avenue & Te Ngae Road",199,9,201,2,35,446,3
"Papamoa","Shop 32, Palm Beach Plaza, 7 Gravatt Road",19,2,77,2,9,109,4
"Pyes Pa","Pyes Pa School, 978 Pyes Pa Road",40,11,113,4,28,196,3
"Reporoa","Mihi School, 76 Springs Road",21,7,80,6,3,117,0
,"Reporoa Primary School, 34 Massey Road",57,3,203,4,16,283,1
"Rotoiti","Te Kura Kaupapa Māori O Te Rotoiti, 1620 State Highway 30",25,0,27,0,5,57,0
"Rotokawa","Rotokawa School, 6 Rotokawa Road",84,7,196,2,16,305,2
"Rotorua","Aorangi School, 3 Gem Street",276,12,250,2,72,612,4
,"Electorate Headquarters, Zen Centre, Level 2, 1135 Arawa Street",142,4,170,4,18,338,5
,"Gandhi Hall, 14-16 Gibson Street",140,2,92,0,19,253,4
,"Glenholme School Hall, 149 Ranolf Street",314,10,417,4,71,816,10
,"Homedale Kindergarten, 50 Homedale Street",129,5,96,0,25,255,1
,"Kaitao Middle School, 30 Bell Road",120,6,69,0,18,213,2
,"Kawaha Point School, 72 Aquarius Drive",279,14,419,3,63,778,6
,"Malfroy School, 196 Malfroy Road",347,13,333,2,49,744,3
,"Otonga School Hall, 105 Otonga Road",369,10,702,4,71,1156,16
,"Rotorua Intermediate School, 93-95 Malfroy Road",264,7,263,0,36,570,7
,"Rotorua Primary School Hall, corner Rangiuru and Arawa Streets",166,4,184,3,28,385,4
,"Rotorua Public Hospital, Pukeroa Street",85,2,90,0,8,185,1
,"St Andrew's Church Hall, 309 Old Taupo Road",149,4,382,1,35,571,3
,"St Chad's Communication Centre, 2 Devon Street",139,8,274,3,28,452,2
,"St John's Ambulance Hall, 31 Pererika Street",164,5,186,0,37,392,8
,"St Michael's Catholic School Hall, 168 Clayton Road",159,3,124,0,38,324,2
,"Sunset Primary School Hall, 150 Sunset Road",319,11,312,4,53,699,7
,"Waiariki Institute of Technology Cafeteria, Mokoia Drive",77,5,154,1,15,252,1
,"Westbrook School Hall, 362 Malfroy Road",387,20,653,3,60,1123,12
,"Western Heights High School, 70 Old Quarry Road",218,7,152,0,30,407,2
"Te Puke","Te Puke Memorial Hall, 130 Jellicoe Street",370,41,907,6,134,1458,15
,"Te Puke Primary School, corner Cameron Road & Kowhai Avenue",186,21,456,5,64,732,4
"Te Ranga","Te Ranga Hall, 1492 Te Matai Road",16,2,86,0,5,109,2
"Upper Atiamuri","Upper Atiamuri School, 2613 State Highway 30",11,1,68,0,4,84,0
"Waikite Valley","Waikite Valley School, 1090 Waikite Valley Road",51,0,154,2,3,210,0
"Waitangi","Te Kura Kaupapa Māori o Te Matai, 309 State Highway 2",6,1,17,1,5,30,1
"Welcome Bay","Baden Powell Hall, 39 Welcome Bay Road",14,3,42,0,8,67,0
,"Welcome Bay School, 309 Welcome Bay Road",25,6,71,1,8,111,4
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",2834,166,5232,33,695,8960,89
,"Special Votes BEFORE polling day",386,20,493,7,99,1005,19
,"Special Votes On polling day",731,37,824,8,113,1713,17
,"Overseas Special Votes including Defence Force",139,7,207,1,9,363,4
,"Rotorua Total",11297,610,18715,132,2466,33220,328
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33548
"Electorate Candidate Valid Votes","Party",,"McCLAY, Todd Michael - majority 7418"
"COFFEY, Tamati Gerald",Labour Party,11297,.3400662252
"DAVIDSON, Michael Jack",Conservative,610,.0183624323
"McCLAY, Todd Michael",National Party,18715,.5633654425
"RUSSELL, Lyall",ACT New Zealand,132,.0039735099
"TABUTEAU, Fletcher",New Zealand First Party,2466,.0742323901
