Electorate Candidate and Party Votes Recorded at Each Polling Place
"Whangarei 62","Candidate Vote Details"
,,"CHALMERS, William Paul","DOHERTY, Paul William","GOODHUE, Edgar Kenneth","GUNSTON, Maureen Patricia Anne","HEATLEY, Philip Reeve","HEDGES, Donald Mitchell","HUGHES, Helen Kay","KAIPO, Martin","McCLELLAND, Thomas John","SHEPHERD, Vivienne Mary","VALLINGS, Simon Kingsley","Total Valid Candidate Votes","Informal Candidate Votes"
,"Selwyn Park Village, 15 Puriri Park Road",82,30,2,4,409,0,2,0,4,11,0,544,9
,"Whangarei Area Hospital, Maunu Road",123,45,3,2,211,1,0,2,3,17,0,407,4
"Morningside","Morningside School, 53a Morningside Road",157,52,4,3,229,3,0,4,3,7,1,463,6
"Ngararatunua","Regent Training Centre, Pipiwai Road",42,25,2,0,202,1,0,1,4,1,2,280,2
"Ngunguru","Ngunguru Community Hall, Ngunguru Road",192,132,5,3,562,2,1,5,11,9,4,926,5
"One Tree Point","One Tree Point School, One Tree Point Road",121,28,5,1,411,1,1,0,9,7,3,587,8
"Onerahi","Onerahi School, Church Road",318,105,2,2,677,2,0,2,5,39,3,1155,18
,"Raurimu Avenue School, Raurimu Avenue",88,49,3,0,180,2,0,4,1,5,1,333,4
,"St James Church, 135 Onerahi Road",267,116,3,6,739,1,3,8,8,42,3,1196,15
"Otaika","Lifesway Bible Church, corner Tarewa & Otaika Roads",220,53,5,3,343,4,1,8,4,15,2,658,8
,"Otaika School, Valley View Road",54,20,4,1,202,0,0,1,7,9,1,299,2
"Otangarei","Otangarei School, 181 William Jones Drive",72,8,0,1,24,0,3,11,1,4,2,126,1
"Parua Bay","Parua Bay School, Whangarei Heads Road",154,77,3,0,502,1,0,4,12,12,4,769,5
"Poroti","Poroti School, Maungakahia Road",59,13,1,2,198,0,0,1,4,5,4,287,1
"Portland","Portland Primary School, 10 Portland School Road",39,11,1,0,47,1,1,1,3,3,0,107,0
"Raumanga","Manaia View School Hall, 64 Murdock Crescent",156,35,4,6,261,0,2,11,2,13,1,491,7
,"Northland Polytechnic, 49-59 Raumanga Valley Road",99,18,1,0,187,2,1,6,2,5,1,322,5
"Regent","Anglican Parish Hall, 2a Kamo Road",279,75,9,4,653,3,1,5,8,12,2,1051,20
"Riverside","Shackleton Scout Hall, Riverside Drive",87,59,1,1,356,0,0,6,5,9,2,526,2
"Ruakaka","Bream Bay College, Marsden Pt Road",196,32,0,2,408,1,1,6,10,15,1,672,14
,"Ruakaka School, 12 Sandford Road",97,45,2,3,305,2,1,3,4,7,2,471,5
"Ruatangata","Ruatangata Hall, Ruatangata Road",41,16,1,2,241,2,0,4,1,6,5,319,1
"Springs Flat","Alive Christian Fellowship, 55 Great North Road",56,18,0,0,144,0,1,1,2,4,3,229,1
"Tamaterau","Tamaterau Hall, Whangarei Heads Road",79,32,2,0,295,0,0,0,3,4,0,415,4
"Tauraroa","Tauraroa Area School, Omana Road",40,17,0,2,222,0,0,2,1,4,0,288,4
"Tikipunga","Tikipunga Community Centre, 83 Paramount Parade",261,47,3,1,545,3,1,14,6,18,0,899,21
,"Tikipunga High School, 194 Corks Road",216,44,2,3,354,0,0,12,7,14,2,654,19
,"Trinity Uniting Church, 4 Otuhiwai Crescent",224,38,3,3,548,0,0,7,2,10,2,837,11
"Waimate North","205 Showgrounds Road",8,8,0,1,67,0,0,0,2,1,1,88,1
"Waipu","Waipu Hall, The Centre",198,114,4,3,638,0,3,4,10,17,3,994,9
"Whangarei","Northland Mitsubishi, Reyburn Street",146,35,5,0,452,1,1,6,8,14,2,670,3
,"Regent Training Classrooms, 29 Maunu Road",133,26,6,2,204,1,0,2,3,3,2,382,7
,"Te Renga Paraoa Marae, Porowini Avenue",66,30,1,3,117,3,1,2,4,4,1,232,1
,"Whangarei Intermediate, 32 Rust Avenue",250,89,8,1,500,6,6,17,5,13,4,899,11
"Whangarei Heads","McLeod Bay Hall, Stewart Road",127,80,0,0,309,0,1,4,9,13,0,543,6
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",129,13,4,2,184,0,1,1,5,7,0,346,22
,"Ordinary Votes BEFORE polling day",589,156,8,4,1865,5,4,15,26,32,1,2705,19
,"Special Votes BEFORE polling day",101,35,2,0,255,1,0,2,3,4,1,404,6
,"Special Votes On polling day",438,191,3,4,1074,4,8,22,19,25,8,1796,16
,"Overseas Special Votes including defence force",50,36,2,1,232,2,0,3,1,1,0,328,0
,"Whangarei Total",8393,2731,179,107,23056,74,61,281,304,636,113,35935,413
,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36348
"Electorate Candidate Valid Votes","Party",,"HEATLEY, Philip Reeve - majority 14663"
"CHALMERS, William Paul",Labour Party,8393,.2335605955
"DOHERTY, Paul William",Green Party,2731,.0759983303
"GOODHUE, Edgar Kenneth",Democrats for Social Credit,179,.0049812161
"GUNSTON, Maureen Patricia Anne",United Future,107,.0029775984
"HEATLEY, Philip Reeve",National Party,23056,.6416028941
"HEDGES, Donald Mitchell",Independent,74,.0020592737
"HUGHES, Helen Kay",Libertarianz,61,.0016975094
"KAIPO, Martin",RAM - Residents Action Movement,281,.0078196744
"McCLELLAND, Thomas John",ACT New Zealand,304,.0084597189
"SHEPHERD, Vivienne Mary",Jim Anderton's Progressive,636,.0176986225
"VALLINGS, Simon Kingsley",Independent,113,.0031445666
