Electorate Candidate and Party Votes Recorded at Each Polling Place
"Tauranga 52","Candidate Vote Details"
,,"BALDOCK, Larry David","BARRETT, Sally Jane","CLARKSON, Robert Moncrieff","DENZ, Frances","JENSEN, Neils Thomas","LALL, Karandeep Singh","PETERS, Winston Raymond","PETERSON, Noel James","RANSOM, Katherine Elizabeth","WATKINS, Russell","Total Valid Candidate Votes","Informal Candidate Votes"
"Bethlehem","Baptist Church Hall, Bethlehem Road",41,66,478,1,9,4,370,21,1,0,991,3
,"Institute of Education, Elder Lane",64,83,669,4,13,1,381,8,0,1,1224,3
"Maungatapu","Maungatapu School Hall, 164 Maungatapu Road",3,12,65,0,1,1,63,9,0,0,154,0
"Mt Maunganui","Arataki School Hall, 4 Kaimanawa Street",12,58,127,1,8,3,169,8,2,3,391,0
,"Grenada Park Community Hall, Grenada Park, Manowai St",2,11,39,0,3,0,33,10,0,0,98,0
,"Harbourside Netball Pavilion, Maunganui Road",13,57,234,0,3,0,179,25,0,1,512,1
,"Intermediate School, 21 Links Avenue",33,146,524,1,8,2,435,27,1,2,1179,2
,"Mt Maunganui College, Maunganui Road",25,105,459,3,10,3,360,36,1,1,1003,5
,"Primary School, 13 Orkney Road",18,98,511,0,4,2,365,36,0,3,1037,7
,"Senior Citizens' Hall, 345 Maunganui Road",9,73,283,5,0,0,229,12,0,1,612,4
,"St Peter's Church Hall, 11 Victoria Road",8,21,289,1,0,0,152,18,0,0,489,0
"Pyes Pa","Aquinas College, 183 Pyes Pa Road",27,76,349,1,4,2,246,9,0,0,714,1
"Tauranga","Boys' College, Drama Room, Devonport Road",69,231,689,1,12,9,778,31,0,5,1825,7
,"Brookfield School, 20 Millers Road",88,248,744,5,17,13,940,57,3,2,2117,15
,"Dance Education Centre, 228B Levers Road",15,41,198,0,1,0,179,5,0,0,439,6
,"Gate Pa School, 900 Cameron Road",50,183,361,1,8,12,454,30,2,2,1103,5
,"Greenpark School, 13 Lumsden Street",56,117,424,3,14,28,458,28,1,3,1132,9
,"Greerton Village School, Greerton Road",68,363,614,4,19,15,1084,57,1,1,2226,15
,"Matua Community Hall, Levers Road",76,206,975,5,9,5,807,26,3,4,2116,12
,"Merivale School, 26 Kesteven Avenue",31,87,160,0,7,5,285,22,2,1,600,8
,"Otumoetai College, 105 Windsor Road",55,126,357,1,17,5,466,17,2,1,1047,6
,"Otumoetai School, 236 Otumoetai Road",87,265,985,2,22,3,1042,56,2,2,2466,13
,"Pillans Point School, 101 Maxwells Road",26,164,762,3,5,9,614,23,0,4,1610,11
,"Primary School Hall, Fifth Avenue",37,118,613,2,3,3,501,34,0,4,1315,9
,"St Columba Church Hall, 502 Otumoetai Road",51,157,620,3,7,1,770,23,3,1,1636,7
,"St George's Anglican Church Hall, 1 Church Street",15,35,112,1,6,0,152,10,0,0,331,2
,"St Peter's Community Centre, cnr Cameron Rd and Spring St",11,47,204,0,5,1,212,20,2,3,505,4
,"Tauranga Intermediate School, 30 Eighteenth Avenue",26,70,248,0,4,1,267,10,0,0,626,4
,"Tauriko School, SH 29",10,11,131,0,1,0,93,5,0,0,251,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",14,111,206,1,2,5,221,7,1,1,569,26
,"Ordinary Votes BEFORE polling day",136,226,1266,4,28,5,843,39,0,1,2548,10
,"Special Votes BEFORE polling day",20,58,152,1,3,1,170,12,0,1,418,8
,"Special Votes On polling day",110,293,942,6,19,24,867,115,3,8,2387,23
,"Overseas Special Votes including defence force",17,57,230,1,0,1,105,7,1,1,420,2
,"Tauranga Total",1323,4020,15020,61,272,164,14290,853,31,57,36091,229
,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36320
"Electorate Candidate Valid Votes","Party",,"CLARKSON, Robert Moncrieff - majority 730"
"BALDOCK, Larry David",United Future New Zealand,1323,.0366573384
"BARRETT, Sally Jane",Labour Party,4020,.1113851099
"CLARKSON, Robert Moncrieff",National Party,15020,.4161702363
"DENZ, Frances",ACT New Zealand,61,.0016901721
"JENSEN, Neils Thomas",Destiny New Zealand,272,.0075365049
"LALL, Karandeep Singh",Jim Anderton's Progressive,164,.0045440692
"PETERS, Winston Raymond",New Zealand First Party,14290,.395943587
"PETERSON, Noel James",Green Party,853,.0236347012
"RANSOM, Katherine Elizabeth",Democrats for Social Credit,31,.0008589399
"WATKINS, Russell",Libertarianz,57,.0015793411
