Electorate Candidate Votes Recorded at Each Voting Place
"Hamilton East 13","Candidate Vote Details"
,,"ALLEN, Clifford","BENNETT, David Allister","CALVER, Raymond John","DAY, Katrina Marjory","McKENZIE, Carolyn Lee","SERVIAN, Mark Anthony","SMITH, Ronald Charles","TAURIMA, Richard John","TODD, Quentin Gregory","Total Valid Candidate Votes","Informal Candidate Votes"
"Beerescourt","Vardon School, 36 Cunningham Road",9,21,0,2,0,1,0,2,0,35,0
"Cambridge","Cambridge Primary School, corner Wilson & Duke Streets",2,8,0,2,0,0,0,0,0,12,0
"Chartwell","Chartwell Cooperating Parish Hall, corner Comries Road & Belmont Avenue",372,801,6,44,2,82,7,48,1,1363,8
,"Hukanui School, corner Hukanui Road & Pickering Crescent",238,1030,5,47,2,63,5,31,3,1424,7
"Claudelands","Peachgrove Intermediate School, 72 Peachgrove Road",156,196,2,17,4,46,4,29,2,456,1
,"Southwell School, 200 Peachgrove Road",182,373,4,22,1,50,2,19,2,655,4
,"St Aidan's Parish Hall, 24 Thames Street",241,317,2,8,3,52,2,20,1,646,2
"Enderley","Te Kura Kaupapa Māori O Te Ara Rima School, 31 Fifth Avenue",157,145,2,12,1,38,0,34,1,390,4
"Fairfield","Fairfield Baptist Church, 1101 Heaphy Terrace",130,143,2,16,2,26,0,25,0,344,4
,"Fairfield College, 25 Bankwood Road",117,150,0,10,0,29,1,20,0,327,9
,"Fairfield Intermediate School, 261 Clarkin Road",149,198,3,13,3,32,1,31,2,432,9
,"Insoll Avenue School, 95 Insoll Avenue",293,309,2,13,0,38,3,44,1,703,5
,"Wesley Methodist Hall, 955 Heaphy Terrace",187,157,4,12,0,31,1,24,1,417,6
,"Woodstock Primary School, 43 Fairfield Road",139,406,2,23,1,41,0,20,1,633,5
"Flagstaff","Alandale Retirement Village, 1199 River Road",192,878,4,41,0,40,2,36,2,1195,6
"Frankton","Frankton School Hall, 206 Massey Street",21,12,0,4,0,4,2,3,0,46,2
"Hamilton City","Electorate Headquarters, 12 Ward Street",50,94,1,5,1,28,0,1,0,180,1
"Hamilton East","Graceways Church, 69 Grey Street",308,432,8,15,4,100,6,33,2,908,9
,"Hamilton East Primary School, 7 Dawson Street",212,248,4,13,1,65,5,18,4,570,2
,"Marian Catholic School, 119 Firth Street",324,482,11,16,1,99,4,34,1,972,7
"Hamilton West","Hamilton West School, 36 Hammond Street",9,16,0,0,1,6,0,1,0,33,1
"Hillcrest","Hillcrest Normal School, 218 Cambridge Road",316,725,8,29,1,97,9,30,3,1218,9
,"Knighton Normal School, 45 Knighton Road",415,540,13,28,1,109,4,56,4,1170,8
"Pukete","Pukete School, 110 Pukete Road",8,40,2,1,0,6,0,1,0,58,0
"Rototuna","Chapel Hill Community Church, 2 Cate Road",180,1000,3,62,1,40,2,37,3,1328,7
,"Rototuna Primary School, 23 Strathmore Drive",319,1333,3,49,4,57,12,41,3,1821,11
,"Waikato Waldorf School, 85 Barrington Drive ",98,300,0,11,1,29,0,11,2,452,4
"Rototuna North","Te Totara Primary School, 31 Hector Drive",156,602,0,48,1,26,7,13,0,853,3
"Silverdale","Hillcrest High School, Masters Avenue",277,426,10,34,2,80,3,32,2,866,7
,"St John's College, 85 Hillcrest Road",73,89,3,12,1,18,2,5,0,203,1
"Te Rapa","The Base (between Briscoes and Rebel Sport), 1 Pacific Crescent",52,128,1,5,0,17,1,7,0,211,3
"Waikato Hospital","Meade Clinical Centre, Level One (adjacent to Reception A), Pembroke Street",23,46,2,3,0,1,0,0,0,75,0
"Whangamata ","Whangamata Memorial Hall, 328 Port Road",1,21,0,0,0,1,0,0,0,23,0
"Whitiora","Whitiora School, 38 Willoughby Street",4,20,0,2,0,1,0,0,1,28,1
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",2741,5768,70,270,27,645,32,429,16,9998,93
,"Special Votes BEFORE polling day",299,525,8,28,0,103,8,48,3,1022,15
,"Special Votes On polling day",609,1175,27,64,3,243,14,106,11,2252,36
,"Overseas Special Votes including Defence Force",135,239,5,10,1,86,0,7,0,483,5
,"Hamilton East Total",9194,19393,217,991,70,2430,139,1296,72,33802,295
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34097
"Electorate Candidate Valid Votes","Party",,"BENNETT, David Allister - majority 10199"
"ALLEN, Clifford",Labour Party,9194,.2719957399
"BENNETT, David Allister",National Party,19393,.5737234483
"CALVER, Raymond John",Internet Party,217,.0064197385
"DAY, Katrina Marjory",Conservative,991,.0293177918
"McKENZIE, Carolyn Lee",Democrats for Social Credit,70,.0020708834
"SERVIAN, Mark Anthony",Green Party,2430,.0718892373
"SMITH, Ronald Charles",ACT New Zealand,139,.0041121827
"TAURIMA, Richard John",New Zealand First Party,1296,.0383409266
"TODD, Quentin Gregory",United Future,72,.0021300515
