Electorate Candidate and Party Votes Recorded at Each Polling Place
"Taranaki-King Country 49","Candidate Vote Details"
,,"ARDERN, Philip Shane","BARKER, Richard John","MOORE, Robert Bruce","ROGERS, Victoria Jane","Total Valid Candidate Votes","Informal Candidate Votes"
"Aria","Aria School, Barclay Road",85,8,10,2,105,3
"Arohena","Arohena School, 40 Pukewhau Road",79,7,1,3,90,3
"Benneydale","Benneydale Community Hall, Maniaiti Road",48,22,3,3,76,6
"Cardiff","Cardiff Hall, 50 Cardiff Road",82,13,5,7,107,4
"Deanwell","Deanwell School, 49 Deanwell Avenue",27,7,4,2,40,0
"Egmont Village","Egmont Village School Hall, 1052 Junction Road",75,12,7,0,94,5
"Eltham","St Mark's Parish Hall, 235 High Street",11,9,1,0,21,0
"Hamilton West","Waikato Hospital, Fracture Clinic reception, Pembroke Street",17,8,5,0,30,1
"Hangatiki","Hangatiki School Library, 591 Hangatiki East Road",59,6,3,0,68,4
"Honikiwi","Honikiwi Memorial Hall, corner Honikiwi & Turoto Roads",54,5,2,0,61,4
"Huiakama","Huiakama School, 3095 Ohura Road",25,9,5,1,40,1
"Inglewood","Inglewood High School, Kelly Street entrance",345,118,34,10,507,15
,"Inglewood Primary School Library, 33 Kelly Street",688,271,74,16,1049,42
"Kaimata","Kaimata School, 715 Tarata Road",130,33,8,3,174,5
"Kaipaki","Kaipaki School Library, 687 Kaipaki Road ",188,30,15,1,234,2
"Kaponga","Kaponga School, 30 Egmont Street",19,0,3,0,22,1
"Kawhia","Kawhia Community Hall, 141 Jervois Street",138,41,23,3,205,10
"Kihikihi","Kihikihi Town Hall, Lyon Street",629,221,100,12,962,48
"Kinohaku","Kinohaku School Library, 22 Kawhia Harbour Road",51,10,4,0,65,2
"Kiokio","Kiokio School, 1701 State Highway 3",172,7,10,1,190,1
"Korakonui","Korakonui School, 734 Wharepuhunga Road",171,10,10,3,194,2
"Koromatua","Koromatua School, 355 Koromatua Road",168,41,23,6,238,5
"Lepperton","Lepperton School Library, 540 Richmond Road ",87,16,15,4,122,3
"Mahoe","Mahoe Hall, 1080 Opunake Road",59,3,2,0,64,0
"Mahoenui","Mahoenui Memorial Hall, State Highway 3",35,0,2,1,38,4
"Maihiihi","Maihiihi School, 775 Maihiihi Road",126,6,1,2,135,1
"Mairoa","Mairoa Hall, Mairoa Road",39,4,4,0,47,1
"Mapiu","Mapiu School, 2739 State Highway 4",67,6,5,1,79,0
"Marokopa","Marokopa Community Hall, The Esplanade",37,3,0,3,43,5
"Matiere","Matiere School, 2106 Main Road",58,1,7,1,67,1
"Midhirst","Midhirst Primary School Library, 8 Erin Street",226,63,5,0,294,6
"Mimi","Mimi School, 23 Pukearuhu Road",89,25,9,0,123,3
"Mokau","Mokau Primary School, corner Rangi Street & Aria Terrace",125,17,11,1,154,10
"New Plymouth","Welbourn School Hall, 5 Welbourn Terrace entrance",20,6,3,0,29,3
"Ngaere","Ngaere School, 4355 Mountain Road",97,13,1,1,112,1
"Ngahinapouri","Ngahinapouri School, 1185 Kakaramea Road",386,40,40,3,469,8
"Ngakonui","Ngakonui Valley School, Kauri Room, 826 Taumarunui-Ngapuke Road",20,1,0,0,21,0
"Ngutunui","Ngutunui School, Ngutunui Road",93,10,11,4,118,4
"Norfolk","Norfolk School, Norfolk Road",217,26,3,0,246,4
"Ohaupo","Ohaupo Memorial Hall, 98 Great South Road",442,95,52,7,596,21
"Ohura","Ohura Valley School, Ngarimu Street",36,28,14,2,80,3
"Ongarue","Ongarue School, Village Road",50,4,1,0,55,2
"Oparau","Oparau Roadhouse, 4370 State Highway 31",54,15,7,2,78,3
"Oparure","Te Kura Kaupapa Māori o Oparure, 308 Oparure Road",44,2,5,0,51,2
"Otewa","Otewa School, 916 Otewa Road",97,9,7,3,116,1
"Otorohanga","Otorohanga College Hall, Bledisloe Avenue",183,58,14,2,257,10
,"St John Ambulance Hall, 11 Kakamutu Road",645,150,45,12,852,25
"Parawera","Parawera School, 18 Mellsop Road",97,9,9,2,117,3
"Paterangi","Paterangi School, 1326 Paterangi Road ",164,16,8,6,194,9
"Piopio","Piopio Primary School, 14 Aria Road",241,37,21,4,303,12
"Piripiri","Piripiri School, Te Anga Road",14,1,0,0,15,0
"Pirongia","Pirongia School, 100 Beechey Street",677,117,98,14,906,20
"Pokuru","Pokuru School, 873/2 Pokuru Road",183,16,15,4,218,6
"Puahue","Puahue School, 573 Puahue Road",106,11,8,0,125,7
"Pukeatua","Pukeatua School, 2110 Arapuni Road",127,16,7,2,152,8
"Pukengahu","Pukengahu Hall, corner Waihapa & Wingrove Roads",67,13,8,1,89,2
"Raglan","Raglan Town Hall, 41 Bow Street",429,298,336,17,1080,33
"Rangitoto","Rangitoto School, 949 Rangitoto Road",48,1,1,1,51,3
"Ratapiko","Ratapiko School, 4 Ratapiko Road",62,11,7,5,85,3
"Rukuhia","Rukuhia School Hall, Rukuhia Road",271,49,39,7,366,6
"Stratford","Avon School, Hamlet Street",209,117,30,12,368,17
,"Stratford High School, Swansea Road",187,84,19,5,295,13
,"Stratford Methodist Church Hall, Regan Street (opposite New World)",618,327,48,16,1009,24
,"Stratford Primary School, Regan Street",417,147,31,11,606,21
"Taharoa","Taharoa School, Main Road",2,2,2,0,6,0
"Taumarunui","Taumarunui & District War Memorial Hall, 149 Hakiaha Street",44,7,5,0,56,3
,"Taumarunui Primary School Hall, Maata Street",11,3,2,0,16,0
"Te Awamutu","Pekerau School, 742 Te Rahu Road",513,212,62,11,798,26
,"Te Awamutu College Hall, 938 Alexandra Street",788,252,107,23,1170,42
,"Te Awamutu Courthouse, 53 Roche Street",494,169,61,16,740,48
,"Te Awamutu Intermediate School, 646 Hazelmere Crescent",239,115,35,5,394,18
,"Te Awamutu Primary School, 401 Teasdale Street",707,192,99,24,1022,33
,"Te Wananga O Aotearoa, Gallery, 320 Factory Road",53,19,20,0,92,5
"Te Kawa Crossroads","Te Kawa Crossroads Hall, corner State Highway 3 & Te Kawa Road",213,24,12,6,255,7
"Te Kuiti","Centennial Park School, 50 Te Kuiti Road",70,31,8,7,116,10
,"Te Kuiti Courthouse, Queen Street",345,113,32,13,503,18
,"Te Kuiti High School, Hospital Road",170,39,15,5,229,10
,"Te Kuiti Primary School, Rora Street",327,114,40,8,489,34
"Te Mata","Te Mata School , 778 Te Mata Road",141,16,34,2,193,3
"Te Pahu","Te Pahu School, 671 Te Pahu Road",324,76,65,14,479,11
"Te Rahu","Te Rahu Public Hall, corner State Highway 3 & Te Rahu Road",219,27,12,5,263,0
"Te Uku","Te Uku School, 3436 State Highway 23",38,15,15,1,69,1
"Templeview","Church College of New Zealand, Reception Foyer, 435 Tuhikaramea Road",34,5,3,0,42,2
"Tikorangi","Tikorangi School, 356 Ngatimaru Road",176,44,20,0,240,5
"Tokirima","Tokirima School, 71 Tokirima Road",30,2,2,0,34,1
"Toko","Toko School, 1057 East Road",202,23,9,7,241,2
"Tongaporutu","Tongaporutu Hall, Tongaporutu Road",39,11,13,3,66,0
"Urenui","Urenui School, Takiroa Street",291,74,53,5,423,13
"Uruti","Uruti School, 11 Uruti Road",51,11,9,0,71,2
"Waitara","Waitara Central School Hall, 18 Cracroft Street",17,9,4,2,32,1
,"Waitara High School Hall, 16 Princess Street",53,28,12,2,95,7
"Waitetuna","Waitetuna School, 129 Waitetuna Valley Road",56,19,27,3,105,2
"Waitomo Caves","Waitomo School, Hotel Access Road",79,19,14,1,113,1
"Waitoriki","Waitoriki School, 364 Lincoln Road",59,26,8,1,94,0
"Whangamomona","Whangamomona Hall, 6013 State Highway 43",64,9,6,4,83,2
"Wharehuia","Wharehuia Hall (formerly Stanley School Hall), 4 Stanley Road",77,6,4,0,87,3
"Wharepapa","Wharepapa South School, 14 Wharepapa Road",86,6,10,2,104,0
"Whatawhata","Whatawhata School, 9 Kura Street ",179,55,36,5,275,12
,"Polling places where less than 6 votes were taken",3,0,0,0,3,0
,"Ordinary Votes BEFORE polling day - Taken in Hamilton West",222,41,33,2,298,4
,"Ordinary Votes BEFORE polling day - Taken in New Plymouth",136,28,12,1,177,1
,"Ordinary Votes BEFORE polling day - Taken in Rangitīkei",28,3,1,1,33,3
,"Ordinary Votes BEFORE polling day - Taken in Taranaki-King Country",2258,671,269,58,3256,169
,"Special Votes BEFORE polling day",221,84,35,6,346,8
,"Special Votes On polling day",1183,374,287,38,1882,65
,"Overseas Special Votes including Defence Force",90,20,27,1,138,2
,"Taranaki-King Country Total",20842,5753,2819,511,29925,1046
,,,,,"Valid Candidate Votes plus Informal Candidate Votes",30971
"Electorate Candidate Valid Votes","Party",,"ARDERN, Philip Shane - majority 15089"
"ARDERN, Philip Shane",National Party,20842,.6964745196
"BARKER, Richard John",Labour Party,5753,.1922472849
"MOORE, Robert Bruce",Green Party,2819,.0942021721
"ROGERS, Victoria Jane",United Future,511,.0170760234
