Electorate Candidate Votes Recorded at Each Voting Place
"Rangitīkei 43","Candidate Vote Details"
,,"BROWN, Roy Kerry","McKELVIE, Ian Robert Flockhart","RUDZKI, Romuald Edward John","RUSSELL, Deborah Faye","WILSON, Neil John","Total Valid Candidate Votes","Informal Candidate Votes"
"Kopane","Kopane School, Rongotea Road",3,126,14,27,0,170,3
"Linton","Country School, 77 Akers Road",4,85,13,44,1,147,2
,"Linton Camp School, Puttick Road",10,98,22,68,2,200,2
"Longburn","Longburn Primary School, Carey Street",16,248,15,61,5,345,4
"Makirikiri South","South Makirikiri School, Makirikiri Road",3,121,3,14,0,141,1
"Mangaweka","Mangaweka School, 4 Raumaewa Road",10,91,12,17,1,131,1
"Marton","James Cook School, 53 Mill Street",29,193,26,114,3,365,0
,"Marton Junction School, 44-56 Alexandra Street",8,78,21,96,4,207,0
,"Marton School, Hereford Street",7,147,16,76,1,247,3
,"St Andrew's Presbyterian Church Hall, Broadway",41,424,64,213,6,748,1
"Mataroa","Mataroa School, Rongoiti Road",3,61,4,21,0,89,0
"Milson","Milson School Hall, 7 Rutland Place",0,26,2,8,0,36,1
,"St Peter's College, Gym-Classroom, 22-38 Rennie Avenue",0,26,1,5,0,32,0
"Moawhango","Moawhango School, Te Moehau Road",1,26,7,10,0,44,0
"National Park","National Park School Hall, Carroll Street",8,72,9,45,1,135,4
"Newbury","Newbury School, 906 Rangitikei Line",9,223,6,57,3,298,2
"Ngakonui","Ngakonui Valley School, Kauri Room, 826 Taumarunui-Ngapuke Road",1,44,2,6,0,53,0
"Ohakea","Ohakea War Memorial Hall, corner Speedy & Tangimoana Roads",3,90,1,19,0,113,0
"Ohakune","Ohakune District Court, Rata Street",11,148,11,67,2,239,1
,"Ohakune Primary School Hall, 52 Arawa Street",5,89,9,34,0,137,1
"Ohingaiti","Ohingaiti Hall, corner State Highway 1 & Onslow Street",3,66,2,7,0,78,0
"Opiki","Opiki Public Hall, 926 Opiki Road (State Highway 56)",8,135,7,21,0,171,0
"Oroua Downs","Oroua Downs School, State Highway 1",1,123,11,26,1,162,1
"Owhango","Owhango School Resource Room, 19 Ohorere Street",11,113,17,37,1,179,0
"Palmerston North","Central Normal School Hall, 201 Featherston Street",0,39,2,17,1,59,0
,"Emmanuel Congregational Church Hall, 43 Victoria Avenue",4,17,1,3,0,25,0
,"Intermediate Normal School Performing Arts Centre, 31 South Street",0,16,1,5,0,22,0
,"Massey University, Student Centre Lounge, Concourse, University Drive",6,40,4,22,1,73,0
,"Palmerston North Girls' High School, Huia Centre, 3 Huia Street,",4,113,4,68,1,190,2
,"Public Hospital Education Centre Hall, Gate 12, 50 Ruahine Street ",2,8,4,5,0,19,0
,"Queen Elizabeth College Hall, 350-382 Rangitikei Street",1,22,2,6,0,31,1
,"St Luke's Lutheran Church Hall, corner Church & McGiffert Streets",0,13,2,6,0,21,0
,"Te Manawa Museum, 326 Main Street",3,43,9,29,0,84,0
,"The Salvation Army Hall, 431 Church Street",0,29,3,8,0,40,2
"Pohangina","Pohangina Public Hall, Pohangina Road",13,105,6,58,1,183,1
"Pukeokahu","Pukeokahu School, 84 Matawhero Road",1,19,2,7,0,29,0
"Raetihi","Raetihi Primary School Hall, 24 Grey Street",14,172,31,63,3,283,6
"Rangiwaea Junction","Rangiwaea School, Upper Turakina Valley Road",0,35,2,3,0,40,0
"Rangiwahia","Rangiwahia Hall, Rangiwahia Road",8,60,1,11,0,80,1
"Ratana","Te Kura O Ratana, Kiatere Street",1,1,2,5,0,9,0
"Rongotea","Rongotea School, Tyne Street",23,306,23,99,0,451,2
"Roslyn","Roslyn School Hall, 38 Kipling Street",0,22,4,7,0,33,0
"Sanson","Sanson School, Wellington Road (State Highway 1)",16,209,15,92,2,334,4
