Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tonga 69","Candidate Vote Details"
,,"DEARLOVE, Clinton","KĀTENE, Rāhui ","KINGI, Emma-Jane Alice Mihaere","LANGSBURY, Dora Roimata","TIRIKATENE, Rino","Total Valid Candidate Votes","Informal Candidate Votes"
,Christchurch Central
"Avonside/Linwood","Linwood North School, 221 Woodham Road (Rowcliffe Crescent entrance)",3,12,0,8,27,50,2
"Christchurch City","Christchurch East School, 311 Gloucester Street",2,12,2,7,21,44,2
,"Christchurch Public Hospital, Main Entrance Foyer, 2 Riccarton Avenue",2,5,0,4,7,18,0
,"St Michael and All Angels Church School, 249 Durham Street South",0,2,1,3,4,10,1
"Linwood","Aspire Canterbury, 314 Worcester Street",0,5,0,3,12,20,2
,"Linwood College, 85 Aldwins Road",3,11,3,3,20,40,2
,"Linwood Intermediate School, 7 McLean Street",4,2,2,2,10,20,0
,"St Chad's Anglican Church Hall, corner Carnarvon Street & Buckleys Road",2,9,1,3,9,24,3
"Mairehau","Glenmoor School, 96 Philpotts Road",2,0,0,3,6,11,0
,"Mairehau High School, 440 Hills Road",1,9,1,0,4,15,1
,"Mairehau Primary School, 43 Mahars Road",1,4,0,3,11,19,0
,"St Albans Uniting Parish, 262 Knowles St",2,2,0,3,5,12,1
"Papanui","Papanui Baptist Church, 144 Sawyers Arms Road ",2,5,1,4,8,20,1
,"Papanui Primary School, 40 Winters Road",1,3,1,2,7,14,0
,"Paparoa Street School, 120 Paparoa Street",0,2,0,3,6,11,1
,"St Giles Church Hall, 450 Papanui Road (Frank Street entrance)",0,2,2,1,3,8,1
,"St Joseph's School, 4 Vagues Road",1,8,1,1,2,13,0
"Phillipstown","Phillipstown Community Centre, 39A Nursery Road",3,8,5,10,24,50,0
"Richmond","North Avon Baptist Church Hall, 103 North Avon Road",1,4,1,4,11,21,0
,"Richmond Kindergarten, 41 North Avon Road",1,2,0,1,1,5,1
,"Richmond Primary School Hall, 19 Pavitt Street",2,5,0,6,16,29,2
"Shirley","Hammersley Park School, 102 Quinns Road",0,3,2,3,14,22,0
,"MacFarlane Park Free Kindergarten, 19 Acheson Avenue",0,9,0,3,17,29,4
,"Shirley Intermediate School, 60 Shirley Road (North Parade entrance)",1,6,0,3,7,17,2
,"Shirley Primary School, 11 Shirley Road",0,7,1,7,13,28,4
"St Albans","Beulah Christian Fellowship Church, 140 Springfield Road",0,2,0,5,9,16,1
