Electorate Candidate and Party Votes Recorded at Each Polling Place
"Rotorua 46","Candidate Vote Details"
,,"CHADWICK, Stephanie Anne","McCLAY, Todd Michael","ROGERS, Grant Thomas","SAVILLE, Raewyn Frances","SMITH, Daryl James","SOLOMON, Arthur Gus","STEVENS, Alfred Petrus Antonius","Total Valid Candidate Votes","Informal Candidate Votes"
"Broadlands","Broadlands School, 2986 Broadlands Road",20,104,0,4,1,1,0,130,0
"Galatea","Galatea School, Mangamate Road",30,205,0,4,0,5,0,244,1
"Hamurana","Country Life, 659 Hamurana Road",116,292,1,36,2,3,1,451,4
"Horohoro","Horohoro School, 69 Apirana Road",28,74,0,3,0,0,0,105,0
"Kaharoa","Kaharoa School, 296 Kaharoa Road",45,158,0,16,0,1,0,220,1
"Kaingaroa Forest","Administration Building, Dunn Road",25,7,2,3,0,0,0,37,0
"Kawerau","District Council, Town Hall, Ranfurly Court",619,327,4,45,15,17,3,1030,16
,"Putauaki School Staffroom, Fenton Mill Road",289,164,2,25,9,5,0,494,13
"Lake Okareka","Lake Okareka Community Hall, 75 Loop Road",91,144,4,12,2,2,1,256,3
"Lake Rerewhakaaitu","Lake Rerewhakaaitu School, 9 Ash Pit Road",33,128,0,2,2,1,0,166,2
"Lake Rotoma","Rotoma and Rotoehu Community Hall, 167 State Highway 30",56,83,2,9,6,2,1,159,0
"Lake Tarawera","Lake Tarawera Playcentre, 10 Alexander Road",35,51,0,3,0,0,3,92,1
"Lynmore","Lynmore School Hall, Iles Road",507,993,5,44,15,13,4,1581,6
,"Lynmore Scout Hall, Lewis Road",201,445,2,27,2,6,4,687,4
"Maketu","Maketu School, School Road",129,125,0,24,8,4,0,290,6
"Mamaku","Mamaku School, 54 Tarena Street",136,180,2,18,4,4,1,345,4
"Mihi","Mihi School, 76 Springs Road",32,73,0,9,1,3,0,118,1
"Minginui","Minginui Kokiri Centre, 66 Rimu Street",5,11,0,2,1,0,0,19,0
"Murupara","Murupara Municipal Hall, Pine Drive",101,60,0,3,4,1,0,169,5
"Ngakuru","Ngakuru School, 913 Whirinaki Valley Road",50,159,2,9,2,2,1,225,0
"Ngapuna","Hurunga Marae, 15 Hurunga Street",47,22,1,5,4,0,0,79,1
"Ngongotaha","Ngongotaha Community Hall, 5 School Road",735,1086,8,117,13,9,5,1973,19
"Okere Falls","Whangamarino School, 637 State Highway 33",80,122,0,20,1,1,2,226,4
"Otamarakau","Otamarakau School, Room 2, 2216 Old Coach Road",13,85,0,3,0,0,0,101,0
"Owhata","Owhata School Hall, Brent Road",225,267,3,34,15,4,4,552,7
,"St Marks Anglican Hall, corner Sunrise Avenue & Te Ngae Road",274,299,3,50,14,3,3,646,8
"Paengaroa","Paengaroa School, Multi Purpose Room, Old Coach Road",134,555,3,35,17,0,0,744,9
"Pongakawa","Pongakawa School Library, 956 Old Coach Road",68,317,4,12,7,2,1,411,8
"Pukehina","Pukehina School, 1762 Old Coach Road",12,55,0,3,0,0,1,71,2
"Pukehina Beach","Pukehina Community Hall, 14 Pukehina Parade",89,175,0,19,4,3,0,290,5
"Reporoa","Reporoa Primary School, 34 Massey Road",71,214,0,15,3,2,0,305,1
"Rotoiti","Te Kura Kaupapa Maori O Rotoiti, 1620 State Highway 30",29,18,0,6,4,1,1,59,1
"Rotokawa","Rotokawa School, 6 Rotokawa Road",131,282,2,23,3,4,3,448,4
"Rotorua","Aorangi School, 3 Gem Street",225,202,3,38,3,3,1,475,6
,"D & A Hunt's Residence, 10 Gillam Crescent",79,163,0,12,1,0,0,255,1
,"Glenholme School Hall, 149 Ranolf Street",430,539,11,47,15,5,1,1048,8
,"Homedale Kindergarten, 50 Homedale Street",152,128,3,18,5,2,1,309,3
,"Kaitao Intermediate, 30 Bell Road",117,68,3,13,3,4,0,208,5
,"Kawaha Point School, Aquarius Drive",330,414,0,44,14,2,3,807,7
,"Koutu Tumahaurangi Meeting House, 38 Koutu Road",138,76,1,10,4,0,0,229,2
,"Malfroy School, 196 Malfroy Road",465,419,4,42,11,3,1,945,12
